"","est1","","","","est2","","",""
"m68","-.0254967",".0265175","-.9615018",".3362999","-.1194479",".0639812","-1.866922",".0619255"
"m69",".0818809",".0255472","3.205083",".0013502",".079943",".062365","1.281857",".199906"
"m70",".502803",".0264004","19.04529","0","-.0253541",".0618923","-.4096497",".6820669"
"m71",".3413447",".029324","11.64045","0",".0546336",".0673255",".8114835",".4170966"
"m72",".1323824",".0268092","4.93795","7.89e-07","-.0682806",".0635353","-1.074688",".2825258"
"m73",".0353755",".0285252","1.240151",".2149196","-.0467294",".0706594","-.6613337",".5084051"
"m74",".0274194",".0304974",".8990713",".3686147","-.0143568",".0663128","-.2165009",".8285993"
"m75",".2113496",".0293059","7.211845","5.52e-13","-.0263206",".0642047","-.409949",".6818473"
"m76",".3505356",".0271567","12.90788","0","-.0612609",".0631782","-.9696529",".3322299"
"m77","-.2939859",".0261813","-11.22884","0","-.1530975",".0629386","-2.432492",".0150031"
"m78",".0519742",".0307246","1.691611",".0907201","-.0256919",".0658657","-.3900644",".6964926"
"m79",".3731586",".0265169","14.07246","0",".0350586",".0619768",".5656735",".5716214"
"m80","-.1775134",".0260255","-6.820748","9.06e-12","-.0159831",".0637437","-.2507409",".8020167"
"m81",".4487322",".0277498","16.17065","0","-.082885",".0629103","-1.31751",".1876811"
"m82",".4628096",".0291189","15.89379","0","-.1450489",".0663967","-2.184579",".02893"
"m83",".024122",".0317294",".7602417",".4471101","-.1554027",".0772855","-2.01076",".0443627"
"m84",".3724427",".0270065","13.79084","0",".0055734",".0627539",".0888142",".9292304"
"m85",".3975847",".0262102","15.1691","0","-.0140544",".0619361","-.2269183",".8204893"
"m86","-.1217853",".0258424","-4.712624","2.45e-06","-.0432271",".0627877","-.6884646",".4911674"
"m87",".6121367",".0263832","23.20175","0","-.0009058",".0618793","-.014638",".9883212"
"m88",".0146741",".0265148",".553431",".5799683","-.0062102",".0619612","-.1002265",".9201654"
"m89",".6931841",".0264343","26.22294","0",".0110641",".0624982",".1770308",".8594858"
"m90",".141657",".0260926","5.429005","5.67e-08","-.0618911",".0629039","-.9838987",".3251759"
"m91",".5361456",".0279945","19.15182","0","-.0440694",".0652874","-.6750061",".4996788"
"m92","-.0864695",".0303572","-2.848404",".0043939","-.0351695",".0655859","-.5362367",".5918003"
"m93",".570972",".0365738","15.61149","0",".0163246",".0646602",".2524675",".800682"
"m94",".0416444",".0290565","1.433223",".1517941","-.0007444",".0634594","-.0117298",".9906413"
"m95",".2086448",".0322165","6.476335","9.40e-11","-.1502893",".0708806","-2.120315",".0339904"
"m96","-.0159919",".0274986","-.5815539",".5608672","-.0192941",".0635632","-.3035418",".7614798"
"m97",".0261789",".0315616",".8294554",".4068467",".0160393",".0628098",".2553636",".7984446"
"m98",".1820851",".0258071","7.055628","1.72e-12","-.0746889",".0616393","-1.211709",".2256367"
"m99",".2322088",".0311918","7.444545","9.73e-14","-.0375267",".0630337","-.5953443",".5516193"
"m100","-.0756349",".0296763","-2.548666",".0108136",".0185448",".0630292",".2942264",".7685876"
"m101",".4120592",".0274544","15.00887","0",".0290884",".0650127",".4474265",".6545714"
"m102","-.1932009",".0275364","-7.016191","2.28e-12","-.0837863",".0633122","-1.323383",".1857216"
"m103","-.3139708",".029098","-10.79013","0","-.0627437",".0637294","-.9845327",".3248642"
"m104",".0616047",".0278799","2.209643",".0271299","-.0571415",".0644694","-.8863351",".3754465"
"m105",".485639",".02772","17.51944","0","-.0484904",".0657953","-.7369889",".4611368"
"m106","-.0731028",".0279209","-2.618213",".0088392","-.1111078",".06489","-1.71225",".0868645"
"m107",".6680301",".0274567","24.33028","0",".0056656",".0636738",".0889779",".9291003"
"m108","-.2835764",".0276231","-10.2659","0","-.0469629",".0641745","-.7317999",".4642984"
"m109",".106058",".0278389","3.809703",".0001391","-.1036084",".0645948","-1.603975",".1087336"
"m110","-.0291712",".0287988","-1.012932",".3110928","-.1526357",".0640408","-2.383415",".0171611"
"m111",".4058412",".0262771","15.44466","0","-.031469",".0621494","-.506344",".6126201"
"m112","-.1987107",".0257057","-7.730216","1.07e-14","-.0980395",".061868","-1.584656",".1130585"
"m113",".2445971",".0285966","8.553375","0",".082175",".0676198","1.21525",".2242835"
"m114","-.0576211",".0276151","-2.086578",".0369263",".0662411",".0640628","1.034003",".301146"
"m115","-.1304208",".0296438","-4.399604",".0000108","-.0144472",".063662","-.2269357",".8204758"
"m116",".370002",".0286329","12.92227","0","-.1407117",".0624342","-2.25376",".0242209"
"m117",".3929562",".0354421","11.08728","0","-.0549868",".0686857","-.8005569",".4233966"
"m118","-.1160214",".0278865","-4.160488",".0000318","-.070317",".0694868","-1.011947",".3115743"
"m119",".1397816",".0310035","4.508579","6.53e-06","-.0257876",".0657664","-.3921086",".6949817"
"m120","-.079771",".0329012","-2.424567",".0153267","-.0621577",".0657174","-.9458329",".344244"
"m121",".1459965",".0375589","3.887133",".0001014","-.151734",".0685306","-2.214106",".0268315"
"immicap","","","","","-.6782521",".0452352","-14.99388","1.41e-50"
"m122","","","","","-.0991486",".0844768","-1.173679",".240536"
"_cons","1.165664",".150059","7.768033","7.99e-15","-.1325046",".1492846","-.8875974",".3747669"
"N","34833","","","","36847","","",""
"r2",".8475638","","","",".2533818","","",""
"df_m","167","","","","167","","",""
"df_r","","","","","22488","","",""
"df_b","","","","","","","",""
"df","","","","","","","",""
