"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"stt16","","","","","","","","","","","","","-.00993",".0027839","-3.566868",".0008309",".0015188",".0027484",".5526016",".5831006"
"stt17","","","","","","","","","","","","","-.004382",".0023706","-1.84848",".0706981",".0058639",".0023204","2.527099",".0148498"
"stt18","","","","","","","","","","","","","-.0124281",".0024911","-4.989053","8.37e-06","-.0035211",".0021552","-1.633761",".1088521"
"stt19","","","","","","","","","","","","","-.0085078",".0011723","-7.257503","2.97e-09","-.0057904",".0014998","-3.860795",".0003376"
"stt20","","","","","","","","","","","","","-.0106225",".0032341","-3.28454",".0019117",".0017855",".0027682",".6450301",".5219789"
"stt21","","","","","","","","","","","","","-.0042337",".0020433","-2.071988",".0436622",".0009439",".001423",".6633324",".510291"
"stt22","","","","","","","","","","","","","-.0074973",".0029403","-2.549818",".014026","-.0009516",".0022827","-.4168607",".6786387"
"stt23","","","","","","","","","","","","","-.0047084",".0043873","-1.073186",".2885533",".0071819",".003114","2.306345",".025453"
"stt24","","","","","","","","","","","","","-.0143543",".0024464","-5.867605","3.99e-07","-.0059537",".0024007","-2.480015",".0166984"
"stt25","","","","","","","","","","","","","-.013519",".0030763","-4.394568",".0000611","-.0043688",".0027622","-1.581645",".1202984"
"stt26","","","","","","","","","","","","","-.0060362",".0025661","-2.352315",".0228057",".0008509",".0023207",".3666355",".7155022"
"stt27","","","","","","","","","","","","","-.0148942",".0022534","-6.609655","2.92e-08","-.0088239",".0018447","-4.783457",".0000168"
"stt28","","","","","","","","","","","","","-.0074202",".0021996","-3.373393",".0014761",".0012069",".0026627",".4532583",".6524052"
"stt29","","","","","","","","","","","","","-.0106651",".0017909","-5.955221","2.93e-07","-.0128403",".0019561","-6.564134","3.43e-08"
"stt30","","","","","","","","","","","","","-.0005358",".0033226","-.1612567",".872568",".0094388",".0024691","3.822741",".00038"
