Implemented,study-id,cite-key,Authors,Title,Journal,Source,Search Term,JEL/EconLit (if avail),Semantic Scholar ID,URL,Repo,Language,Semantic Scholar Citation Count
1,sosina-2019,sosina_pathways_2019,"Victoria Sosina, Stanford University; Ericka Weathers, Pennsylvania State University",Pathways to Inequality: Between-District Segregation and Racial Disparities in School District Expenditures,AERA Open,https://www.openicpsr.org/openicpsr/search/studies?start=50&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&sort=score%20desc%2CDATEUPDATED%20desc&rows=25&q=crime,“state-level”,,7aa932d034b1e131ea0bfb4ccac944e8a451cef7,https://journals.sagepub.com/doi/10.1177/2332858419872445,https://www.openicpsr.org/openicpsr/project/111546/version/V1/view?path=/openicpsr/111546/fcr:versions/V1&type=project,Stata,77.0
1,jensenius-2015,jensenius_development_2015,Francesca R. Jensenius∗,Development from Representation? A Study of Quotas for the Scheduled Castes in India,American Economic Journal,https://www.openicpsr.org/openicpsr/search/studies?start=0&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&sort=score%20desc%2CDATEUPDATED%20desc&rows=25&q=block-level,state,,d060396418a07d7dd6deadf3ddbb18d557be5756,https://www.aeaweb.org/articles?id=10.1257/app.20140201,http://doi.org/10.3886/E113613V1,,93.0
1,ferraz-2011,ferraz_electoral_2011,Claudio Ferraz; Frederico Finan,Electoral Accountability and Corruption: Evidence from the Audits of Local Governments,American Economic Review,https://www.openicpsr.org/openicpsr/search/studies?start=50&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&sort=score%20desc%2CDATEUPDATED%20desc&rows=25&q=crime,municipality-level,"D72, K42, O17",e790c227c0220ba5ff85b9c55feeb32cf201f729,https://www.aeaweb.org/articles?id=10.1257/aer.101.4.1274,https://www.openicpsr.org/openicpsr/project/112431/version/V1/view,Stata,995.0
1,slattery-2020,slattery_evaluating_2020,Cailin Slattery and Owen Zidar,Evaluating State and Local Business Incentives,Journal of Economic Perspectives,https://www.openicpsr.org/openicpsr/search/studies?start=50&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&sort=score%20desc%2CDATEUPDATED%20desc&rows=25&q=crime,county,"H25, H32, H71, R32",3f2b6d9094ca53d1c28c3eb7f42df9e567ca7887,https://www.aeaweb.org/articles?id=10.1257/jep.34.2.90,https://www.openicpsr.org/openicpsr/project/119303/version/V1/view,Stata,193.0
1,campante-2019,campante_capital_2019,Filipe R. Campante; Quoc-Anh Do; Bernardo Guimaraes,"Capital Cities, Conflict, and Misgovernance",American Economic Journal: Applied Economics,https://www.openicpsr.org/openicpsr/search/studies?start=50&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&sort=score%20desc%2CDATEUPDATED%20desc&rows=25&q=crime,cities/city,"D72, D74, O17, O18, R12",017a47ff034ec401da438f4155dc491bdd981c47,https://www.aeaweb.org/articles?id=10.1257/app.20170111,https://www.openicpsr.org/openicpsr/project/122882/version/V1/view,Stata,31.0
1,chalfin-2015,chalfin_long-run_2015,Aaron Chalfin,The Long-Run Effect of Mexican Immigration on Crime in US Cities: Evidence from Variation in Mexican Fertility Rates,American Economic Review: Papers & Proceedings,https://www.openicpsr.org/openicpsr/search/studies?start=50&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&sort=score%20desc%2CDATEUPDATED%20desc&rows=25&q=crime,cities/city,"J13, J15, K42, O15, R23",1a7260288f15ded460af7b506ef0e0cc8330e92c,https://pubs.aeaweb.org/doi/pdfplus/10.1257/aer.p20151043,https://www.openicpsr.org/openicpsr/project/113382/version/V1/view?path=/openicpsr/113382/fcr:versions/V1&type=project,Stata,47.0
1,brinkman-2018,brinkman_political_2018,Jeffrey Brinkman; Daniele Coen-Pirani; Holger Sieg,The Political Economy of Municipal Pension Funding,American Economic Journal: Macroeconomics,https://www.openicpsr.org/openicpsr/search/studies?start=50&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&sort=score%20desc%2CDATEUPDATED%20desc&rows=25&q=crime,cities/city,"H72, H75, J32, J45",2cd8f24f9ce55491dc281426c60f2fb5f74914da,https://pubs.aeaweb.org/doi/pdfplus/10.1257/mac.20160400,https://www.openicpsr.org/openicpsr/project/114150/version/V1/view?path=/openicpsr/114150/fcr:versions/V1&type=project,Stata,14.0
1,jain-2017,jain_common_2017,"Tarun Jain, Indian School of Business",Common tongue: The impact of language on educational outcomes,The Journal of Economic History,https://www.openicpsr.org/openicpsr/search/studies?start=0&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&sort=score%20desc%2CDATEUPDATED%20desc&rows=25&q=province,province,,d906508578c7ccf545b98b83bad78c354258cbe5,https://www.jstor.org/stable/26348367?saml_data=eyJzYW1sVG9rZW4iOiJjMzBjOGJhYy1lNDQyLTRlNDQtOWVlOS1hMzM1ZjA2MWM1ZTAiLCJpbnN0aXR1dGlvbklkcyI6WyIyYWY5ZGQ3ZC1iOTBkLTQ0YTEtYjUzZS1kYmQzMmFkMTJmZmMiXX0&seq=18,https://www.openicpsr.org/openicpsr/project/100356/version/V1/view?path=/openicpsr/100356/fcr:versions/V1.1&type=project,Stata,35.0
1,hoang-2021,nguyen-hoang_fiscal_2021,"Phuong Nguyen-Hoang, University of Iowa",The Fiscal Effects of Tax Increment Financing on Rural School Districts: The Case of Iowa,AERA Open,https://www.openicpsr.org/openicpsr/search/studies?start=0&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&sort=score%20desc%2CDATEUPDATED%20desc&rows=25&q=%60%60district%27%27,district,,558ac10a5f616cdf4630688f691e92def28867fd,https://files.eric.ed.gov/fulltext/EJ1323726.pdf,https://www.openicpsr.org/openicpsr/project/130101/version/V1/view?path=/openicpsr/130101/fcr:versions/V1&type=project,Stata,8.0
1,howard-2021,howard_why_2021,"Greg Howard, University of Illinois; Jack Liebersohn, University of California-Irvine",Why is the Rent so Darn High? The Role of Growing Demand to Live in Housing-Supply-Inelastic Regions,Journal of Urban Economics,https://www.openicpsr.org/openicpsr/search/studies?start=0&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ORIGRELDATE=%5B2010-01-01T00%3A00%3A00Z%20TO%202025-02-05T23%3A59%3A59Z%5D&sort=score%20desc%2CDATEUPDATED%20desc&rows=25&q=city%2Fcities,cities/city,"R31, R23, E31",49e74279dbf588c0f529e051e2d9bad89a9ee0cf,https://www.sciencedirect.com/science/article/pii/S0094119021000516,https://www.openicpsr.org/openicpsr/project/142641/version/V1/view,Stata,25.0
