,,,,,FILL THESE COLUMNS FOR ALL VARIABLES,,,,,,ONLY NEEDED FOR NOISED VARIABLES,,,,,
Implemented,study-id,result-ids,variable-id,desc,query type,query notes,noised,reg-role,interaction variable?,constructed from microdata by authors,data-dependent-bounds,component-variables,data domain,data type,dataset publisher,dataset
1,charles-2019,"gov_d_lper_earn-turnout, gov_d_lper_emp-turnout",gov_d_gov_turnout,turnout = number of votes cast / census estimate of number of individuals age 20 and over,count / count,,1,dep,0,0,,gov_total,ballot,Administrative,ICPSR,study no. 13 General Election Data for the United States (1995)
1,charles-2019,"pres_d_lper_earn-turnout, pres_d_lper_emp-turnout",pres_d_pres_turnout,turnout = number of votes cast / census estimate of number of individuals age 20 and over,count / count,,1,dep,0,0,,pres_total,ballot,Administrative,ICPSR,study no. 13 General Election Data for the United States (1995)
1,charles-2019,"sen6_d_lper_earn-turnout, sen6_d_lper_emp-turnout",sen6_d_senate_turnout,turnout = number of votes cast / census estimate of number of individuals age 20 and over,count / count,,1,dep,0,0,,senate_total,ballot,Administrative,ICPSR,study no. 13 General Election Data for the United States (1995)
1,charles-2019,"congr4_d_lper_earn-turnout, congr4_d_lper_emp-turnout",congr4_d_congr_turnout,turnout = number of votes cast / census estimate of number of individuals age 20 and over,count / count,,1,dep,0,0,,congr_total,ballot,Administrative,ICPSR,study no. 13 General Election Data for the United States (1995)
1,charles-2019,"st4_d_lper_earn-turnout, st4_d_lper_emp-turnout",st4_d_sthouse_turnout,turnout = number of votes cast / census estimate of number of individuals age 20 and over,count / count,,1,dep,0,0,,state_house_total,ballot,Administrative,ICPSR,study no. 13 General Election Data for the United States (1995)
1,charles-2019,gov_d_lper_earn-turnout,gov_d_lper_earn,earn = total earnings in the county; lper_earn = ln(earn / pop),log sum / count,ASSUMPTION: max earnings 1000000,1,instrumented,0,0,,"pop, earn",income,Blended,Bureau of Economic Analysis,Regional Economic Information System
1,charles-2019,pres_d_lper_earn-turnout,pres_d_lper_earn,earn = total earnings in the county; lper_earn = ln(earn / pop),log sum / count,ASSUMPTION: max earnings 1000000,1,instrumented,0,0,,"pop, earn",income,Blended,Bureau of Economic Analysis,Regional Economic Information System
1,charles-2019,sen6_d_lper_earn-turnout,sen6_d_lper_earn,earn = total earnings in the county; lper_earn = ln(earn / pop),log sum / count,ASSUMPTION: max earnings 1000000,1,instrumented,0,0,,"pop, earn",income,Blended,Bureau of Economic Analysis,Regional Economic Information System
1,charles-2019,congr4_d_lper_earn-turnout,congr4_d_lper_earn,earn = total earnings in the county; lper_earn = ln(earn / pop),log sum / count,ASSUMPTION: max earnings 1000000,1,instrumented,0,0,,"pop, earn",income,Blended,Bureau of Economic Analysis,Regional Economic Information System
1,charles-2019,st4_d_lper_earn-turnout,st4_d_lper_earn,earn = total earnings in the county; lper_earn = ln(earn / pop),"pop, earn",ASSUMPTION: max earnings 1000000,1,instrumented,0,0,,"pop, earn",income,Blended,Bureau of Economic Analysis,Regional Economic Information System
