"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","",""
"0.endonlyfpuc#1.baseyear2019#0.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"0.endonlyfpuc#1.baseyear2019#1.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"1.endonlyfpuc#0.baseyear2019#0.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"1.endonlyfpuc#0.baseyear2019#1.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"1.endonlyfpuc#1.baseyear2019#0.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"1.endonlyfpuc#1.baseyear2019#1.post","","","","","","","","","-.9131087",".2851775","-3.201895",".0025067","","","","","","","","","-.7640844",".2822038","-2.707562",".0095471","","","","","","","","","-.6411285",".2197805","-2.917131",".0054943"
"_cons","5.588166",".0317712","175.8878","1.66e-65","4.218421","2.413831","1.747604",".0873539","4.388422",".0204966","214.105","2.41e-69","6.153657",".0367753","167.3311","1.56e-64","6.301769","2.390792","2.63585",".0114742","4.999511",".0202618","246.746","4.09e-72","6.081445",".0349225","174.1411","2.60e-65","6.303576","2.354422","2.677335",".0103199","4.94216",".0184973","267.1824","1.14e-73"
"N","322","","","","322","","","","644","","","","322","","","","322","","","","644","","","","322","","","","322","","","","644","","",""
"r2",".7660388","","","",".7674942","","","",".9253495","","","",".7947501","","","",".7971704","","","",".9353961","","","",".7977752","","","",".8008896","","","",".938718","","",""
"df_m","2","","","","4","","","","2","","","","2","","","","4","","","","2","","","","2","","","","4","","","","2","","",""
"df_r","45","","","","45","","","","45","","","","45","","","","45","","","","45","","","","45","","","","45","","","","45","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
