"","est1","","","","est2","","","","est3","","","","est4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"v_fe148","1.377339",".2113273","6.517566","3.97e-06","1.40715",".2035783","6.912082","1.84e-06",".9572823",".1967939","4.864391",".0001246",".9920927",".2039455","4.8645",".0001246"
"v_fe149","-.065754",".2075715","-.3167777",".7550568","-.0362667",".199927","-.1813996",".858081",".5375825",".1972656","2.725171",".0138881",".5731266",".2044198","2.803674",".0117439"
"v_fe150",".132271",".1978167",".6686543",".5122008",".1590572",".1923432",".8269449",".4190962",".2541305",".2015241","1.261043",".2233936",".2741275",".210268","1.303706",".2087621"
"v_fe151","-1.008833",".1850912","-5.450464",".0000354","-.9909836",".1787782","-5.543088",".0000291",".1600798",".1611409",".9934153",".3336752",".1884764",".1645859","1.145155",".2671434"
"v_fe152","1.603354",".1353534","11.84569","6.21e-10","1.616608",".1326253","12.18929","3.92e-10",".3510268",".1121988","3.128615",".0058041",".3874822",".1141296","3.395107",".0032263"
"v_fe153",".9981847",".2153409","4.635369",".0002056",".9890224",".2113548","4.679443",".0001867","-.0270059",".1896199","-.1424211",".8883294","-.0031301",".1850989","-.0169106",".9866939"
"v_fe154","-.0490268",".1365895","-.3589353",".7238193","-.0239555",".1307837","-.1831689",".8567129","-.1170567",".1038722","-1.12693",".2745716","-.0770575",".1107032","-.6960735",".4952734"
"v_fe155",".1404436",".2018878",".6956516",".4955314",".1206017",".1990697",".6058266",".5521935",".7157656",".1668537","4.28978",".000441",".721578",".1658167","4.351661",".0003845"
"v_fe156",".9026083",".2468957","3.655829",".001808",".9262499",".2392655","3.871222",".0011189",".0023403",".2732632",".0085644",".9932609",".043246",".2800887",".1544011",".8790116"
"v_fe157","-1.013301",".2428061","-4.173292",".0005711","-.9823138",".2362088","-4.158667",".00059",".5920352",".2760158","2.144932",".0458537",".621791",".2860434","2.173764",".0433101"
"v_fe158",".1179771",".2136252",".5522624",".5875612",".1563315",".2054156",".7610497",".4564826","-.5444639",".2355635","-2.311325",".0328655","-.5049977",".2460403","-2.0525",".0549534"
"v_fe159","0",".",".",".","0",".",".",".",".6239286",".2808149","2.22185",".039354",".651578",".2920903","2.230742",".03866"
"v_fe160","-.1622005",".2302024","-.7045995",".4900765","-.1362644",".2252048","-.6050687",".5526859",".670594",".2779485","2.412655",".0267231",".7002297",".2889266","2.423556",".0261304"
"v_fe161",".3779065",".2323364","1.626549",".1212116",".4108088",".2254118","1.822481",".0850386",".4129286",".2810067","1.469462",".1589695",".4431346",".2921312","1.516903",".1466575"
"v_fe162",".0176299",".2310723",".0762959",".9400253",".0505432",".2240485",".2255903",".8240616","-.3443169",".2803523","-1.228158",".2352055","-.3131478",".2917587","-1.073311",".2973107"
"v_fe163",".1723474",".2237301",".7703363",".4510933",".2035901",".2172699",".9370381",".3611423",".0555607",".2823405",".196786",".8461998",".0818895",".2937129",".2788081",".78357"
