Yearly probability of conflict onset, within-cells									
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
									Polity <=0
			Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Gov
	Polity >0	Polity <=0	Gov	Terr	Type 3	Type 4	Inter	Gov	+/- 5 yrs
VARIABLES	controls	controls	controls	controls	controls	controls	controls	+/- 5 years	avglogcapdist*post_capchange
									
	[8.93e-05]	[0.000124]	[5.77e-05]	[0.000138]	[9.59e-05]	[0.000138]	[1.75e-06]	[0.000396]	[0.000373]
1976.year	-0.000113	-0.000328*	9.82e-06	-0.000290	-0.000200	-0.000128	1.52e-07	0.000381	0.00108***
	[7.98e-05]	[0.000170]	[8.16e-05]	[0.000183]	[0.000179]	[0.000142]	[4.46e-07]	[0.000384]	[0.000351]
1977.year	-0.000112	-0.000437***	-1.68e-05	-0.000429***	-0.000339***	-9.80e-05	9.04e-07	0.000411	0.00112***
	[8.07e-05]	[0.000125]	[6.21e-05]	[0.000133]	[9.76e-05]	[0.000138]	[1.18e-06]	[0.000388]	[0.000365]
1978.year	-0.000112	-0.000437***	-1.75e-05	-0.000428***	-0.000309***	-0.000127	9.15e-07	0.000434	0.00120***
	[7.94e-05]	[0.000127]	[6.36e-05]	[0.000133]	[0.000113]	[0.000142]	[1.16e-06]	[0.000398]	[0.000379]
1979.year	-7.22e-05	-0.000352***	4.03e-05	-0.000344***	-0.000225	-0.000127	8.35e-07	0.000454	0.00122***
	[8.47e-05]	[9.12e-05]	[9.03e-05]	[9.48e-05]	[0.000177]	[0.000141]	[1.27e-06]	[0.000401]	[0.000385]
1980.year	-7.43e-05	-0.000442***	-1.92e-05	-0.000433***	-0.000314***	-0.000128	1.04e-06	0.000457	0.00126***
	[8.57e-05]	[0.000130]	[6.31e-05]	[0.000137]	[0.000111]	[0.000142]	[1.34e-06]	[0.000406]	[0.000376]
1981.year	-3.28e-05	-0.000462***	-4.43e-05	-0.000426***	-0.000335***	-0.000127	1.80e-06	0.000441	0.00129***
	[9.13e-05]	[0.000124]	[5.84e-05]	[0.000136]	[9.42e-05]	[0.000141]	[1.97e-06]	[0.000404]	[0.000376]
1982.year	-7.36e-05	-0.000472***	-4.79e-05	-0.000435***	-0.000345***	-0.000128	2.94e-05	0.000412	0.00126***
	[7.49e-05]	[0.000125]	[5.74e-05]	[0.000137]	[9.45e-05]	[0.000142]	[3.23e-05]	[0.000406]	[0.000365]
1983.year	-7.42e-05	-0.000493***	-6.95e-05	-0.000430***	-0.000366***	-0.000127	1.45e-06	0.000289	0.000858***
	[7.68e-05]	[0.000119]	[5.64e-05]	[0.000135]	[7.84e-05]	[0.000141]	[1.61e-06]	[0.000348]	[0.000282]
1984.year	-7.29e-05	-0.000475***	-4.85e-05	-0.000437***	-0.000347***	-0.000128	1.72e-08	0.000286	0.000855***
	[8.51e-05]	[0.000123]	[5.83e-05]	[0.000135]	[9.38e-05]	[0.000142]	[4.81e-07]	[0.000352]	[0.000262]
1985.year	-0.000115	-0.000502***	-7.67e-05	-0.000436***	-0.000375***	-0.000127	9.05e-07	0.000154	0.000694***
	[8.14e-05]	[0.000120]	[5.50e-05]	[0.000135]	[8.03e-05]	[0.000142]	[1.16e-06]	[0.000303]	[0.000212]
1986.year	-0.000116	-0.000472***	-4.57e-05	-0.000438***	-0.000345***	-0.000127	1.48e-06	0.000281	0.000812***
	[8.21e-05]	[0.000126]	[5.77e-05]	[0.000138]	[9.39e-05]	[0.000142]	[1.65e-06]	[0.000378]	[0.000260]
1987.year	-0.000120	-0.000478***	-4.92e-05	-0.000441***	-0.000350***	-0.000128	1.65e-07	0.000261	0.000790***
	[8.40e-05]	[0.000127]	[5.59e-05]	[0.000139]	[9.79e-05]	[0.000142]	[8.47e-07]	[0.000372]	[0.000249]
1988.year	-0.000114	-0.000493***	-7.31e-05	-0.000429***	-0.000366***	-0.000127	1.96e-06	0.000296	0.000846***
	[8.16e-05]	[0.000122]	[5.53e-05]	[0.000138]	[8.04e-05]	[0.000142]	[2.15e-06]	[0.000392]	[0.000281]
1989.year	0.000126	-0.000335**	8.13e-05	-0.000420***	-0.000209	-0.000126	2.02e-06	0.000313	0.000870***
	[0.000153]	[0.000147]	[9.01e-05]	[0.000133]	[0.000156]	[0.000141]	[2.19e-06]	[0.000401]	[0.000294]
1990.year	3.61e-05	-0.000193	-3.80e-05	-0.000159	-9.54e-05	-9.73e-05	2.47e-06	0.000336	0.000894***
	[0.000122]	[0.000121]	[5.74e-05]	[0.000129]	[0.000129]	[0.000137]	[2.74e-06]	[0.000397]	[0.000302]
1991.year	-7.42e-05	-0.000235	0.000172	-0.000416***	-0.000128	-0.000107	5.98e-05	2.52e-05	0.000535
	[8.62e-05]	[0.000177]	[0.000124]	[0.000137]	[0.000188]	[0.000141]	[6.42e-05]	[0.000263]	[0.000349]
1992.year	0.000117	-0.000304*	4.96e-05	-0.000250	-0.000197	-0.000107	1.45e-06	0.000534	0.00103
	[0.000186]	[0.000166]	[9.01e-05]	[0.000183]	[0.000168]	[0.000140]	[1.68e-06]	[0.000543]	[0.000633]
1993.year	-9.02e-05	-0.000301**	2.56e-05	-0.000277**	-0.000250*	-5.06e-05	1.86e-06	-7.66e-05	0.000391
	[7.58e-05]	[0.000119]	[8.75e-05]	[0.000130]	[0.000146]	[0.000142]	[2.08e-06]	[0.000383]	[0.000339]
1994.year	-1.56e-05	-0.000237	8.41e-05	-0.000271*	-9.85e-05	-0.000138	1.86e-06	-0.000321	0.000161
	[0.000106]	[0.000170]	[0.000111]	[0.000153]	[0.000181]	[0.000143]	[2.19e-06]	[0.000335]	[0.000284]
1995.year	-9.81e-05	-0.000426***	-5.19e-05	-0.000377***	-0.000290**	-0.000135	3.36e-06	4.35e-05	0.000546*
	[7.71e-05]	[0.000127]	[5.81e-05]	[0.000142]	[0.000119]	[0.000142]	[3.62e-06]	[0.000330]	[0.000313]
1996.year	-0.000134	-0.000327**	-6.09e-05	-0.000273*	-0.000190	-0.000137	1.94e-06	-0.000343	0.000120
	[9.07e-05]	[0.000140]	[5.76e-05]	[0.000157]	[0.000173]	[0.000143]	[2.20e-06]	[0.000317]	[0.000272]
1997.year	1.94e-05	-0.000381***	2.66e-05	-0.000415***	-0.000274**	-0.000108	2.53e-06	0.000370	0.000832
	[8.84e-05]	[0.000114]	[7.74e-05]	[0.000137]	[0.000132]	[0.000140]	[2.83e-06]	[0.000699]	[0.000805]
1998.year	-9.04e-05	-0.000471***	-3.41e-05	-0.000445***	-0.000334***	-0.000137	2.21e-06	-0.000263	0.000185
	[9.35e-05]	[0.000124]	[5.85e-05]	[0.000135]	[0.000109]	[0.000143]	[2.74e-06]	[0.000234]	[0.000202]
1999.year	-4.87e-05	-0.000360**	-9.30e-05*	-0.000274*	-0.000222**	-0.000138	2.29e-06	-0.000164	0.000305
	[7.12e-05]	[0.000150]	[5.34e-05]	[0.000152]	[0.000105]	[0.000143]	[2.68e-06]	[0.000196]	[0.000218]
2000.year	0.000104	-0.000442***	-6.37e-05	-0.000386***	-0.000305**	-0.000138	2.24e-06	-0.000179	0.000290
	[0.000178]	[0.000128]	[5.79e-05]	[0.000142]	[0.000117]	[0.000143]	[2.60e-06]	[0.000199]	[0.000214]
2001.year	-8.88e-05	-0.000468***	-3.28e-05	-0.000442***	-0.000360***	-0.000108	2.54e-06	-0.000176	0.000294
	[9.80e-05]	[0.000125]	[6.27e-05]	[0.000134]	[9.68e-05]	[0.000140]	[2.95e-06]	[0.000194]	[0.000215]
2002.year	-0.000131	-0.000436***	-3.03e-05	-0.000411***	-0.000328***	-0.000108	2.92e-06	-0.000146	0.000348
	[8.89e-05]	[0.000129]	[6.26e-05]	[0.000139]	[0.000109]	[0.000140]	[3.32e-06]	[0.000195]	[0.000230]
2003.year	2.82e-05	-0.000463***	-5.75e-05	-0.000410***	-0.000356***	-0.000107	3.16e-06	-0.000203	0.000291
	[0.000115]	[0.000126]	[5.92e-05]	[0.000139]	[9.62e-05]	[0.000141]	[3.45e-06]	[0.000165]	[0.000204]
2004.year	-0.000128	-0.000266	-8.09e-07	-0.000270	-0.000158	-0.000108	2.94e-06	-0.000200	0.000295
	[8.79e-05]	[0.000179]	[6.85e-05]	[0.000180]	[0.000187]	[0.000140]	[3.35e-06]	[0.000163]	[0.000203]
2005.year	-4.83e-05	-0.000375**	-5.68e-05	-0.000323*	-0.000268*	-0.000107	3.68e-06	-0.000349	-3.63e-06
	[9.73e-05]	[0.000155]	[5.77e-05]	[0.000170]	[0.000149]	[0.000139]	[4.00e-06]	[0.000210]	[0.000240]
temp5									0.00309***
									[0.00113]
avglogcapdist									-8.78e-05
									[0.000244]
1o.temp5									-
									
0b.temp5#co.avglogcapdist									0
									[0]
1.temp5#c.avglogcapdist									-0.000496***
									[0.000186]
									
Observations	1,467,596	1,914,640	1,914,640	1,914,640	1,914,640	1,914,640	1,914,640	88,222	88,222
R-squared	0.030	0.037	0.032	0.040	0.037	0.024	0.026	0.120	0.120
Cell FEs	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Robust standard errors in brackets									
*** p<0.01, ** p<0.05, * p<0.1									
