Regime change, within cells						
	(1)	(2)	(3)	(4)	(5)	(6)
	Onset Gov	Trend control		transition 5MA		
	Cell-FE	Cell-FE	IsoXCell-FE	Cell-FE	Cell-FE	Cell-FE
VARIABLES	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0
						
1o.onsetGov	-	-	-	-		
						
1998.year	0.317	0.373**	0.318	0.0748	0.317	0.317
	[0.361]	[0.165]	[0.360]	[0.0752]	[0.362]	[0.362]
1999.year	0.311	0.371**	0.312	0.0697	0.311	0.310
	[0.362]	[0.165]	[0.360]	[0.0757]	[0.362]	[0.362]
2000.year	0.350	0.415***	0.351	0.0756	0.350	0.350
	[0.355]	[0.156]	[0.353]	[0.0745]	[0.355]	[0.355]
2001.year	0.0195	0.0910	0.0206	0.0104	0.0195	0.0194
	[0.187]	[0.134]	[0.187]	[0.0400]	[0.187]	[0.187]
2002.year	-0.00470	0.0725	-0.00372	0.00531	-0.00470	-0.00478
	[0.188]	[0.130]	[0.187]	[0.0403]	[0.188]	[0.188]
2003.year	0.238	0.321*	0.239	0.0543	0.238	0.238
	[0.379]	[0.173]	[0.377]	[0.0790]	[0.379]	[0.379]
2004.year	0.216	0.300*	0.216	0.0530	0.215	0.215
	[0.385]	[0.175]	[0.383]	[0.0799]	[0.385]	[0.385]
2005.year	0.176	0.268	0.178	0.0459	0.176	0.176
	[0.392]	[0.184]	[0.391]	[0.0811]	[0.392]	[0.392]
logbdist2	-0.0618**	-0.0184	-0.0678**	-0.00162	-0.0618**	-0.0618**
	[0.0271]	[0.0160]	[0.0330]	[0.00654]	[0.0271]	[0.0271]
degtemper	0.0107*	0.000988	0.0110*	0.00298**	0.0107*	0.0107*
	[0.00556]	[0.00526]	[0.00562]	[0.00142]	[0.00556]	[0.00556]
prec	-4.85e-05	-7.95e-05	-5.07e-05	-8.04e-06	-4.87e-05	-4.86e-05
	[5.53e-05]	[4.83e-05]	[5.45e-05]	[1.46e-05]	[5.53e-05]	[5.53e-05]
4o._isocode		-				
						
5o._isocode		-				
						
6o._isocode		-				
						
7o._isocode		-				
						
8._isocode		0.719**				
		[0.312]				
13._isocode		107.4***				
		[1.602]				
14o._isocode		-				
						
16o._isocode		-				
						
17o._isocode		-				
						
19o._isocode		-				
						
22._isocode		207.8***				
		[7.559]				
23._isocode		85.33***				
		[0.0552]				
30o._isocode		-				
						
32o._isocode		-				
						
37o._isocode		-				
						
38o._isocode		-				
						
39o._isocode		-				
						
40o._isocode		-				
						
41o._isocode		-				
						
43o._isocode		-				
						
46._isocode		177.0***				
		[17.11]				
47o._isocode		-				
						
51o._isocode		-				
						
52._isocode		18.54*				
		[9.938]				
53o._isocode		-				
						
54o._isocode		-				
						
58o._isocode		-				
						
60._isocode		-74.14***				
		[14.18]				
61o._isocode		-				
						
63._isocode		-56.24***				
		[0.708]				
64._isocode		-19.17				
		[14.98]				
70o._isocode		-				
						
72._isocode		-92.25***				
		[1.457]				
73o._isocode		-				
						
74o._isocode		-				
						
76o._isocode		-				
						
77o._isocode		-				
						
86._isocode		15.47***				
		[0.229]				
87o._isocode		-				
						
88o._isocode		-				
						
89o._isocode		-				
						
93o._isocode		-				
						
94o._isocode		-				
						
96o._isocode		-				
						
99o._isocode		-				
						
101._isocode		13.76***				
		[1.934]				
102o._isocode		-				
						
103._isocode		-269.9***				
		[1.258]				
104o._isocode		-				
						
107o._isocode		-				
						
109o._isocode		-				
						
110o._isocode		-				
						
112o._isocode		-				
						
113o._isocode		-				
						
117o._isocode		-				
						
118._isocode		-92.76***				
		[0.363]				
120._isocode		-92.58***				
		[0.553]				
123o._isocode		-				
						
125o._isocode		-				
						
126o._isocode		-				
						
128o._isocode		-				
						
130._isocode		-42.40***				
		[12.48]				
131o._isocode		-				
						
133o._isocode		-				
						
135o._isocode		-				
						
137o._isocode		-				
						
138o._isocode		-				
						
140o._isocode		-				
						
144o._isocode		-				
						
145o._isocode		-				
						
146o._isocode		-				
						
149o._isocode		-				
						
152o._isocode		-				
						
159o._isocode		-				
						
161o._isocode		-				
						
163o._isocode		-				
						
166o._isocode		-				
						
169._isocode		-104.9***				
		[9.425]				
170._isocode		-96.32***				
		[9.517]				
171._isocode		-114.1***				
		[25.88]				
172o._isocode		-				
						
173o._isocode		-				
						
174o._isocode		-				
						
175o._isocode		-				
						
178o._isocode		-				
						
181o._isocode		-				
						
186._isocode		164.2***				
		[0.760]				
187o._isocode		-				
						
189o._isocode		-				
						
192o._isocode		-				
						
194o._isocode		-				
						
195o._isocode		-				
						
197._isocode		2.488				
		[2.395]				
198._isocode		0.145				
		[0.746]				
203o._isocode		-				
						
206o._isocode		-				
						
207o._isocode		-				
						
208o._isocode		-				
						
209._isocode		-113.5***				
		[0.353]				
212._isocode		-92.24***				
		[1.002]				
216o._isocode		-				
						
220._isocode		-40.76*				
		[23.67]				
221o._isocode		-				
						
222._isocode		-4.904				
		[9.794]				
225o._isocode		-				
						
226o._isocode		-				
						
o.year		-				
						
3b._isocode#co.year		0				
		[0]				
4._isocode#c.year		0.00634				
		[0.00445]				
5._isocode#c.year		0.0156***				
		[0.000277]				
6._isocode#c.year		-0.0143***				
		[0.00529]				
7._isocode#c.year		-0.00696***				
		[0.000281]				
8._isocode#c.year		-0.0429***				
		[0.00471]				
13._isocode#c.year		-0.0965***				
		[0.00486]				
14._isocode#c.year		-0.00177				
		[0.00523]				
16._isocode#c.year		-0.0203***				
		[0.00449]				
17._isocode#c.year		-0.00965**				
		[0.00447]				
19._isocode#c.year		0.00283***				
		[0.000257]				
22._isocode#c.year		-0.100***				
		[0.00613]				
23._isocode#c.year		-0.0855***				
		[0.00467]				
30._isocode#c.year		0.00241***				
		[0.000698]				
32._isocode#c.year		0.00882*				
		[0.00451]				
37._isocode#c.year		-0.0166***				
		[0.000261]				
38._isocode#c.year		0.0202***				
		[0.00466]				
39._isocode#c.year		-0.0283***				
		[0.00454]				
40._isocode#c.year		-0.00569				
		[0.00457]				
41._isocode#c.year		-0.00578				
		[0.00451]				
43._isocode#c.year		-0.0422***				
		[0.00465]				
46._isocode#c.year		0.00675***				
		[0.00143]				
47._isocode#c.year		-0.0127***				
		[0.000242]				
51._isocode#c.year		0.0951***				
		[0.00759]				
52._isocode#c.year		-0.00224				
		[0.00381]				
53._isocode#c.year		0.00681				
		[0.00482]				
54._isocode#c.year		0.00108				
		[0.00320]				
58._isocode#c.year		7.10e-05				
		[0.00524]				
60._isocode#c.year		-0.00553***				
		[0.000231]				
61._isocode#c.year		-0.00334				
		[0.00748]				
63._isocode#c.year		-0.0147***				
		[0.00476]				
64._isocode#c.year		0.00643***				
		[0.000384]				
70._isocode#c.year		-0.0163***				
		[0.00454]				
72._isocode#c.year		0.00368				
		[0.00482]				
73._isocode#c.year		-0.0146***				
		[0.00449]				
74._isocode#c.year		0.00172				
		[0.00375]				
76._isocode#c.year		0.0156***				
		[0.00494]				
77._isocode#c.year		-0.0175***				
		[0.00520]				
86._isocode#c.year		-0.00392				
		[0.00475]				
87._isocode#c.year		0.00508***				
		[0.000340]				
88._isocode#c.year		-0.00887***				
		[0.000253]				
89._isocode#c.year		-0.00922***				
