"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","","","est10","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"potentialAMC","","","","","1.008827","3.419536",".2950186",".7690707",".5668663","2.758579",".2054922",".8379328","","","","",".8638829","3.736537",".2311988",".818003",".3963453","3.121904",".1269563",".8994298","","","","",".9564598","3.199661",".2989254",".764997",".5112407","2.556563",".1999719",".8415026","","","",""
"l_gdppc","","","","","","","","","1.208758",".6873162","1.758663",".0840981","","","","","","","","","1.213768",".7050836","1.721452",".0906894","","","","","","","","","1.202362",".6911206","1.739728",".0819068","1.212472",".7230108","1.676977",".0935471"
"hospital_beds_pc","","","","","","","","",".0804789",".0969136",".8304191",".4098283","","","","","","","","",".0793509",".0955681",".8303077",".4098907","","","","","","","","",".0833196",".1068096",".7800761",".4353461",".0824844",".1060314",".777924",".4366138"
"d_hosp","","","","","","","","","-1.769029",".5900703","-2.997997",".0040473","","","","","","","","","-1.766595",".579489","-3.04854",".003507","","","","","","","","","-1.702738",".5756725","-2.957825",".0030982","-1.676407",".6566995","-2.552776",".0106868"
"coverage_psf","","","","","","","","",".1495578",".5167522",".2894188",".7733297","","","","","","","","",".1120748",".4979034",".2250934",".822726","","","","","","","","",".0599143",".4822589",".1242368",".9011278",".0351569",".4673279",".0752297",".940032"
"coverage_pbf","","","","","","","","","-26.50171","6.67418","-3.970781",".0002065","","","","","","","","","-26.28333","6.643392","-3.956312",".0002165","","","","","","","","","-26.69519","7.151827","-3.732639",".0001895","-27.07234","7.057212","-3.836123",".000125"
"share_GDPagro","","","","","","","","","1.140855","2.205583",".5172575",".6070136","","","","","","","","","1.030898","2.205152",".4674952",".6419598","","","","","","","","","1.900793","2.236225",".8500009",".3953246","2.407634","3.389357",".7103513",".4774863"
"glyph_soy_upstream","","","","","","","","","","","","","10.49113","7.948145","1.319947",".1922231","10.52777","8.007731","1.314701",".1939694","11.59787","6.408275","1.809828",".0756899","36.55315","13.1897","2.77134",".0055826","36.75563","13.46608","2.729498",".0063431","39.01225","14.81378","2.633511",".0084507","37.21014","8.720248","4.267096",".0000198"
"glyph_soy_AMC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.811521","18.65175",".204352",".8380785"
"_cons","13.90234",".3895299","35.69004","3.30e-40","13.73688",".7534197","18.2327","3.21e-25","14.22908","2.237947","6.358098","3.95e-08","14.15724",".3999864","35.3943","5.16e-40","14.01732",".8092038","17.32235","3.70e-24","14.46402","2.242459","6.450072","2.79e-08","","","","","","","","","","","","","","","",""
"N","12309","","","","12309","","","","12309","","","","12309","","","","12309","","","","12309","","","","12309","","","","12309","","","","12309","","","","12309","","",""
"r2",".1004605","","","",".1004888","","","",".1032929","","","",".0998449","","","",".0998657","","","",".1026311","","","","-.0014652","","","","-.0014642","","","",".001464","","","",".0014731","","",""
"df_m","40","","","","41","","","","47","","","","40","","","","41","","","","47","","","","61","","","","62","","","","68","","","","68","","",""
"df_r","56","","","","56","","","","56","","","","56","","","","56","","","","56","","","","","","","","","","","","","","","","","","",""
"df_b","41","","","","42","","","","48","","","","41","","","","42","","","","48","","","","61","","","","62","","","","68","","","","68","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
