"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","",""
"2005.year","340.036","126.9692","2.678099",".0101069","13.41695","16.34021",".8211001",".4156488","130.7646","69.56643","1.879709",".066225","134.8188","59.37158","2.270763",".027687","47.006","14.61697","3.215852",".0023292","14.02969","27.51381",".5099146",".612448"
"2006.year","374.074","159.5649","2.344337",".0232466","24.17212","18.50927","1.305947",".1977949","107.8648","79.39222","1.358631",".1806143","165.9362","72.30223","2.295036",".026145","61.68109","17.45442","3.533838",".0009176","14.41986","28.39821",".5077737",".6139375"
"2007.year","384.3344","190.3902","2.018666",".0491274","17.23683","24.04009",".7170036",".4768465","102.0889","98.01818","1.041531",".3028471","186.6825","82.78726","2.254967",".0287335","62.61159","19.45462","3.218341",".0023127","15.71448","29.9724",".5242985",".6024839"
"2008.year","462.8284","203.406","2.275392",".0273868","26.34441","24.93107","1.05669",".2959424","132.5435","108.1554","1.225492",".2263692","200.5191","90.04337","2.226917",".0306785","67.95766","19.19091","3.541137",".0008977","35.46366","31.05023","1.142138",".259062"
"2009.year","457.4429","173.3415","2.638969",".0111803","32.71768","26.58573","1.230648",".2244511","128.6867","95.50383","1.34745",".1841615","207.5938","85.48768","2.428348",".0189648","60.64895","19.84499","3.056134",".0036562","27.7958","32.57623",".8532541",".3977564"
"2010.year","484.0034","175.7468","2.753981",".0082905","33.21311","29.04606","1.143464",".258517","130.0961","88.58464","1.468608",".1484625","227.3913","89.30676","2.546182",".014155","75.61915","21.19478","3.567819",".0008286","17.68371","38.9312",".4542298",".6517108"
"2011.year","533.0669","187.6747","2.840377",".0065917","12.15003","31.0093",".391819",".6969262","177.6452","94.02205","1.889399",".0648869","250.5046","99.77985","2.510573",".0154763","76.08775","23.35332","3.258113",".0020632","16.67933","41.89872",".3980867",".6923314"
"2012.year","509.3251","195.8905","2.60005",".0123505","12.12406","33.12748",".365982",".7159866","169.7343","96.85748","1.752413",".0860888","221.1388","107.1865","2.063122",".0445325","68.26861","24.30849","2.808427",".0071783","38.05928","47.67963",".7982293",".4286691"
"2013.year","543.6137","222.2064","2.446436",".0181416","11.04025","34.16831",".3231136",".7480127","184.7986","102.635","1.800542",".0780602","231.686","123.4845","1.876236",".0667103","67.3245","24.65871","2.730252",".0088233","48.76433","51.43687",".9480423",".3478567"
"_cons","3298.621","714.0131","4.619833",".000029","292.1171","112.593","2.594453",".0125277","926.7481","388.3471","2.386391",".0210054","1209.008","308.51","3.91886",".0002815","301.4113","93.39286","3.227349",".0022538","569.3368","165.7037","3.435873",".0012282"
"N","641","","","","641","","","","641","","","","641","","","","641","","","","641","","",""
"r2",".2838114","","","",".1647076","","","",".0946674","","","",".2745939","","","",".2293472","","","",".2752537","","",""
"df_m","26","","","","26","","","","26","","","","26","","","","26","","","","26","","",""
"df_r","48","","","","48","","","","48","","","","48","","","","48","","","","48","","",""
"df_b","27","","","","27","","","","27","","","","27","","","","27","","","","27","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","",""
