	(1)	(2)	(3)
VARIABLES	poisson	probit	Abond
			
dyear29			0.027
			(0.135)
dyear30			0.473
			(0.135)
Constant	-3,331.288		-0.619
	(955.888)		(0.421)
			
Observations	1,286	1,193	1,286
Year FE	YES	YES	YES
State FE	YES	YES	YES
Number of state			47
Robust standard errors in parentheses			
