	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)
VARIABLES	allapps	allapps	DIonly	SSItotal	SSDItotal	allapps	DIonly	SSItotal	SSDItotal	allapps	DIonly	SSItotal	SSDItotal	allapps	DIonly	SSItotal	SSDItotal
																	
	(0.0154)	(0.0565)	(0.0182)	(0.0590)	(0.0372)	(0.0565)	(0.0182)	(0.0590)	(0.0372)	(0.0565)	(0.0182)	(0.0590)	(0.0372)	(0.0565)	(0.0182)	(0.0590)	(0.0372)
o.qnum16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
9003.county	1.037***																
	(0.0279)																
9005.county	0.414***	-0.626***	0.240***	-0.865***	-0.132**	-0.626***	0.240***	-0.865***	-0.132**	-0.626***	0.240***	-0.865***	-0.132**	-0.626***	0.240***	-0.865***	-0.132**
	(0.00707)	(0.0490)	(0.0114)	(0.0406)	(0.0421)	(0.0490)	(0.0114)	(0.0406)	(0.0421)	(0.0490)	(0.0114)	(0.0406)	(0.0421)	(0.0490)	(0.0114)	(0.0406)	(0.0421)
9007.county	0.142***	-0.899***	-0.0174	-0.881***	-0.414***	-0.899***	-0.0174	-0.881***	-0.414***	-0.899***	-0.0174	-0.881***	-0.414***	-0.899***	-0.0174	-0.881***	-0.414***
	(0.00463)	(0.0766)	(0.0178)	(0.0635)	(0.0658)	(0.0766)	(0.0178)	(0.0635)	(0.0658)	(0.0766)	(0.0178)	(0.0635)	(0.0658)	(0.0766)	(0.0178)	(0.0635)	(0.0658)
9009.county	1.210***	0.173***	0.123***	0.0503***	0.120***	0.173***	0.123***	0.0503***	0.120***	0.173***	0.123***	0.0503***	0.120***	0.173***	0.123***	0.0503***	0.120***
	(0.0296)	(0.00381)	(0.000885)	(0.00315)	(0.00327)	(0.00381)	(0.000885)	(0.00315)	(0.00327)	(0.00381)	(0.000885)	(0.00315)	(0.00327)	(0.00381)	(0.000885)	(0.00315)	(0.00327)
9011.county	0.892***	-0.147**	0.229***	-0.376***	0.222***	-0.147**	0.229***	-0.376***	0.222***	-0.147**	0.229***	-0.376***	0.222***	-0.147**	0.229***	-0.376***	0.222***
	(0.00578)	(0.0521)	(0.0121)	(0.0432)	(0.0448)	(0.0521)	(0.0121)	(0.0432)	(0.0448)	(0.0521)	(0.0121)	(0.0432)	(0.0448)	(0.0521)	(0.0121)	(0.0432)	(0.0448)
9013.county	-0.273***	-1.314***	-0.107***	-1.207***	-0.718***	-1.314***	-0.107***	-1.207***	-0.718***	-1.314***	-0.107***	-1.207***	-0.718***	-1.314***	-0.107***	-1.207***	-0.718***
	(0.00463)	(0.0766)	(0.0178)	(0.0635)	(0.0658)	(0.0766)	(0.0178)	(0.0635)	(0.0658)	(0.0766)	(0.0178)	(0.0635)	(0.0658)	(0.0766)	(0.0178)	(0.0635)	(0.0658)
9015.county	1.121***	0.0858***	0.424***	-0.338***	0.333***	0.0858***	0.424***	-0.338***	0.333***	0.0858***	0.424***	-0.338***	0.333***	0.0858***	0.424***	-0.338***	0.333***
	(0.0378)	(0.0231)	(0.00543)	(0.0192)	(0.0199)	(0.0231)	(0.00543)	(0.0192)	(0.0199)	(0.0231)	(0.00543)	(0.0192)	(0.0199)	(0.0231)	(0.00543)	(0.0192)	(0.0199)
23001.county	2.130***	1.091***	0.453***	0.639***	1.116***	1.091***	0.453***	0.639***	1.116***	1.091***	0.453***	0.639***	1.116***	1.091***	0.453***	0.639***	1.116***
	(0.0170)	(0.0257)	(0.00601)	(0.0213)	(0.0221)	(0.0257)	(0.00601)	(0.0213)	(0.0221)	(0.0257)	(0.00601)	(0.0213)	(0.0221)	(0.0257)	(0.00601)	(0.0213)	(0.0221)
23003.county	2.758***																
	(0.0691)																
23005.county	0.701***	-0.342**	0.0831**	-0.425***	0.0416	-0.342**	0.0831**	-0.425***	0.0416	-0.342**	0.0831**	-0.425***	0.0416	-0.342**	0.0831**	-0.425***	0.0416
	(0.0203)	(0.113)	(0.0264)	(0.0940)	(0.0975)	(0.113)	(0.0264)	(0.0940)	(0.0975)	(0.113)	(0.0264)	(0.0940)	(0.0975)	(0.113)	(0.0264)	(0.0940)	(0.0975)
23007.county	1.498***																
	(0.0540)																
23009.county	1.121***																
	(0.0401)																
23011.county	2.195***	1.156***	0.484***	0.672***	1.217***	1.156***	0.484***	0.672***	1.217***	1.156***	0.484***	0.672***	1.217***	1.156***	0.484***	0.672***	1.217***
	(0.0152)	(0.0300)	(0.00698)	(0.0248)	(0.0258)	(0.0300)	(0.00698)	(0.0248)	(0.0258)	(0.0300)	(0.00698)	(0.0248)	(0.0258)	(0.0300)	(0.00698)	(0.0248)	(0.0258)
23013.county	1.677***																
	(0.00397)																
23017.county	2.372***	1.338***	0.637***	0.701***	1.432***	1.338***	0.637***	0.701***	1.432***	1.338***	0.637***	0.701***	1.432***	1.338***	0.637***	0.701***	1.432***
	(0.0501)	(0.0521)	(0.0121)	(0.0432)	(0.0448)	(0.0521)	(0.0121)	(0.0432)	(0.0448)	(0.0521)	(0.0121)	(0.0432)	(0.0448)	(0.0521)	(0.0121)	(0.0432)	(0.0448)
23019.county	2.329***	1.292***	0.478***	0.814***	1.104***	1.292***	0.478***	0.814***	1.104***	1.292***	0.478***	0.814***	1.104***	1.292***	0.478***	0.814***	1.104***
	(0.0278)	(0.000424)	(7.71e-05)	(0.000374)	(0.000378)	(0.000424)	(7.71e-05)	(0.000374)	(0.000378)	(0.000424)	(7.71e-05)	(0.000374)	(0.000378)	(0.000424)	(7.71e-05)	(0.000374)	(0.000378)
23025.county	3.302***	2.273***	0.907***	1.366***	2.009***	2.273***	0.907***	1.366***	2.009***	2.273***	0.907***	1.366***	2.009***	2.273***	0.907***	1.366***	2.009***
	(0.0892)	(0.144)	(0.0335)	(0.119)	(0.124)	(0.144)	(0.0335)	(0.119)	(0.124)	(0.144)	(0.0335)	(0.119)	(0.124)	(0.144)	(0.0335)	(0.119)	(0.124)
23027.county	2.041***	1.005***	0.658***	0.348***	1.093***	1.005***	0.658***	0.348***	1.093***	1.005***	0.658***	0.348***	1.093***	1.005***	0.658***	0.348***	1.093***
	(0.0359)	(0.0187)	(0.00434)	(0.0155)	(0.0161)	(0.0187)	(0.00434)	(0.0155)	(0.0161)	(0.0187)	(0.00434)	(0.0155)	(0.0161)	(0.0187)	(0.00434)	(0.0155)	(0.0161)
23029.county	2.850***																
	(0.113)																
23031.county	0.918***	-0.122	0.297***	-0.420***	0.269***	-0.122	0.297***	-0.420***	0.269***	-0.122	0.297***	-0.420***	0.269***	-0.122	0.297***	-0.420***	0.269***
	(0.00284)	(0.0723)	(0.0169)	(0.0599)	(0.0622)	(0.0723)	(0.0169)	(0.0599)	(0.0622)	(0.0723)	(0.0169)	(0.0599)	(0.0622)	(0.0723)	(0.0169)	(0.0599)	(0.0622)
