	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
stcoll2_hisp_p		-2299438.011*		-0.009		-362.806*		-0.009		-2.299*		-0.009		-2299438.011*		-0.009		-362.806*		-0.009		-2.299*		-0.009		-2299438.011*		-0.009		-362.806*		-0.009		-2.299*		-0.009		-2299438.011*		-0.009		-362.806*		-0.009		-2.299*		-0.009		-2299438.011*		-0.009		-362.806*		-0.009		-2.299*		-0.009		-2299438.011*		-0.009		-362.806*		-0.009		-2.299*		-0.009		-2299438.011*		-0.009		-362.806*		-0.009		-2.299*		-0.009
		(942,142.136)		(0.005)		(171.683)		(0.005)		(0.942)		(0.005)		(942,142.136)		(0.005)		(171.683)		(0.005)		(0.942)		(0.005)		(942,142.136)		(0.005)		(171.683)		(0.005)		(0.942)		(0.005)		(942,142.136)		(0.005)		(171.683)		(0.005)		(0.942)		(0.005)		(942,142.136)		(0.005)		(171.683)		(0.005)		(0.942)		(0.005)		(942,142.136)		(0.005)		(171.683)		(0.005)		(0.942)		(0.005)		(942,142.136)		(0.005)		(171.683)		(0.005)		(0.942)		(0.005)
stcoll2_amind_p		134,138.818		0.002**		27.332		0.002**		0.134		0.002**		134,138.818		0.002**		27.332		0.002**		0.134		0.002**		134,138.818		0.002**		27.332		0.002**		0.134		0.002**		134,138.818		0.002**		27.332		0.002**		0.134		0.002**		134,138.818		0.002**		27.332		0.002**		0.134		0.002**		134,138.818		0.002**		27.332		0.002**		0.134		0.002**		134,138.818		0.002**		27.332		0.002**		0.134		0.002**
		(77,131.753)		(0.001)		(16.693)		(0.001)		(0.077)		(0.001)		(77,131.753)		(0.001)		(16.693)		(0.001)		(0.077)		(0.001)		(77,131.753)		(0.001)		(16.693)		(0.001)		(0.077)		(0.001)		(77,131.753)		(0.001)		(16.693)		(0.001)		(0.077)		(0.001)		(77,131.753)		(0.001)		(16.693)		(0.001)		(0.077)		(0.001)		(77,131.753)		(0.001)		(16.693)		(0.001)		(0.077)		(0.001)		(77,131.753)		(0.001)		(16.693)		(0.001)		(0.077)		(0.001)
Constant	1.153e+08***	-1.757e+09*	18.153***	4.352	10,787.159***	-89,416.458	9.259***	4.352	115.333***	-1,757.316*	4.337***	-9.464*	1.153e+08***	-1.757e+09*	18.153***	4.352	10,787.159***	-89,416.458	9.259***	4.352	115.333***	-1,757.316*	4.337***	-9.464*	1.153e+08***	-1.757e+09*	18.153***	4.352	10,787.159***	-89,416.458	9.259***	4.352	115.333***	-1,757.316*	4.337***	-9.464*	1.153e+08***	-1.757e+09*	18.153***	4.352	10,787.159***	-89,416.458	9.259***	4.352	115.333***	-1,757.316*	4.337***	-9.464*	1.153e+08***	-1.757e+09*	18.153***	4.352	10,787.159***	-89,416.458	9.259***	4.352	115.333***	-1,757.316*	4.337***	-9.464*	1.153e+08***	-1.757e+09*	18.153***	4.352	10,787.159***	-89,416.458	9.259***	4.352	115.333***	-1,757.316*	4.337***	-9.464*	1.153e+08***	-1.757e+09*	18.153***	4.352	10,787.159***	-89,416.458	9.259***	4.352	115.333***	-1,757.316*	4.337***	-9.464*
	(3330849.795)	(8.111e+08)	(0.048)	(4.542)	(1,220.920)	(123,802.566)	(0.049)	(4.542)	(3.331)	(811.079)	(0.048)	(4.542)	(3330849.795)	(8.111e+08)	(0.048)	(4.542)	(1,220.920)	(123,802.566)	(0.049)	(4.542)	(3.331)	(811.079)	(0.048)	(4.542)	(3330849.795)	(8.111e+08)	(0.048)	(4.542)	(1,220.920)	(123,802.566)	(0.049)	(4.542)	(3.331)	(811.079)	(0.048)	(4.542)	(3330849.795)	(8.111e+08)	(0.048)	(4.542)	(1,220.920)	(123,802.566)	(0.049)	(4.542)	(3.331)	(811.079)	(0.048)	(4.542)	(3330849.795)	(8.111e+08)	(0.048)	(4.542)	(1,220.920)	(123,802.566)	(0.049)	(4.542)	(3.331)	(811.079)	(0.048)	(4.542)	(3330849.795)	(8.111e+08)	(0.048)	(4.542)	(1,220.920)	(123,802.566)	(0.049)	(4.542)	(3.331)	(811.079)	(0.048)	(4.542)	(3330849.795)	(8.111e+08)	(0.048)	(4.542)	(1,220.920)	(123,802.566)	(0.049)	(4.542)	(3.331)	(811.079)	(0.048)	(4.542)
																																																																																				
Observations	1,497	1,490	1,497	1,490	1,496	1,490	1,496	1,490	1,497	1,490	1,497	1,490	1,497	1,490	1,497	1,490	1,496	1,490	1,496	1,490	1,497	1,490	1,497	1,490	1,497	1,490	1,497	1,490	1,496	1,490	1,496	1,490	1,497	1,490	1,497	1,490	1,497	1,490	1,497	1,490	1,496	1,490	1,496	1,490	1,497	1,490	1,497	1,490	1,497	1,490	1,497	1,490	1,496	1,490	1,496	1,490	1,497	1,490	1,497	1,490	1,497	1,490	1,497	1,490	1,496	1,490	1,496	1,490	1,497	1,490	1,497	1,490	1,497	1,490	1,497	1,490	1,496	1,490	1,496	1,490	1,497	1,490	1,497	1,490
R-squared	0.942	0.950	0.950	0.956	0.626	0.708	0.715	0.810	0.942	0.950	0.950	0.956	0.942	0.950	0.950	0.956	0.626	0.708	0.715	0.810	0.942	0.950	0.950	0.956	0.942	0.950	0.950	0.956	0.626	0.708	0.715	0.810	0.942	0.950	0.950	0.956	0.942	0.950	0.950	0.956	0.626	0.708	0.715	0.810	0.942	0.950	0.950	0.956	0.942	0.950	0.950	0.956	0.626	0.708	0.715	0.810	0.942	0.950	0.950	0.956	0.942	0.950	0.950	0.956	0.626	0.708	0.715	0.810	0.942	0.950	0.950	0.956	0.942	0.950	0.950	0.956	0.626	0.708	0.715	0.810	0.942	0.950	0.950	0.956
Covariates	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES
College FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Year FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Adjusted within R-squared	0.00431	0.126	0.169	0.248	0.0661	0.263	0.145	0.418	0.00431	0.126	0.169	0.248	0.00431	0.126	0.169	0.248	0.0661	0.263	0.145	0.418	0.00431	0.126	0.169	0.248	0.00431	0.126	0.169	0.248	0.0661	0.263	0.145	0.418	0.00431	0.126	0.169	0.248	0.00431	0.126	0.169	0.248	0.0661	0.263	0.145	0.418	0.00431	0.126	0.169	0.248	0.00431	0.126	0.169	0.248	0.0661	0.263	0.145	0.418	0.00431	0.126	0.169	0.248	0.00431	0.126	0.169	0.248	0.0661	0.263	0.145	0.418	0.00431	0.126	0.169	0.248	0.00431	0.126	0.169	0.248	0.0661	0.263	0.145	0.418	0.00431	0.126	0.169	0.248
Robust standard errors in parentheses																																																																																				
*** p<0.001, ** p<0.01, * p<0.05																																																																																				
