	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
stcoll2_hisp_p		-136,675.122		-0.008*		-187.854**		-0.008*		-0.137		-0.008*		-136,675.122		-0.008*		-187.854**		-0.008*		-0.137		-0.008*		-136,675.122		-0.008*		-187.854**		-0.008*		-0.137		-0.008*		-136,675.122		-0.008*		-187.854**		-0.008*		-0.137		-0.008*		-136,675.122		-0.008*		-187.854**		-0.008*		-0.137		-0.008*		-136,675.122		-0.008*		-187.854**		-0.008*		-0.137		-0.008*		-136,675.122		-0.008*		-187.854**		-0.008*		-0.137		-0.008*
		(71,920.856)		(0.003)		(60.253)		(0.003)		(0.072)		(0.003)		(71,920.856)		(0.003)		(60.253)		(0.003)		(0.072)		(0.003)		(71,920.856)		(0.003)		(60.253)		(0.003)		(0.072)		(0.003)		(71,920.856)		(0.003)		(60.253)		(0.003)		(0.072)		(0.003)		(71,920.856)		(0.003)		(60.253)		(0.003)		(0.072)		(0.003)		(71,920.856)		(0.003)		(60.253)		(0.003)		(0.072)		(0.003)		(71,920.856)		(0.003)		(60.253)		(0.003)		(0.072)		(0.003)
stcoll2_amind_p		14,354.049		0.001		20.968		0.001		0.014		0.001		14,354.049		0.001		20.968		0.001		0.014		0.001		14,354.049		0.001		20.968		0.001		0.014		0.001		14,354.049		0.001		20.968		0.001		0.014		0.001		14,354.049		0.001		20.968		0.001		0.014		0.001		14,354.049		0.001		20.968		0.001		0.014		0.001		14,354.049		0.001		20.968		0.001		0.014		0.001
		(93,823.333)		(0.003)		(67.719)		(0.003)		(0.094)		(0.003)		(93,823.333)		(0.003)		(67.719)		(0.003)		(0.094)		(0.003)		(93,823.333)		(0.003)		(67.719)		(0.003)		(0.094)		(0.003)		(93,823.333)		(0.003)		(67.719)		(0.003)		(0.094)		(0.003)		(93,823.333)		(0.003)		(67.719)		(0.003)		(0.094)		(0.003)		(93,823.333)		(0.003)		(67.719)		(0.003)		(0.094)		(0.003)		(93,823.333)		(0.003)		(67.719)		(0.003)		(0.094)		(0.003)
Constant	31879615.741***	-6.310e+07	17.144***	13.361***	15,461.542***	16,806.002	9.583***	13.361***	31.880***	-63.104	3.328***	-0.455	31879615.741***	-6.310e+07	17.144***	13.361***	15,461.542***	16,806.002	9.583***	13.361***	31.880***	-63.104	3.328***	-0.455	31879615.741***	-6.310e+07	17.144***	13.361***	15,461.542***	16,806.002	9.583***	13.361***	31.880***	-63.104	3.328***	-0.455	31879615.741***	-6.310e+07	17.144***	13.361***	15,461.542***	16,806.002	9.583***	13.361***	31.880***	-63.104	3.328***	-0.455	31879615.741***	-6.310e+07	17.144***	13.361***	15,461.542***	16,806.002	9.583***	13.361***	31.880***	-63.104	3.328***	-0.455	31879615.741***	-6.310e+07	17.144***	13.361***	15,461.542***	16,806.002	9.583***	13.361***	31.880***	-63.104	3.328***	-0.455	31879615.741***	-6.310e+07	17.144***	13.361***	15,461.542***	16,806.002	9.583***	13.361***	31.880***	-63.104	3.328***	-0.455
	(1193154.766)	(1.021e+08)	(0.068)	(3.011)	(1,461.575)	(56,404.325)	(0.111)	(3.011)	(1.193)	(102.113)	(0.068)	(3.011)	(1193154.766)	(1.021e+08)	(0.068)	(3.011)	(1,461.575)	(56,404.325)	(0.111)	(3.011)	(1.193)	(102.113)	(0.068)	(3.011)	(1193154.766)	(1.021e+08)	(0.068)	(3.011)	(1,461.575)	(56,404.325)	(0.111)	(3.011)	(1.193)	(102.113)	(0.068)	(3.011)	(1193154.766)	(1.021e+08)	(0.068)	(3.011)	(1,461.575)	(56,404.325)	(0.111)	(3.011)	(1.193)	(102.113)	(0.068)	(3.011)	(1193154.766)	(1.021e+08)	(0.068)	(3.011)	(1,461.575)	(56,404.325)	(0.111)	(3.011)	(1.193)	(102.113)	(0.068)	(3.011)	(1193154.766)	(1.021e+08)	(0.068)	(3.011)	(1,461.575)	(56,404.325)	(0.111)	(3.011)	(1.193)	(102.113)	(0.068)	(3.011)	(1193154.766)	(1.021e+08)	(0.068)	(3.011)	(1,461.575)	(56,404.325)	(0.111)	(3.011)	(1.193)	(102.113)	(0.068)	(3.011)
																																																																																				
Observations	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298	300	298
R-squared	0.969	0.970	0.963	0.966	0.590	0.804	0.313	0.838	0.969	0.970	0.963	0.966	0.969	0.970	0.963	0.966	0.590	0.804	0.313	0.838	0.969	0.970	0.963	0.966	0.969	0.970	0.963	0.966	0.590	0.804	0.313	0.838	0.969	0.970	0.963	0.966	0.969	0.970	0.963	0.966	0.590	0.804	0.313	0.838	0.969	0.970	0.963	0.966	0.969	0.970	0.963	0.966	0.590	0.804	0.313	0.838	0.969	0.970	0.963	0.966	0.969	0.970	0.963	0.966	0.590	0.804	0.313	0.838	0.969	0.970	0.963	0.966	0.969	0.970	0.963	0.966	0.590	0.804	0.313	0.838	0.969	0.970	0.963	0.966
Covariates	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES
College FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Year FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Adjusted within R-squared	0.0361	0.0332	0.0359	0.0641	0.000588	0.459	-0.00240	0.553	0.0361	0.0332	0.0359	0.0641	0.0361	0.0332	0.0359	0.0641	0.000588	0.459	-0.00240	0.553	0.0361	0.0332	0.0359	0.0641	0.0361	0.0332	0.0359	0.0641	0.000588	0.459	-0.00240	0.553	0.0361	0.0332	0.0359	0.0641	0.0361	0.0332	0.0359	0.0641	0.000588	0.459	-0.00240	0.553	0.0361	0.0332	0.0359	0.0641	0.0361	0.0332	0.0359	0.0641	0.000588	0.459	-0.00240	0.553	0.0361	0.0332	0.0359	0.0641	0.0361	0.0332	0.0359	0.0641	0.000588	0.459	-0.00240	0.553	0.0361	0.0332	0.0359	0.0641	0.0361	0.0332	0.0359	0.0641	0.000588	0.459	-0.00240	0.553	0.0361	0.0332	0.0359	0.0641
Robust standard errors in parentheses																																																																																				
*** p<0.001, ** p<0.01, * p<0.05																																																																																				
