	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
stcoll2_hisp_p		430,768.907		0.003		92.075		0.003		0.431		0.003		430,768.907		0.003		92.075		0.003		0.431		0.003		430,768.907		0.003		92.075		0.003		0.431		0.003		430,768.907		0.003		92.075		0.003		0.431		0.003		430,768.907		0.003		92.075		0.003		0.431		0.003		430,768.907		0.003		92.075		0.003		0.431		0.003		430,768.907		0.003		92.075		0.003		0.431		0.003
		(366,154.410)		(0.004)		(216.224)		(0.004)		(0.366)		(0.004)		(366,154.410)		(0.004)		(216.224)		(0.004)		(0.366)		(0.004)		(366,154.410)		(0.004)		(216.224)		(0.004)		(0.366)		(0.004)		(366,154.410)		(0.004)		(216.224)		(0.004)		(0.366)		(0.004)		(366,154.410)		(0.004)		(216.224)		(0.004)		(0.366)		(0.004)		(366,154.410)		(0.004)		(216.224)		(0.004)		(0.366)		(0.004)		(366,154.410)		(0.004)		(216.224)		(0.004)		(0.366)		(0.004)
stcoll2_amind_p		64,090.673		0.001		-26.045		0.001		0.064		0.001		64,090.673		0.001		-26.045		0.001		0.064		0.001		64,090.673		0.001		-26.045		0.001		0.064		0.001		64,090.673		0.001		-26.045		0.001		0.064		0.001		64,090.673		0.001		-26.045		0.001		0.064		0.001		64,090.673		0.001		-26.045		0.001		0.064		0.001		64,090.673		0.001		-26.045		0.001		0.064		0.001
		(84,249.286)		(0.001)		(35.859)		(0.001)		(0.084)		(0.001)		(84,249.286)		(0.001)		(35.859)		(0.001)		(0.084)		(0.001)		(84,249.286)		(0.001)		(35.859)		(0.001)		(0.084)		(0.001)		(84,249.286)		(0.001)		(35.859)		(0.001)		(0.084)		(0.001)		(84,249.286)		(0.001)		(35.859)		(0.001)		(0.084)		(0.001)		(84,249.286)		(0.001)		(35.859)		(0.001)		(0.084)		(0.001)		(84,249.286)		(0.001)		(35.859)		(0.001)		(0.084)		(0.001)
Constant	94815526.971***	-1.554e+09***	17.966***	8.735**	12,882.370***	289,402.714	9.428***	8.735**	94.816***	-1,553.908***	4.150***	-5.081	94815526.971***	-1.554e+09***	17.966***	8.735**	12,882.370***	289,402.714	9.428***	8.735**	94.816***	-1,553.908***	4.150***	-5.081	94815526.971***	-1.554e+09***	17.966***	8.735**	12,882.370***	289,402.714	9.428***	8.735**	94.816***	-1,553.908***	4.150***	-5.081	94815526.971***	-1.554e+09***	17.966***	8.735**	12,882.370***	289,402.714	9.428***	8.735**	94.816***	-1,553.908***	4.150***	-5.081	94815526.971***	-1.554e+09***	17.966***	8.735**	12,882.370***	289,402.714	9.428***	8.735**	94.816***	-1,553.908***	4.150***	-5.081	94815526.971***	-1.554e+09***	17.966***	8.735**	12,882.370***	289,402.714	9.428***	8.735**	94.816***	-1,553.908***	4.150***	-5.081	94815526.971***	-1.554e+09***	17.966***	8.735**	12,882.370***	289,402.714	9.428***	8.735**	94.816***	-1,553.908***	4.150***	-5.081
	(3260901.334)	(4.014e+08)	(0.054)	(3.003)	(1,251.074)	(281,393.865)	(0.054)	(3.003)	(3.261)	(401.359)	(0.054)	(3.003)	(3260901.334)	(4.014e+08)	(0.054)	(3.003)	(1,251.074)	(281,393.865)	(0.054)	(3.003)	(3.261)	(401.359)	(0.054)	(3.003)	(3260901.334)	(4.014e+08)	(0.054)	(3.003)	(1,251.074)	(281,393.865)	(0.054)	(3.003)	(3.261)	(401.359)	(0.054)	(3.003)	(3260901.334)	(4.014e+08)	(0.054)	(3.003)	(1,251.074)	(281,393.865)	(0.054)	(3.003)	(3.261)	(401.359)	(0.054)	(3.003)	(3260901.334)	(4.014e+08)	(0.054)	(3.003)	(1,251.074)	(281,393.865)	(0.054)	(3.003)	(3.261)	(401.359)	(0.054)	(3.003)	(3260901.334)	(4.014e+08)	(0.054)	(3.003)	(1,251.074)	(281,393.865)	(0.054)	(3.003)	(3.261)	(401.359)	(0.054)	(3.003)	(3260901.334)	(4.014e+08)	(0.054)	(3.003)	(1,251.074)	(281,393.865)	(0.054)	(3.003)	(3.261)	(401.359)	(0.054)	(3.003)
																																																																																				
Observations	2,648	2,637	2,648	2,637	2,645	2,637	2,645	2,637	2,648	2,637	2,648	2,637	2,648	2,637	2,648	2,637	2,645	2,637	2,645	2,637	2,648	2,637	2,648	2,637	2,648	2,637	2,648	2,637	2,645	2,637	2,645	2,637	2,648	2,637	2,648	2,637	2,648	2,637	2,648	2,637	2,645	2,637	2,645	2,637	2,648	2,637	2,648	2,637	2,648	2,637	2,648	2,637	2,645	2,637	2,645	2,637	2,648	2,637	2,648	2,637	2,648	2,637	2,648	2,637	2,645	2,637	2,645	2,637	2,648	2,637	2,648	2,637	2,648	2,637	2,648	2,637	2,645	2,637	2,645	2,637	2,648	2,637	2,648	2,637
R-squared	0.960	0.967	0.967	0.976	0.184	0.419	0.686	0.854	0.960	0.967	0.967	0.976	0.960	0.967	0.967	0.976	0.184	0.419	0.686	0.854	0.960	0.967	0.967	0.976	0.960	0.967	0.967	0.976	0.184	0.419	0.686	0.854	0.960	0.967	0.967	0.976	0.960	0.967	0.967	0.976	0.184	0.419	0.686	0.854	0.960	0.967	0.967	0.976	0.960	0.967	0.967	0.976	0.184	0.419	0.686	0.854	0.960	0.967	0.967	0.976	0.960	0.967	0.967	0.976	0.184	0.419	0.686	0.854	0.960	0.967	0.967	0.976	0.960	0.967	0.967	0.976	0.184	0.419	0.686	0.854	0.960	0.967	0.967	0.976
Covariates	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES
College FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Year FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Adjusted within R-squared	0.00470	0.160	0.0458	0.281	0.00176	0.286	0.0255	0.544	0.00470	0.160	0.0458	0.281	0.00470	0.160	0.0458	0.281	0.00176	0.286	0.0255	0.544	0.00470	0.160	0.0458	0.281	0.00470	0.160	0.0458	0.281	0.00176	0.286	0.0255	0.544	0.00470	0.160	0.0458	0.281	0.00470	0.160	0.0458	0.281	0.00176	0.286	0.0255	0.544	0.00470	0.160	0.0458	0.281	0.00470	0.160	0.0458	0.281	0.00176	0.286	0.0255	0.544	0.00470	0.160	0.0458	0.281	0.00470	0.160	0.0458	0.281	0.00176	0.286	0.0255	0.544	0.00470	0.160	0.0458	0.281	0.00470	0.160	0.0458	0.281	0.00176	0.286	0.0255	0.544	0.00470	0.160	0.0458	0.281
Robust standard errors in parentheses																																																																																				
*** p<0.001, ** p<0.01, * p<0.05																																																																																				
