	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
stcoll2_hisp_p		123,593.438		0.000		-74.476		0.000		0.124		0.000		123,593.438		0.000		-74.476		0.000		0.124		0.000		123,593.438		0.000		-74.476		0.000		0.124		0.000		123,593.438		0.000		-74.476		0.000		0.124		0.000		123,593.438		0.000		-74.476		0.000		0.124		0.000		123,593.438		0.000		-74.476		0.000		0.124		0.000		123,593.438		0.000		-74.476		0.000		0.124		0.000
		(67,119.065)		(0.001)		(65.559)		(0.001)		(0.067)		(0.001)		(67,119.065)		(0.001)		(65.559)		(0.001)		(0.067)		(0.001)		(67,119.065)		(0.001)		(65.559)		(0.001)		(0.067)		(0.001)		(67,119.065)		(0.001)		(65.559)		(0.001)		(0.067)		(0.001)		(67,119.065)		(0.001)		(65.559)		(0.001)		(0.067)		(0.001)		(67,119.065)		(0.001)		(65.559)		(0.001)		(0.067)		(0.001)		(67,119.065)		(0.001)		(65.559)		(0.001)		(0.067)		(0.001)
stcoll2_amind_p		10,316.386		0.000		-30.118		0.000		0.010		0.000		10,316.386		0.000		-30.118		0.000		0.010		0.000		10,316.386		0.000		-30.118		0.000		0.010		0.000		10,316.386		0.000		-30.118		0.000		0.010		0.000		10,316.386		0.000		-30.118		0.000		0.010		0.000		10,316.386		0.000		-30.118		0.000		0.010		0.000		10,316.386		0.000		-30.118		0.000		0.010		0.000
		(13,004.542)		(0.000)		(31.525)		(0.000)		(0.013)		(0.000)		(13,004.542)		(0.000)		(31.525)		(0.000)		(0.013)		(0.000)		(13,004.542)		(0.000)		(31.525)		(0.000)		(0.013)		(0.000)		(13,004.542)		(0.000)		(31.525)		(0.000)		(0.013)		(0.000)		(13,004.542)		(0.000)		(31.525)		(0.000)		(0.013)		(0.000)		(13,004.542)		(0.000)		(31.525)		(0.000)		(0.013)		(0.000)		(13,004.542)		(0.000)		(31.525)		(0.000)		(0.013)		(0.000)
Constant	67284695.894***	-6.043e+08***	17.671***	4.239**	13,920.905***	285,267.017	9.457***	4.239**	67.285***	-604.328***	3.856***	-9.577***	67284695.894***	-6.043e+08***	17.671***	4.239**	13,920.905***	285,267.017	9.457***	4.239**	67.285***	-604.328***	3.856***	-9.577***	67284695.894***	-6.043e+08***	17.671***	4.239**	13,920.905***	285,267.017	9.457***	4.239**	67.285***	-604.328***	3.856***	-9.577***	67284695.894***	-6.043e+08***	17.671***	4.239**	13,920.905***	285,267.017	9.457***	4.239**	67.285***	-604.328***	3.856***	-9.577***	67284695.894***	-6.043e+08***	17.671***	4.239**	13,920.905***	285,267.017	9.457***	4.239**	67.285***	-604.328***	3.856***	-9.577***	67284695.894***	-6.043e+08***	17.671***	4.239**	13,920.905***	285,267.017	9.457***	4.239**	67.285***	-604.328***	3.856***	-9.577***	67284695.894***	-6.043e+08***	17.671***	4.239**	13,920.905***	285,267.017	9.457***	4.239**	67.285***	-604.328***	3.856***	-9.577***
	(1582346.619)	(1.366e+08)	(0.026)	(1.326)	(504.197)	(310,337.128)	(0.026)	(1.326)	(1.582)	(136.552)	(0.026)	(1.326)	(1582346.619)	(1.366e+08)	(0.026)	(1.326)	(504.197)	(310,337.128)	(0.026)	(1.326)	(1.582)	(136.552)	(0.026)	(1.326)	(1582346.619)	(1.366e+08)	(0.026)	(1.326)	(504.197)	(310,337.128)	(0.026)	(1.326)	(1.582)	(136.552)	(0.026)	(1.326)	(1582346.619)	(1.366e+08)	(0.026)	(1.326)	(504.197)	(310,337.128)	(0.026)	(1.326)	(1.582)	(136.552)	(0.026)	(1.326)	(1582346.619)	(1.366e+08)	(0.026)	(1.326)	(504.197)	(310,337.128)	(0.026)	(1.326)	(1.582)	(136.552)	(0.026)	(1.326)	(1582346.619)	(1.366e+08)	(0.026)	(1.326)	(504.197)	(310,337.128)	(0.026)	(1.326)	(1.582)	(136.552)	(0.026)	(1.326)	(1582346.619)	(1.366e+08)	(0.026)	(1.326)	(504.197)	(310,337.128)	(0.026)	(1.326)	(1.582)	(136.552)	(0.026)	(1.326)
																																																																																				
Observations	8,342	8,262	8,342	8,262	8,322	8,262	8,322	8,262	8,342	8,262	8,342	8,262	8,342	8,262	8,342	8,262	8,322	8,262	8,322	8,262	8,342	8,262	8,342	8,262	8,342	8,262	8,342	8,262	8,322	8,262	8,322	8,262	8,342	8,262	8,342	8,262	8,342	8,262	8,342	8,262	8,322	8,262	8,322	8,262	8,342	8,262	8,342	8,262	8,342	8,262	8,342	8,262	8,322	8,262	8,322	8,262	8,342	8,262	8,342	8,262	8,342	8,262	8,342	8,262	8,322	8,262	8,322	8,262	8,342	8,262	8,342	8,262	8,342	8,262	8,342	8,262	8,322	8,262	8,322	8,262	8,342	8,262	8,342	8,262
R-squared	0.951	0.955	0.967	0.973	0.150	0.328	0.655	0.860	0.951	0.955	0.967	0.973	0.951	0.955	0.967	0.973	0.150	0.328	0.655	0.860	0.951	0.955	0.967	0.973	0.951	0.955	0.967	0.973	0.150	0.328	0.655	0.860	0.951	0.955	0.967	0.973	0.951	0.955	0.967	0.973	0.150	0.328	0.655	0.860	0.951	0.955	0.967	0.973	0.951	0.955	0.967	0.973	0.150	0.328	0.655	0.860	0.951	0.955	0.967	0.973	0.951	0.955	0.967	0.973	0.150	0.328	0.655	0.860	0.951	0.955	0.967	0.973	0.951	0.955	0.967	0.973	0.150	0.328	0.655	0.860	0.951	0.955	0.967	0.973
Covariates	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES
College FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Year FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Adjusted within R-squared	0.00182	0.0875	0.0185	0.206	0.000260	0.209	0.0160	0.595	0.00182	0.0875	0.0185	0.206	0.00182	0.0875	0.0185	0.206	0.000260	0.209	0.0160	0.595	0.00182	0.0875	0.0185	0.206	0.00182	0.0875	0.0185	0.206	0.000260	0.209	0.0160	0.595	0.00182	0.0875	0.0185	0.206	0.00182	0.0875	0.0185	0.206	0.000260	0.209	0.0160	0.595	0.00182	0.0875	0.0185	0.206	0.00182	0.0875	0.0185	0.206	0.000260	0.209	0.0160	0.595	0.00182	0.0875	0.0185	0.206	0.00182	0.0875	0.0185	0.206	0.000260	0.209	0.0160	0.595	0.00182	0.0875	0.0185	0.206	0.00182	0.0875	0.0185	0.206	0.000260	0.209	0.0160	0.595	0.00182	0.0875	0.0185	0.206
Robust standard errors in parentheses																																																																																				
*** p<0.001, ** p<0.01, * p<0.05																																																																																				
