	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
Constant	54018963.062***	-3.524e+08***	17.492***	4.012**	15,485.883***	165,809.712	9.562***	4.012**	54.019***	-352.396***	3.676***	-9.804***	54018963.062***	-3.524e+08***	17.492***	4.012**	15,485.883***	165,809.712	9.562***	4.012**	54.019***	-352.396***	3.676***	-9.804***	54018963.062***	-3.524e+08***	17.492***	4.012**	15,485.883***	165,809.712	9.562***	4.012**	54.019***	-352.396***	3.676***	-9.804***	54018963.062***	-3.524e+08***	17.492***	4.012**	15,485.883***	165,809.712	9.562***	4.012**	54.019***	-352.396***	3.676***	-9.804***	54018963.062***	-3.524e+08***	17.492***	4.012**	15,485.883***	165,809.712	9.562***	4.012**	54.019***	-352.396***	3.676***	-9.804***	54018963.062***	-3.524e+08***	17.492***	4.012**	15,485.883***	165,809.712	9.562***	4.012**	54.019***	-352.396***	3.676***	-9.804***	54018963.062***	-3.524e+08***	17.492***	4.012**	15,485.883***	165,809.712	9.562***	4.012**	54.019***	-352.396***	3.676***	-9.804***
	(903,432.548)	(1.017e+08)	(0.018)	(1.247)	(283.313)	(221,312.014)	(0.018)	(1.247)	(0.903)	(101.672)	(0.018)	(1.247)	(903,432.548)	(1.017e+08)	(0.018)	(1.247)	(283.313)	(221,312.014)	(0.018)	(1.247)	(0.903)	(101.672)	(0.018)	(1.247)	(903,432.548)	(1.017e+08)	(0.018)	(1.247)	(283.313)	(221,312.014)	(0.018)	(1.247)	(0.903)	(101.672)	(0.018)	(1.247)	(903,432.548)	(1.017e+08)	(0.018)	(1.247)	(283.313)	(221,312.014)	(0.018)	(1.247)	(0.903)	(101.672)	(0.018)	(1.247)	(903,432.548)	(1.017e+08)	(0.018)	(1.247)	(283.313)	(221,312.014)	(0.018)	(1.247)	(0.903)	(101.672)	(0.018)	(1.247)	(903,432.548)	(1.017e+08)	(0.018)	(1.247)	(283.313)	(221,312.014)	(0.018)	(1.247)	(0.903)	(101.672)	(0.018)	(1.247)	(903,432.548)	(1.017e+08)	(0.018)	(1.247)	(283.313)	(221,312.014)	(0.018)	(1.247)	(0.903)	(101.672)	(0.018)	(1.247)
																																																																																				
Observations	9,659	9,558	9,659	9,558	9,636	9,558	9,636	9,558	9,659	9,558	9,659	9,558	9,659	9,558	9,659	9,558	9,636	9,558	9,636	9,558	9,659	9,558	9,659	9,558	9,659	9,558	9,659	9,558	9,636	9,558	9,636	9,558	9,659	9,558	9,659	9,558	9,659	9,558	9,659	9,558	9,636	9,558	9,636	9,558	9,659	9,558	9,659	9,558	9,659	9,558	9,659	9,558	9,636	9,558	9,636	9,558	9,659	9,558	9,659	9,558	9,659	9,558	9,659	9,558	9,636	9,558	9,636	9,558	9,659	9,558	9,659	9,558	9,659	9,558	9,659	9,558	9,636	9,558	9,636	9,558	9,659	9,558	9,659	9,558
R-squared	0.912	0.923	0.959	0.973	0.116	0.274	0.637	0.854	0.912	0.923	0.959	0.973	0.912	0.923	0.959	0.973	0.116	0.274	0.637	0.854	0.912	0.923	0.959	0.973	0.912	0.923	0.959	0.973	0.116	0.274	0.637	0.854	0.912	0.923	0.959	0.973	0.912	0.923	0.959	0.973	0.116	0.274	0.637	0.854	0.912	0.923	0.959	0.973	0.912	0.923	0.959	0.973	0.116	0.274	0.637	0.854	0.912	0.923	0.959	0.973	0.912	0.923	0.959	0.973	0.116	0.274	0.637	0.854	0.912	0.923	0.959	0.973	0.912	0.923	0.959	0.973	0.116	0.274	0.637	0.854	0.912	0.923	0.959	0.973
Covariates	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES
College FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Year FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Adjusted within R-squared	0.00172	0.122	0.00154	0.346	-0.000110	0.177	0.000877	0.594	0.00172	0.122	0.00154	0.346	0.00172	0.122	0.00154	0.346	-0.000110	0.177	0.000877	0.594	0.00172	0.122	0.00154	0.346	0.00172	0.122	0.00154	0.346	-0.000110	0.177	0.000877	0.594	0.00172	0.122	0.00154	0.346	0.00172	0.122	0.00154	0.346	-0.000110	0.177	0.000877	0.594	0.00172	0.122	0.00154	0.346	0.00172	0.122	0.00154	0.346	-0.000110	0.177	0.000877	0.594	0.00172	0.122	0.00154	0.346	0.00172	0.122	0.00154	0.346	-0.000110	0.177	0.000877	0.594	0.00172	0.122	0.00154	0.346	0.00172	0.122	0.00154	0.346	-0.000110	0.177	0.000877	0.594	0.00172	0.122	0.00154	0.346
Robust standard errors in parentheses																																																																																				
*** p<0.001, ** p<0.01, * p<0.05																																																																																				
