	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
stcoll2_hisp_p		-55,061.021		-0.003*		-55.170*		-0.003*		-0.055		-0.003*		-55,061.021		-0.003*		-55.170*		-0.003*		-0.055		-0.003*		-55,061.021		-0.003*		-55.170*		-0.003*		-0.055		-0.003*		-55,061.021		-0.003*		-55.170*		-0.003*		-0.055		-0.003*		-55,061.021		-0.003*		-55.170*		-0.003*		-0.055		-0.003*		-55,061.021		-0.003*		-55.170*		-0.003*		-0.055		-0.003*		-55,061.021		-0.003*		-55.170*		-0.003*		-0.055		-0.003*
		(95,141.807)		(0.002)		(26.891)		(0.002)		(0.095)		(0.002)		(95,141.807)		(0.002)		(26.891)		(0.002)		(0.095)		(0.002)		(95,141.807)		(0.002)		(26.891)		(0.002)		(0.095)		(0.002)		(95,141.807)		(0.002)		(26.891)		(0.002)		(0.095)		(0.002)		(95,141.807)		(0.002)		(26.891)		(0.002)		(0.095)		(0.002)		(95,141.807)		(0.002)		(26.891)		(0.002)		(0.095)		(0.002)		(95,141.807)		(0.002)		(26.891)		(0.002)		(0.095)		(0.002)
stcoll2_amind_p		-26,194.285		0.000		-5.922		0.000		-0.026		0.000		-26,194.285		0.000		-5.922		0.000		-0.026		0.000		-26,194.285		0.000		-5.922		0.000		-0.026		0.000		-26,194.285		0.000		-5.922		0.000		-0.026		0.000		-26,194.285		0.000		-5.922		0.000		-0.026		0.000		-26,194.285		0.000		-5.922		0.000		-0.026		0.000		-26,194.285		0.000		-5.922		0.000		-0.026		0.000
		(39,455.614)		(0.000)		(6.798)		(0.000)		(0.039)		(0.000)		(39,455.614)		(0.000)		(6.798)		(0.000)		(0.039)		(0.000)		(39,455.614)		(0.000)		(6.798)		(0.000)		(0.039)		(0.000)		(39,455.614)		(0.000)		(6.798)		(0.000)		(0.039)		(0.000)		(39,455.614)		(0.000)		(6.798)		(0.000)		(0.039)		(0.000)		(39,455.614)		(0.000)		(6.798)		(0.000)		(0.039)		(0.000)		(39,455.614)		(0.000)		(6.798)		(0.000)		(0.039)		(0.000)
Constant	55648825.356***	-5.962e+08**	17.566***	8.971*	13,666.436***	-34,289.407	9.485***	8.971*	55.649***	-596.212**	3.751***	-4.845	55648825.356***	-5.962e+08**	17.566***	8.971*	13,666.436***	-34,289.407	9.485***	8.971*	55.649***	-596.212**	3.751***	-4.845	55648825.356***	-5.962e+08**	17.566***	8.971*	13,666.436***	-34,289.407	9.485***	8.971*	55.649***	-596.212**	3.751***	-4.845	55648825.356***	-5.962e+08**	17.566***	8.971*	13,666.436***	-34,289.407	9.485***	8.971*	55.649***	-596.212**	3.751***	-4.845	55648825.356***	-5.962e+08**	17.566***	8.971*	13,666.436***	-34,289.407	9.485***	8.971*	55.649***	-596.212**	3.751***	-4.845	55648825.356***	-5.962e+08**	17.566***	8.971*	13,666.436***	-34,289.407	9.485***	8.971*	55.649***	-596.212**	3.751***	-4.845	55648825.356***	-5.962e+08**	17.566***	8.971*	13,666.436***	-34,289.407	9.485***	8.971*	55.649***	-596.212**	3.751***	-4.845
	(3019514.202)	(2.223e+08)	(0.034)	(3.546)	(331.474)	(64,506.315)	(0.022)	(3.546)	(3.020)	(222.277)	(0.034)	(3.546)	(3019514.202)	(2.223e+08)	(0.034)	(3.546)	(331.474)	(64,506.315)	(0.022)	(3.546)	(3.020)	(222.277)	(0.034)	(3.546)	(3019514.202)	(2.223e+08)	(0.034)	(3.546)	(331.474)	(64,506.315)	(0.022)	(3.546)	(3.020)	(222.277)	(0.034)	(3.546)	(3019514.202)	(2.223e+08)	(0.034)	(3.546)	(331.474)	(64,506.315)	(0.022)	(3.546)	(3.020)	(222.277)	(0.034)	(3.546)	(3019514.202)	(2.223e+08)	(0.034)	(3.546)	(331.474)	(64,506.315)	(0.022)	(3.546)	(3.020)	(222.277)	(0.034)	(3.546)	(3019514.202)	(2.223e+08)	(0.034)	(3.546)	(331.474)	(64,506.315)	(0.022)	(3.546)	(3.020)	(222.277)	(0.034)	(3.546)	(3019514.202)	(2.223e+08)	(0.034)	(3.546)	(331.474)	(64,506.315)	(0.022)	(3.546)	(3.020)	(222.277)	(0.034)	(3.546)
																																																																																				
Observations	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859	861	859
R-squared	0.961	0.970	0.960	0.973	0.690	0.818	0.723	0.852	0.961	0.970	0.960	0.973	0.961	0.970	0.960	0.973	0.690	0.818	0.723	0.852	0.961	0.970	0.960	0.973	0.961	0.970	0.960	0.973	0.690	0.818	0.723	0.852	0.961	0.970	0.960	0.973	0.961	0.970	0.960	0.973	0.690	0.818	0.723	0.852	0.961	0.970	0.960	0.973	0.961	0.970	0.960	0.973	0.690	0.818	0.723	0.852	0.961	0.970	0.960	0.973	0.961	0.970	0.960	0.973	0.690	0.818	0.723	0.852	0.961	0.970	0.960	0.973	0.961	0.970	0.960	0.973	0.690	0.818	0.723	0.852	0.961	0.970	0.960	0.973
Covariates	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES
College FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Year FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Adjusted within R-squared	0.000680	0.211	0.000647	0.306	0.0126	0.413	0.0158	0.466	0.000680	0.211	0.000647	0.306	0.000680	0.211	0.000647	0.306	0.0126	0.413	0.0158	0.466	0.000680	0.211	0.000647	0.306	0.000680	0.211	0.000647	0.306	0.0126	0.413	0.0158	0.466	0.000680	0.211	0.000647	0.306	0.000680	0.211	0.000647	0.306	0.0126	0.413	0.0158	0.466	0.000680	0.211	0.000647	0.306	0.000680	0.211	0.000647	0.306	0.0126	0.413	0.0158	0.466	0.000680	0.211	0.000647	0.306	0.000680	0.211	0.000647	0.306	0.0126	0.413	0.0158	0.466	0.000680	0.211	0.000647	0.306	0.000680	0.211	0.000647	0.306	0.0126	0.413	0.0158	0.466	0.000680	0.211	0.000647	0.306
Robust standard errors in parentheses																																																																																				
*** p<0.001, ** p<0.01, * p<0.05																																																																																				
