"","est1","","","","est2","","","","est3","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p"
"_SstfXyea_4_1962","","","","",".2245949",".1839075","1.221239",".2220908",".2807216",".2466314","1.138223",".2551174"
"_SstfXyea_4_1963","","","","",".2633735",".31753",".8294443",".4069185",".3541132",".3467661","1.021187",".3072473"
"_SstfXyea_4_1964","","","","",".009631",".1102011",".0873946",".9303636",".0319156",".1198871",".2662143",".7900923"
"_SstfXyea_4_1965","","","","",".1676665",".1565558","1.070969",".2842687",".2040206",".1860417","1.096639",".2728865"
"_SstfXyea_4_1966","","","","","-.1362109",".1536585","-.8864519",".3754445","-.1199101",".1371354","-.8743922",".3819741"
"_SstfXyea_4_1967","","","","","-.1377402",".2444683","-.5634277",".5731854","-.1185985",".2246695","-.52788",".5976213"
"_SstfXyea_4_1968","","","","",".0878239",".3123542",".2811677",".778601",".095177",".3685271",".2582632",".7962213"
"_SstfXyea_4_1969","","","","",".0662901",".4098622",".1617374",".8715234",".0615492",".4784756",".128636",".8976542"
"_SstfXyea_4_1970","","","","","-.3836606",".2442287","-1.570907",".1163088","-.3857323",".3049648","-1.264842",".2060253"
"_SstfXyea_4_1971","","","","",".2917518",".426232",".6844907",".4937178",".2868987",".5170279",".5548999",".5790042"
"_SstfXyea_4_1972","","","","",".1701341",".3476437",".4893922",".6245995",".1450768",".4574353",".3171527",".7511496"
"_SstfXyea_4_1973","","","","",".1179297",".3403666",".3464785",".7290072",".1060224",".470128",".2255181",".8215915"
"_SstfXyea_4_1974","","","","","-.0247545",".2239385","-.1105415",".9119873","-.0412286",".3690107","-.1117273",".911047"
"_SstfXyea_4_1975","","","","",".7089",".4777546","1.483816",".1379618",".6456228",".4637248","1.392254",".1639478"
"_SstfXyea_4_1976","","","","",".4170877",".2024434","2.060268",".0394582",".3864579",".3308064","1.16823",".2428061"
"_SstfXyea_4_1977","","","","",".5165598",".2820549","1.831416",".0671367",".4697826",".3865956","1.215178",".2243929"
"_SstfXyea_4_1978","","","","",".4118737",".2751159","1.497092",".1344737",".3986772",".4195077",".9503454",".3420127"
"_SstfXyea_4_1979","","","","",".088951",".2509008",".3545265",".722969",".0787738",".4529446",".1739148",".8619441"
"_SstfXyea_4_1980","","","","",".0779635",".1329573",".58638",".5576639",".0720793",".2987926",".2412352",".8093892"
"_SstfXyea_4_1981","","","","",".3380299",".20172","1.675738",".0938928",".3327459",".3483077",".9553216",".3394914"
"_SstfXyea_4_1982","","","","",".3163599",".2228332","1.419716",".1557934",".3105614",".3591362",".8647455",".387247"
"_SstfXyea_4_1983","","","","",".232925",".2030487","1.147139",".2514149",".226612",".4308671",".5259441",".5989656"
"_SstfXyea_4_1984","","","","",".7996184",".4291911","1.863082",".0625475",".7927909",".505145","1.569432",".1166518"
"_SstfXyea_4_1985","","","","",".5425804",".2962468","1.831515",".067122",".5352384",".5239471","1.02155",".3070754"
"_SstfXyea_4_1986","","","","",".5778997",".321055","1.800002",".0719598",".5700432",".4766957","1.195822",".2318597"
"_SstfXyea_4_1987","","","","",".6387087",".3367941","1.896437",".0579974",".6303378",".455558","1.383661",".1665644"
"_SstfXyea_4_1988","","","","",".8519488",".4781532","1.781749",".0748905",".8430633",".522059","1.614881",".1064406"
"_SstfXyea_5_1961","","","","",".4532552",".2658793","1.70474",".0883456",".4636875",".2735523","1.695059",".090167"
"_SstfXyea_5_1962","","","","","-.0201631",".0681436","-.2958915",".7673332","-.0546876",".0573264","-.9539688",".3401756"
"_SstfXyea_5_1963","","","","","-.1586252",".3384483","-.4686836",".6393296","-.1770407",".3682942","-.4807047",".6307612"
"_SstfXyea_5_1964","","","","",".1173818",".2093215",".5607728",".5749939",".1825232",".2253491",".8099575",".4180283"
"_SstfXyea_5_1965","","","","","-.0420735",".1288296","-.3265826",".7440062",".0232298",".1601992",".1450058",".8847159"
"_SstfXyea_5_1966","","","","","-.1050235",".2105013","-.4989211",".6178712","-.0537307",".228523","-.2351216",".8141302"
"_SstfXyea_5_1967","","","","",".0502006",".2910314",".172492",".8630623",".1073608",".2975733",".3607877",".7182834"
"_SstfXyea_5_1968","","","","",".4963034",".3780014","1.312967",".1892936",".5735414",".4400006","1.303501",".1925028"
