"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","",""
"_Istatefips_15","4.352871",".0007115","6117.928","8.3e-146","3.702697",".3928127","9.426113","1.38e-12","-4.475004",".0010752","-4161.861","1.3e-137","3.615083",".4980941","7.257831","2.65e-09","1.739661","2.361416",".7367024",".4648161","0",".",".",".","0",".",".","."
"_Istatefips_16","6.747018",".0053379","1263.985","3.0e-112","5.637797",".3556849","15.85054","6.36e-21","1.871135",".0323259","57.88349","8.87e-47","5.385738",".5061484","10.64063","2.46e-14",".7183778",".4649847","1.544949",".1287931",".9852178",".6972234","1.413059",".1639594",".9852178",".6972234","1.413059",".1639594"
"_Istatefips_17","5.347654",".0006835","7824.164","4.9e-151","4.929841",".3780278","13.04095","1.49e-17","-.9700359",".0067698","-143.288","6.10e-66","4.342367",".4448558","9.761291","4.46e-13","-1.163836",".8565333","-1.358775",".1804401","2.53373",".6429718","3.940654",".0002577","2.53373",".6429718","3.940654",".0002577"
"_Istatefips_18","5.524755",".0002815","19629.41","1.3e-170","5.108273",".3796197","13.45629","4.45e-18","0",".",".",".","5.11192",".4447907","11.49287","1.63e-15","-2.291254",".6671774","-3.43425",".0012182","0",".",".",".","0",".",".","."
"_Istatefips_19","9.476956",".0011827","8013.175","1.5e-151","9.086094",".4462876","20.35928","1.48e-25","5.067626",".0117599","430.9225","2.38e-89","8.347961",".5852069","14.26497","4.51e-19","3.239455",".9476457","3.418424",".0012767","4.892408","1.254763","3.89907",".0002938","4.892408","1.254763","3.89907",".0002938"
"_Istatefips_20","7.946878",".0003927","20237.13","2.9e-171","7.555824",".4467509","16.91283","4.29e-22","2.322004",".002879","806.5266","1.1e-102","6.420329",".5841849","10.99023","7.99e-15","2.207316",".8770742","2.516681",".0151696","1.494964","1.248122","1.197771",".2367683","1.494964","1.248122","1.197771",".2367683"
"_Istatefips_21",".0737451",".0003673","200.7981","4.14e-73",".0755214",".0004541","166.3196","4.17e-69","-1.840133",".0008283","-2221.553","3.0e-124","-.6497649",".0002508","-2590.49","1.6e-127","-4.143007","1.287956","-3.216731",".002299","-5.907777","1.120824","-5.270925","3.04e-06","-5.907777","1.120824","-5.270925","3.04e-06"
"_Istatefips_22","-1.013",".0020027","-505.8257","9.26e-93","-2.000403",".3421149","-5.847168","4.02e-07","-9.70595",".6446231","-15.05678","5.18e-20","-3.136048",".4985029","-6.290932","8.32e-08","-8.948667","1.446778","-6.18524","1.21e-07","-7.878719","1.42894","-5.513682","1.30e-06","-7.878719","1.42894","-5.513682","1.30e-06"
"_Istatefips_23","4.321891",".0006231","6935.792","1.8e-148","3.636714",".3372219","10.78433","1.55e-14","3.326039",".0086355","385.1582","5.82e-87","2.65173",".5101616","5.197823","3.91e-06","-1.607587",".8131569","-1.976971",".0536861","-2.357788","1.124142","-2.097411",".0411391","-2.357788","1.124142","-2.097411",".0411391"
"_Istatefips_24","7.330326",".0012319","5950.391","3.2e-145","6.521734",".4617423","14.12418","6.68e-19",".4722034",".0206337","22.88509","8.19e-28","6.592702",".5871898","11.22755","3.75e-15","17.42171","1.698421","10.25759","8.60e-14","4.362651","1.331611","3.276219",".0019365","4.362651","1.331611","3.276219",".0019365"
"_Istatefips_25","5.151712",".0009734","5292.565","1.0e-142","4.46833",".335788","13.307","6.85e-18","4.716838",".0101007","466.9816","4.64e-91","4.051801",".5082285","7.972401","2.11e-10","1.55827",".5766369","2.702343",".0094335","1.581074",".8684088","1.820657",".0747686","1.581074",".8684088","1.820657",".0747686"
"_Istatefips_26","3.740242",".0012132","3082.968","3.2e-131","3.32206",".3770681","8.81024","1.13e-11","-2.972175",".0124337","-239.0419","8.13e-77","3.209416",".444881","7.214098","3.09e-09","-3.71275",".6420864","-5.782321","5.06e-07","-1.851763",".7107453","-2.605382",".0121191","-1.851763",".7107453","-2.605382",".0121191"
"_Istatefips_27","11.62122",".001183","9823.297","7.0e-156","11.23041",".4478576","25.07586","1.31e-29","7.711814",".0122138","631.4006","1.77e-97","11.35989",".5826036","19.49849","9.77e-25","5.970041","1.160984","5.142226","4.74e-06","5.966415","1.632563","3.654632",".0006271","5.966415","1.632563","3.654632",".0006271"
"_Istatefips_28","-.9363929",".0003436","-2725.12","1.4e-128","-.9367972",".0003148","-2975.894","1.8e-130","-.6349142",".0032805","-193.5413","2.51e-72","-1.016118",".0016479","-616.5991","5.66e-97","-1.168102",".625507","-1.867449",".0678264","-1.522055",".6605325","-2.304285",".0254863","-1.522055",".6605325","-2.304285",".0254863"
"_Istatefips_29","6.501822",".0003954","16444.52","7.6e-167","6.111101",".4473706","13.66004","2.48e-18","2.770068",".0054938","504.2176","1.08e-92","6.481519",".5833034","11.11175","5.42e-15","2.183023",".8452924","2.582565",".0128451","3.369128","1.073256","3.139165",".0028685","3.369128","1.073256","3.139165",".0028685"
"_Istatefips_30","4.666787",".0005958","7832.794","4.6e-151","3.558218",".3548128","10.02844","1.83e-13","-.7499238",".0054967","-136.4315","6.70e-65","2.827769",".5018897","5.634244","8.52e-07","0",".",".",".","0",".",".",".","0",".",".","."
"_Istatefips_31","10.52088",".0002027","51914.74","2.6e-191","10.12982",".4468626","22.66876","1.25e-27","3.402146",".0008859","3840.377","6.8e-136","8.983461",".5836662","15.39144","2.12e-20","1.576223",".7041173","2.23858",".0297586","1.282738","1.066264","1.20302",".2347491","1.282738","1.066264","1.20302",".2347491"
"_Istatefips_32","6.31889",".0140692","449.1281","3.13e-90","5.208842",".3580812","14.54654","2.07e-19","2.309324",".081854","28.21272","5.88e-32","4.946656",".5147973","9.60894","7.44e-13","5.420235",".6756908","8.021768","1.77e-10","6.054531",".9099053","6.654023","2.28e-08","6.054531",".9099053","6.654023","2.28e-08"
"_Istatefips_33","8.996975",".0018632","4828.687","9.1e-141","8.319252",".3349869","24.83456","2.04e-29","8.826147",".0467743","188.6967","8.66e-72","7.697907",".5002715","15.38746","2.14e-20","5.347766",".8904164","6.005916","2.29e-07","5.357717","1.128019","4.749669",".0000181","5.357717","1.128019","4.749669",".0000181"
"_Istatefips_34","3.844294",".0003854","9973.875","3.3e-156","3.317374",".3251578","10.20235","1.03e-13","4.594224",".0013421","3423.048","1.9e-133","2.827668",".4585279","6.166839","1.29e-07","0",".",".",".","6.985276",".5511412","12.67421","4.40e-17","6.985276",".5511412","12.67421","4.40e-17"
"_Istatefips_35",".8540245",".0022548","378.7508","1.32e-86","-.2549553",".3551196","-.7179421",".4762022","-6.069808",".015967","-380.1479","1.10e-86","-1.529044",".5029224","-3.040319",".0037872","-3.641588","1.199405","-3.036162",".0038313","-4.15776","1.430433","-2.906645",".0054723","-4.15776","1.430433","-2.906645",".0054723"
"_Istatefips_36","-.2216727",".0013527","-163.8758","8.59e-69","-.7406669",".3243134","-2.2838",".0267556","-1.698495",".0010325","-1644.984","7.5e-118","-1.826866",".4578897","-3.989751",".0002205","-7.302184",".684189","-10.67276","2.22e-14","-1.742713",".8284397","-2.103609",".040569","-1.742713",".8284397","-2.103609",".040569"
"_Istatefips_37","4.377958",".0042762","1023.803","9.2e-108","3.57178",".4654968","7.67305","6.06e-10","-2.70745",".0131607","-205.7226","1.26e-73","3.601418",".5815473","6.19282","1.18e-07","15.82892","1.568243","10.09341","1.48e-13","1.096859","1.441686",".7608171",".4504122","1.096859","1.441686",".7608171",".4504122"
"_Istatefips_38","8.580886",".002551","3363.688","4.5e-133","8.189493",".4452983","18.39103","1.22e-23","-1.66827",".0216327","-77.11814","8.09e-53","5.332355",".5860034","9.099529","4.19e-12","-2.042591",".6476701","-3.153752",".0027522","0",".",".",".","0",".",".","."
"_Istatefips_39","3.983629",".0016395","2429.836","3.7e-126","3.565377",".3762102","9.477088","1.16e-12","-6.402961",".014534","-440.5503","8.05e-90","1.753474",".4447366","3.942726",".000256","-7.157474",".8014438","-8.930724","7.48e-12","-6.693086",".4609416","-14.52047","2.23e-19","-6.693086",".4609416","-14.52047","2.23e-19"
"_Istatefips_40","1.375896",".0003162","4351.405","1.5e-138",".3866713",".3423592","1.129432",".2642147","-7.349478",".6389755","-11.50197","1.58e-15","-.3153433",".5029237","-.6270202",".5335568","-7.378368","1.380833","-5.343419","2.36e-06","-7.431956","1.553841","-4.782959",".0000162","-7.431956","1.553841","-4.782959",".0000162"
"_Istatefips_41","4.920814",".002565","1918.439","4.0e-121","4.271255",".3956702","10.79499","1.49e-14","-4.267344",".0081192","-525.5836","1.42e-93","4.958016",".5012991","9.890334","2.90e-13","-.5155048","1.294399","-.398258",".6921701","-1.434516","2.410698","-.5950626",".5545399","-1.434516","2.410698","-.5950626",".5545399"
"_Istatefips_42","1.456958",".0017003","856.8703","5.6e-104",".9402713",".3237696","2.904137",".0055097","0",".",".",".","-.1323156",".4574663","-.2892358",".7736212","-5.265392",".4982441","-10.56789","3.12e-14","0",".",".",".","0",".",".","."
"_Istatefips_44","4.140155",".0010446","3963.534","1.4e-136","3.455153",".3363198","10.27341","8.16e-14","0",".",".",".",".9252396",".5105737","1.812157",".0760919","0",".",".",".","0",".",".",".","0",".",".","."
"_Istatefips_45","2.33912",".0026271","890.3693","8.6e-105","1.530652",".4637868","3.300336",".0018055","-2.651187",".0061335","-432.2453","2.05e-89","2.007247",".5848976","3.431792",".0012271","13.00301","2.007588","6.476931","4.29e-08","-1.227632","1.960371","-.6262244",".5340743","-1.227632","1.960371","-.6262244",".5340743"
"_Istatefips_46","9.685683",".0004031","24027.17","6.5e-175","9.29465",".4468809","20.79894","5.77e-26","0",".",".",".","7.271086",".5837192","12.45648","8.45e-17","0",".",".",".","-.5448422",".6989123","-.7795573",".4394006","-.5448422",".6989123","-.7795573",".4394006"
"_Istatefips_47","2.428739",".0021755","1116.428","1.3e-109","2.436742",".002601","936.8618","7.1e-106","1.893121",".0074928","252.659","5.40e-78","2.309232",".0021329","1082.657","5.9e-109","3.732804",".8311626","4.491064",".0000432","5.756755",".7255628","7.934193","2.41e-10","5.756755",".7255628","7.934193","2.41e-10"
"_Istatefips_48","6.48988",".1020072","63.62179","9.17e-49","5.510954",".3127762","17.61948","7.62e-23","0",".",".",".","5.411824",".4160361","13.00806","1.64e-17","0",".",".",".","0",".",".",".","0",".",".","."
"_Istatefips_49","9.153741",".0055269","1656.204","5.3e-118","8.044844",".3557758","22.61212","1.40e-27","2.690663",".0330766","81.3464","6.04e-54","6.890302",".5061783","13.6124","2.84e-18","-.8656384",".6054649","-1.429709",".159146","-.3406733",".801567","-.4250092",".6726906","-.3406733",".801567","-.4250092",".6726906"
"_Istatefips_50","8.407009",".0005486","15325.85","2.4e-165","7.72479",".3357636","23.00663","6.46e-28","7.432745",".0185867","399.8952","9.24e-88","6.771897",".5069663","13.35769","5.92e-18","2.249551",".5727751","3.927459",".0002686","3.03544",".9269621","3.274611",".0019456","3.03544",".9269621","3.274611",".0019456"
"_Istatefips_51","5.815697",".0023819","2441.633","2.9e-126","5.007448",".46343","10.80519","1.45e-14","-2.703302",".0094144","-287.1466","1.03e-80","3.800221",".5855699","6.489782","4.10e-08","14.08446","1.269693","11.09281","5.76e-15",".3407352","1.744012",".1953744",".8459078",".3407352","1.744012",".1953744",".8459078"
"_Istatefips_53","5.561965",".0027994","1986.819","7.2e-122","4.912687",".3959404","12.40764","9.79e-17","-6.387746",".0070104","-911.1814","2.8e-105","4.240275",".5017486","8.450994","3.94e-11","-2.336978",".7143153","-3.271634",".0019624","-2.98777","3.024415","-.9878835",".3280629","-2.98777","3.024415","-.9878835",".3280629"
"_Istatefips_54","-7.182527",".0025334","-2835.122","1.9e-129","-7.994442",".4574173","-17.47735","1.07e-22","-18.80329",".0506255","-371.4194","3.45e-86","-9.515667",".5919976","-16.07383","3.57e-21","0",".",".",".","-14.80897","2.217973","-6.676801","2.10e-08","-14.80897","2.217973","-6.676801","2.10e-08"
"_Istatefips_55","9.844436",".0002111","46643.13","4.9e-189","9.428029",".3793757","24.85143","1.98e-29","4.752947",".0016392","2899.531","6.5e-130","9.882978",".4446919","22.22433","3.04e-27","0",".",".",".","3.441113",".7469862","4.606662",".0000294","3.441113",".7469862","4.606662",".0000294"
"_Istatefips_56","8.233784",".0004601","17896.97","1.2e-168","7.125873",".3544719","20.10279","2.58e-25","0",".",".",".","5.535275",".5017605","11.03171","7.00e-15","-1.137223",".7852423","-1.448245",".1539176","-3.469501","1.079482","-3.214043",".0023169","-3.469501","1.079482","-3.214043",".0023169"
"_Iyear_1992","-.64413",".2134567","-3.017615",".0040341",".6113099","1.013163",".6033676",".5490471",".4612845",".8618495",".5352263",".5949143",".6138323","1.049388",".5849433",".5612699","-.3472544",".6434543","-.5396722",".5918673","0",".",".",".","0",".",".","."
"_Iyear_1993","-.7540792",".1697197","-4.443087",".0000506",".0258355",".7870516",".0328257",".9739469","-.0940824",".6614847","-.1422291",".8874822",".0951691",".8398897",".1133114",".9102467","-.8654957",".4825346","-1.793645",".079042","0",".",".",".","0",".",".","."
"_Iyear_1994","-.5028916",".1773789","-2.835126",".0066383","-.3934271",".4057517","-.9696254",".3369953","-.483381",".3119303","-1.549644",".1276622","-.2809309",".4523069","-.6211069",".5374081","-.8042002",".4944539","-1.626441",".1102707","-1.052488",".5084232","-2.070103",".0437345","-1.052488",".5084232","-2.070103",".0437345"
"_Iyear_1995","-.458843",".181417","-2.529218",".0146998","-.6317527",".1947843","-3.243346",".0021296","-.6917403",".1417767","-4.879082",".0000117","-.560609",".2219751","-2.525549",".0148359","-.6987513",".304043","-2.298199",".0258577","-.9765601",".346529","-2.818119",".0069475","-.9765601",".346529","-2.818119",".0069475"
"_Iyear_1996","-.3214107",".1059166","-3.034563",".0038484","-.4679245",".2210242","-2.117073",".0393545","-.4979124",".2064141","-2.412202",".0196462","-.5178878",".2169366","-2.387277",".0208763","-.5167269",".1819453","-2.840013",".0065518","-.679789",".1910563","-3.558056",".0008409","-.679789",".1910563","-3.558056",".0008409"
"_Iyear_1998",".0673237",".1005626",".6694702",".506338","-.0320894",".229094","-.1400709",".8891782","-.0021795",".2048808","-.0106377",".9915557",".1701374",".1867276",".9111533",".3666754",".3765383",".1737966","2.166546",".035161",".5227335",".1567793","3.3342",".0016357",".5227335",".1567793","3.3342",".0016357"
"_Iyear_1999",".0554862",".1196914",".4635768",".6450037",".0179308",".1362676",".1315853",".8958511",".0777258",".1156353",".6721631",".5046371",".06406",".1400421",".4574338",".6493811",".1770125",".2391329",".7402264",".4626948",".3172101",".2297739","1.380531",".1736885",".3172101",".2297739","1.380531",".1736885"
"_Iyear_2000",".0422183",".1708616",".2470907",".8058704","-.4382402",".3694174","-1.186301",".2412239","-.3486393",".4508436","-.7733043",".443057","-.7556686",".3013296","-2.507781",".0155113",".1862041",".4574421",".4070549",".6857404",".3079526",".4298667",".716391",".4771506",".3079526",".4298667",".716391",".4771506"
"_Iyear_2001","-.2167967",".20055","-1.081011",".2849842","-.5317989",".1817256","-2.926384",".0051857","-.4124098",".1998051","-2.06406",".0443277","-.7068075",".2104498","-3.358557",".0015231",".0409584",".5347854",".0765885",".9392627",".1889374",".4844529",".3900016",".6982256",".1889374",".4844529",".3900016",".6982256"
"_Iyear_2002","-.4727985",".204216","-2.315188",".0248329","-.3595208",".243232","-1.478098",".1457811","-.2103149",".1875476","-1.121395",".2675856","-.5401992",".3124595","-1.728861",".0901307","-.2403049",".63797","-.3766712",".7080442","-.0491903",".5750863","-.0855355",".9321842","-.0491903",".5750863","-.0855355",".9321842"
"_Iyear_2003","-.8196511",".1747284","-4.691002",".0000221","-.596523",".1761721","-3.386024",".0014049","-.4172864",".1907506","-2.187602",".0334989","-.9428944",".261762","-3.602105",".0007359","-.5141824",".7494308","-.6860973",".4958855","-.3438262",".6478824","-.5306923",".5980292","-.3438262",".6478824","-.5306923",".5980292"
"_Iyear_2004","-1.004903",".2116955","-4.746927",".0000183","-1.183527",".2206943","-5.362746","2.21e-06","-.9743253",".2641562","-3.688444",".0005654","-1.864018",".3767155","-4.94808","9.24e-06","-1.14239",".8444067","-1.352891",".1823001","-.9472639",".7497534","-1.263434",".2124117","-.9472639",".7497534","-1.263434",".2124117"
"_Iyear_2005","-.9201586",".2196882","-4.188475",".0001166","-1.138022",".3939329","-2.888873",".0057427","-.8980942",".5938195","-1.512403",".1368549","-2.311596",".3735408","-6.188338","1.20e-07","-1.341244",".9212116","-1.455956",".1517826","-1.105509",".8722029","-1.267491",".2109704","-1.105509",".8722029","-1.267491",".2109704"
"_Iyear_2006","-.815459",".2225305","-3.664481",".0006085","-.8116748",".4776129","-1.699441",".0955771","-.5409629",".756634","-.7149598",".4780266","-2.295905",".3856877","-5.952756","2.77e-07","-1.365331","1.079213","-1.265118",".2118126","0",".",".",".","0",".",".","."
"_Iyear_2007","-.9576049",".2640313","-3.626861",".0006826","-.8721546",".6589051","-1.323642",".1917644","-.5704099","1.031674","-.5528974",".5828474","-2.560492",".3787368","-6.760612","1.56e-08","-1.319639","1.275635","-1.034496",".3059832","0",".",".",".","0",".",".","."
"texas_post1997to2003","-1.080196",".1444916","-7.475842","1.22e-09","-.7173454",".6488275","-1.105603",".2742975","-.0853041",".6861394","-.1243247",".9015668","-.5013802",".6961323","-.720237",".4748009","-.5009837",".4357238","-1.149774",".2558181","-.8841443",".3779524","-2.339301",".0234406","-.8841443",".3779524","-2.339301",".0234406"
"texas_post2003","-2.069065",".2191501","-9.441315","1.31e-12","-2.624752",".2996505","-8.759377","1.35e-11","-1.474005",".5409556","-2.724818",".0088947","-.9350482",".4642993","-2.013891",".0495288","-1.270162",".6830435","-1.859563",".0689566","-1.901269",".6694371","-2.840101",".0065502","-1.901269",".6694371","-2.840101",".0065502"
"_IdivXyea_2_1992","","","","","-1.528832","1.021712","-1.496343",".1409782","-1.262549",".8735765","-1.445265",".1547489","-1.528806","1.058254","-1.444649",".1549211",".2548699",".4658777",".5470747",".5868105","0",".",".",".","0",".",".","."
"_IdivXyea_2_1993","","","","","-1.460691",".8209558","-1.779257",".0814006","-1.247801",".7204672","-1.731933",".0895771","-1.440324",".8772966","-1.641775",".1070402",".1196906",".3491316",".3428238",".7331974","0",".",".",".","0",".",".","."
"_IdivXyea_2_1994","","","","","-1.255863",".4426051","-2.837433",".0065973","-1.096328",".3564677","-3.075532",".0034322","-1.22214",".4931983","-2.477988",".0167066","-.3054619",".4132197","-.739224",".4632977","-1.20908",".4387777","-2.755564",".0082035","-1.20908",".4387777","-2.755564",".0082035"
"_IdivXyea_2_1995","","","","","-.9848559",".3372896","-2.919911",".0052781","-.8786637",".2848067","-3.085123",".003341","-.9632994",".3618581","-2.662091",".0104741","-.7374303",".2739942","-2.691409",".0097064","-1.289665",".3030395","-4.255764",".0000937","-1.289665",".3030395","-4.255764",".0000937"
"_IdivXyea_2_1996","","","","","-.4778234",".3536982","-1.350935",".1829217","-.4248134",".335902","-1.264694",".2119631","-.4930586",".359866","-1.370117",".1768957","-.2562831",".2747907","-.9326481",".3555747","-.4337082",".2722031","-1.593326",".1175182","-.4337082",".2722031","-1.593326",".1175182"
"_IdivXyea_2_1998","","","","","-.1486107",".2975903","-.4993801",".6197465","-.2012853",".2688727","-.7486269",".4576607","-.0870607",".2884505","-.3018221",".764065","-.6524795",".2521109","-2.588066",".0126665","-.4500305",".2594909","-1.734282",".0891557","-.4500305",".2594909","-1.734282",".0891557"
"_IdivXyea_2_1999","","","","","-.1681708",".2077041","-.8096652",".4220472","-.2733279",".1629144","-1.677739",".0997663","-.1543235",".2188376","-.7051965",".4840269","-.7658466",".2355834","-3.250851",".002084","-.1892861",".2256093","-.8389993",".4055443","-.1892861",".2256093","-.8389993",".4055443"
"_IdivXyea_2_2000","","","","",".0927061",".4538267",".2042764",".8389836","-.0647119",".5040948","-.1283725",".8983797","-.0038781",".3640338","-.0106531",".9915435","-.9786788",".4172504","-2.345543",".0230917","-.0130622",".428489","-.0304843",".9758047","-.0130622",".428489","-.0304843",".9758047"
"_IdivXyea_2_2001","","","","",".1271341",".5062476",".2511304",".8027635","-.0823769",".504263","-.1633611",".8709061",".073612",".5017941",".1466975",".8839727","-1.520557",".5608026","-2.711394",".009213","-.207764",".5609013","-.3704109",".7126728","-.207764",".5609013","-.3704109",".7126728"
"_IdivXyea_2_2002","","","","",".3131236",".4701182",".6660529",".508501",".0516454",".4132309",".1249795",".9010511",".2576469",".4925907",".5230445",".6033006","-1.339731",".5803279","-2.308576",".0252273",".2940568",".5046819",".5826578",".5627955",".2940568",".5046819",".5826578",".5627955"
"_IdivXyea_2_2003","","","","","-.0220855",".3506187","-.06299",".9500307","-.335661",".3056679","-1.098123",".2775175","-.1274719",".3535287","-.3605702",".7199706","-1.784035",".5274651","-3.382282",".0014205",".1305051",".4468657",".2920454",".7714849",".1305051",".4468657",".2920454",".7714849"
"_IdivXyea_2_2004","","","","",".6562937",".4503856","1.457182",".1514454",".290781",".3896829",".7461989",".4591124",".4510438",".4495063","1.00342",".3205877","-1.460235",".5935112","-2.460332",".0174538",".7641593",".4758478","1.60589",".1147243",".7641593",".4758478","1.60589",".1147243"
"_IdivXyea_2_2005","","","","",".8803653",".52906","1.664018",".1024921",".4621788",".6233706",".7414191",".4619782",".5273162",".3385154","1.557732",".1257328","-1.433037",".567476","-2.525281",".0148459","1.144064",".5071839","2.255718",".0285871","1.144064",".5071839","2.255718",".0285871"
"_IdivXyea_2_2006","","","","",".6323556",".5262027","1.201734",".2352427",".1612899",".7590789",".2124811",".8326132",".1852615",".2226097",".8322256",".4093194","-1.812182",".6035139","-3.002717",".0042042","0",".",".",".","0",".",".","."
"_IdivXyea_2_2007","","","","",".5104824",".7266708",".7024948",".4856947","-.0138131","1.059599","-.0130362",".9896519","0",".",".",".","-2.602258",".8419182","-3.090869",".0032875","0",".",".",".","0",".",".","."
"_IdivXyea_3_1992","","","","","-1.969619","1.102686","-1.786201",".0802551",".0457664","1.044967",".043797",".9652442","-1.96887","1.142258","-1.723664",".0910736",".9421917",".5717545","1.647895",".1057727","0",".",".",".","0",".",".","."
"_IdivXyea_3_1993","","","","","-1.138264",".8163374","-1.394355",".1695007",".4733689",".7172273",".6599984",".5123454","-1.153613",".8733419","-1.320918",".1926644","1.127027",".3611345","3.120796",".0030216","0",".",".",".","0",".",".","."
"_IdivXyea_3_1994","","","","","-.202294",".4699757","-.430435",".6687666","1.005971",".3863312","2.603908",".0121648","-.228135",".5032736","-.4533021",".6523323","1.17706",".365118","3.223779",".002253",".7556171",".4540366","1.664221",".1024514",".7556171",".4540366","1.664221",".1024514"
"_IdivXyea_3_1995","","","","",".2391555",".3906268",".6122352",".5432129","1.044305",".3589789","2.909098",".0054359",".22287",".407111",".5474429",".5865595",".8393983",".2696788","3.112586",".0030925",".6438758",".3066264","2.09987",".040912",".6438758",".3066264","2.09987",".040912"
"_IdivXyea_3_1996","","","","",".1876196",".2612837",".7180687",".4761248",".5899417",".2486636","2.372449",".0216406",".1998396",".2601699",".7681119",".4461068",".5646555",".2152063","2.623787",".011561",".558028",".2412688","2.312889",".0249694",".558028",".2412688","2.312889",".0249694"
"_IdivXyea_3_1998","","","","",".037632",".2842335",".1323981",".8952116","-.3642574",".2746073","-1.326466",".1908347","-.0112582",".2663269","-.0422722",".9664535","-.645038",".2012495","-3.205165",".0023766","-.47076",".2044856","-2.302167",".025615","-.47076",".2044856","-2.302167",".025615"
"_IdivXyea_3_1999","","","","",".3226215",".487776",".6614131",".5114457","-.4808979",".5108137","-.941435",".3511004",".310789",".5101179",".6092492",".5451739","-.510365",".2674972","-1.907927",".0622695","-.1228226",".3225665","-.3807667",".7050222","-.1228226",".3225665","-.3807667",".7050222"
"_IdivXyea_3_2000","","","","",".7836985",".6470343","1.211216",".2316218","-.4210061",".7155143","-.5883964",".5589688",".8598807",".6085209","1.413067",".1639571","-.4112587",".4399115","-.9348669",".3544414",".138579",".5109885",".2711979",".7873781",".138579",".5109885",".2711979",".7873781"
"_IdivXyea_3_2001","","","","",".3966753",".4301261",".9222302",".3609273","-1.20892",".3977005","-3.039774",".003793",".4379525",".4230588","1.035205",".3056554","-.9609833",".3518252","-2.731423",".0087419","-.2909154",".436638","-.6662622",".5083684","-.2909154",".436638","-.6662622",".5083684"
"_IdivXyea_3_2002","","","","","-.5737014",".5780711","-.9924408",".3258583","-2.580002",".3707099","-6.959625","7.66e-09","-.5312968",".5844012","-.9091302",".3677315","-1.650333",".5054413","-3.265132",".0019997","-.8672978",".5048678","-1.717871",".0921343","-.8672978",".5048678","-1.717871",".0921343"
"_IdivXyea_3_2003","","","","","-.7013221",".6859086","-1.022472",".3115793","-3.108378",".4812169","-6.459412","4.56e-08","-.6181304",".6848602","-.9025643",".3711727","-2.367102",".6512062","-3.63495",".000666","-1.453815",".5814365","-2.500384",".0158006","-1.453815",".5814365","-2.500384",".0158006"
