"","est1","","","","t2_exceedquota_1","","","","t2_exceedquota_2","","","","t2_exceedquota_3","","","","t2_exceedquota_4","","","","t2_qrate_1","","","","t2_qrate_2","","","","t2_qrate_3","","","","t2_qrate_4","","","","t3_1","","","","t3_2","","","","t3_3","","","","t3_4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"_Iyi_5","","","","","","","","","","","","","","","","","-.1676422",".1300242","-1.289315",".2181837","","","","","","","","","","","","",".1238308",".1462594",".8466516",".4114285","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Iyi_6","","","","","","","","","","","","","","","","","-.1012139",".123736","-.8179829",".4270702","","","","","","","","","","","","",".1397347",".1740844",".8026839",".4355729","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Iyi_7","","","","","","","","","","","","","","","","","-.0258804",".0908067","-.2850049",".7798131","","","","","","","","","","","","","-.0670651",".0531339","-1.262191",".2275021",".6394825",".0575898","11.1041","3.78e-12","0",".",".",".","0",".",".",".","0",".",".","."
"_Iyi_8","","","","","","","","","","","","","","","","","-.081551",".0540283","-1.509411",".153429","","","","","","","","","","","","","-.0931771",".04328","-2.152887",".0492514","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Iyi_9","","","","","","","","","","","","","","","","","-.0109187",".0917482","-.1190067",".9069608","","","","","","","","","","","","","-.0800419",".0523322","-1.529497",".1484182","0",".",".",".","1.89198",".1251281","15.12035","1.42e-15","1.740497",".1251396","13.90844","1.28e-14","1.737129",".127351","13.64049","2.13e-14"
"_Iyi_10","","","","","","","","","","","","","","","","","-.0283553",".0568136","-.4990931",".6254645","","","","","","","","","","","","","-.0978303",".0417015","-2.345965",".0342256",".5870346",".061943","9.477018","1.57e-10","0",".",".",".","0",".",".",".","0",".",".","."
"_Iyi_11","","","","","","","","","","","","","","","","",".0106001",".0844974",".1254485",".9019521","","","","","","","","","","","","","-.0696165",".0425122","-1.637565",".1237846",".9583628",".1295802","7.395902","3.06e-08","0",".",".",".","0",".",".",".","0",".",".","."
"_Iyi_12","","","","","","","","","","","","","","","","","-.0323047",".0355363","-.9090607",".3787021","","","","","","","","","","","","","-.0131519",".0334526","-.3931502",".7001302",".3387289",".0436225","7.765","1.16e-08","0",".",".",".","0",".",".",".","0",".",".","."
"_Iyi_13","","","","","","","","","","","","","","","","","-.028877",".0261188","-1.105603",".2875363","","","","","","","","","","","","","-.021598",".0279669","-.7722712",".4527943","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Iyi_14","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","0",".",".",".",".4924725",".0517146","9.522884","1.41e-10","-.1017251",".0322322","-3.156005",".0036264","-.1329848",".0313457","-4.242516",".0001953","-.1324844",".0313782","-4.222186",".0002067"
"_Iyi_15","","","","","","","","","","","","","","","","",".1956234",".2141477",".9134979",".3764447","","","","","","","","","","","","",".159681",".2121374",".7527245",".4640852","-.3150251",".0554854","-5.677617","3.44e-06","-.2709091",".0753574","-3.594991",".0011464","-.3043071",".0537825","-5.658112","3.64e-06","-.3046716",".0539303","-5.649359","3.73e-06"
