"","est1","","","","t2_exceedquota_1","","","","t2_exceedquota_2","","","","t2_exceedquota_3","","","","t2_exceedquota_4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"_Iyi_44","","","","","","","","","","","","","","","","","-.1028382",".1774609","-.5794978",".5714613"
"_Iyi_45","","","","","","","","","","","","","","","","","-.0387627",".1684788","-.2300745",".8213616"
"_Iyi_46","","","","","","","","","","","","","","","","","0",".",".","."
"_Iyi_47","","","","","","","","","","","","","","","","",".1951175",".2067362",".9437991",".3612761"
"_Iyi_48","","","","","","","","","","","","","","","","","0",".",".","."
"_Iyi_49","","","","","","","","","","","","","","","","",".2833029",".2364669","1.198066",".2507811"
"_Iyi_50","","","","","","","","","","","","","","","","",".2403981",".146239","1.643871",".1224629"
"_Iyi_51","","","","","","","","","","","","","","","","",".2438258",".1835413","1.328452",".2052781"
"_Iyi_52","","","","","","","","","","","","","","","","","-.0606305",".1649508","-.3675673",".718693"
"_Iyi_53","","","","","","","","","","","","","","","","","0",".",".","."
"_Iyi_54","","","","","","","","","","","","","","","","",".0109961",".010804","1.017775",".3260521"
"_Iyi_55","","","","","","","","","","","","","","","","",".0816284",".0760607","1.0732",".301332"
"_Iyi_56","","","","","","","","","","","","","","","","","-.0024749",".010999","-.2250093",".8252232"
"_Iyi_57","","","","","","","","","","","","","","","","",".1031471",".0770058","1.339471",".2017575"
"_Iyi_58","","","","","","","","","","","","","","","","",".0602424",".0357691","1.684201",".1142968"
"_Iyi_59","","","","","","","","","","","","","","","","",".092547",".0541177","1.710105",".1093057"
"_cons",".2571955",".0509876","5.044278",".0000206",".2571955",".0509876","5.044278",".0000206",".2302762",".072078","3.194821",".006487","1.043441",".422341","2.470614",".0269525","1.132755",".4478013","2.529594",".0240499"
"N","1755","","","","1755","","","","855","","","","855","","","","855","","",""
"r2",".1505357","","","",".1505357","","","",".1533651","","","",".1554703","","","",".2913303","","",""
"df_m","15","","","","15","","","","14","","","","14","","","","14","","",""
"df_r","30","","","","30","","","","14","","","","14","","","","14","","",""
"df_b","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","",""
