"","pu3","","","","est2","","","","pr3","","","","est4","","","","to3","","","","est6","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"_IleaXyea_1803630","","","","","-.0098098","2.59e-07","-37882.52","0","","","","","-.0236742",".",".",".","","","","","-.0113114",".",".","."
"_IleaXyea_1804770","","","","","-.0328408","2.59e-07","-126821.5","0","","","","","-.002285",".",".",".","","","","","-.0269922",".",".","."
"_IleaXyea_1810290","","","","","-.0198587",".0003813","-52.07845","1.57e-69","","","","","-.0571273",".0009427","-60.59775","2.37e-75","","","","","-.0196197",".0002393","-81.9841","4.42e-87"
"_IleaXyea_2012990","","","","","-.0266125","2.59e-07","-102769.5","0","","","","","-.0325731",".",".",".","","","","","-.020235",".",".","."
"_IleaXyea_2101860","","","","",".0193108","2.82e-07","68358.34","0","","","","","-.0179934",".",".",".","","","","",".0098252",".",".","."
"_IleaXyea_2102990","","","","",".0055618","2.82e-07","19688.05","1.9e-303","","","","","-.0631456",".",".",".","","","","","-.003516",".",".","."
"_IleaXyea_2200300","","","","",".0051283","2.82e-07","18153.81","3.1e-300","","","","","-.0280072",".",".",".","","","","",".002648",".",".","."
"_IleaXyea_2200330","","","","",".0065231","2.82e-07","23091.1","9.6e-310","","","","","-.0141782",".",".",".","","","","",".0042136",".",".","."
"_IleaXyea_2200540","","","","",".0160739","2.82e-07","56899.94","0","","","","","-.0042359",".",".",".","","","","",".016539",".",".","."
"_IleaXyea_2201170","","","","",".0114678",".0004552","25.19191","8.38e-43","","","","","-.0280301",".0018639","-15.03839","2.10e-26","","","","",".0049076",".0003718","13.19924","7.45e-23"
"_IleaXyea_2201290","","","","",".0050529","2.82e-07","17886.7","1.2e-299","","","","","-.0602372",".",".",".","","","","","-.0013101",".",".","."
"_IleaXyea_2201740","","","","",".0161391","2.82e-07","57130.67","0","","","","","-.0442935",".",".",".","","","","",".0108357",".",".","."
"_IleaXyea_2400090","","","","",".0032597","2.82e-07","11539.05","2.5e-282","","","","","-.0042463",".",".",".","","","","",".0041222",".",".","."
"_IleaXyea_2502790","","","","","-.0155736","2.59e-07","-60140.82","0","","","","",".0166272",".",".",".","","","","","-.0095516",".",".","."
"_IleaXyea_2511130","","","","","-.0125","2.59e-07","-48271.47","0","","","","","-.0018246",".",".",".","","","","","-.009777",".",".","."
"_IleaXyea_2612000","","","","","-.0298634","2.59e-07","-115323.7","0","","","","",".0039207",".",".",".","","","","","-.0211232",".",".","."
"_IleaXyea_2616440","","","","","-.0064691","2.59e-07","-24981.86","7.5e-313","","","","","-.03082",".",".",".","","","","","-.0066793",".",".","."
"_IleaXyea_2621150","","","","","-.0023879","2.59e-07","-9221.399","1.8e-273","","","","","-.014862",".",".",".","","","","",".0006",".",".","."
"_IleaXyea_2721240","","","","",".0102325","2.59e-07","39514.78","0","","","","",".003465",".",".",".","","","","",".0092069",".",".","."
"_IleaXyea_2916400","","","","","-.0343109",".0003813","-89.97878","1.03e-90","","","","","-.0007108",".0009427","-.7539379",".452833","","","","","-.0278587",".0002393","-116.4119","8.3e-101"
"_IleaXyea_2929280","","","","","-.0490542",".0003813","-128.6422","9.9e-105","","","","","-.032361",".0009427","-34.32688","7.26e-54","","","","","-.0424185",".0002393","-177.2522","2.4e-117"
"_IleaXyea_3174820","","","","","-.0215655","2.59e-07","-83279.52","0","","","","","-.0177483",".",".",".","","","","","-.0188047",".",".","."
"_IleaXyea_3200060","","","","",".0149921","2.59e-07","57894.73","0","","","","",".1313864",".",".",".","","","","",".0251131",".",".","."
"_IleaXyea_3407830","","","","","-.0211719","2.59e-07","-81759.48","0","","","","","-.0015596",".",".",".","","","","","-.017176",".",".","."
"_IleaXyea_3411340","","","","","-.0387009",".0003813","-101.4913","2.00e-95","","","","","-.0041963",".0009427","-4.451248",".0000242","","","","","-.0325979",".0002393","-136.2151","5.6e-107"
"_IleaXyea_3605850","","","","","-.0301458","2.59e-07","-116413.9","0","","","","","-.0358448",".",".",".","","","","","-.0264074",".",".","."
"_IleaXyea_3624750","","","","",".0020154","2.59e-07","7782.852","9.2e-267","","","","","-.0058162",".",".",".","","","","","-.0015762",".",".","."
"_IleaXyea_3702970","","","","",".0169259","2.82e-07","59915.84","0","","","","",".0169398",".",".",".","","","","",".0187053",".",".","."
"_IleaXyea_3703330","","","","",".0014645","2.82e-07","5184.144","1.1e-250","","","","",".001299",".",".",".","","","","",".0027393",".",".","."
"_IleaXyea_3904348","","","","","-.0329842",".0003813","-86.49956","3.57e-89","","","","","-.0141745",".0009427","-15.03564","2.12e-26","","","","","-.0252363",".0002393","-105.4537","6.30e-97"
"_IleaXyea_3904375","","","","","-.0346399","2.59e-07","-133768.8","0","","","","","-.0165751",".",".",".","","","","","-.0282228",".",".","."
"_IleaXyea_3904378","","","","","-.0475159",".0003813","-124.6084","1.8e-103","","","","","-.0160836",".0009427","-17.06065","4.25e-30","","","","","-.0395565",".0002393","-165.2929","1.4e-114"
"_IleaXyea_3904380","","","","","-.026821",".0003813","-70.33684","4.05e-81","","","","","-.010519",".0009427","-11.15802","1.00e-18","","","","","-.0216931",".0002393","-90.64797","5.28e-91"
"_IleaXyea_3904384","","","","","-.0353761","2.59e-07","-136611.9","0","","","","",".0020219",".",".",".","","","","","-.0267892",".",".","."
"_IleaXyea_3904490","","","","","-.0290755",".0003813","-76.24907","2.96e-84","","","","",".0041464",".0009427","4.398269",".0000296","","","","","-.0221807",".0002393","-92.68565","7.14e-92"
"_IleaXyea_4017250","","","","",".0392128","2.82e-07","138809.3","0","","","","",".0274723",".",".",".","","","","",".0367926",".",".","."
"_IleaXyea_4022770","","","","",".0174352","2.82e-07","61718.67","0","","","","",".0101786",".",".",".","","","","",".0135971",".",".","."
"_IleaXyea_4030240","","","","",".0225488","2.82e-07","79820.42","0","","","","",".0250937",".",".",".","","","","",".0176961",".",".","."
"_IleaXyea_4110040","","","","","-.0206743","2.59e-07","-79837.87","0","","","","","-.0003622",".",".",".","","","","","-.0127612",".",".","."
"_IleaXyea_4218990","","","","","-.0393239",".0003813","-103.1251","4.73e-96","","","","","-.0230866",".0009427","-24.4891","7.93e-42","","","","","-.0313335",".0002393","-130.932","2.0e-105"
"_IleaXyea_4219170","","","","","-.04285",".0003813","-112.3721","2.03e-99","","","","","-.0565656",".0009427","-60.00192","5.71e-75","","","","","-.0375182",".0002393","-156.7755","1.6e-112"
"_IleaXyea_4501440","","","","",".0003096","2.82e-07","1095.955","2.7e-189","","","","","-.0342014",".",".",".","","","","",".0053086",".",".","."
"_IleaXyea_4502310","","","","",".0156749","2.82e-07","55487.56","0","","","","",".0080395",".",".",".","","","","",".0122421",".",".","."
"_IleaXyea_4503360","","","","",".0124327","2.82e-07","44010.62","0","","","","",".0078177",".",".",".","","","","",".0124613",".",".","."
"_IleaXyea_4702940","","","","",".0123049","2.82e-07","43558.05","0","","","","","-.027931",".",".",".","","","","",".0108728",".",".","."
"_IleaXyea_4703180","","","","",".0153122","2.82e-07","54203.46","0","","","","","-.0079563",".",".",".","","","","",".0104015",".",".","."
"_IleaXyea_4808130","","","","",".0133808","2.82e-07","47366.48","0","","","","","-.0828183",".",".",".","","","","",".001561",".",".","."
"_IleaXyea_4808940","","","","",".0236191",".0004552","51.88538","2.18e-69","","","","","-.0122513",".0018639","-6.572903","3.03e-09","","","","",".0213139",".0003718","57.32443","3.27e-73"
