"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","","","est10","","",""
"upp_timetrend12",".0014405",".0011231","1.282552",".2078461","-.001635",".0014477","-1.129376",".2662086",".0016429",".0014093","1.165718",".251394",".0057084",".0012345","4.624252",".0000471",".0007012",".0005813","1.206271",".2355809","-.0039748",".0015826","-2.511593",".0166446",".0023482",".0008827","2.660257",".011586","-.0055077",".0018412","-2.991315",".0049892","-.0016943",".0010863","-1.559689",".1275823",".0013135",".0009848","1.333831",".190637"
"upp_timetrend13","-.0004878",".0011536","-.4228186",".6749427","-.003759",".0016004","-2.348789",".024443","-.0038226",".0014562","-2.625037",".0126363","-.0005613",".0013364","-.420001",".6769809","-.0003074",".0005943","-.5172541",".6081426","-.0052778",".0017793","-2.966235",".0053266",".0019203",".0009502","2.020933",".050772","-.0080424",".0019963","-4.028691",".0002772","-.0023525",".0011131","-2.113466",".041558","-.0005828",".0011194","-.5206119",".6058246"
"upp_timetrend14","-.0019408",".001154","-1.681808",".1012625","-.0071086",".0016035","-4.433233",".0000836","-.0006877",".0014567","-.4721243",".6396875","-.0036466",".0013387","-2.724042",".0098867",".0004292",".0005942",".7222221",".4748235","-.0090134",".0017865","-5.045292",".0000131",".0022652",".0009543","2.373733",".0230658","-.0109268",".0019945","-5.478505","3.46e-06","-.0023258",".0011138","-2.088178",".0439171","-.0048833",".001122","-4.352412",".0001065"
"upp_timetrend15","-.0008935",".001154","-.7742885",".4438159","-.0151315",".0016035","-9.436614","2.86e-11","-.0012315",".0014567","-.8454311",".4034544","-.0059656",".0013387","-4.456447",".000078",".0011989",".0005942","2.017618",".0511329","-.0116689",".0017865","-6.531713","1.36e-07",".0031547",".0009543","3.305758",".0021524","-.0214976",".0019945","-10.77847","8.08e-13","-.0023567",".0011138","-2.11594",".0413334","-.009856",".001122","-8.784432","1.76e-10"
"upp_timetrend16","-.0011653",".0011533","-1.010377",".3190576",".0012532",".0016013",".7826033",".4389779",".0096842",".0014554","6.653949","9.38e-08",".000743",".0013374",".555575",".5819379",".0006779",".0005937","1.141863",".2610493",".0104758",".0017867","5.86323","1.06e-06",".0035104",".0009561","3.671593",".0007765","-.0049971",".0019874","-2.51434",".0165351","-.0001537",".0011135","-.1380652",".8909582",".008035",".0011201","7.1736","1.95e-08"
"upp_timetrend17",".0002331",".0011536",".2020314",".8410295",".0002704",".0016004",".1689572",".8667761",".0012467",".0014562",".8561194",".3975945",".0013658",".0013364","1.021988",".3136054",".0006715",".0005943","1.12988",".2659991","-.0030346",".0017793","-1.705535",".0967103",".0015861",".0009502","1.66922",".1037489","-.0097223",".0019963","-4.870216",".0000223","-.002026",".0011131","-1.820129",".0770618",".003929",".0011194","3.509896",".0012247"
"upp_timetrend18","-.0011017",".0011447","-.9623966",".3422706","-.0075168",".0015586","-4.822663",".0000258",".001839",".0014411","1.276041",".2101128","-.00025",".001309","-.1910093",".8495915",".0006953",".00059","1.178357",".2463849","-.0099059",".0017299","-5.726374","1.61e-06",".0005524",".0009372",".5894319",".5592528","-.0119141",".0019456","-6.123492","4.75e-07","-.001864",".0011058","-1.685719",".1005001",".0002055",".0010836",".1895942",".8506921"
"upp_timetrend19",".0002481",".0011489",".2158978",".830286",".0006575",".0015738",".4177511",".6786103","-.0004571",".0014494","-.3153704",".7543014","-.0000784",".0013181","-.0594723",".9529048",".001309",".0005931","2.206847",".0337877","-.0068376",".0017341","-3.942993",".0003559",".0001334",".0009301",".1434399",".8867427","-.0075742",".001985","-3.815774",".0005142",".0012764",".001108","1.152066",".2568875","-.0032869",".0010967","-2.997173",".0049133"
"upp_timetrend20","-.0014657",".0011303","-1.296671",".2029944","-.0076411",".0014798","-5.163502","9.11e-06","-.003366",".0014211","-2.368597",".0233435","-.0031251",".0012549","-2.490378",".0175125",".0011366",".0005859","1.940062",".060237","-.0069297",".001607","-4.312189",".0001201",".0006092",".0008853",".6881126",".4957922","-.0140342",".0018976","-7.395901","1.00e-08",".000263",".0010913",".24105",".810884","-.0058446",".0010135","-5.766754","1.42e-06"
"upp_timetrend21","-.0042859",".0011514","-3.722236",".0006723",".0056691",".0015911","3.563084",".0010551","-.016557",".0014524","-11.40005","1.68e-13","-.0132173",".0013304","-9.934844","7.40e-12",".0007625",".0005931","1.285633",".2067801","-.0013388",".0017702","-.7562913",".4543955","-.0004401",".0009492","-.4636489",".6456906","-.0083976",".0019818","-4.237445",".0001499","-.0011972",".0011115","-1.077112",".2885953","-.0092286",".0011114","-8.303416","6.95e-10"
"upp_timetrend22","-.0009792",".0011569","-.8464076",".4029168","-.0076687",".0016174","-4.74135",".000033","-.0026733",".0014618","-1.828771",".0757282","-.0101547",".0013479","-7.533966","6.63e-09",".0003657",".0005956",".6140367",".5430522","-.0122151",".0018038","-6.771816","6.55e-08",".0014833",".0009591","1.546493",".1307323","-.0169211",".0020103","-8.417357","5.01e-10","-.0012196",".0011163","-1.092546",".2818506","-.0079037",".0011338","-6.971142","3.58e-08"
"upp_timetrend23","-.0018797",".0011489","-1.636062",".1105411","-.002412",".0015738","-1.532606",".1341147",".0008541",".0014494",".5892936",".5593446","-.0010588",".0013181","-.8032726",".4270892",".0011544",".0005931","1.946344",".0594507","-.0040504",".0017341","-2.335707",".0251947",".0032708",".0009301","3.516722",".0012015","-.0141569",".001985","-7.132065","2.20e-08",".0018193",".001108","1.641978",".109303","-.0001625",".0010967","-.1481618",".8830419"
"upp_timetrend24",".0009185",".0011533",".7964625",".4309846","-.0019206",".0016013","-1.199405",".2382054",".0081925",".0014554","5.628998","2.18e-06",".0046675",".0013374","3.490111",".0012942",".0006067",".0005937","1.021952",".3136225",".0071046",".0017867","3.976425",".0003229",".0057138",".0009561","5.976144","7.48e-07","-.0097208",".0019874","-4.891087",".0000209","-.0006465",".0011135","-.5806218",".5651126",".0110432",".0011201","9.859286","9.06e-12"
"upp_timetrend25",".0004815",".0011523",".4178416",".6785448","-.0037601",".0015931","-2.360242",".0238017",".0020655",".0014541","1.420499",".1640661","-.0045904",".0013315","-3.44759",".0014567",".0007384",".0005939","1.243391",".2217604","-.0004715",".0017677","-.2667368",".7911938",".0027062",".0009454","2.862644",".0069608","-.0138466",".001992","-6.950915","3.81e-08","-.0020812",".0011117","-1.87208",".069337",".0043299",".0011132","3.889522",".0004157"
"upp_timetrend26","-.0006615",".0011359","-.5823705",".5639471",".0023351",".0015127","1.543606",".1314298","-.0003165",".0014276","-.2217128",".8257904",".0049287",".001278","3.856427",".0004574",".0012363",".0005867","2.107136",".0421378",".0026802",".0016646","1.610091",".116113",".0019465",".0009123","2.133551",".0397647","-.0069895",".001908","-3.663278",".0007951","-.0013752",".0010974","-1.253078",".2182555",".0018416",".0010435","1.76474",".0860908"
"upp_timetrend27",".0009279",".0011424",".8122059",".422012","-.0042115",".0015461","-2.724028",".0098871","-.0009432",".0014376","-.6561127",".5159236","-.0016167",".0013004","-1.243252",".2218111",".001737",".0005893","2.947599",".0055911","-.0111367",".0017102","-6.512104","1.45e-07",".0009853",".0009289","1.060763",".2958625","-.0162219",".0019381","-8.369909","5.74e-10","-.0023697",".0011034","-2.147613",".0385503","-.0075061",".0010728","-6.99696","3.31e-08"
"upp_timetrend28",".0029782",".0011555","2.577443",".0141953",".0119757",".0016046","7.463447","8.17e-09",".0171004",".001461","11.70472","7.89e-14",".0141902",".0013384","10.60222","1.27e-12",".003237",".0005962","5.42929","4.03e-06",".0019449",".0017716","1.097786",".2795865",".0045446",".0009399","4.835354",".0000248",".0032493",".0020207","1.607955",".1165813",".0004906",".0011135",".4405697",".6621589",".0110767",".0011231","9.862898","8.97e-12"
"upp_timetrend29","-.0015316",".0011486","-1.333426",".1907683","-.0099385",".0015773","-6.300887","2.76e-07","-.035013",".0014476","-24.18638","7.43e-24","-.0285507",".0013213","-21.60848","3.33e-22","-.0007134",".0005919","-1.2053",".2359506","-.0107536",".0017524","-6.136354","4.57e-07",".0019646",".0009436","2.082078",".0445035","-.025797",".0019674","-13.1119","2.82e-15","-.0010525",".001109","-.9489811",".3489577","-.0245141",".0010997","-22.29178","1.17e-22"
"upp_timetrend30","-.000557",".0011112","-.5012195",".6192678","-.0030664",".001386","-2.212334",".0333743","-.0068535",".0013955","-4.911151",".0000197","-.0084424",".0011926","-7.07901","2.59e-08",".0013614",".0005765","2.36139",".0237383","-.0130654",".0015082","-8.663058","2.48e-10",".0011835",".0008519","1.389182",".1733111","-.0067301",".0017778","-3.785685",".0005607","-.000414",".0010761","-.384757",".7026812","-.0074972",".000926","-8.096693","1.27e-09"
"upp_timetrend31","-.0031023",".0011544","-2.687313",".0108347","-.0089415",".0016069","-5.564444","2.66e-06","-.0070409",".0014573","-4.831344",".0000251","-.0035108",".0013411","-2.617877",".0128603",".0003249",".0005942",".5468335",".5878669","-.0125577",".0017943","-6.998489","3.30e-08",".0009736",".0009587","1.015589",".3166025","-.0127718",".0019927","-6.409284","1.98e-07",".0009306",".0011145",".8349257",".4092663","-.0079989",".0011248","-7.111239","2.35e-08"
"upp_timetrend32","-.0012811",".0011538","-1.110369",".2742019","-.0008585",".001602","-.5358826",".5953354",".0072863",".0014565","5.002788",".0000149",".0031437",".0013376","2.350266",".0243595",".0008063",".0005943","1.356749",".1833083","-.0048085",".0017831","-2.696704",".0105846",".0002308",".0009524",".2423667",".8098715","-.0059219",".0019953","-2.967936",".005303","-.0015925",".0011135","-1.430213",".1612783","-.0000326",".0011208","-.0290781",".9769629"
"upp_timetrend33",".0009188",".0011374",".8078456",".4244856",".0030849",".0015198","2.029837",".0498137",".0028904",".0014298","2.021602",".0506994",".0058918",".0012827","4.593323",".0000517",".0005549",".0005874",".9447406",".3510893","-.0069542",".0016732","-4.156103",".0001907","-.0028257",".0009151","-3.087913",".0038687","-.0001059",".0019158","-.0552557",".9562403",".0016513",".0010987","1.502985",".1415652",".0012469",".0010497","1.187825",".2426805"
"upp_timetrend34","-.0019029",".0011494","-1.655563",".1065034","-.0045354",".0015821","-2.866582",".0068909","-.0046473",".0014488","-3.207578",".0028093","-.0007393",".0013246","-.5581494",".5801974",".0012491",".000592","2.110016",".0418732","-.0029537",".0017615","-1.676815",".1022427","-.0017318",".000948","-1.826869",".07602","-.014317",".0019681","-7.274456","1.44e-08",".0002745",".00111",".2473149",".8060696","-.0044367",".0011038","-4.01948",".0002848"
"upp_timetrend35",".0003588",".001157",".3101078",".7582672",".0072534",".0016169","4.486079",".0000714",".0051035",".001462","3.49081",".0012917",".0092967",".0013474","6.899779","4.44e-08",".001325",".0005957","2.224117",".0325015",".0025514",".0018013","1.41643",".165245",".0022973",".0009572","2.399921",".0216957",".0012201",".0020125",".6062527",".548151",".0008329",".0011161",".7462021",".4603906",".0076761",".0011333","6.772972","6.53e-08"
"upp_timetrend36","-.0030496",".0011523","-2.646608",".0119831","-.0052619",".0015931","-3.302912",".0021692",".0005342",".0014541",".3673583",".7155026",".0026797",".0013315","2.012608",".0516824",".0007205",".0005939","1.213232",".2329419","-.0028554",".0017677","-1.615351",".1149663","-.0046988",".0009454","-4.97033",".0000164","-.0066993",".001992","-3.363009",".00184","-.0003297",".0011117","-.2965366",".7685244",".0001365",".0011132",".1226287",".9030832"
"upp_timetrend37","-.0041246",".0011194","-3.684768",".000748","-.011876",".0014224","-8.349016","6.10e-10",".0055813",".001408","3.96408",".0003348",".0021419",".0012153","1.762374",".0864957",".0017467",".0005824","2.999281",".0048863","-.0047508",".0015274","-3.110395",".0036444","-.0014426",".0008531","-1.690991",".09948","-.012733",".00185","-6.882618","4.68e-08","-.0001696",".0010814","-.1568315",".8762539","-.0038118",".0009595","-3.972877",".0003263"
"upp_timetrend38","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"1.date","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"2.date","-.13864",".1316223","-1.053317",".2992144","-.358456",".1795015","-1.996953",".0534333",".1615243",".136776","1.180941",".2453699","-.3843904",".1046924","-3.671616",".0007765","-.0306043",".0299256","-1.02268",".3132828","-.3685734",".1788231","-2.061106",".0465724","-.0072238",".0673135","-.1073159",".9151342","-.2460197",".1613293","-1.524954",".1360087","-.0727979",".0613382","-1.186828",".2430685","-.2492619",".0908968","-2.742253",".0094458"
"3.date","-.0850989",".1234517","-.6893292",".4950355",".1192627",".1706243",".6989784",".4890571",".1765918",".179209",".9853959",".3310064","-.3030579",".158101","-1.916863",".0632194",".027868",".0525678",".5301337",".5992741","-.094277",".170311","-.5535576",".5833036",".1213718",".1268187",".9570499",".3449254",".0082161",".1274084",".0644863",".9489398",".0007852",".0970279",".008093",".9935875","-.0259989",".0897432","-.2897028",".7737057"
"4.date",".0976077",".158786",".6147123",".5426108","-.0164472",".1577034","-.1042917",".9175167",".0643586",".1684563",".382049",".7046711","-.5667569",".1458016","-3.887179",".0004185",".0566481",".0423256","1.338386",".1891627","-.4191835",".1620382","-2.586942",".0138707",".19822",".1349968","1.468331",".1506984","-.2874591",".1594267","-1.80308",".0797513","-.0582066",".0695421","-.8369986",".4081154","-.3805193",".1193938","-3.187093",".0029686"
"5.date","-.1219871",".1250283","-.9756763",".3357359",".1020983",".1518729",".6722612",".5057095",".0891736",".1522893",".5855542",".5618282","-.2783829",".1341044","-2.075867",".0451077","-.0036485",".0418762","-.0871263",".9310539","-.0209285",".1506991","-.1388763",".8903219",".2552202",".1293643","1.97288",".0562261","-.6213734",".147677","-4.207653",".0001637","-.0281218",".0752248","-.3738373",".7107181","-.1153373",".0950122","-1.213921",".2326818"
"6.date","-.223921",".1247217","-1.795365",".0809942","-.1559207",".1778285","-.8768042",".3864067",".1794378",".1623949","1.104947",".2765127","-.3516396",".14576","-2.412457",".0210663","-.0342529",".0287921","-1.189662",".2419666","-.3128083",".1677539","-1.864686",".0703943",".0359234",".1103543",".3255277",".7466663","-.3347053",".1595882","-2.097306",".0430524","-.0871136",".0796821","-1.093265",".2815394","-.1790998",".1063323","-1.684341",".1007681"
"7.date","-.1248016",".1365306","-.9140926",".3667502","-.1159576",".1660639","-.698271",".489494",".0804736",".1694609",".4748801",".6377408","-.3294166",".1666509","-1.976687",".0557762",".0242195",".052108",".4647936",".6448784","-.4611644",".1746837","-2.639996",".01218",".1515575",".1261126","1.201764",".2373013","-.4068131",".1622835","-2.506805",".0168369","-.0570288",".0671173","-.8496883",".4011139","-.2127575",".0879174","-2.41997",".0206971"
"8.date",".0066423",".1443596",".0460124",".9635547","-.1656171",".1934614","-.8560727",".39762",".0585369",".1213777",".4822709",".632533","-.4129477",".1750323","-2.359266",".0238557",".0826918",".0662815","1.247585",".220238","-.2462276",".1655168","-1.487629",".1455562",".2645596",".1206709","2.192405",".0348979","-.4336125",".1484231","-2.921462",".0059829","-.0407501",".0841754","-.4841093",".6312404","-.1928586",".0929788","-2.074222",".0452689"
"9.date","-.1387899",".1129233","-1.229063",".2270216",".2091396",".1809887","1.155539",".2554816",".0788141",".1560536",".5050451",".6166052","-.5111215",".1415825","-3.610061",".0009243","-.0369893",".0280757","-1.317484",".1960003","-.2116993",".185318","-1.142357",".2608467",".1676359",".1193857","1.404155",".1688417","-.1688006",".1629978","-1.0356",".3072955","-.0424375",".0739649","-.5737525",".5697027","-.172734",".1052893","-1.640565",".1095976"
"10.date","-.2933159",".1115444","-2.629588",".0124959",".051922",".1713882",".3029494",".7636722",".0832994",".1281809",".6498585",".5199091","-.0984499",".1426399","-.6901989",".494495","-.0379014",".0278642","-1.36022",".1822175","-.190793",".1687687","-1.1305",".2657414",".1712935",".1007657","1.699918",".0977722","-.2848012",".1162954","-2.448947",".0193276","-.0993494",".0701677","-1.415884",".1654037","-.136631",".0771888","-1.770089",".0851817"
"11.date","-.0652918",".1263471","-.5167653",".6084803","-.0527796",".170051","-.3103751",".7580655",".1256092",".1167496","1.075885",".2891366","-.2722762",".150567","-1.808339",".0789133","-.0091213",".0418521","-.2179408",".8287059","-.0571481",".1772855","-.3223506",".7490517",".1949973",".1346363","1.448326",".1561801","-.453735",".1285422","-3.529853",".0011582",".0633105",".1023411",".6186224",".54006","-.1036979",".078237","-1.325432",".1933782"
"12.date",".1278381",".1444266",".885142",".3819542",".0967745",".1867321",".5182533",".6074524",".1151758",".1595257",".721989",".4749651","-.1790018",".1428389","-1.253173",".2182213",".0196588",".051512",".3816354",".7049752","-.518995",".1977453","-2.624562",".0126511",".1644719",".1112174","1.478832",".1478826","-.3524121",".1653185","-2.131716",".0399257",".0795892",".08982",".8860971",".3814462","-.091509",".0868562","-1.053569",".2991008"
"13.date","-.0527098",".1042782","-.5054734",".6163074",".0154516",".1933854",".0799006",".9367588",".0267445",".1725899",".1549598",".8777185",".0923203",".1381462",".6682793",".5082177",".0187467",".0518047",".3618717",".7195634","-.0214902",".1233473","-.1742248",".8626649",".1611156",".1102817","1.460946",".1527039","-.4579968",".1731461","-2.645146",".0120264","-.0455794",".0871193","-.5231837",".6040521","-.0340081",".0889928","-.3821446",".7046008"
"14.date","-.1775437",".1103032","-1.609596",".1162213","-.1895695",".1654104","-1.146056",".2593333",".0542566",".159296",".3406025",".7353825","-.3497011",".1665982","-2.099069",".042887",".0178346",".0491987",".3625007",".7190974","-.2540699",".1740079","-1.460105",".1529337",".1373825",".0958659","1.43307",".1604657","-.3276622",".1361893","-2.405933",".0213917",".02099",".0788849",".2660835",".7916929","-.1884704",".0723276","-2.605788",".0132468"
"15.date","-.1229214",".106678","-1.152266",".2568065","-.1488061",".1690529","-.8802338",".3845712","-.2045978",".1583156","-1.292342",".204473","-.1163609",".1346492","-.8641779",".3932119",".0169224",".0467052",".3623241",".7192282","-.455615",".1542947","-2.952889",".0055148",".0582035",".1037606",".5609402",".5783133","-.2722293",".1453715","-1.872646",".0692567","-.0241958",".0747481","-.323698",".7480397","-.2904373",".1312411","-2.213005",".033324"
"16.date","-.0727631",".1104643","-.6587024",".5142781",".0430752",".1459893",".2950576",".7696449","-.1563203",".1892702","-.8259106",".414295","-.3239288",".1551799","-2.087441",".0439876",".1050869",".0721805","1.455891",".1540891","-.4187801",".1856851","-2.255323",".0302878",".254042",".1334579","1.903537",".0649893","-.4153816",".1482472","-2.801953",".0081253","-.0079171",".0883163","-.0896448",".9290664","-.244825",".0724692","-3.378332",".0017641"
"17.date","-.1244064",".0927215","-1.341721",".1880889","-.3336986",".188326","-1.77192",".0848724","-.1610541",".168626","-.9550966",".3458987","-.0189713",".1444256","-.1313569",".8962244",".0150982",".0521809",".2893424",".7739792","-.1098337",".1262277","-.8701236",".389998",".1453924",".1186935","1.224939",".2285528","-.3493333",".1395448","-2.503377",".0169759","-.0234106",".0895877","-.2613152",".7953387","-.2152801",".0919025","-2.342484",".0248027"
"18.date","-.1590973",".0907575","-1.752993",".0881162","-.2000286",".1664803","-1.201515",".2373964",".0840645",".1559026",".5392115",".5930603","-.2559656",".1554141","-1.646991",".108263",".0438783",".0591399",".7419407",".4629366","-.167122",".1255758","-1.330845",".191608",".0667655",".0803079",".8313689",".4112458","-.2363602",".1839838","-1.28468",".2071093","-.0092119",".0736473","-.1250819",".9011546","-.193058",".0932037","-2.071354",".0455511"
"19.date","-.2250331",".0929431","-2.421193",".0206376","-.1336333",".1575429","-.8482346",".4019122",".042974",".1627911",".2639828",".7932985","-.2488333",".1489086","-1.671047",".1033848",".0423659",".0539085",".7858858",".4370767","-.5873228",".1643251","-3.574152",".0010228","-.0632951",".0826876","-.7654725",".4489799","-.1188458",".159096","-.747007",".4599107",".123592",".0875354","1.411909",".1665625","-.2049309",".0803724","-2.549766",".0151814"
"20.date","-.0332673",".1236928","-.268951",".7895028","-.047417",".1707422","-.2777113",".7828226","-.0997916",".1610126","-.6197748",".5393094",".0449474",".1142508",".3934103",".6963368",".0113825",".050503",".2253825",".8229563","-.7666788",".1608283","-4.767065",".0000305","-.1227938",".0688182","-1.784322",".0828019","-.0170967",".1762727","-.0969902",".9232721","-.0396995",".0780759","-.5084733",".6142235","-.1602288",".0783368","-2.045384",".0481783"
"21.date","-.1268186",".1185629","-1.069632",".2919045",".054056",".156235",".3459919",".7313627","-.1472235",".165228","-.8910321",".3788286",".2402737",".1229986","1.953467",".0585697",".0104704",".0511774",".2045898",".8390449","-.3533306",".1679924","-2.103253",".042497",".0454325",".1135326",".4001719",".6913947","-.044017",".1205612","-.3651007",".7171725",".0635758",".0938824",".6771857",".5026169","-.0156298",".0826676","-.189068",".8511014"
"22.date","-.2446386",".1186403","-2.06202",".0464806","-.1640305",".1543796","-1.062514",".2950782",".0519513",".169478",".3065373",".7609616","-.0847324",".1511648","-.56053",".57859",".0095582",".0506272",".1887966",".8513125","-.7265327",".18513","-3.924446",".0003756","-.1110971",".0937881","-1.184554",".2439556","-.0109061",".1676481","-.0650533",".9484915",".0321962",".0894273",".3600265",".720931","-.1541783",".0902472","-1.708401",".0961722"
"23.date","-.1016581",".1186393","-.8568664",".3971869","-.018614",".1789029","-.1040454",".9177108","-.030321",".1326912","-.2285083",".8205442","-.1105791",".1480587","-.7468598",".4599985",".0511651",".0643224",".7954479",".4315667","-.4141572",".1650753","-2.508898",".0167526","-.0136318",".1118698","-.1218542",".9036922","-.1689035",".1360411","-1.241562",".2224268",".0310082",".0868785",".3569139",".7232399","-.1248317",".0788204","-1.583748",".1219977"
