------------------------------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  E:\Dropbox\Dropbox\Academic Calendar\AEJ Policy\Files for Publication\Replication\\Output\figure_A2a_DnD.txt
  log type:  text
 opened on:  20 Oct 2020, 16:09:19

. areg gradrate4yr  block1 block2     i.year c.year#i.unitid $timevar   [aw=meansize] , cluster(unitid) abs(unitid)
(sum of wgt is   1.5022e+07)
note: 243780.unitid#c.year omitted because of collinearity

Linear regression, absorbing indicators         Number of obs     =     13,836
                                                F(  25,    730)   =          .
                                                Prob > F          =          .
                                                R-squared         =     0.9814
                                                Adj R-squared     =     0.9792
                                                Root MSE          =     0.0304

                                 (Std. Err. adjusted for 731 clusters in unitid)
--------------------------------------------------------------------------------
               |               Robust
   gradrate4yr |      Coef.   Std. Err.      t    P>|t|     [95% Conf. Interval]
---------------+----------------------------------------------------------------
       130776  |  -.0097157   .0014038    -6.92   0.000    -.0124717   -.0069597
       130794  |  -.0093093   .0018951    -4.91   0.000    -.0130297   -.0055889
       130934  |  -.0036136   .0013733    -2.63   0.009    -.0063097   -.0009175
       130943  |   -.003352   .0009043    -3.71   0.000    -.0051273   -.0015766
       131159  |   .0033521   .0014029     2.39   0.017     .0005978    .0061064
       131283  |  -.0044945   .0015024    -2.99   0.003     -.007444    -.001545
       131450  |   -.001081   .0013526    -0.80   0.424    -.0037365    .0015744
       131469  |   .0023148     .00159     1.46   0.146    -.0008068    .0054363
       131496  |  -.0040037   .0015296    -2.62   0.009    -.0070066   -.0010007
       131520  |  -.0026151   .0009469    -2.76   0.006     -.004474   -.0007562
       132471  |   -.013583   .0014184    -9.58   0.000    -.0163677   -.0107983
       132602  |  -.0078514   .0013938    -5.63   0.000    -.0105877    -.005115
       132903  |   -.000517   .0006364    -0.81   0.417    -.0017664    .0007325
       133492  |  -.0055234   .0015522    -3.56   0.000    -.0085708   -.0024761
       133553  |   .0011444   .0016545     0.69   0.489    -.0021038    .0043926
       133650  |  -.0117688   .0011923    -9.87   0.000    -.0141096    -.009428
       133669  |  -.0068402   .0010369    -6.60   0.000    -.0088759   -.0048044
       133711  |  -.0036122   .0013505    -2.67   0.008    -.0062636   -.0009608
       133881  |   .0011215   .0015601     0.72   0.472    -.0019413    .0041844
       133951  |  -.0056814   .0009456    -6.01   0.000    -.0075377    -.003825
       134079  |  -.0028749   .0014982    -1.92   0.055    -.0058162    .0000665
       134097  |   .0030845   .0007273     4.24   0.000     .0016566    .0045123
       134130  |   .0078503   .0012404     6.33   0.000     .0054152    .0102854
       134945  |  -.0075549   .0014718    -5.13   0.000    -.0104444   -.0046654
       135726  |     .00634    .001582     4.01   0.000     .0032342    .0094459
