"","m1_allapps","","","","m1_DIonly","","","","m1_SSItotal","","","","m1_SSDItotal","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"36057.county","2.060439",".050073","41.14872","1.31e-09",".8439357",".008688","97.13862","3.23e-12","1.216504",".0448238","27.1397","2.36e-08","1.699647",".0498896","34.06817","4.87e-09"
"36059.county","-.0403539",".0068049","-5.930088",".0005816",".3581232",".0011713","305.7579","1.06e-15","-.3984772",".0060949","-65.37905","5.15e-11",".1092366",".0068002","16.06367","8.80e-07"
"36061.county",".7013867",".0089244","78.59183","1.42e-11","-.1780211",".0015536","-114.5876","1.02e-12",".8794078",".0079468","110.6623","1.30e-12",".095445",".0087801","10.87059",".0000123"
"36063.county","1.978586",".0430765","45.93188","6.06e-10","1.040439",".0074723","139.2398","2.60e-13",".9381478",".0385635","24.32735","5.05e-08","1.652352",".0429303","38.48919","2.08e-09"
"36065.county","2.172783",".01268","171.3548","6.08e-14",".8014128",".0021995","364.3603","3.10e-16","1.37137",".0113533","120.79","7.03e-13","1.564171",".0126406","123.7414","5.94e-13"
"36067.county","1.797139",".00722","248.9103","4.46e-15",".5945936",".0012521","474.8945","4.85e-17","1.202545",".0064664","185.9682","3.43e-14","1.257926",".0072037","174.6228","5.33e-14"
"36069.county",".693497",".0087964","78.83901","1.39e-11",".6087203",".0015265","398.7764","1.65e-16",".0847766",".0078622","10.78287",".000013",".7278976",".0087318","83.36196","9.41e-12"
"36071.county",".6950379",".0067141","103.5185","2.07e-12",".7392222",".0011701","631.7819","6.57e-18","-.0441843",".0059819","-7.386391",".0001512",".6417698",".0066139","97.03322","3.25e-12"
"36073.county","1.977065",".0508435","38.88527","1.94e-09",".8538427",".008819","96.8185","3.30e-12","1.123222",".045543","24.66289","4.59e-08","1.507913",".0507317","29.72328","1.26e-08"
"36075.county","1.84466",".0555352","33.21606","5.80e-09",".9226773",".009633","95.78326","3.56e-12",".9219825",".0497229","18.54241","3.29e-07","1.54282",".0553555","27.87112","1.97e-08"
"36077.county",".8993444",".0139809","64.32683","5.76e-11",".4766215",".0024227","196.7277","2.31e-14",".4227228",".0125126","33.78369","5.16e-09",".7956337",".0139268","57.1296","1.32e-10"
"36079.county","-.1194229",".0157465","-7.584075",".000128",".362161",".0027321","132.5555","3.67e-13","-.4815839",".0140898","-34.17966","4.76e-09",".1042969",".0156788","6.652098",".00029"
"36081.county",".1356116",".0136773","9.915096",".0000226",".1064032",".0023794","44.71797","7.31e-10",".0292085",".0122113","2.391932",".0480322",".0489173",".013547","3.610929",".0086135"
"36083.county","1.205649",".0040746","295.8935","1.33e-15",".4099977",".0007072","579.7714","1.20e-17",".795651",".0036328","219.0162","1.09e-14",".9893487",".0040239","245.8674","4.86e-15"
"36085.county","1.100731",".014926","73.74569","2.22e-11",".7590876",".0026024","291.6896","1.47e-15",".3416434",".0133072","25.6736","3.48e-08",".7749269",".0147259","52.62344","2.34e-10"
"36087.county",".0022053",".0060635",".3636974",".7268203",".2929329",".0010463","279.9724","1.96e-15","-.2907276",".0054547","-53.29842","2.15e-10",".0367226",".0061086","6.011647",".000536"
"36089.county","1.967341",".0568168","34.62604","4.35e-09","1.089059",".0098548","110.5108","1.31e-12",".8782824",".0508674","17.26612","5.37e-07","1.516276",".0566241","26.77795","2.60e-08"
"36091.county",".1714191",".0132579","12.92958","3.85e-06",".2560053",".0022978","111.4143","1.24e-12","-.0845862",".0118916","-7.113087",".0001914",".3349943",".013271","25.24262","3.91e-08"
"36093.county","1.439327",".0026583","541.45","1.94e-17",".3724323",".0004667","797.9286","1.28e-18","1.066895",".0023528","453.4613","6.70e-17","1.124519",".0025772","436.3318","8.77e-17"
"36101.county","2.378179",".038694","61.4612","7.93e-11","1.024866",".0067101","152.7359","1.36e-13","1.353313",".034651","39.05557","1.88e-09","1.86593",".0385852","48.35868","4.23e-10"
"36103.county",".3773466",".0013669","276.0514","2.16e-15",".5207559",".0002279","2284.781","8.13e-22","-.1434093",".0012394","-115.7088","9.50e-13",".4282653",".0014148","302.6952","1.13e-15"
"36105.county","2.015083",".0324658","62.06785","7.40e-11","1.01658",".0056313","180.5235","4.22e-14",".9985034",".0290534","34.36791","4.58e-09","1.55468",".0323252","48.09495","4.40e-10"
"36107.county","1.294044",".0142099","91.06619","5.07e-12",".6927091",".0024619","281.3746","1.89e-15",".6013354",".0127386","47.20582","5.01e-10","1.196076",".0142008","84.2258","8.76e-12"
"36109.county",".0405131",".0188217","2.152462",".0683646","-.0016058",".0032616","-.492346",".6375396",".0421189",".016871","2.496521",".0412015",".092248",".0188062","4.905182",".0017428"
"36111.county","1.105746",".0086453","127.9015","4.71e-13",".5951187",".0014992","396.9502","1.70e-16",".5106269",".0077326","66.0352","4.80e-11",".9800851",".0085967","114.0068","1.05e-12"
"36113.county","1.384254",".014384","96.23534","3.45e-12",".7095618",".0024968","284.1856","1.76e-15",".6746919",".0128555","52.48277","2.39e-10","1.298908",".0142784","90.97027","5.11e-12"
"36115.county","1.396382",".0071365","195.6672","2.40e-14",".7259464",".0012389","585.954","1.11e-17",".6704361",".0063843","105.0135","1.87e-12","1.275505",".0070933","179.8194","4.34e-14"
"36117.county","1.200395",".0228015","52.64542","2.34e-10",".7909391",".003954","200.0365","2.06e-14",".4094556",".0204298","20.04212","1.93e-07","1.037738",".0227616","45.59158","6.38e-10"
"36119.county",".0859405",".0063972","13.43399","2.97e-06",".088934",".0011053","80.46492","1.21e-11","-.0029936",".0057488","-.5207282",".618617",".0395046",".0064313","6.142592",".0004709"
"36121.county","1.010513",".0305538","33.07323","5.98e-09",".6114657",".0052981","115.4124","9.67e-13",".3990472",".0273699","14.57976","1.71e-06",".7790525",".0304885","25.55234","3.59e-08"
