"","m2_allapps","","","","m2_DIonly","","","","m2_SSItotal","","","","m2_SSDItotal","","",""
"34023.county","-.0168654",".0002221","-75.9423","1.81e-11",".2067682",".0001149","1799.693","4.32e-21","-.2236336",".0002205","-1014.43","2.39e-19",".1023907",".0002096","488.59","3.97e-17"
"34025.county",".1669744",".0024182","69.04994","3.51e-11",".2410261",".001028","234.4713","6.78e-15","-.0740518",".0023045","-32.13384","7.31e-09",".2283417",".0022897","99.72556","2.69e-12"
"34027.county","-.5480878",".0154471","-35.48155","3.67e-09",".0372535",".0063241","5.890699",".0006051","-.5853413",".0146297","-40.01059","1.59e-09","-.2848974",".0146563","-19.43859","2.38e-07"
"34029.county",".8265668",".0102278","80.81591","1.17e-11",".7159346",".0041434","172.7905","5.74e-14",".1106322",".0096365","11.48058","8.55e-06",".8939455",".0097267","91.90661","4.76e-12"
"34031.county",".8419343",".0230842","36.47237","3.03e-09",".1931802",".0094666","20.40654","1.70e-07",".6487541",".0218424","29.7016","1.26e-08",".5317076",".0219163","24.26081","5.15e-08"
"34033.county","1.399481",".0137582","101.7198","2.34e-12",".649016",".0056217","115.4479","9.65e-13",".7504652",".0129894","57.77531","1.22e-10","1.249351",".0130715","95.57798","3.62e-12"
"34035.county","-.4327343",".013877","-31.18366","9.01e-09",".1055281",".0057111","18.47774","3.37e-07","-.5382623",".0131718","-40.86478","1.37e-09","-.1897128",".0131536","-14.42283","1.84e-06"
"34037.county",".1799467",".0021427","83.98185","8.94e-12",".394891",".0008667","455.6269","6.48e-17","-.2149443",".0020362","-105.5637","1.80e-12",".3429304",".0020288","169.0274","6.69e-14"
"34039.county",".3243071",".0096371","33.65195","5.30e-09",".2307799",".0039619","58.24909","1.15e-10",".0935272",".0091164","10.25922",".0000181",".3028226",".0091524","33.08661","5.96e-09"
"34041.county",".4339447",".003049","142.3216","2.23e-13",".405705",".0012465","325.4635","6.83e-16",".0282396",".0028993","9.740027",".0000254",".5087134",".0028861","176.266","4.99e-14"
"36001.county","1.095969",".0029074","376.9529","2.44e-16",".264644",".0012113","218.4776","1.11e-14",".8313251",".0027648","300.683","1.19e-15",".8240734",".002752","299.4497","1.22e-15"
"36003.county","1.427378",".0239625","59.56721","9.86e-11",".6291301",".0098275","64.01729","5.96e-11",".7982475",".0226787","35.19805","3.88e-09","1.217893",".0227449","53.54566","2.08e-10"
"36007.county","2.055808",".0100969","203.6085","1.82e-14",".6093953",".0041332","147.4376","1.74e-13","1.446412",".0095505","151.4485","1.44e-13","1.502456",".0095885","156.693","1.14e-13"
"36009.county","1.999251",".0190683","104.847","1.89e-12",".8235959",".0078503","104.9124","1.88e-12","1.175655",".018072","65.05408","5.33e-11","1.709865",".0180906","94.51672","3.91e-12"
"36011.county","1.146977",".0098481","116.4662","9.07e-13",".6454167",".0040588","159.0158","1.03e-13",".5015601",".009326","53.78064","2.01e-10",".9810226",".0093495","104.9277","1.88e-12"
"36013.county","2.29655",".0091968","249.7111","4.36e-15",".7586782",".0037842","200.485","2.03e-14","1.537872",".0087185","176.3914","4.97e-14","1.715935",".0087243","196.6857","2.32e-14"
"36017.county","1.96544",".0159977","122.8579","6.24e-13",".8375693",".0065685","127.5126","4.81e-13","1.127871",".0151296","74.54729","2.06e-11","1.652264",".015195","108.7373","1.47e-12"
"36019.county","1.577722",".0231917","68.02961","3.90e-11","1.06337",".0094819","112.1473","1.18e-12",".5143517",".0219195","23.46552","6.48e-08","1.383528",".0220293","62.80385","6.82e-11"
"36021.county","1.759228",".0036726","479.0153","4.56e-17",".6344853",".0014862","426.912","1.02e-16","1.124743",".0034542","325.6152","6.80e-16","1.4261",".003498","407.6852","1.41e-16"
"36023.county","1.124775",".0209135","53.78217","2.01e-10",".475771",".0085637","55.55698","1.61e-10",".6490044",".0197848","32.80323","6.33e-09","1.023165",".0198586","51.52266","2.72e-10"
"36025.county","1.739702",".006429","270.6013","2.49e-15",".7830502",".0026568","294.73","1.37e-15",".9566514",".0061041","156.7233","1.14e-13","1.434495",".0060904","235.5331","6.57e-15"
"36027.county",".7389876",".0020963","352.5218","3.90e-16",".5687497",".0008606","660.8985","4.80e-18",".1702379",".0019933","85.40455","7.95e-12",".6904699",".001986","347.6695","4.30e-16"
"36031.county","1.238007",".0246776","50.16731","3.27e-10",".9139412",".0101339","90.18608","5.43e-12",".3240655",".0233475","13.88007","2.38e-06","1.161654",".0234345","49.57016","3.56e-10"
"36033.county","1.308885",".0276751","47.2947","4.94e-10",".8749374",".0113388","77.1633","1.62e-11",".4339475",".0261769","16.57752","7.10e-07",".976847",".0262781","37.17345","2.65e-09"
"36035.county","2.259578",".022833","98.96119","2.84e-12",".9454697",".0093488","101.1328","2.44e-12","1.314108",".0215956","60.85085","8.50e-11","1.849102",".0216795","85.29256","8.02e-12"
"36037.county","1.388304",".010562","131.4438","3.89e-13",".8069999",".0043517","185.444","3.50e-14",".5813037",".0100104","58.06978","1.18e-10","1.314454",".010022","131.1571","3.95e-13"
"36039.county","1.80403",".0124576","144.8135","1.98e-13",".7473724",".0051079","146.3166","1.84e-13","1.056658",".0117671","89.79756","5.59e-12","1.475191",".0118366","124.6295","5.65e-13"
"36043.county","2.082557",".0172522","120.7125","7.06e-13",".9116301",".0070872","128.6303","4.53e-13","1.170927",".0163332","71.6899","2.70e-11","1.786747",".0163748","109.1154","1.43e-12"
"36045.county","1.415754",".0286216","49.46449","3.61e-10",".8882102",".0116171","76.45689","1.72e-11",".5275433",".0270459","19.50548","2.32e-07","1.231142",".0271604","45.32854","6.65e-10"
"36047.county","1.04808",".0232823","45.01627","6.97e-10",".1066472",".0094821","11.2472","9.81e-06",".9414328",".0219827","42.82602","9.88e-10",".3997014",".0221236","18.06678","3.93e-07"
"36051.county",".936552",".0144963","64.60645","5.59e-11",".6037164",".0059634","101.2374","2.42e-12",".3328356",".013722","24.25566","5.15e-08",".9178832",".013765","66.68251","4.48e-11"
"36053.county",".9698695",".0124347","77.99674","1.50e-11",".5842431",".0050913","114.7531","1.01e-12",".3856264",".0117599","32.7916","6.35e-09",".9432702",".0118083","79.88229","1.27e-11"
"36057.county","2.067386",".0276543","74.75809","2.02e-11",".8447942",".0113321","74.54873","2.06e-11","1.222592",".0261521","46.74926","5.36e-10","1.725899",".0262654","65.71004","4.97e-11"
"36059.county","-.0412976",".0037337","-11.0609",".000011",".3580119",".0015432","231.9943","7.30e-15","-.3993095",".003511","-113.7303","1.07e-12",".105641",".0035623","29.65502","1.28e-08"
"36061.county",".7027481",".0049477","142.0343","2.26e-13","-.1778813",".0019685","-90.36227","5.35e-12",".8806294",".0046256","190.3834","2.91e-14",".1000637",".0047196","21.2016","1.31e-07"
"36065.county","2.174536",".007001","310.6023","9.47e-16",".8016302",".0028741","278.9162","2.01e-15","1.372905",".0066209","207.3603","1.60e-14","1.570825",".006651","236.1792","6.44e-15"
"36067.county","1.798128",".0039842","451.3106","6.92e-17",".5947179",".0016377","363.1386","3.17e-16","1.20341",".0037714","319.0909","7.84e-16","1.261716",".0037837","333.4617","5.76e-16"
"36069.county",".6947565",".0048627","142.8759","2.17e-13",".6088691",".0019722","308.7231","9.88e-16",".0858875",".0045868","18.72481","3.08e-07",".7324912",".0046185","158.5979","1.05e-13"
"36071.county",".6960461",".0037236","186.928","3.31e-14",".7393274",".0014883","496.7615","3.54e-17","-.0432813",".0034847","-12.42029","5.05e-06",".645247",".0035536","181.576","4.06e-14"
"36073.county","1.984045",".0280693","70.68383","2.98e-11",".8547235",".0115443","74.03836","2.16e-11","1.129321",".0265775","42.49166","1.04e-09","1.534615",".0266479","57.58856","1.25e-10"
"36075.county","1.852348",".0306656","60.40484","8.95e-11",".9236342",".0125757","73.4462","2.28e-11",".9287137",".0290133","32.00993","7.51e-09","1.571951",".0291157","53.98982","1.96e-10"
"36077.county",".9012926",".0077146","116.8293","8.88e-13",".4768601",".0031567","151.0632","1.47e-13",".4244325",".0072903","58.21855","1.16e-10",".8029632",".0073281","109.5729","1.39e-12"
"36079.county","-.1216053",".0086941","-13.98715","2.26e-06",".3618908",".0035481","101.9954","2.30e-12","-.4834961",".0082271","-58.76868","1.08e-10",".0960623",".0082506","11.64309","7.78e-06"
"36081.county",".1375718",".0075683","18.17729","3.77e-07",".1066281",".0030544","34.90979","4.11e-09",".0309437",".0071286","4.340759",".0033929",".0560257",".0071991","7.782362",".0001087"
"36083.county","1.206253",".0022524","535.5521","2.09e-17",".410063",".0009014","454.9211","6.55e-17",".7961902",".0021126","376.8832","2.44e-16",".9914637",".0021447","462.2785","5.85e-17"
"36085.county","1.102941",".0082785","133.2289","3.54e-13",".7593221",".0033272","228.2158","8.19e-15",".3436189",".0077536","44.3173","7.78e-10",".7826707",".0079047","99.01353","2.82e-12"
"36087.county",".001413",".0033341",".4238105",".6844231",".2928193",".0014005","209.0792","1.51e-14","-.2914062",".0031818","-91.58574","4.87e-12",".0334945",".003152","10.6266",".0000143"
"36089.county","1.975222",".0313742","62.95685","6.70e-11","1.090037",".0128626","84.74496","8.39e-12",".8851856",".029677","29.82729","1.23e-08","1.546079",".029791","51.89759","2.58e-10"
"36091.county",".1696427",".007311","23.20372","7.01e-08",".2557708",".0030289","84.44226","8.60e-12","-.0861281",".0069416","-12.40752","5.08e-06",".3280077",".006934","47.3043","4.93e-10"
"36093.county","1.43977",".0014821","971.4329","3.24e-19",".3724678",".0005726","650.5347","5.36e-18","1.067303",".0013651","781.8759","1.48e-18","1.125873",".0014269","789.0258","1.39e-18"
"36101.county","2.383525",".0213625","111.5752","1.22e-12","1.025535",".0087701","116.9353","8.82e-13","1.35799",".0202165","67.17225","4.26e-11","1.886241",".0202807","93.00685","4.38e-12"
"36103.county",".3771869",".000725","520.2711","2.56e-17",".5207352",".0003297","1579.374","1.08e-20","-.1435483",".0006761","-212.331","1.36e-14",".4274989",".0007033","607.8426","8.61e-18"
"36105.county","2.019616",".017929","112.6452","1.15e-12","1.017134",".0073318","138.729","2.67e-13","1.002482",".0169443","59.16324","1.03e-10","1.57169",".0170295","92.29194","4.62e-12"
"36107.county","1.295991",".0078409","165.2854","7.83e-14",".692958",".0032403","213.8544","1.29e-14",".6030331",".0074274","81.19005","1.13e-11","1.203566",".0074424","161.717","9.12e-14"
"36109.county",".0379394",".0103866","3.652739",".0081483","-.0019376",".0042839","-.4523074",".6647313",".0398771",".0098482","4.049166",".004876",".0823402",".0098499","8.359465",".0000688"
"36111.county","1.10697",".0047756","231.7988","7.34e-15",".5952648",".0019482","305.553","1.06e-15",".5117053",".0045052","113.5808","1.08e-12",".9846127",".0045393","216.9092","1.17e-14"
"36113.county","1.38631",".0079504","174.3704","5.38e-14",".7097999",".0032329","219.557","1.07e-14",".67651",".0074853","90.37798","5.35e-12","1.306425",".0075674","172.6397","5.77e-14"
"36115.county","1.397406",".0039486","353.8977","3.80e-16",".7260661",".001617","449.0284","7.17e-17",".6713398",".0037174","180.5928","4.21e-14","1.279252",".0037596","340.261","5.00e-16"
"36117.county","1.203523",".0125883","95.60673","3.61e-12",".7913383",".0051803","152.7592","1.36e-13",".4121845",".0119295","34.55167","4.41e-09","1.049722",".0119414","87.90627","6.49e-12"
"36119.county",".0851024",".0035201","24.17606","5.27e-08",".0888148",".0014669","60.54601","8.80e-11","-.0037124",".0033606","-1.104699",".305809",".0361174",".0033251","10.86198",".0000124"
"36121.county","1.014717",".0168666","60.1613","9.20e-11",".6119946",".0069407","88.1743","6.36e-12",".4027226",".0159649","25.22554","3.93e-08",".7951095",".0160153","49.64672","3.52e-10"
"42001.county",".5306171",".0110342","48.08856","4.40e-10",".4820208",".0045482","105.9798","1.76e-12",".0485963",".0104859","4.634446",".0023852",".6704347",".0104546","64.12843","5.89e-11"
"42005.county","2.521414",".0215494","117.0064","8.78e-13",".9397123",".0088589","106.0751","1.74e-12","1.581702",".0204083","77.50271","1.57e-11","1.896418",".0204538","92.71723","4.47e-12"
"42011.county","1.541081",".0060608","254.2712","3.84e-15",".4839119",".0024428","198.1001","2.20e-14","1.057169",".005685","185.9568","3.43e-14","1.178467",".0057775","203.9768","1.80e-14"
"42015.county","2.212409",".0097494","226.9267","8.52e-15",".8525264",".0040176","212.1957","1.36e-14","1.359882",".0092263","147.3925","1.75e-13","1.708871",".0092579","184.5855","3.62e-14"
"42025.county","2.028622",".0267569","75.81666","1.83e-11","1.306063",".0108984","119.8399","7.43e-13",".7225593",".0252581","28.60698","1.64e-08","1.900044",".0254267","74.72624","2.02e-11"
"42027.county","-.1257537",".0063375","-19.84267","2.06e-07",".0267602",".0026696","10.02419",".0000211","-.1525139",".0060338","-25.27653","3.87e-08",".0267053",".0060019","4.449504",".0029734"
"42029.county","-.1728946",".0136702","-12.64759","4.47e-06",".1120161",".0056659","19.77031","2.12e-07","-.2849107",".0129982","-21.91932","1.04e-07",".0137574",".0129521","1.062181",".3234189"
"42031.county","1.732545",".0141253","122.6552","6.31e-13",".4311519",".005803","74.29768","2.10e-11","1.301393",".0133786","97.27441","3.20e-12","1.344365",".0134081","100.2654","2.59e-12"
"42037.county","1.915038",".0215137","89.01469","5.95e-12",".6217945",".0088002","70.65684","2.99e-11","1.293243",".0203406","63.57943","6.25e-11","1.676508",".0204319","82.05329","1.05e-11"
"42039.county","2.628379",".0180452","145.655","1.90e-13",".6620268",".0073998","89.46576","5.74e-12","1.966352",".0170691","115.1993","9.79e-13","2.113681",".0171373","123.3383","6.07e-13"
"42041.county",".2359013",".0112031","21.0568","1.37e-07",".4639755",".00464","99.99442","2.64e-12","-.2280742",".0106496","-21.41632","1.22e-07",".4195284",".010613","39.52973","1.73e-09"
"42055.county",".9665129",".0125534","76.99197","1.64e-11",".5646463",".0052198","108.173","1.52e-12",".4018667",".0119489","33.63216","5.32e-09",".9743903",".0118895","81.95409","1.06e-11"
"42063.county","1.611551",".0145864","110.4828","1.31e-12",".5962525",".0059802","99.70422","2.69e-12","1.015299",".0138055","73.54326","2.26e-11","1.291256",".0138468","93.2533","4.30e-12"
"42065.county","2.360188",".0138918","169.8979","6.46e-14",".9066494",".0057065","158.881","1.03e-13","1.453539",".0131444","110.582","1.30e-12","1.899983",".0131914","144.0324","2.05e-13"
"42071.county","1.153218",".0104355","110.5092","1.31e-12",".3013485",".0043235","69.69998","3.29e-11",".8518693",".0099103","85.95838","7.59e-12","1.029806",".0098925","104.0999","1.99e-12"
"42075.county","1.149503",".011123","103.3451","2.09e-12",".6200733",".004608","134.5642","3.30e-13",".5294295",".0105672","50.10123","3.30e-10","1.046997",".0105421","99.31606","2.76e-12"
"42089.county","1.649829",".0176305","93.57807","4.19e-12","1.048944",".0071864","145.9623","1.87e-13",".6008858",".0166166","36.16187","3.21e-09","1.553994",".0167654","92.69073","4.48e-12"
"42095.county","1.173174",".0087823","133.5833","3.48e-13",".6067458",".0035398","171.4065","6.07e-14",".5664281",".0082495","68.66244","3.65e-11","1.094427",".0083631","130.8638","4.01e-13"
"42103.county","1.324937",".0239932","55.22142","1.67e-10",".9542282",".0097271","98.09955","3.01e-12",".3707091",".0225786","16.41859","7.58e-07","1.293504",".0228309","56.65595","1.40e-10"
"42109.county",".809229",".0059734","135.4727","3.15e-13",".4118427",".0024365","169.0294","6.69e-14",".3973863",".0056382","70.48138","3.04e-11",".812382",".0056774","143.0902","2.15e-13"
"42111.county","1.876911",".0250731","74.85756","2.00e-11",".9578063",".010285","93.12694","4.34e-12",".9191052",".0237284","38.73439","1.99e-09","1.480385",".0238045","62.18917","7.30e-11"
"42115.county","2.086057",".010059","207.3824","1.60e-14",".8056476",".0041532","193.9803","2.55e-14","1.280409",".0095287","134.3735","3.33e-13","1.754933",".0095457","183.8454","3.72e-14"
"42117.county","2.342781",".0223315","104.9092","1.88e-12",".9588473",".0091668","104.5994","1.92e-12","1.383934",".0211515","65.42957","5.12e-11","2.079734",".0211894","98.14983","3.00e-12"
"42127.county","1.94529",".00523","371.9473","2.68e-16",".970781",".002071","468.7488","5.31e-17",".9745094",".0048814","199.6375","2.09e-14","1.660055",".004998","332.1435","5.92e-16"
"42129.county","1.746737",".0128318","136.126","3.05e-13",".7154813",".0052703","135.7578","3.10e-13","1.031256",".0121446","84.91497","8.27e-12","1.47111",".0121821","120.7597","7.04e-13"
"42131.county","1.784105",".0183603","97.17169","3.22e-12",".8130548",".007528","108.0041","1.54e-12",".9710506",".0173681","55.90992","1.54e-10","1.547469",".0174336","88.76353","6.07e-12"
"50007.county",".2147256",".0156448","13.72509","2.57e-06",".1198175",".0064568","18.55686","3.27e-07",".0949081",".0148264","6.401295",".0003668",".2557692",".0148441","17.23034","5.45e-07"
"50019.county","1.787071",".0234084","76.34309","1.74e-11",".354686",".0095987","36.95144","2.76e-09","1.432385",".0221282","64.73124","5.52e-11","1.400477",".0222333","62.99017","6.68e-11"
"_cons","1.713291",".0822597","20.82781","1.48e-07",".600935",".0261229","23.00419","7.44e-08","1.112356",".0864759","12.86319","3.98e-06","1.299939",".0712797","18.23716","3.69e-07"
"N","1824","","","","1824","","","","1824","","","","1824","","",""
"r2",".9480726","","","",".8950164","","","",".9582112","","","",".9306717","","",""
"df_m","6","","","","6","","","","6","","","","6","","",""
"df_r","7","","","","7","","","","7","","","","7","","",""
"df_b","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","",""
