"name","value","note","date"
"signMismatchEpsPointZeroZeroZeroOneLaplace","33.5\%",NA,2026-09-04
"signMismatchRoundedEpsPointZeroZeroZeroOneLaplace","33\%",NA,2026-09-04
"numTrialsTotal","3030",NA,2026-09-04
"signMatchEpsOneThousandGaussianPerfectPriv","99.8\%",NA,2026-09-04
"signMatchRoundedEpsOneThousandGaussianPerfectPriv","100\%",NA,2026-09-04
"signMismatchEpsOneThousandGaussianPerfectPriv","0.2\%",NA,2026-09-04
"signMismatchRoundedEpsOneThousandGaussianPerfectPriv","0\%",NA,2026-09-04
"signMatchEpsOneThousandLaplacePerfectPriv","99.8\%",NA,2026-09-04
"signMatchRoundedEpsOneThousandLaplacePerfectPriv","100\%",NA,2026-09-04
"signMismatchEpsOneThousandLaplacePerfectPriv","0.2\%",NA,2026-09-04
"signMismatchRoundedEpsOneThousandLaplacePerfectPriv","0\%",NA,2026-09-04
"signMatchEpsOneHundredGaussianPerfectPriv","98.6\%",NA,2026-09-04
"signMatchRoundedEpsOneHundredGaussianPerfectPriv","99\%",NA,2026-09-04
"signMismatchEpsOneHundredGaussianPerfectPriv","1.4\%",NA,2026-09-04
"signMismatchRoundedEpsOneHundredGaussianPerfectPriv","1\%",NA,2026-09-04
"signMatchEpsOneHundredLaplacePerfectPriv","99.3\%",NA,2026-09-04
"signMatchRoundedEpsOneHundredLaplacePerfectPriv","99\%",NA,2026-09-04
"signMismatchEpsOneHundredLaplacePerfectPriv","0.7\%",NA,2026-09-04
"signMismatchRoundedEpsOneHundredLaplacePerfectPriv","1\%",NA,2026-09-04
"signMatchEpsTenGaussianPerfectPriv","96.7\%",NA,2026-09-04
"signMatchRoundedEpsTenGaussianPerfectPriv","97\%",NA,2026-09-04
"signMismatchEpsTenGaussianPerfectPriv","3.3\%",NA,2026-09-04
"signMismatchRoundedEpsTenGaussianPerfectPriv","3\%",NA,2026-09-04
"signMatchEpsTenLaplacePerfectPriv","94.7\%",NA,2026-09-04
"signMatchRoundedEpsTenLaplacePerfectPriv","95\%",NA,2026-09-04
"signMismatchEpsTenLaplacePerfectPriv","5.3\%",NA,2026-09-04
"signMismatchRoundedEpsTenLaplacePerfectPriv","5\%",NA,2026-09-04
"signMatchEpsOneGaussianPerfectPriv","93.4\%",NA,2026-09-04
"signMatchRoundedEpsOneGaussianPerfectPriv","93\%",NA,2026-09-04
"signMismatchEpsOneGaussianPerfectPriv","6.6\%",NA,2026-09-04
"signMismatchRoundedEpsOneGaussianPerfectPriv","7\%",NA,2026-09-04
"signMatchEpsOneLaplacePerfectPriv","91.0\%",NA,2026-09-04
"signMatchRoundedEpsOneLaplacePerfectPriv","91\%",NA,2026-09-04
"signMismatchEpsOneLaplacePerfectPriv","9.0\%",NA,2026-09-04
"signMismatchRoundedEpsOneLaplacePerfectPriv","9\%",NA,2026-09-04
"signMatchEpsPointOneGaussianPerfectPriv","85.9\%",NA,2026-09-04
"signMatchRoundedEpsPointOneGaussianPerfectPriv","86\%",NA,2026-09-04
