"name","value","note","date"
"epiSignDisparityEpsPointZeroZeroOneLaplaceAlphaOne","52.1\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroOneLaplaceAlphaOne","52\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroOneGaussianAlphaOne","58.0\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroOneGaussianAlphaOne","58\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroOneLaplaceAlphaOne","50.4\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroOneLaplaceAlphaOne","50\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroOneGaussianAlphaOne","2.3\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroOneGaussianAlphaOne","2\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroOneLaplaceAlphaOne","2.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroOneLaplaceAlphaOne","2\%",NA,2026-09-04
"signFlipEpsPointZeroZeroOneGaussianAlphaOne","1.4\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroOneGaussianAlphaOne","1\%",NA,2026-09-04
"signFlipEpsPointZeroZeroOneLaplaceAlphaOne","1.3\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroOneLaplaceAlphaOne","1\%",NA,2026-09-04
"epiParityEpsPointZeroZeroOneGaussianAlphaFive","51.9\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroOneGaussianAlphaFive","52\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroOneGaussianAlphaFive","48.1\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroOneGaussianAlphaFive","48\%",NA,2026-09-04
"epiParityEpsPointZeroZeroOneLaplaceAlphaFive","47.9\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroOneLaplaceAlphaFive","48\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroOneLaplaceAlphaFive","52.1\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroOneLaplaceAlphaFive","52\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroOneGaussianAlphaFive","51.6\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroOneGaussianAlphaFive","52\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroOneGaussianAlphaFive","48.4\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroOneGaussianAlphaFive","48\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroOneLaplaceAlphaFive","47.3\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroOneLaplaceAlphaFive","47\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroOneLaplaceAlphaFive","52.7\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroOneLaplaceAlphaFive","53\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroOneGaussianAlphaFive","52.6\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroOneGaussianAlphaFive","53\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroOneLaplaceAlphaFive","44.8\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroOneLaplaceAlphaFive","45\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroOneGaussianAlphaFive","3.8\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroOneGaussianAlphaFive","4\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroOneLaplaceAlphaFive","4.1\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroOneLaplaceAlphaFive","4\%",NA,2026-09-04
"signFlipEpsPointZeroZeroOneGaussianAlphaFive","2.5\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroOneGaussianAlphaFive","3\%",NA,2026-09-04
"signFlipEpsPointZeroZeroOneLaplaceAlphaFive","3.2\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroOneLaplaceAlphaFive","3\%",NA,2026-09-04
"epiParityEpsPointZeroZeroOneGaussianAlphaTen","53.8\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroOneGaussianAlphaTen","54\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroOneGaussianAlphaTen","46.2\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroOneGaussianAlphaTen","46\%",NA,2026-09-04
"epiParityEpsPointZeroZeroOneLaplaceAlphaTen","49.3\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroOneLaplaceAlphaTen","49\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroOneLaplaceAlphaTen","50.7\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroOneLaplaceAlphaTen","51\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroOneGaussianAlphaTen","53.5\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroOneGaussianAlphaTen","53\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroOneGaussianAlphaTen","46.5\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroOneGaussianAlphaTen","47\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroOneLaplaceAlphaTen","49.2\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroOneLaplaceAlphaTen","49\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroOneLaplaceAlphaTen","50.8\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroOneLaplaceAlphaTen","51\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroOneGaussianAlphaTen","48.9\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroOneGaussianAlphaTen","49\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroOneLaplaceAlphaTen","41.9\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroOneLaplaceAlphaTen","42\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroOneGaussianAlphaTen","5.1\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroOneGaussianAlphaTen","5\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroOneLaplaceAlphaTen","5.7\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroOneLaplaceAlphaTen","6\%",NA,2026-09-04
"signFlipEpsPointZeroZeroOneGaussianAlphaTen","4.0\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroOneGaussianAlphaTen","4\%",NA,2026-09-04
"signFlipEpsPointZeroZeroOneLaplaceAlphaTen","4.7\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroOneLaplaceAlphaTen","5\%",NA,2026-09-04
"epiParityEpsPointZeroZeroZeroOneGaussianAlphaOne","45.1\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroZeroOneGaussianAlphaOne","45\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroZeroOneGaussianAlphaOne","54.9\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroZeroOneGaussianAlphaOne","55\%",NA,2026-09-04
"epiParityEpsPointZeroZeroZeroOneLaplaceAlphaOne","42.1\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaOne","42\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroZeroOneLaplaceAlphaOne","57.9\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaOne","58\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroZeroOneGaussianAlphaOne","43.9\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroZeroOneGaussianAlphaOne","44\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroZeroOneGaussianAlphaOne","56.1\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroZeroOneGaussianAlphaOne","56\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroZeroOneLaplaceAlphaOne","40.7\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaOne","41\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroZeroOneLaplaceAlphaOne","59.3\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaOne","59\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroZeroOneGaussianAlphaOne","46.7\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroZeroOneGaussianAlphaOne","47\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroZeroOneLaplaceAlphaOne","43.6\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroZeroOneLaplaceAlphaOne","44\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroZeroOneGaussianAlphaOne","3.2\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroZeroOneGaussianAlphaOne","3\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroZeroOneLaplaceAlphaOne","3.4\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroZeroOneLaplaceAlphaOne","3\%",NA,2026-09-04
"signFlipEpsPointZeroZeroZeroOneGaussianAlphaOne","2.9\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroZeroOneGaussianAlphaOne","3\%",NA,2026-09-04
"signFlipEpsPointZeroZeroZeroOneLaplaceAlphaOne","3.1\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroZeroOneLaplaceAlphaOne","3\%",NA,2026-09-04
"epiParityEpsPointZeroZeroZeroOneGaussianAlphaFive","44.8\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroZeroOneGaussianAlphaFive","45\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroZeroOneGaussianAlphaFive","55.2\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroZeroOneGaussianAlphaFive","55\%",NA,2026-09-04
"epiParityEpsPointZeroZeroZeroOneLaplaceAlphaFive","42.5\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaFive","42\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroZeroOneLaplaceAlphaFive","57.5\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaFive","58\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroZeroOneGaussianAlphaFive","44.1\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroZeroOneGaussianAlphaFive","44\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroZeroOneGaussianAlphaFive","55.9\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroZeroOneGaussianAlphaFive","56\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroZeroOneLaplaceAlphaFive","42.2\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaFive","42\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroZeroOneLaplaceAlphaFive","57.8\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaFive","58\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroZeroOneGaussianAlphaFive","40.6\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroZeroOneGaussianAlphaFive","41\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroZeroOneLaplaceAlphaFive","36.9\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroZeroOneLaplaceAlphaFive","37\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroZeroOneGaussianAlphaFive","4.8\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroZeroOneGaussianAlphaFive","5\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroZeroOneLaplaceAlphaFive","4.9\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroZeroOneLaplaceAlphaFive","5\%",NA,2026-09-04
"signFlipEpsPointZeroZeroZeroOneGaussianAlphaFive","3.9\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroZeroOneGaussianAlphaFive","4\%",NA,2026-09-04
"signFlipEpsPointZeroZeroZeroOneLaplaceAlphaFive","3.9\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroZeroOneLaplaceAlphaFive","4\%",NA,2026-09-04
"epiParityEpsPointZeroZeroZeroOneGaussianAlphaTen","46.5\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroZeroOneGaussianAlphaTen","46\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroZeroOneGaussianAlphaTen","53.5\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroZeroOneGaussianAlphaTen","54\%",NA,2026-09-04
"epiParityEpsPointZeroZeroZeroOneLaplaceAlphaTen","43.2\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaTen","43\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroZeroOneLaplaceAlphaTen","56.8\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaTen","57\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroZeroOneGaussianAlphaTen","46.3\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroZeroOneGaussianAlphaTen","46\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroZeroOneGaussianAlphaTen","53.7\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroZeroOneGaussianAlphaTen","54\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroZeroOneLaplaceAlphaTen","43.3\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaTen","43\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroZeroOneLaplaceAlphaTen","56.7\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaTen","57\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroZeroOneGaussianAlphaTen","38.1\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroZeroOneGaussianAlphaTen","38\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroZeroOneLaplaceAlphaTen","34.7\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroZeroOneLaplaceAlphaTen","35\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroZeroOneGaussianAlphaTen","5.9\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroZeroOneGaussianAlphaTen","6\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroZeroOneLaplaceAlphaTen","6.4\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroZeroOneLaplaceAlphaTen","6\%",NA,2026-09-04
"signFlipEpsPointZeroZeroZeroOneGaussianAlphaTen","5.0\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroZeroOneGaussianAlphaTen","5\%",NA,2026-09-04
"signFlipEpsPointZeroZeroZeroOneLaplaceAlphaTen","5.0\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroZeroOneLaplaceAlphaTen","5\%",NA,2026-09-04
"epiDisparityEpsOneGaussianMinusLaplaceAlphaTen","5.8\%",NA,2026-09-04
"epiParityEpsOneThousandGaussianAlphaOnePerfectPriv","99.7\%",NA,2026-09-04
"epiParityRoundedEpsOneThousandGaussianAlphaOnePerfectPriv","100\%",NA,2026-09-04
"epiDisparityEpsOneThousandGaussianAlphaOnePerfectPriv","0.3\%",NA,2026-09-04
"epiDisparityRoundedEpsOneThousandGaussianAlphaOnePerfectPriv","0\%",NA,2026-09-04
"epiParityEpsOneThousandLaplaceAlphaOnePerfectPriv","99.7\%",NA,2026-09-04
"epiParityRoundedEpsOneThousandLaplaceAlphaOnePerfectPriv","100\%",NA,2026-09-04
"epiDisparityEpsOneThousandLaplaceAlphaOnePerfectPriv","0.3\%",NA,2026-09-04
"epiDisparityRoundedEpsOneThousandLaplaceAlphaOnePerfectPriv","0\%",NA,2026-09-04
"epiSignParityEpsOneThousandGaussianAlphaOnePerfectPriv","99.7\%",NA,2026-09-04
"epiSignParityRoundedEpsOneThousandGaussianAlphaOnePerfectPriv","100\%",NA,2026-09-04
"epiSignDisparityEpsOneThousandGaussianAlphaOnePerfectPriv","0.3\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneThousandGaussianAlphaOnePerfectPriv","0\%",NA,2026-09-04
"epiSignParityEpsOneThousandLaplaceAlphaOnePerfectPriv","99.6\%",NA,2026-09-04
"epiSignParityRoundedEpsOneThousandLaplaceAlphaOnePerfectPriv","100\%",NA,2026-09-04
"epiSignDisparityEpsOneThousandLaplaceAlphaOnePerfectPriv","0.4\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneThousandLaplaceAlphaOnePerfectPriv","0\%",NA,2026-09-04
"ciCoverageEpsOneThousandGaussianAlphaOnePerfectPriv","99.9\%",NA,2026-09-04
"ciCoverageRoundedEpsOneThousandGaussianAlphaOnePerfectPriv","100\%",NA,2026-09-04
"ciCoverageEpsOneThousandLaplaceAlphaOnePerfectPriv","100.0\%",NA,2026-09-04
"ciCoverageRoundedEpsOneThousandLaplaceAlphaOnePerfectPriv","100\%",NA,2026-09-04
"epiSignParityFPREpsOneThousandGaussianAlphaOnePerfectPriv","0.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneThousandGaussianAlphaOnePerfectPriv","0\%",NA,2026-09-04
"epiSignParityFPREpsOneThousandLaplaceAlphaOnePerfectPriv","0.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneThousandLaplaceAlphaOnePerfectPriv","0\%",NA,2026-09-04
"signFlipEpsOneThousandGaussianAlphaOnePerfectPriv","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneThousandGaussianAlphaOnePerfectPriv","0\%",NA,2026-09-04
"signFlipEpsOneThousandLaplaceAlphaOnePerfectPriv","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneThousandLaplaceAlphaOnePerfectPriv","0\%",NA,2026-09-04
"epiParityEpsOneThousandGaussianAlphaFivePerfectPriv","97.1\%",NA,2026-09-04
"epiParityRoundedEpsOneThousandGaussianAlphaFivePerfectPriv","97\%",NA,2026-09-04
"epiDisparityEpsOneThousandGaussianAlphaFivePerfectPriv","2.9\%",NA,2026-09-04
"epiDisparityRoundedEpsOneThousandGaussianAlphaFivePerfectPriv","3\%",NA,2026-09-04
"epiParityEpsOneThousandLaplaceAlphaFivePerfectPriv","97.6\%",NA,2026-09-04
"epiParityRoundedEpsOneThousandLaplaceAlphaFivePerfectPriv","98\%",NA,2026-09-04
"epiDisparityEpsOneThousandLaplaceAlphaFivePerfectPriv","2.4\%",NA,2026-09-04
"epiDisparityRoundedEpsOneThousandLaplaceAlphaFivePerfectPriv","2\%",NA,2026-09-04
"epiSignParityEpsOneThousandGaussianAlphaFivePerfectPriv","96.4\%",NA,2026-09-04
"epiSignParityRoundedEpsOneThousandGaussianAlphaFivePerfectPriv","96\%",NA,2026-09-04
"epiSignDisparityEpsOneThousandGaussianAlphaFivePerfectPriv","3.6\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneThousandGaussianAlphaFivePerfectPriv","4\%",NA,2026-09-04
"epiSignParityEpsOneThousandLaplaceAlphaFivePerfectPriv","97.0\%",NA,2026-09-04
"epiSignParityRoundedEpsOneThousandLaplaceAlphaFivePerfectPriv","97\%",NA,2026-09-04
"epiSignDisparityEpsOneThousandLaplaceAlphaFivePerfectPriv","3.0\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneThousandLaplaceAlphaFivePerfectPriv","3\%",NA,2026-09-04
"ciCoverageEpsOneThousandGaussianAlphaFivePerfectPriv","99.9\%",NA,2026-09-04
"ciCoverageRoundedEpsOneThousandGaussianAlphaFivePerfectPriv","100\%",NA,2026-09-04
"ciCoverageEpsOneThousandLaplaceAlphaFivePerfectPriv","100.0\%",NA,2026-09-04
"ciCoverageRoundedEpsOneThousandLaplaceAlphaFivePerfectPriv","100\%",NA,2026-09-04
"epiSignParityFPREpsOneThousandGaussianAlphaFivePerfectPriv","0.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneThousandGaussianAlphaFivePerfectPriv","0\%",NA,2026-09-04
"epiSignParityFPREpsOneThousandLaplaceAlphaFivePerfectPriv","0.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneThousandLaplaceAlphaFivePerfectPriv","0\%",NA,2026-09-04
"signFlipEpsOneThousandGaussianAlphaFivePerfectPriv","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneThousandGaussianAlphaFivePerfectPriv","0\%",NA,2026-09-04
"signFlipEpsOneThousandLaplaceAlphaFivePerfectPriv","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneThousandLaplaceAlphaFivePerfectPriv","0\%",NA,2026-09-04
"epiParityEpsOneThousandGaussianAlphaTenPerfectPriv","99.3\%",NA,2026-09-04
"epiParityRoundedEpsOneThousandGaussianAlphaTenPerfectPriv","99\%",NA,2026-09-04
"epiDisparityEpsOneThousandGaussianAlphaTenPerfectPriv","0.7\%",NA,2026-09-04
"epiDisparityRoundedEpsOneThousandGaussianAlphaTenPerfectPriv","1\%",NA,2026-09-04
"epiParityEpsOneThousandLaplaceAlphaTenPerfectPriv","99.9\%",NA,2026-09-04
"epiParityRoundedEpsOneThousandLaplaceAlphaTenPerfectPriv","100\%",NA,2026-09-04
"epiDisparityEpsOneThousandLaplaceAlphaTenPerfectPriv","0.1\%",NA,2026-09-04
"epiDisparityRoundedEpsOneThousandLaplaceAlphaTenPerfectPriv","0\%",NA,2026-09-04
"epiSignParityEpsOneThousandGaussianAlphaTenPerfectPriv","98.7\%",NA,2026-09-04
"epiSignParityRoundedEpsOneThousandGaussianAlphaTenPerfectPriv","99\%",NA,2026-09-04
"epiSignDisparityEpsOneThousandGaussianAlphaTenPerfectPriv","1.3\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneThousandGaussianAlphaTenPerfectPriv","1\%",NA,2026-09-04
"epiSignParityEpsOneThousandLaplaceAlphaTenPerfectPriv","99.4\%",NA,2026-09-04
"epiSignParityRoundedEpsOneThousandLaplaceAlphaTenPerfectPriv","99\%",NA,2026-09-04
"epiSignDisparityEpsOneThousandLaplaceAlphaTenPerfectPriv","0.6\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneThousandLaplaceAlphaTenPerfectPriv","1\%",NA,2026-09-04
"ciCoverageEpsOneThousandGaussianAlphaTenPerfectPriv","99.8\%",NA,2026-09-04
"ciCoverageRoundedEpsOneThousandGaussianAlphaTenPerfectPriv","100\%",NA,2026-09-04
"ciCoverageEpsOneThousandLaplaceAlphaTenPerfectPriv","100.0\%",NA,2026-09-04
"ciCoverageRoundedEpsOneThousandLaplaceAlphaTenPerfectPriv","100\%",NA,2026-09-04
"epiSignParityFPREpsOneThousandGaussianAlphaTenPerfectPriv","0.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneThousandGaussianAlphaTenPerfectPriv","0\%",NA,2026-09-04
"epiSignParityFPREpsOneThousandLaplaceAlphaTenPerfectPriv","0.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneThousandLaplaceAlphaTenPerfectPriv","0\%",NA,2026-09-04
"signFlipEpsOneThousandGaussianAlphaTenPerfectPriv","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneThousandGaussianAlphaTenPerfectPriv","0\%",NA,2026-09-04
"signFlipEpsOneThousandLaplaceAlphaTenPerfectPriv","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneThousandLaplaceAlphaTenPerfectPriv","0\%",NA,2026-09-04
"epiParityEpsOneHundredGaussianAlphaOnePerfectPriv","96.8\%",NA,2026-09-04
"epiParityRoundedEpsOneHundredGaussianAlphaOnePerfectPriv","97\%",NA,2026-09-04
"epiDisparityEpsOneHundredGaussianAlphaOnePerfectPriv","3.2\%",NA,2026-09-04
"epiDisparityRoundedEpsOneHundredGaussianAlphaOnePerfectPriv","3\%",NA,2026-09-04
"epiParityEpsOneHundredLaplaceAlphaOnePerfectPriv","97.2\%",NA,2026-09-04
"epiParityRoundedEpsOneHundredLaplaceAlphaOnePerfectPriv","97\%",NA,2026-09-04
"epiDisparityEpsOneHundredLaplaceAlphaOnePerfectPriv","2.8\%",NA,2026-09-04
"epiDisparityRoundedEpsOneHundredLaplaceAlphaOnePerfectPriv","3\%",NA,2026-09-04
"epiSignParityEpsOneHundredGaussianAlphaOnePerfectPriv","96.6\%",NA,2026-09-04
"epiSignParityRoundedEpsOneHundredGaussianAlphaOnePerfectPriv","97\%",NA,2026-09-04
"epiSignDisparityEpsOneHundredGaussianAlphaOnePerfectPriv","3.4\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneHundredGaussianAlphaOnePerfectPriv","3\%",NA,2026-09-04
"epiSignParityEpsOneHundredLaplaceAlphaOnePerfectPriv","97.2\%",NA,2026-09-04
"epiSignParityRoundedEpsOneHundredLaplaceAlphaOnePerfectPriv","97\%",NA,2026-09-04
"epiSignDisparityEpsOneHundredLaplaceAlphaOnePerfectPriv","2.8\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneHundredLaplaceAlphaOnePerfectPriv","3\%",NA,2026-09-04
"ciCoverageEpsOneHundredGaussianAlphaOnePerfectPriv","99.1\%",NA,2026-09-04
"ciCoverageRoundedEpsOneHundredGaussianAlphaOnePerfectPriv","99\%",NA,2026-09-04
"ciCoverageEpsOneHundredLaplaceAlphaOnePerfectPriv","99.5\%",NA,2026-09-04
"ciCoverageRoundedEpsOneHundredLaplaceAlphaOnePerfectPriv","99\%",NA,2026-09-04
"epiSignParityFPREpsOneHundredGaussianAlphaOnePerfectPriv","0.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneHundredGaussianAlphaOnePerfectPriv","0\%",NA,2026-09-04
"epiSignParityFPREpsOneHundredLaplaceAlphaOnePerfectPriv","0.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneHundredLaplaceAlphaOnePerfectPriv","0\%",NA,2026-09-04
"signFlipEpsOneHundredGaussianAlphaOnePerfectPriv","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneHundredGaussianAlphaOnePerfectPriv","0\%",NA,2026-09-04
"signFlipEpsOneHundredLaplaceAlphaOnePerfectPriv","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneHundredLaplaceAlphaOnePerfectPriv","0\%",NA,2026-09-04
"epiParityEpsOneHundredGaussianAlphaFivePerfectPriv","94.3\%",NA,2026-09-04
"epiParityRoundedEpsOneHundredGaussianAlphaFivePerfectPriv","94\%",NA,2026-09-04
"epiDisparityEpsOneHundredGaussianAlphaFivePerfectPriv","5.7\%",NA,2026-09-04
"epiDisparityRoundedEpsOneHundredGaussianAlphaFivePerfectPriv","6\%",NA,2026-09-04
"epiParityEpsOneHundredLaplaceAlphaFivePerfectPriv","95.0\%",NA,2026-09-04
"epiParityRoundedEpsOneHundredLaplaceAlphaFivePerfectPriv","95\%",NA,2026-09-04
"epiDisparityEpsOneHundredLaplaceAlphaFivePerfectPriv","5.0\%",NA,2026-09-04
"epiDisparityRoundedEpsOneHundredLaplaceAlphaFivePerfectPriv","5\%",NA,2026-09-04
"epiSignParityEpsOneHundredGaussianAlphaFivePerfectPriv","93.7\%",NA,2026-09-04
"epiSignParityRoundedEpsOneHundredGaussianAlphaFivePerfectPriv","94\%",NA,2026-09-04
