"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","","","est10","","","","est11","","","","est12","","","","est13","","","","est14","","","","est15","","","","est16","","","","est17","","","","est18","","","","est19","","","","est20","","","","est21","","","","est22","","","","est23","","","","est24","","","","est25","","","","est26","","","","est27","","","","est28","","","","est29","","","","est30","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"some_college",".0519009",".2479411",".2093274",".834212","-.1339202",".2403151","-.5572693",".5774001","-.0702492",".2560716","-.2743342",".7838535","-.2168029",".2640639","-.8210247",".4117211",".0782986",".2115166",".3701771",".7112862","-.0109778",".1718247","-.0638894",".9490641","-.0072567",".2247764","-.0322843",".9742483","-.1739231",".2723891","-.6385096",".5232084","-.0892382",".3082581","-.2894918",".7722323",".928454",".4000164","2.32104",".0203756",".0463912",".2021148",".2295289",".8184792",".1389438",".2117693",".6561093",".5118224",".2758603",".2327609","1.185166",".2360797","-.3862165",".2663915","-1.449808",".1472545",".0723133",".2447069",".2955098",".7676324",".0501135",".2121688",".2361962",".8133024","-.4272534",".2640605","-1.618014",".1058027","-.0108702",".2423202","-.0448587",".964224","-.189293",".2828183","-.6693096",".5033682",".2811736",".2539339","1.107271",".2682977","-.0440198",".1956723","-.2249672",".8220257",".3395754",".2241055","1.515248",".1298531",".16638",".2267958",".7336115",".4632637",".7359767",".287575","2.559252",".0105561","-.0430777",".2533241","-.1700498",".8649866",".0518075",".1800237",".2877817",".7735409","-.25091",".1876142","-1.337372",".1812394",".1539031",".2020743",".7616163",".4463705",".4692539",".2474158","1.896621",".0580088",".3367939",".2198922","1.531632",".125757"
"college_deg",".1006731",".2239371",".4495598",".6530721","-.0353821",".2471325","-.1431706",".8861686","-.3244782",".2654715","-1.222271",".2217358","-.1362252",".2532881","-.537827",".5907508",".0051711",".2408591",".0214696",".982873","-.2188161",".2107835","-1.038108",".2993336","-.0287927",".2396261","-.1201568",".9043699","-.2315909",".2677791","-.8648579",".3872109",".021767",".2922765",".074474",".94064",".79029",".3543507","2.230248",".0258314",".099183",".1965465",".5046285",".6138702",".1635545",".2096269",".7802173",".4353468",".3507453",".228322","1.536187",".1246361","-.5718653",".3048508","-1.875886",".0608032","-.0540541",".2333752","-.2316187",".8168557","-.080694",".2351939","-.3430957",".7315592","-.3158269",".2696067","-1.171436",".2415503",".1083836",".2547632",".4254286",".6705658","-.2518609",".2842108","-.8861765",".3756192",".3586163",".2363519","1.517298",".129335","-.080154",".2022586","-.3962944",".6919262",".121027",".2085152",".5804228",".5616889",".0814663",".2291813",".3554667",".7222741",".3896431",".2690993","1.447953",".1477726","-.1569459",".2544613","-.616777",".5374456",".0894001",".1992519",".4486789",".6537074","-.2439445",".1983201","-1.230054",".2188082",".0127065",".2214381",".0573819",".9542462",".3493039",".2448619","1.426534",".1538561","-.2409561",".24212","-.995193",".3197517"
"poverty",".3081734",".1758676","1.752303",".0798608",".1655155",".2015791",".8210948",".4116811",".0113644",".1955886",".0581038",".9536712","-.0239227",".1815468","-.1317716",".895177",".0705056",".1416146",".4978697",".6186256","-.0815861",".1133109","-.7200198",".4715892","-.1359077",".1610902","-.8436748",".3989428",".058303",".1929825",".3021154",".7625926","-.2971529",".2366523","-1.255652",".2093755","-.3944484",".2564549","-1.538081",".1241725","-.049147",".1357633","-.3620051",".7173829","-.1108542",".1595472","-.6948055",".4872505",".1707068",".1602306","1.065382",".28682","-.2675777",".1870962","-1.430161",".1528126","-.1521706",".1787212","-.8514416",".3946167","-.0286047",".1365334","-.2095069",".8340719","-.1512806",".1697829","-.8910239",".3730136","-.1643769",".1732642","-.9487072",".3428738",".2115769",".1992903","1.061652",".2885101","-.1001541",".178731","-.5603624",".5752893","-.0317571",".1485819","-.2137347",".8307737","-.0617228",".1636244","-.3772223",".7060447","-.4407481",".1861217","-2.368064",".0179674","-.344252",".2016141","-1.70748",".0878739","-.4877505",".1964435","-2.482905",".0131055",".0423671",".1250971",".3386736",".7348879","-.1496661",".1304819","-1.147026",".2514957","-.119013",".16104","-.7390275",".459969","-.2887977",".1961249","-1.472519",".1410236","-.411607",".168385","-2.44444",".0145856"
"medhhincwkids_r",".0000252",".0000183","1.375356",".1691609","-.0000303",".0000325","-.9323265",".35127","-.0000207",".0000734","-.2824981",".7775881","-.0000166",".0000438","-.3790815",".7046639",".0000707",".0000465","1.5201",".1286295","-4.59e-06",".0000341","-.134673",".8928827",".0000176",".0000386",".4561251",".648345","-.0000159",".0000421","-.3786246",".7050031","-4.12e-06",".0000419","-.0982964",".9217059","1.68e-06",".000031",".0542374",".956751",".0000351",".0000203","1.724313",".0847917","-.0000403",".0000446","-.9027253",".3667705",".000015",".0000374",".4016351",".6879915","-.0000114",".0000385","-.2961314",".7671577",".0000481",".0000501",".959571",".3373765","-2.43e-06",".0000469","-.0518609",".9586443","-.0000186",".0000427","-.4348327",".6637264","-6.76e-06",".0000382","-.1770357",".8594967",".0000363",".0000365",".9930576",".320791","2.49e-06",".0000263",".0947118",".9245524",".0000294",".000031",".9497372",".34235","9.57e-06",".0000261",".3660668",".7143504","1.60e-06",".000031",".0517407",".95874","-.0000345",".0000315","-1.094998",".2736372","-.0000577",".0000712","-.8103518",".4178256","8.49e-06",".0000268",".3168983",".7513508","1.42e-06",".0000241",".0590086",".9529506",".0000148",".0000259",".5723018",".567176","-.0000872",".0000487","-1.788775",".0737885","-.0000488",".0000379","-1.287525",".1980466"
"_cons","-5.120117","22.92702","-.2233224",".8233053","18.04216","23.07032",".7820505",".434269","41.94913","22.30609","1.880613",".0601563","19.38598","26.22606",".7391874",".459872","9.310237","21.48312",".4333744",".6647852","-12.3098","18.32832","-.6716272",".5018915","20.74246","18.48172","1.122323",".2618474","28.28357","24.67564","1.146214",".2518309","53.33713","28.81679","1.850905",".0643171","-38.90483","31.14503","-1.24915",".2117428","-11.02393","19.43842","-.5671207",".57069","-12.01426","19.1293","-.6280552",".5300329","2.875823","20.23068",".1421515",".8869733","70.68732","26.13875","2.704311",".0068973","9.345597","23.12816",".4040788",".686194","10.50913","20.20031",".5202459",".6029444","52.17059","26.00937","2.005839",".0449954","25.9312","21.228","1.221557",".2220062","27.45897","25.23896","1.08796",".2767319","-23.43074","23.86665","-.9817355",".326338","-.0033601","22.91515","-.0001466",".999883","1.257819","19.95622",".0630289",".9497492","11.50951","20.69683",".5560998",".5781992","-15.06564","24.38987","-.6177009",".5368364","62.0519","23.53221","2.636893",".0084257","1.967016","15.4339",".1274478",".8985976","31.62597","17.32032","1.825946",".0679938","6.576037","19.91082",".3302745",".7412239","11.28904","24.03162",".4697577",".6385747","38.91462","20.28039","1.91883",".055135"
"N","4408","","","","4406","","","","4408","","","","4406","","","","4406","","","","4408","","","","4406","","","","4408","","","","4406","","","","4406","","","","4408","","","","4406","","","","4408","","","","4406","","","","4406","","","","4408","","","","4412","","","","4402","","","","4406","","","","4406","","","","4408","","","","4410","","","","4404","","","","4406","","","","4406","","","","4410","","","","4404","","","","4408","","","","4406","","","","4406","","",""
"r2",".8405808","","","",".8587905","","","",".8489613","","","",".8818116","","","",".9091552","","","",".886352","","","",".8718626","","","",".8941605","","","",".8867993","","","",".9207393","","","",".8453194","","","",".8527021","","","",".8529053","","","",".8847884","","","",".9040839","","","",".900588","","","",".898674","","","",".8582376","","","",".8610825","","","",".8598851","","","",".8773283","","","",".8481558","","","",".8648014","","","",".8708695","","","",".9148762","","","",".8863746","","","",".8848332","","","",".8771954","","","",".8963935","","","",".9099267","","",""
"df_m","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","","","13","","",""
"df_r","2203","","","","2202","","","","2203","","","","2202","","","","2202","","","","2203","","","","2202","","","","2203","","","","2202","","","","2202","","","","2203","","","","2202","","","","2203","","","","2202","","","","2202","","","","2203","","","","2205","","","","2200","","","","2202","","","","2202","","","","2203","","","","2204","","","","2201","","","","2202","","","","2202","","","","2204","","","","2201","","","","2203","","","","2202","","","","2202","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
