"","est1","","",""
"idkab_dum21",".0946645",".0207086","4.571268","8.53e-06"
"idkab_dum22",".0297564",".0197348","1.507815",".1331959"
"idkab_dum23",".1461444",".0201552","7.250955","9.10e-12"
"idkab_dum24",".0943832",".0216594","4.357616",".0000211"
"idkab_dum25",".0987965",".0201013","4.914929","1.86e-06"
"idkab_dum26",".0892284",".0194559","4.586177","7.99e-06"
"idkab_dum27",".0429381",".0190464","2.254394",".0252664"
"idkab_dum28",".1080918",".0238216","4.537561","9.86e-06"
"idkab_dum29",".1152389",".0186139","6.191021","3.38e-09"
"idkab_dum30",".1160055",".0192901","6.013734","8.60e-09"
"idkab_dum31",".0539776",".0205602","2.625346",".009332"
"idkab_dum32","-.0813817",".0205927","-3.951973",".0001078"
"idkab_dum33",".0805722",".0218728","3.683667",".0002966"
"idkab_dum34",".0636942",".0107313","5.935345","1.29e-08"
"idkab_dum35","-.1473639",".0316851","-4.650896","6.03e-06"
"idkab_dum36","-.0509966",".037942","-1.344067",".1804648"
"idkab_dum37","-.2296752",".0117968","-19.46925","7.13e-48"
"idkab_dum38","-.1486272",".0261535","-5.682879","4.69e-08"
"idkab_dum39","-.2420413",".0183701","-13.17585","7.04e-29"
"idkab_dum40","-.0113506",".0229875","-.4937727",".622014"
"idkab_dum41",".1040776",".0202337","5.143787","6.45e-07"
"idkab_dum42","-.7474735",".0110917","-67.39031","1.7e-138"
"idkab_dum43","-.3307708",".033232","-9.953389","3.50e-19"
"idkab_dum44","-.6169377",".0238357","-25.88295","1.86e-65"
"idkab_dum45","-.268467",".0199014","-13.48983","7.67e-30"
"idkab_dum46","-.5255214",".0194327","-27.04313","2.12e-68"
"idkab_dum47","-.6059152",".0192299","-31.50908","4.50e-79"
"idkab_dum48","-.3545848",".0197708","-17.93481","2.34e-43"
"idkab_dum49","-.4619435",".019612","-23.55418","2.50e-59"
"idkab_dum50","-.3639603",".0199642","-18.23065","3.10e-44"
"idkab_dum51","-.5266458",".018632","-28.26566","2.00e-71"
"idkab_dum52","-.2575184",".0280453","-9.182246","5.73e-17"
"idkab_dum53","-.4567337",".0196018","-23.30059","1.21e-58"
"idkab_dum54","-.6361017",".0290368","-21.90673","8.15e-55"
"idkab_dum55","-.4522341",".0184393","-24.52557","6.38e-62"
"idkab_dum56","-.6697884",".0206245","-32.47535","2.98e-81"
"idkab_dum57","-.7550158",".0206054","-36.64168","3.72e-90"
"idkab_dum58","-.2779295",".0252801","-10.994","2.97e-22"
"idkab_dum59","-.2541952",".0260356","-9.76339","1.25e-18"
"idkab_dum60","-.1833246",".0786268","-2.331579",".0207285"
"idkab_dum61","-.3980003",".0198479","-20.05254","1.46e-49"
"idkab_dum62","-.3152725",".0203159","-15.51851","4.62e-36"
"idkab_dum63","-.5187583",".0080605","-64.358","1.1e-134"
"idkab_dum64","-.6321357",".0246722","-25.62138","8.76e-65"
"idkab_dum65","-.5523636",".0222215","-24.85717","8.54e-63"
"idkab_dum66","-.7011912",".0217085","-32.30032","7.35e-81"
"idkab_dum67","-.654459",".0225416","-29.03332","2.78e-73"
"idkab_dum68","-.6297633",".0281812","-22.34693","4.91e-56"
"idkab_dum69","-.0104988",".0781182","-.134396",".8932259"
"idkab_dum70","-.3134736",".0223558","-14.02202","1.78e-31"
"idkab_dum71","-.2375464",".0212349","-11.18661","7.87e-23"
"idkab_dum72","-.1182382",".0232858","-5.077703","8.79e-07"
"idkab_dum73","-.0884854",".0233707","-3.78616",".0002028"
"idkab_dum74","-.642364",".0239588","-26.81114","8.09e-68"
"idkab_dum75",".0554993",".0200453","2.768691",".0061628"
"idkab_dum76",".0727378",".0213642","3.40466",".0008019"
"idkab_dum77","-.1914239",".0269821","-7.094471","2.26e-11"
"idkab_dum78",".1009241",".0187574","5.380488","2.09e-07"
"idkab_dum79","-.7403951",".0163741","-45.21742","2.6e-106"
"idkab_dum80","-.8229245",".0169849","-48.45026","9.3e-112"
"idkab_dum81","-.824472",".016213","-50.85242","1.3e-115"
"idkab_dum82","-.7906903",".0151806","-52.08562","1.6e-117"
"idkab_dum83","-.8077663",".0145679","-55.44828","1.5e-122"
"idkab_dum84","-.8264439",".018641","-44.33485","9.2e-105"
"idkab_dum85","-.8016663",".0170086","-47.13296","1.4e-109"
"idkab_dum86","-.8370954",".0096077","-87.12741","7.4e-160"
"idkab_dum87","-.7652159",".0135105","-56.63872","2.8e-124"
"idkab_dum88","-.8378342",".0128093","-65.40808","4.9e-136"
"idkab_dum89","-.8030777",".0128785","-62.35795","4.1e-132"
"idkab_dum90","-.7770418",".0150993","-51.46203","1.5e-116"
"idkab_dum91","-.8066393",".0123477","-65.32694","6.2e-136"
"idkab_dum92","-.7364341",".0209277","-35.18937","3.87e-87"
"idkab_dum93","-.7734058",".0213778","-36.178","3.34e-89"
"idkab_dum94","-.8146351",".0196226","-41.51525","1.16e-99"
"idkab_dum95","-.8452443",".0168243","-50.23938","1.2e-114"
"idkab_dum96","-.8151505",".0205791","-39.61065","4.70e-96"
"idkab_dum97","-.7049955",".0201888","-34.92006","1.44e-86"
"idkab_dum98","-.7284811",".0209127","-34.83439","2.18e-86"
"idkab_dum99","-.8286869",".0189522","-43.72518","1.1e-103"
"idkab_dum100","-.7869898",".0185035","-42.53201","1.6e-101"
"idkab_dum101","-.7181699",".0173753","-41.33279","2.54e-99"
"idkab_dum102","-.8123208",".0151628","-53.57345","8.6e-120"
"idkab_dum103","-.7469791",".0184827","-40.41503","1.36e-97"
"idkab_dum104","-.7483514",".0214526","-34.8839","1.71e-86"
"idkab_dum105","-.7927556",".0207837","-38.14314","3.50e-93"
"idkab_dum106","-.7670024",".0177311","-43.25756","7.6e-103"
"idkab_dum107","-.7588166",".0186684","-40.64721","4.93e-98"
"idkab_dum108","-.7443967",".019598","-37.98331","7.27e-93"
"idkab_dum109","-.716277",".0175113","-40.90376","1.62e-98"
"idkab_dum110","-.7349482",".0172136","-42.69588","7.9e-102"
"idkab_dum111","-.7380709",".0169375","-43.57618","2.0e-103"
"idkab_dum112","-.818203",".0204675","-39.97566","9.34e-97"
"idkab_dum113","-.7696356",".0188486","-40.83248","2.20e-98"
"idkab_dum114","-.5597388",".0227907","-24.55993","5.18e-62"
"idkab_dum115","-.7787792",".0109049","-71.41528","2.8e-143"
"idkab_dum116","-.8205826",".0117351","-69.92546","1.5e-141"
"idkab_dum117","-.7515624",".0150557","-49.91874","3.9e-114"
"idkab_dum118","-.7568435",".0166961","-45.33063","1.7e-106"
"idkab_dum119","-.7951032",".0150945","-52.67492","2.0e-118"
"idkab_dum120","-.7275507",".0164704","-44.17326","1.8e-104"
"idkab_dum121","-.8159121",".0172767","-47.22607","9.9e-110"
"idkab_dum122","-.7927919",".0181167","-43.76019","9.5e-104"
"idkab_dum123","-.8267404",".0212032","-38.99134","7.48e-95"
"idkab_dum124","-.7173293",".0185486","-38.67297","3.14e-94"
"idkab_dum125","-.7855637",".0171981","-45.67731","4.2e-107"
"idkab_dum126","-.7501198",".0161695","-46.39089","2.5e-108"
"idkab_dum127","-.7984602",".0134498","-59.36612","4.2e-128"
"idkab_dum128","-.8048919",".0182033","-44.21671","1.5e-104"
"idkab_dum129","-.7463867",".0196897","-37.90752","1.03e-92"
"idkab_dum130","-.7588366",".0200066","-37.92932","9.32e-93"
"idkab_dum131","-.7725789",".0194809","-39.65832","3.80e-96"
"idkab_dum132","-.6989683",".0175685","-39.78542","2.16e-96"
"idkab_dum133","-.8108663",".0171431","-47.29994","7.5e-110"
"idkab_dum134","-.7809935",".0202062","-38.65117","3.47e-94"
"idkab_dum135","-.7710241",".015233","-50.6155","3.1e-115"
"idkab_dum136","-.8225983",".0168827","-48.72441","3.3e-112"
"idkab_dum137","-.7967103",".0188193","-42.33476","3.6e-101"
"idkab_dum138","-.7705587",".0198127","-38.89221","1.17e-94"
"idkab_dum139","-.798716",".0175663","-45.46858","9.6e-107"
"idkab_dum140","-.7948554",".0160424","-49.54725","1.6e-113"
"idkab_dum141","-.647466",".0169039","-38.3027","1.69e-93"
"idkab_dum142","-.7582937",".0217296","-34.89678","1.61e-86"
"idkab_dum143","-.7574137",".019147","-39.55776","5.94e-96"
"idkab_dum144","-.5157496",".0149468","-34.50576","1.09e-85"
"idkab_dum145","-.7515908",".0143139","-52.50761","3.6e-118"
"idkab_dum146","-.6547579",".0165289","-39.61293","4.65e-96"
"idkab_dum147","-.3740939",".0132153","-28.30767","1.58e-71"
"idkab_dum148","-.5009361",".0159599","-31.3872","8.53e-79"
"idkab_dum149","-.092289",".0183316","-5.034418","1.07e-06"
"idkab_dum150","-.6151829",".0180108","-34.15627","6.16e-85"
"idkab_dum151","-.6287547",".0171305","-36.70371","2.78e-90"
"idkab_dum152","-.5059324",".0195544","-25.87314","1.97e-65"
"idkab_dum153","-.7498822",".0183175","-40.93795","1.40e-98"
"idkab_dum154","-.7359258",".0189463","-38.84269","1.46e-94"
"idkab_dum155","-.6404715",".0204314","-31.34744","1.05e-78"
"idkab_dum156","-.557679",".019694","-28.31722","1.50e-71"
"idkab_dum157","-.4737719",".0213492","-22.19154","1.32e-55"
"idkab_dum158","-.6464965",".0169928","-38.04536","5.47e-93"
"idkab_dum159","-.4760239",".0220543","-21.58421","6.49e-54"
"idkab_dum160","-.524873",".0131005","-40.06499","6.30e-97"
"idkab_dum161","-.789271",".0203114","-38.85856","1.36e-94"
"idkab_dum162","-.6270752",".0199172","-31.48417","5.13e-79"
"idkab_dum163","-.7087842",".0212997","-33.27673","5.03e-83"
"idkab_dum164","-.6632829",".0201892","-32.85342","4.31e-82"
"idkab_dum165","-.3544936",".0143832","-24.6463","3.06e-62"
"idkab_dum166","-.4445448",".0211216","-21.04693","2.11e-52"
"idkab_dum167","-.4170095",".0220433","-18.91777","2.91e-46"
"idkab_dum168","-.7086508",".0233434","-30.35769","2.03e-76"
"idkab_dum169","-.7173746",".0200273","-35.8198","1.85e-88"
"idkab_dum170","-.6402919",".0228438","-28.02911","7.60e-71"
"idkab_dum171","-.7512224",".0215862","-34.80112","2.57e-86"
"idkab_dum172","-.5972313",".0207718","-28.75198","1.32e-72"
"idkab_dum173","-.6526492",".0200931","-32.48119","2.90e-81"
"idkab_dum174","-.7192171",".0222898","-32.26669","8.74e-81"
"idkab_dum175","-.082058",".0212839","-3.855396",".0001561"
"idkab_dum176","-.1311708",".0202666","-6.472279","7.43e-10"
"idkab_dum177","-.2432297",".0229163","-10.61385","4.02e-21"
"idkab_dum178","-.3587977",".0135666","-26.4472","6.73e-67"
"idkab_dum179","-.4553989",".0186418","-24.42893","1.15e-61"
"idkab_dum180","-.3288108",".0207403","-15.85371","4.39e-37"
"idkab_dum181","-.2189948",".022464","-9.748702","1.37e-18"
"idkab_dum182","-.342504",".0196318","-17.44641","6.74e-42"
"idkab_dum183","-.2225099",".0228686","-9.729945","1.56e-18"
"idkab_dum184","-.7470105",".0163218","-45.76764","2.9e-107"
"idkab_dum185","-.7031794",".0119825","-58.68365","3.7e-127"
"idkab_dum186","-.6185128",".0170753","-36.22256","2.71e-89"
"idkab_dum187","-.722228",".0188993","-38.21459","2.52e-93"
"idkab_dum188","-.7177187",".0146979","-48.83147","2.2e-112"
"idkab_dum189","-.8826352",".0201204","-43.86769","6.1e-104"
"idkab_dum190","-.5292173",".0162183","-32.63089","1.34e-81"
"idkab_dum191","-.7301784",".0158736","-45.99969","1.2e-107"
"idkab_dum192","-.5816016",".0218752","-26.5873","2.97e-67"
"idkab_dum193","-.7220025",".0207591","-34.78009","2.85e-86"
"idkab_dum194","-.44038",".0226634","-19.43134","9.19e-48"
"idkab_dum195","-.7657784",".0150695","-50.81657","1.5e-115"
"idkab_dum196","-.6621115",".013044","-50.75972","1.8e-115"
"idkab_dum197","0",".",".","."
"idkab_dum198","-.7517077",".0286897","-26.2013","2.84e-66"
"idkab_dum199","-.5853588",".0191314","-30.59668","5.64e-77"
"idkab_dum200","-.7187266",".0238166","-30.1775","5.36e-76"
"_cons",".061055",".8200168",".0744558",".9407229"
"N","43394","","",""
"r2",".3818042","","",""
"df_m","26","","",""
"df_r","198","","",""
"df_b","","","",""
"df","","","",""
