"","est1","","","","est2","","",""
"","b","se","t","p","b","se","t","p"
"idkab_dum167","0",".",".",".","0",".",".","."
"idkab_dum168","0",".",".",".","0",".",".","."
"idkab_dum169",".0467838",".0265438","1.762512",".0824113","-.0573539",".0380915","-1.505686",".1367121"
"idkab_dum170",".1247944",".0283656","4.399503",".0000386","-.1200371",".0403653","-2.973772",".0040498"
"idkab_dum171",".0085686",".0293093",".2923503",".7708961","-.0506138",".0435035","-1.163441",".2486581"
"idkab_dum172",".1708726",".0236334","7.230147","5.08e-10","-.1581826",".0359536","-4.399628",".0000386"
"idkab_dum173",".1071882",".02389","4.486746",".0000281","-.1287285",".0362156","-3.554504",".0006887"
"idkab_dum174",".039802",".0267453","1.488187",".1412577","-.0670749",".0398349","-1.683823",".0967351"
"idkab_dum175","0",".",".",".","0",".",".","."
"idkab_dum176","0",".",".",".","0",".",".","."
"idkab_dum177","0",".",".",".","0",".",".","."
"idkab_dum178","0",".",".",".","0",".",".","."
"idkab_dum179","0",".",".",".","0",".",".","."
"idkab_dum180","0",".",".",".","0",".",".","."
"idkab_dum181","0",".",".",".","0",".",".","."
"idkab_dum182","0",".",".",".","0",".",".","."
"idkab_dum183","0",".",".",".","0",".",".","."
"idkab_dum184","0",".",".",".","0",".",".","."
"idkab_dum185",".0642022",".0103177","6.222525","3.30e-08","-.1272239",".019266","-6.603562","6.90e-09"
"idkab_dum186","0",".",".",".","0",".",".","."
"idkab_dum187",".0475255",".0208338","2.281166",".0256296","-.2273395",".028482","-7.981869","2.16e-11"
"idkab_dum188",".0382695",".0207464","1.844632",".0693835","-.0803276",".0325657","-2.466632",".0161266"
"idkab_dum189","-.1149438",".0369002","-3.114993",".0026792",".1436884",".0484575","2.965246",".0041505"
"idkab_dum190",".2394949",".0244583","9.791975","1.10e-14","-.2553217",".037237","-6.856675","2.42e-09"
"idkab_dum191",".0411273",".0190971","2.153592",".0347686","-.1133641",".0302754","-3.744426",".0003709"
"idkab_dum192","0",".",".",".","0",".",".","."
"idkab_dum193",".0484574",".0415073","1.167443",".24705","-.0445575",".0543047","-.8205104",".4147509"
"idkab_dum194","0",".",".",".","0",".",".","."
"idkab_dum195","0",".",".",".","0",".",".","."
"idkab_dum196","0",".",".",".","0",".",".","."
"idkab_dum197","0",".",".",".","0",".",".","."
"idkab_dum198","0",".",".",".","0",".",".","."
"idkab_dum199","0",".",".",".","0",".",".","."
"idkab_dum200","0",".",".",".","0",".",".","."
"_cons","-7.516798","1.590334","-4.726553",".0000117","9.348457","2.348937","3.979868",".0001681"
"N","15430","","","","15430","","",""
"r2",".0868706","","","",".0848865","","",""
"df_m","26","","","","26","","",""
"df_r","69","","","","69","","",""
"df_b","","","","","","","",""
"df","","","","","","","",""
