"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"PovertyPercentAllAges","-7.304921","4.964688","-1.471376",".1477157","-.0437857",".0180615","-2.424255",".0191557","-7.950842","5.13533","-1.548263",".121559",".0272727",".0331744",".8221027",".4110184","-.9283564",".3324493","-2.792476",".0052306","-.6965557","1.080136","-.6448777",".5190065","-1.48642","1.607974","-.9244053",".3552753","-3.715446","2.690566","-1.380917",".1673046","-1.151336",".6506415","-1.76954",".0768038"
"lMedian","247.6076","147.6258","1.677265",".099992","-1.448136",".6784082","-2.134609",".0379268","111.1932","152.3358",".7299214",".4654382","2.697734","1.720446","1.568044",".116871","1.144761","7.392646",".1548513",".8769385","37.49238","31.04271","1.207768",".2271366","-31.36327","38.8085","-.8081545",".4190017","55.77973","89.51511",".623132",".5331978","45.44181","19.30033","2.354458",".0185498"
"Unempl_Rate","-22.52977","6.313803","-3.568335",".0008273","-.1221201",".0696139","-1.754249",".0857704","-30.91951","7.39708","-4.179962",".0000292","-.1400046",".0600896","-2.32993",".0198098","-2.092041",".8534124","-2.451384",".0142308","-2.020788","1.447883","-1.395685",".1628093","-5.931119","2.363258","-2.509721",".0120827","-15.55945","4.723008","-3.294395",".0009863","-5.176105",".7624956","-6.788373","1.13e-11"
"lpop","-722.8629","241.8201","-2.989258",".0044","-.1959448",".1740618","-1.12572",".2658813","-730.9435","238.3966","-3.066081",".0021688","-1.833904","1.025488","-1.788323",".073724","-10.18496","4.417948","-2.30536",".0211464","-61.83238","35.14705","-1.759248",".0785354","-118.1888","72.40006","-1.632441",".1025866","-498.4272","110.154","-4.524822","6.04e-06","-40.47626","23.55553","-1.718334",".0857358"
"sharemale","1586.711","1391.073","1.140638",".2596799","1.27532","5.992718",".2128116",".8323751","1492.304","1479.208","1.008854",".3130448","-10.98222","18.96064","-.5792118",".5624463","43.47243","69.58196",".6247658",".5321248","41.95644","208.0802",".201636",".8402013","265.3154","495.3928",".5355658",".5922587","863.5833","794.4422","1.087031",".2770231","288.9587","198.4197","1.4563",".1453097"
"shareblack","-3196.065","1713.308","-1.865435",".0682388","-11.83212","6.16526","-1.91916",".06092","-3467.042","1714.654","-2.022007",".0431756","-.3712785","7.718687","-.0481012",".9616356","-231.4531","132.6634","-1.744665",".0810433","384.0946","279.1454","1.375966",".1688321","-897.7747","451.0601","-1.990366",".0465506","-2190.309","947.0738","-2.312712",".0207385","-531.2288","313.5481","-1.69425",".0902178"
"shareage1519","2360.873","1501.394","1.572454",".1224144","-6.74165","8.13858","-.8283571",".4115683","1771.42","1424.829","1.243251",".2137753","-5.417436","13.19721","-.4104987",".6814402","136.3297","112.133","1.215786",".2240665","607.1866","337.6369","1.798342",".0721228","625.8801","497.8183","1.257246",".2086646","82.14624","758.6269",".1082828",".9137714","325.2956","298.277","1.090582",".2754567"
"shareage2024","2399.441","1770.882","1.354941",".1817793","1.152677","8.795719",".1310497",".8962837","2686.095","1788.253","1.502078",".1330771","-13.2423","23.23661","-.5698896",".5687526","91.02018","74.7567","1.217552",".2233942","-103.0069","225.5037","-.4567857",".6478251","1011.763","590.6512","1.712962",".0867196","1118.757","1133.466",".9870231",".3236313","580.8041","210.4505","2.759813",".0057834"
"shareage2529","77.9432","1559.651",".0499748",".9603499","-3.360125","5.26207","-.6385557",".5261472","-372.3969","1629.952","-.2284711",".81928","-1.32194","19.06695","-.0693315",".9447258","-113.2969","61.18778","-1.851627",".0640794","47.59851","236.954",".2008766",".8407951","-587.8932","444.8981","-1.321411",".1863643","102.0775","913.5221",".1117406",".9110291","180.4395","259.3596",".6957114",".4866096"
"shareage3034","-2827.379","1948.205","-1.451274",".1532083","-8.007092","7.958383","-1.006121",".3194028","-3287.967","1838.705","-1.788197",".0737442","-12.09629","13.48207","-.8972133",".3696051","-174.5929","127.9188","-1.364873",".1722929","-494.0325","311.0844","-1.588098",".1122641","-364.8737","390.2602","-.9349498",".3498142","-2350.508","1119.75","-2.099137",".0358048","108.1369","306.6355",".352656",".7243463"
"statetimefe_2","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"statetimefe_3","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"statetimefe_4","652.9138","161.5174","4.042373",".0001906","11.31379","1.285762","8.799291","1.40e-11","869.5998","181.8055","4.783133","1.73e-06","-.1399335","1.408181","-.0993718",".9208431","-2.430756","17.97533","-.1352274",".8924321","116.0527","31.32525","3.704767",".0002116","69.31058","63.44992","1.092367",".2746719","436.7645","108.6861","4.018585",".0000585","250.0427","21.96973","11.38124","0"
"statetimefe_5","102.9211","129.6031",".7941251",".4310313","8.654107","1.018578","8.49626","3.96e-11","211.0462","136.2066","1.549457",".121272",".617246","1.083315",".569775",".5688303","-4.79821","13.92907","-.3444746",".7304894","73.49352","26.19702","2.805415",".0050252","-123.9523","43.12133","-2.8745",".0040467","190.7819","91.62865","2.08212",".0373315","74.9041","18.796","3.985108",".0000674"
"statetimefe_6","267.5563","147.4531","1.814518",".0758501","8.405768","1.281861","6.557473","3.51e-08","344.4803","151.621","2.271983",".0230876",".7985948","1.51666",".5265483",".5985073","-15.90029","16.98271","-.9362634",".3491376","70.80178","30.12681","2.350125",".0187671","-55.11351","53.03547","-1.039182",".2987201","220.1995","98.45148","2.236629",".0253106","123.6943","18.28222","6.765825","1.33e-11"
"statetimefe_7","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"statetimefe_8","101.249","127.7874",".7923242",".4320702","6.219151","1.005665","6.184119","1.31e-07","69.40611","128.2087",".5413527",".5882645","-.6852408","1.088828","-.6293381",".5291277","-18.34528","14.26352","-1.286167",".1983847","65.7616","28.18695","2.333051",".0196455","-54.60126","37.26686","-1.465143",".142882","30.20612","94.42199",".3199055",".7490399","47.0702","18.17975","2.589155",".0096212"
"statetimefe_9","315.0135","103.3486","3.048069",".0037392","10.86686",".8678773","12.52119","9.85e-17","574.8626","120.6132","4.766164","1.88e-06","-.1725587",".8811603","-.1958313",".8447422","4.848031","11.90601",".407192",".683867","94.84249","24.02043","3.94841",".0000787","8.113228","43.73787",".1854966",".8528395","356.3805","68.53958","5.199631","2.00e-07","110.8509","18.47972","5.998515","1.99e-09"
"statetimefe_10","213.3471","134.6299","1.584694",".119603","6.004583","1.095718","5.480047","1.54e-06","166.1971","134.347","1.237073",".2160601","1.024287","1.226524",".8351135",".4036538","-23.46031","15.38322","-1.525059",".1272445","50.80454","30.56087","1.662405",".0964316","-62.39359","40.85114","-1.52734",".1266765","151.241","91.86251","1.646385",".0996846","48.98113","17.35453","2.822383",".0047668"
"statetimefe_11","99.4138","119.3912",".8326727",".4091533","6.439613",".9176629","7.017406","6.91e-09","90.88562","122.9563",".7391698",".4598039","1.534804",".9337402","1.643716",".1002348","-17.42342","12.18143","-1.430327",".1526233","64.77653","25.27475","2.562895",".0103803","-46.05497","34.95279","-1.317634",".1876264","47.80566","95.65701",".4997612",".6172432","40.24703","18.26202","2.203865",".0275338"
"statetimefe_12","0",".",".",".","0",".",".",".","-505.8351","179.9027","-2.811715",".0049278","12.30646","1.478652","8.322757","0","-62.5811","19.65321","-3.184268",".0014512","50.64815","43.35796","1.16814",".2427504","-179.3225","59.28007","-3.025005",".0024863","-726.4331","114.9526","-6.319413","2.63e-10","399.5471","33.23987","12.02012","0"
"statetimefe_13","254.0766","133.8317","1.898479",".0636539","6.52842",".907438","7.194343","3.71e-09","276.2645","129.0226","2.141211",".032257",".6847882",".8857669",".773102",".439462","-14.93495","12.40162","-1.204275",".2284834","81.25609","25.92216","3.134619",".0017208","-26.18104","40.38112","-.6483485",".5167595","183.1619","90.89663","2.015057",".0438987","52.27775","18.61455","2.808435",".0049783"
"statetimefe_14","5.676017","112.4096",".0504941",".9599382","5.539571",".8559123","6.472124","4.75e-08","-32.57873","113.5913","-.2868066",".7742604","-1.006816",".9016934","-1.116583",".2641725","-25.91953","11.80091","-2.196401",".0280632","64.34395","25.07434","2.566127",".0102841","-104.4211","32.65554","-3.197653",".0013855","4.161626","84.66914",".0491516",".9607985","30.26315","17.42783","1.736484",".0824782"
"statetimefe_15","-283.9168","87.34971","-3.250346",".0021098","1.958822",".8218343","2.383475",".0211543","100.193","114.4679",".8752929",".3814145","-2.021301",".7835328","-2.579727",".0098878","24.60133","7.569496","3.250063",".0011538","23.1196","16.26503","1.42143",".1551918","-178.6737","39.01214","-4.579951","4.65e-06","127.7381","63.84676","2.000698",".045425","105.429","13.6563","7.720168","1.15e-14"
"statetimefe_16","305.9279","115.1957","2.655722",".0107086","9.929145",".9668565","10.26951","1.05e-13","519.5092","136.9623","3.793082",".0001488","1.380617",".9794716","1.409553",".1586718","2.376885","12.49093",".1902888",".8490828","51.84603","21.80733","2.377458",".0174324","-15.63763","44.90534","-.3482354",".7276634","392.8828","78.65018","4.995319","5.87e-07","86.66054","17.27436","5.016715","5.26e-07"
"statetimefe_17","116.9715","115.4785","1.012928",".3161733","13.34059",".9837474","13.56099","4.89e-18","611.3794","172.584","3.542503",".0003963","1.558959","1.097376","1.420624",".1554262","29.8146","13.5514","2.200112",".0277989","101.4559","24.27479","4.179476",".0000292","-9.332886","65.4947","-.1424983",".8866864","385.5328","85.18678","4.525735","6.02e-06","102.35","27.97495","3.65863",".0002536"
"statetimefe_18","151.9289","108.3515","1.402186",".1672939","5.875742",".830426","7.075577","5.63e-09","156.9492","109.1185","1.438337",".1503385","-.1924524",".8711407","-.22092",".8251547","-21.71507","11.11378","-1.953886",".0507147","49.56043","23.44761","2.113667",".0345437","-50.60383","33.60693","-1.505756",".1321298","138.2542","74.80723","1.84814",".0645821","41.6459","16.49813","2.524281",".0115935"
"statetimefe_19","141.4829","91.04109","1.554056",".1267405","6.957718",".8138031","8.549633","3.29e-11","210.7732","81.4647","2.587295",".0096733",".9340549",".753939","1.2389",".2153826","-12.73537","9.959067","-1.278771",".2009776","51.384","21.33668","2.408247",".0160293","-15.25127","25.5646","-.5965777",".5507893","141.7189","53.80554","2.633909",".0084408","44.7229","11.77191","3.79912",".0001452"
"statetimefe_20","188.7011","20.79418","9.074708","5.51e-12","-.0769471",".1058688","-.7268156",".4708688","-300.6508","174.6878","-1.721075",".0852372","12.99155","1.476587","8.798364","0","-38.87604","19.01532","-2.044458",".0409083","54.80941","40.48434","1.353842",".1757868","-206.3395","58.02394","-3.556109",".0003764","-316.9341","110.6588","-2.864066",".0041824","193.6976","33.15535","5.842123","5.15e-09"
"statetimefe_21","232.2929","316.3453",".7343017",".466337","4.635098",".6391962","7.251449","3.03e-09","538.5142","360.4117","1.494164",".1351328",".3578192","1.94309",".1841495",".8538962","120.8813","8.945726","13.51275","0","115.2143","53.43581","2.156126",".0310739","76.17395","112.9791",".6742304",".5001648","80.75265","170.8953",".4725271",".6365506","145.1341","37.76603","3.842979",".0001215"
"statetimefe_22","172.2364","113.4821","1.517741",".135639","9.199471",".8794403","10.4606","5.68e-14","385.9157","131.3241","2.938652",".0032964",".1669739",".8847073",".1887334",".8503018","3.596762","11.20079",".3211167",".748122","72.60729","21.55069","3.369139",".000754","-47.72623","44.87437","-1.063552",".2875317","277.1785","78.70971","3.521529",".0004291","80.09239","19.1171","4.189568",".0000279"
"statetimefe_23","273.6699","128.4747","2.130145",".0383126","6.128472","1.140969","5.371287","2.25e-06","312.7522","120.9824","2.585104",".009735",".4692307",".8885576",".5280813",".5974429","-14.79195","11.9785","-1.234875",".2168772","45.00585","30.86263","1.458264",".1447679","-4.045127","37.09685","-.1090423",".9131689","245.8621","68.88271","3.569286",".000358","40.25206","16.60593","2.423957",".0153524"
"statetimefe_24","44.8615","46.81244",".9583244",".3427015","4.604875",".2529453","18.20502","3.45e-23","-151.3166","73.77736","-2.05099",".0402679","-2.564977",".61594","-4.164328",".0000312","9.105166","4.686629","1.942797",".0520407","-32.49316","10.03387","-3.238349",".0012022","-82.91156","22.81719","-3.633732",".0002794","-48.60759","40.80025","-1.191355",".2335143","6.155508","11.63782",".5289227",".596859"
"statetimefe_25","-136.1034","73.04313","-1.863329",".0685403",".1024717",".7040676",".1455424",".8848921","144.1837","84.74266","1.701429",".0888624","-.7797413",".5772927","-1.350686",".176796","17.93909","6.178083","2.903666",".0036882","18.39266","12.50861","1.4704",".1414535","-96.89616","27.11094","-3.574062",".0003515","129.4737","52.12561","2.483878",".012996","76.05417","9.338009","8.144581","4.44e-16"
"statetimefe_26","325.4026","72.85011","4.466741",".0000482","6.031996",".489487","12.3231","1.77e-16","367.0144","84.13926","4.361988",".0000129","-.2017874",".534275","-.3776845",".705665","-12.41501","7.822278","-1.587134",".1124822","47.74015","15.29027","3.122258",".0017947","14.00899","26.1104",".5365289",".5915931","283.1008","58.62472","4.829034","1.37e-06","34.7813","12.13139","2.867051",".0041432"
"statetimefe_27",".1609517","183.6317",".0008765",".9993043","6.05202","1.200291","5.042126","6.98e-06","83.05491","226.7205",".3663318",".7141175",".5071616",".9745742",".5203931",".6027897","-17.80516","14.27401","-1.247383",".2122569","43.15491","25.6697","1.681161",".0927316","-72.91023","67.41716","-1.081479",".2794842","83.91339","107.2509",".782403",".4339778","46.19485","33.54395","1.377144",".1684678"
"statetimefe_28","-205.1782","75.15735","-2.729982",".0088296","14.45785",".3291926","43.91912","2.04e-40","258.8627","97.92757","2.643409",".0082076","4.331698",".7532802","5.750447","8.90e-09","9.416083","7.162877","1.314567",".1886554","80.71452","12.56137","6.425614","1.31e-10","-73.46164","34.22991","-2.146124",".0318631","111.1129","51.42326","2.160751",".0307146","126.7491","13.0443","9.716822","0"
"statetimefe_29","185.7269","97.39944","1.906858",".0625339","3.402097",".7904337","4.304089",".0000821","60.96575","104.0692",".5858192",".557997",".3902135",".946468",".4122839",".6801314","-37.17971","11.86489","-3.133592",".0017268","30.84379","23.55134","1.309641",".1903174","-50.58105","29.23926","-1.729901",".0836479","129.483","71.74712","1.804714",".0711195","-11.9905","14.99457","-.7996561",".4239101"
"statetimefe_30","0",".",".",".","3.509043",".3168327","11.07538","8.05e-15","-210.6112","75.16503","-2.801984",".0050789","-1.008929",".580338","-1.73852",".0821192","3.453225","5.620554",".6143923",".5389561","-10.82106","9.86194","-1.097255",".2725299","-106.8351","26.89029","-3.973",".000071","-100.4169","39.57076","-2.537654",".0111598","5.017637","11.00862",".4557918",".6485397"
"statetimefe_31","191.5523","74.65473","2.565843",".0134703","6.72876",".9792092","6.871627","1.16e-08","278.2469","97.79247","2.845279",".0044373",".9109784",".6624147","1.375239",".1690574","-5.245312","9.716689","-.539825",".5893177","42.16043","18.45271","2.284783",".0223256","14.98545","25.43133",".5892516",".5556925","184.0186","52.52237","3.503624",".000459","41.41671","21.74256","1.904868",".0567972"
"statetimefe_32","-147.8417","122.6804","-1.205097",".2340738","5.449568","1.366763","3.987207",".000227","-151.2144","89.31715","-1.693005",".0904546",".9156904",".5831575","1.570228",".116362","-24.09501","8.429516","-2.858409",".0042577","21.02795","17.07326","1.231631",".2180871","-64.99242","29.2073","-2.225211",".0260671","-116.0704","70.45859","-1.647356",".0994848","31.9998","16.44905","1.945389",".0517282"
"statetimefe_33","-63.65885","181.3015","-.3511214",".7270338","-.4030882",".4969747","-.811084",".4213211","-10.95386","203.8626","-.0537316",".957149","-1.086779","1.111797","-.9774979",".3283227","20.64171","7.675834","2.689181",".0071628","10.31015","32.15239",".3206651",".7484642","-76.80971","62.34446","-1.232021",".2179411","8.650855","102.8361",".0841228",".9329588","27.33994","20.31946","1.345505",".1784621"
"statetimefe_34","-116.075","59.73823","-1.94306",".0578862","1.781453",".5011848","3.554484",".0008625","278.6613","117.4554","2.372487",".0176688","-1.16561",".54474","-2.139754",".0323746","28.10769","4.348181","6.464242","1.02e-10","25.01231","8.376199","2.986116",".0028255","-32.93525","30.9441","-1.064347",".2871717","165.264","73.75384","2.240751",".0250422","94.37822","14.3817","6.562384","5.30e-11"
"statetimefe_35","207.5042","96.86996","2.14209",".0372879","3.237366","1.370001","2.36304",".0222247","96.82111","143.92",".6727423",".5011112",".0253599",".8486043",".0298842",".9761594","-31.82253","14.48042","-2.197626",".0279758","9.157905","20.08392",".4559819",".648403","-21.9974","33.02082","-.6661675",".5053041","140.2075","91.88854","1.525843",".1270488","1.250256","24.50305",".0510245",".959306"
"statetimefe_36","-196.7367","65.44412","-3.006179",".0041995","13.01002",".3454968","37.65596","2.68e-37","183.3703","86.2398","2.126284",".0334796","4.773234",".7552157","6.320358","2.61e-10","23.32808","7.176056","3.250822",".0011507","86.78734","12.9813","6.685567","2.30e-11","-4.571396","26.55497","-.1721484",".8633208","-34.37377","49.82457","-.6898959",".4902597","107.4268","10.03814","10.70187","0"
"statetimefe_37","196.0768","79.57402","2.464081",".0173698","9.009802",".6332393","14.22812","7.66e-19","457.4875","99.60895","4.592835","4.37e-06","-.1679726",".725751","-.2314465",".8169679","6.749634","9.934932",".6793839",".4968946","55.32365","13.46098","4.109929",".0000396","25.5413","32.4339",".7874878",".4309964","289.6922","63.77603","4.542337","5.56e-06","80.34866","15.12035","5.313943","1.07e-07"
"statetimefe_38","3.764616","37.35935",".1007677",".9201546","1.768267",".208561","8.478417","4.21e-11","-357.3433","58.95795","-6.060987","1.35e-09","-1.662118",".4355736","-3.815928",".0001357","-7.005939","3.870976","-1.809864",".0703169","-46.95746","10.38512","-4.521611","6.14e-06","-110.9298","13.719","-8.085852","6.66e-16","-161.973","35.97048","-4.502941","6.70e-06","-28.81505","7.822683","-3.683525",".00023"
"statetimefe_39","118.1862","32.97899","3.583683",".0007899","0",".",".",".","-221.1678","50.57725","-4.372871",".0000123","-1.385782",".3436116","-4.032989",".0000551","-19.77801","5.124837","-3.859248",".0001137","-2.307081","11.86615","-.1944254",".8458428","-73.63024","16.64961","-4.42234","9.76e-06","-115.6524","30.93165","-3.738965",".0001848","-8.414258","9.846422","-.8545498",".3928004"
"statetimefe_40","172.442","61.46785","2.805402",".0072363","5.119063",".8435877","6.068205","1.97e-07","179.4617","71.17351","2.521467",".0116866",".5094945",".5807615",".8772869",".3803308","-20.64595","7.973973","-2.589167",".0096208","32.75034","13.91127","2.354231",".0185611","-2.213725","22.98117","-.0963278",".9232603","159.7898","45.46199","3.514799",".0004401","9.271764","12.94543",".7162191",".4738561"
"statetimefe_41","216.3126","40.03667","5.402862","2.02e-06",".2942262",".1256931","2.34083",".0234429","202.5144","39.85813","5.080882","3.76e-07","-.2026118",".2212381","-.9158088",".3597672","-3.892786","2.271317","-1.71389",".086549","19.1702","7.477664","2.563662",".0103574","14.36773","9.859929","1.457184",".1450656","135.3712","22.52733","6.009199","1.86e-09","37.7007","4.896998","7.698737","1.38e-14"
"statetimefe_42","50.39507","100.374",".502073",".6179116","3.701929",".8598396","4.305372",".0000818","-.6428267","111.1802","-.0057818",".9953868",".1617886",".9239673",".1751021",".8609994","-30.88086","11.49871","-2.685594",".0072401","26.32991","20.44676","1.28773",".1978399","-80.28361","35.10237","-2.287128",".0221884","80.46261","70.52921","1.140841",".2539361","3.567357","13.19146",".2704294",".7868299"
"statetimefe_43","188.6093","53.49292","3.525874",".0009397","5.967526",".4467619","13.35728","8.72e-18","235.4919","71.2526","3.305028",".0009497",".0939311",".4224727",".2223366",".8240519","-7.06814","5.34157","-1.323233",".185758","47.2345","29.64703","1.593229",".1111089","32.71114","19.10181","1.712463",".0868113","124.5373","48.03762","2.592496",".0095282","37.98313","9.221534","4.118959",".0000381"
"statetimefe_44","-73.11535","45.38997","-1.610826",".1137749",".4456471",".45455",".9804139",".3317977","261.5199","70.12888","3.729133",".0001921","-1.379414",".3810848","-3.619702",".0002949","19.42678","3.178559","6.111821","9.85e-10","25.81313","7.286279","3.542704",".000396","-28.79219","22.34974","-1.288256",".1976568","159.1693","42.39863","3.754114",".000174","87.28229","8.542439","10.21749","0"
"statetimefe_45","-257.1717","77.52622","-3.317222",".001739","15.30384",".3642813","42.01104","1.63e-39","269.2832","105.4137","2.554537",".0106329","3.372811",".7368851","4.577119","4.71e-06","21.58843","7.373339","2.927904",".0034126","49.64384","16.07002","3.089222",".0020068","-56.20374","32.19387","-1.74579",".0808474","145.9503","57.63868","2.532158",".0113363","104.9316","15.32237","6.848263","7.48e-12"
"statetimefe_46","-58.98659","76.06609","-.775465",".4418689","2.129005",".4043612","5.265109","3.25e-06","170.0741","124.4755","1.366326",".1718367","1.018826",".7316288","1.392545",".1637574","38.77665","3.963781","9.782743","0","56.90802","18.99225","2.996381",".002732","-22.38371","38.00461","-.5889736",".555879","12.59989","77.38829",".162814",".8706649","83.15443","16.03238","5.186655","2.14e-07"
"statetimefe_47","47.0371","7.941912","5.922641","3.29e-07","-.4154602",".2911675","-1.426877",".1600882","-387.3926","49.8553","-7.770338","7.77e-15",".2391575",".3639996",".6570268",".5111637","-19.69312","5.364957","-3.670695",".0002419","-34.20289","10.83384","-3.157044",".0015938","-124.9581","13.32211","-9.379749","0","-173.1096","33.41197","-5.181066","2.21e-07","-35.668","6.60208","-5.40254","6.57e-08"
"statetimefe_48","20.94385","64.94699",".322476",".7484925","4.069898","1.13481","3.586413",".0007834","8.419698","114.7521",".0733729",".9415094","3.406135",".7093566","4.801725","1.57e-06","-27.29135","9.602788","-2.842024",".0044828","37.12741","15.72497","2.361049",".0182233","-28.36894","24.10622","-1.176831",".239263","-29.93772","82.49083","-.3629219",".7166633","53.4842","9.470035","5.64773","1.63e-08"
"statetimefe_49","112.3483","70.21127","1.600146",".1161284","3.347583",".578683","5.784831","5.33e-07","29.00527","84.96124",".3413941",".7328069",".983214",".6399457","1.536402",".1244397","-27.94847","8.212106","-3.403325",".0006657","9.824331","18.36697",".5348913",".592725","-27.21675","27.20111","-1.000575",".3170322","79.79604","63.49845","1.256661",".2088764","-6.433097","13.72108","-.4688477",".6391785"
"statetimefe_50","287.4192","39.89339","7.204683","3.57e-09","3.792682",".4052805","9.358164","2.12e-12","579.7395","70.60522","8.211","2.22e-16",".5291233",".5387928",".9820533",".3260736","34.34269","4.806544","7.144986","9.00e-13","60.7753","9.917012","6.128389","8.88e-10","74.69906","26.77138","2.790258",".0052666","304.3515","37.12709","8.197559","2.22e-16","105.0418","10.24179","10.2562","0"
"statetimefe_51","-179.0072","57.18902","-3.130097",".0029716","1.165362",".5011553","2.325351",".0243269","-430.0254","114.4125","-3.758554",".0001709",".1715911",".853007",".2011602",".8405733","-54.24103","10.22179","-5.306411","1.12e-07","-10.73707","21.0169","-.510878",".6094365","-100.9307","34.60656","-2.91652",".0035396","-220.4817","73.55738","-2.997411",".0027228","-43.80655","18.69829","-2.342811",".0191391"
"statetimefe_52","19.01725","29.54434",".6436849",".5228435","3.270351",".7983574","4.096349",".0001605","-240.4002","84.28285","-2.852303",".0043404","-1.856442",".6723987","-2.760924",".0057638","6.159115","5.370076","1.146933",".2514095","-26.66771","9.676351","-2.755968",".0058519","-59.90172","16.56823","-3.615458",".0002998","-152.0979","48.20739","-3.155073",".0016046","-6.035586","14.30604","-.4218906",".6731049"
"statetimefe_53","-156.9083","109.2267","-1.436539",".1573353","9.972378",".4778345","20.86994","1.01e-25","130.6485","72.19531","1.809654",".0703495","-3.558114",".5525281","-6.439698","1.20e-10","-65.68807","7.11263","-9.235413","0","82.56968","15.17315","5.441827","5.27e-08","-145.5128","17.72671","-8.208674","2.22e-16","438.9438","48.14526","9.117072","0","-176.1059","8.516401","-20.67844","0"
"statetimefe_54","-106.5052","48.72215","-2.18597",".0337272","-.5438226",".8203597","-.6629075",".5105608","188.0424","48.27977","3.894848",".0000983","-.5325525",".3508257","-1.517997",".1290151","12.68505","3.638062","3.486759",".0004889","-4.263396","6.417374","-.6643522",".5064649","-54.7074","18.35491","-2.980532",".0028775","173.8101","26.44648","6.572145","4.96e-11","61.05059","7.767797","7.859447","3.77e-15"
"statetimefe_55","61.94412","51.70129","1.198115",".2367547","4.376604",".3082056","14.20028","8.27e-19","29.97223","73.74251",".4064443",".6844161",".7750896",".5357397","1.446765",".1479627","-18.68886","6.604978","-2.829511",".0046619","31.29982","12.53026","2.497939",".0124918","-23.39839","19.15294","-1.22166",".2218362","42.35304","48.15101",".8795878",".3790826","-2.368478","12.56279","-.1885311",".8504603"
"statetimefe_56","209.2234","89.04124","2.349736",".0229474","4.024979","1.136105","3.542787",".0008933","165.0966","93.6804","1.762338",".0780121","-.018811",".7409901","-.0253863",".9797468","-20.59726","9.83286","-2.094737",".0361943","14.34464","17.06599",".8405396",".4006059","-19.9964","24.77287","-.8071895",".4195573","184.889","65.38645","2.827635",".0046893","6.475394","16.47562",".3930288",".6942982"
"statetimefe_57","0",".",".",".","0",".",".",".","288.2587","44.98373","6.408066","1.47e-10","-1.203694",".339687","-3.543539",".0003948","1.118754","4.515293",".2477699",".8043124","26.24733","7.794773","3.367299",".0007591","21.76043","16.94199","1.284408",".1989991","172.3879","26.55637","6.491396","8.50e-11","67.94802","5.594831","12.14478","0"
"statetimefe_58","-17.07598","76.53202","-.2231221",".8243873","4.661981",".6372684","7.315569","2.42e-09","1.394669","90.69606",".0153774",".9877311",".3885638",".6845612",".56761",".5702998","-20.80529","8.122518","-2.561433",".0104241","10.80706","15.80905",".6836",".4942278","-65.01885","35.4818","-1.832457",".0668834","70.31011","51.22036","1.372699",".1698461","5.713088","10.87453",".5253642",".5993301"
"statetimefe_59","127.5736","46.95091","2.717171",".0091304",".7560337",".2898505","2.608357",".0120917","305.4404","45.62331","6.694832","2.16e-11",".3277547",".3321095",".9868875",".3236978","27.87048","3.340084","8.344245","0","45.20721","7.11055","6.357766","2.05e-10","24.24813","15.97593","1.517791",".129067","133.2468","32.81842","4.060121",".000049","74.54005","7.065154","10.55038","0"
