"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"statetimefe_118","-139.2606","54.72066","-2.544937",".0141994","4.818471",".3901907","12.34902","1.64e-16","-83.08784","71.33621","-1.164736",".2441259","-.6385081",".5396027","-1.183293",".236693","-21.95209","5.623886","-3.903367",".0000949","-5.182494","11.88423","-.4360816",".6627775","-33.86926","16.27599","-2.080934",".0374399","-8.29354","48.83127","-.1698408",".8651354","-13.15194","8.238246","-1.596449",".1103887"
"statetimefe_119","-157.6074","119.8253","-1.31531",".1946546","11.9793",".7386713","16.21736","4.14e-21","205.7829","28.466","7.229076","4.86e-13","1.73267",".2479337","6.988441","2.78e-12","10.55079","2.677978","3.939836",".0000815","-1.889473","4.761682","-.3968078",".6915092","-3.189729","7.808545","-.4084921",".6829124","169.2076","16.94998","9.982765","0","29.37096","5.848277","5.022156","5.11e-07"
"statetimefe_120","34.38925","57.6498",".5965198",".5536311","2.156623",".6024572","3.579711",".0007994","-78.73618","105.9468","-.7431675",".4573803",".5382861",".7847028",".6859745",".4927292","-25.86512","6.973539","-3.709038",".000208","-3.693094","14.46537","-.2553059",".7984868","3.432155","25.53472",".1344113",".8930773","-16.31452","69.95261","-.2332225",".8155887","-36.83389","18.13897","-2.030649",".0422906"
"statetimefe_121","-319.9759","29.76785","-10.74904","2.26e-14",".2913253",".3972536",".7333484",".4669127","80.87776","67.24145","1.202796",".2290553","-.4902701",".4015625","-1.220906",".2221216","26.8636","3.684366","7.291241","3.07e-13","13.04617","9.180319","1.421102",".1552871","-69.36766","22.08499","-3.140942",".0016841","52.05417","36.564","1.423645",".1545491","58.77174","10.49432","5.600336","2.14e-08"
"statetimefe_122","133.3335","41.87874","3.183798",".0025523","-1.956058",".2555057","-7.655632","7.33e-10","-320.1312","36.3413","-8.809018","0","1.146499",".2438463","4.701729","2.58e-06","-8.19435","2.014028","-4.068636",".0000473","-51.69421","6.513068","-7.936999","2.00e-15","-77.23626","11.54037","-6.6927","2.19e-11","-162.5715","20.6596","-7.869054","3.55e-15","-21.58131","5.70227","-3.784688",".0001539"
"statetimefe_123","0",".",".",".","0",".",".",".","113.7729","19.24007","5.913331","3.35e-09","-.5850172",".1796631","-3.256191",".0011292","4.360225","1.316347","3.312367",".0009251","14.13779","2.803843","5.042289","4.60e-07","45.5144","6.917408","6.57969","4.71e-11","26.63182","9.458224","2.815732",".0048666","23.71369","2.312102","10.25633","0"
"statetimefe_124","23.63872","15.20726","1.554436",".1266498","-.2113376",".0677894","-3.117562",".0030785","7.983994","17.97263",".4442307",".6568758",".5674053",".1383518","4.101176",".0000411","-.5597957",".5718719","-.978883",".3276378","3.465762","2.585358","1.340535",".1800716","19.02691","6.674264","2.850788",".0043611","-23.45499","8.968119","-2.615374",".008913","8.9387","2.113335","4.229665",".0000234"
"statetimefe_125","0",".",".",".","-1.268207",".4628779","-2.73983",".0086046","139.8144","57.37702","2.436767",".0148192","1.58",".3470273","4.552954","5.29e-06","-1.150843","3.149867","-.3653625",".7148408","-7.072442","7.902723","-.8949374",".3708205","93.68978","21.7346","4.310629",".0000163","44.96982","25.7504","1.746374",".0807461","7.798088","8.993801",".8670514",".3859138"
"statetimefe_126",".359056","88.53338",".0040556",".9967809","-.3773824","1.134641","-.3326005",".7408841","-227.5751","108.9393","-2.089008",".036707","-.2944828",".852993","-.3452347",".7299179","-38.69579","11.11001","-3.482967",".0004959","-10.48832","20.08948","-.52208",".6016146","-66.31787","32.28544","-2.054111",".039965","-56.69127","72.53505","-.7815708",".4344669","-55.08732","20.45564","-2.693013",".0070809"
"statetimefe_127","8.211425","14.43741",".5687604",".5721704","-.4925661",".0693022","-7.10751","5.03e-09","-423.8953","43.92177","-9.651144","0","-1.056603",".3588152","-2.9447",".0032327","-10.07221","2.002594","-5.029581","4.92e-07","-39.12223","7.59647","-5.150054","2.60e-07","-101.4979","13.30614","-7.627903","2.38e-14","-229.0128","25.09751","-9.124922","0","-43.13352","6.266645","-6.883033","5.86e-12"
