"","est1","","","","est2","","","","est3","","","","est4","","",""
"yy17",".0140613",".0187674",".7492415",".4537755","-.0755915",".0708381","-1.067102",".2866897","-.0981207",".0244826","-4.007768",".0000629",".1613671",".0234752","6.873943","7.69e-12"
"yy18",".0040143",".0177248",".2264796",".8208452","-.0339566",".0627219","-.5413829",".5886014","-.0662788",".0223962","-2.95937",".0031089",".1187308",".021838","5.4369","5.90e-08"
"yy19",".0078718",".0173067",".4548435",".6492576","-.0401727",".052401","-.7666402",".4438322","-.0282228",".0208223","-1.355411",".1753975",".0539898",".0213976","2.52317",".011686"
"yy20","-.0687939",".0142274","-4.835317","1.40e-06","-.132397",".040795","-3.24542",".0012904","-.0906724",".0171543","-5.285708","1.35e-07","-.072223",".0178596","-4.043925",".000054"
"_cons","-2.186014",".8710399","-2.50966",".0121416","6.052057","3.575151","1.692812",".0914155","-.0674607","1.152513","-.0585335",".9533279","-4.053553","1.046597","-3.873077",".00011"
"N","47688","","","","6602","","","","47688","","","","47688","","",""
"r2",".5994007","","","",".6110887","","","",".6535508","","","",".5845029","","",""
"df_m","29","","","","29","","","","29","","","","29","","",""
"df_r","2759","","","","337","","","","2759","","","","2759","","",""
"df_b","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","",""
