"","col3aa","","","","col3ab","","","","col3ba","","","","col3bb","","","","col4ab","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"_Idistrict_22033",".1000088",".2172373",".4603666",".6479474","-.1602583",".287532","-.5573579",".5806394","","","","","","","","","-.1592307",".3012921","-.5284929",".6003133"
"_Idistrict_22034",".0388477",".1539667",".2523121",".8021963","-.0125923",".2948585","-.0427062",".9661654","","","","","","","","","-.0146826",".305525","-.0480571",".9619292"
"_Idistrict_22035",".14514",".0228095","6.363146","2.03e-07","-.2183251",".0759127","-2.876002",".0066449","","","","","","","","","-.2141316",".0758033","-2.824834",".0075786"
"_Idistrict_22036","-.0721743",".022644","-3.187352",".0029171","-.0371242",".0871941","-.4257647",".6727458","","","","","","","","","-.0023684",".1143571","-.0207109",".9835876"
"_Idistrict_22037","-.0063927",".0177374","-.3604097",".7205902","-.1151326",".0853356","-1.349175",".1854798","","","","","","","","","-.0936457",".1054928","-.8876979",".3804377"
"_Idistrict_22038",".0529251",".0697713",".7585506",".4529266","-.128975",".1034424","-1.246829",".2202958","","","","","","","","","-.0984297",".1359938","-.7237806",".473752"
"_Idistrict_22039",".0103705",".0352713",".2940196",".7703861","-.0729636",".0663788","-1.0992",".2787821","","","","","","","","","-.0561886",".0727935","-.7718902",".4450818"
"_Idistrict_22040","-.0738797",".0431715","-1.711305",".0953971",".0902532",".0864791","1.043642",".303422","","","","","","","","",".1124172",".0524056","2.145136",".0385739"
"_Idistrict_22041",".0806258",".0337375","2.389798",".0220654","-.21617",".0667678","-3.23764",".002545","","","","","","","","","-.191298",".0820391","-2.331789",".0252639"
"_Idistrict_22042",".1013412",".1231283",".8230538",".4157508","-.1985748",".1328308","-1.494946",".1434094","","","","","","","","","-.1822397",".1524243","-1.195608",".2394564"
"_Idistrict_22043",".0996974",".0397271","2.509553",".0165939","-.1639659",".0647826","-2.53102",".0157554","","","","","","","","","-.1582462",".0418501","-3.781264",".000552"
"_Idistrict_22044","-.062144",".0783275","-.7933871",".432611","-.0025832",".1522019","-.0169721",".9865501","","","","","","","","",".0241184",".107743",".2238509",".8241048"
"_Idistrict_22045","-.053986",".0152815","-3.532772",".0011226","-.0698377",".060381","-1.156617",".2548422","","","","","","","","","-.0429308",".0467495","-.9183173",".3644007"
"_Idistrict_22046","-.1086551",".0712136","-1.525764",".1355723",".0361186",".1127018",".3204794",".7504079","","","","","","","","",".046173",".0839574",".5499574",".5856534"
"_Idistrict_22047","-.0040082",".0468426","-.0855672",".9322718","-.0967299",".0659263","-1.467243",".1507594","","","","","","","","","-.0891328",".0644725","-1.382494",".1751086"
"_Idistrict_22048",".0485106",".0187175","2.591731",".0135896","-.1513232",".0592128","-2.555583",".0148436","","","","","","","","","-.1321191",".052976","-2.493941",".0172291"
"_Idistrict_22049",".1026723",".0448091","2.291329",".0277359","-.2223204",".0614645","-3.617052",".0008841","","","","","","","","","-.1878496",".0724535","-2.592692",".0135577"
"_Idistrict_22050",".0710526",".0569231","1.24822",".2197917","-.1984152",".0986528","-2.011248",".0516267","","","","","","","","","-.1863719",".1116977","-1.668538",".1036511"
"_Idistrict_22051",".0465271",".0355233","1.309763",".1983503","-.183234",".0553431","-3.310871",".0020829","","","","","","","","","-.1721278",".0306679","-5.61263","2.10e-06"
"_Idistrict_22052",".0084551",".0278996",".3030566",".7635442","-.16434",".0580178","-2.832578",".0074298","","","","","","","","","-.1416471",".0303402","-4.66862",".0000391"
"_Idistrict_22053","-.0027745",".0422725","-.065634",".9480225","-.1178864",".0654795","-1.800357",".0799613","","","","","","","","","-.0789729",".0371104","-2.128052",".0400585"
"_Idistrict_22054",".1753999",".0347233","5.051359",".000012","-.273953",".0777597","-3.523073",".0011537","","","","","","","","","-.2386124",".1076627","-2.216295",".032901"
"_Idistrict_22055",".0005544",".0194482",".0285082",".97741","-.0609675",".0780565","-.7810689",".4397311","","","","","","","","","-.1380341",".1022829","-1.349532",".1853663"
"_Idistrict_22056",".073068",".0096012","7.610323","4.43e-09","-.1730662",".0516368","-3.351609",".0018617","","","","","","","","","-.197525",".0333963","-5.914572","8.20e-07"
"_Idistrict_23001","-.0678593",".1008932","-.672585",".5053903","-.0883438",".1069553","-.8259879",".4141055","","","","","","","","","-.1081869",".1061619","-1.019075",".314785"
"_Idistrict_23002","-.0064952",".0658903","-.0985759",".9220071","-.1715218",".0892736","-1.921306",".0624224","","","","","","","","","-.202346",".0573641","-3.527398",".0011397"
"_Idistrict_23003","-.0177899",".0231963","-.7669275",".4479908","-.165835",".0695782","-2.383434",".0223975","","","","","","","","","-.1652354",".0446348","-3.701937",".0006937"
"_Idistrict_23004",".1329856",".0982851","1.35306",".1842466","-.2045161",".0968616","-2.111425",".0415515","","","","","","","","","-.2019604",".1081519","-1.867378",".0697864"
"_Idistrict_23005",".2315192",".1139592","2.031598",".0494227","-.3398673",".0795955","-4.269928",".0001307","","","","","","","","","-.3626024",".0744027","-4.873513",".0000208"
"_Idistrict_23006",".1087281",".0363736","2.989201",".0049483","-.2034091",".0630428","-3.226525",".0026231","","","","","","","","","-.267213",".0769428","-3.472881",".0013285"
"_Idistrict_23007",".0065199",".0204953",".3181162",".7521854","-.0794808",".0662477","-1.199752",".2378621","","","","","","","","","-.0947324",".0449362","-2.108151",".0418512"
"_Idistrict_23008","-.0519768",".0254049","-2.045938",".0479194",".0285635",".0548361",".5208886",".605548","","","","","","","","","-.023219",".0652608","-.3557886",".7240195"
"_Idistrict_23009","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".","."
"_Idistrict_23010",".0925651",".1690504",".5475591",".5872828","-.1269528",".1332288","-.9528933",".3468281","","","","","","","","","-.243384",".0831109","-2.928423",".0058008"
"_Idistrict_23011",".0248969",".038636",".6443957",".5232941","-.0661546",".0773776","-.8549583",".3980766","","","","","","","","","-.1099223",".0812573","-1.35277",".1843386"
"_Idistrict_23012","-.0841033",".0154943","-5.428013","3.74e-06",".001993",".0496152",".0401698",".9681737","","","","","","","","","-.0427992",".0368619","-1.161071",".2530494"
"_Idistrict_23013",".1134831",".0901031","1.259481",".2157441","-.1339989",".0950296","-1.410075",".166869","","","","","","","","","-.1370604",".0706873","-1.938968",".0601606"
"_Idistrict_23014",".2145519",".1074196","1.997324",".0531836","-.3016441",".1297185","-2.325375",".025642","","","","","","","","","-.3145817",".1195901","-2.630498",".0123536"
"_Idistrict_23015","-.0489632",".0030117","-16.2578","1.96e-18",".0507519",".1260019",".4027867",".689423","","","","","","","","",".0520232",".0965419",".5388667",".5932066"
"_Idistrict_23016",".0666169",".0190584","3.495409",".0012471","-.1601124",".0827464","-1.934977",".0606655","","","","","","","","","-.157902",".051846","-3.045597",".004264"
"_Idistrict_23017",".0147096",".0150553",".9770414",".3348939","-.0642357",".0655825","-.9794647",".3337117","","","","","","","","","-.1033782",".0704977","-1.466405",".1509861"
"_Idistrict_27001",".3386678",".1528978","2.214995",".0329976","-.0571123",".2412886","-.2366972",".8141973","","","","","","","","","-.1280291",".183865","-.6963212",".4905791"
"_Idistrict_28001","-.1965044",".0271458","-7.238862","1.37e-08",".8442212",".1162165","7.264213","1.26e-08","","","","","","","","",".575917",".1065437","5.405455","4.01e-06"
"_Idistrict_29001","-.039457",".0753068","-.5239506",".6034376",".3448486",".2539734","1.357814",".1827463","","","","","","","","",".2073875",".1526953","1.358179",".1826316"
"_Idistrict_29002","-.070611",".0622533","-1.134252",".2639842",".5485604",".2247327","2.440946",".0195543","","","","","","","","",".1445064",".1656751",".8722275",".3887094"
"_Idistrict_29003","-.0268471",".0737458","-.3640486",".7178939","-.0691755",".195254","-.3542844",".7251369","","","","","","","","","-.1393535",".1129786","-1.233451",".2251863"
"_Iregcod50_22","","","","","","","","",".0052477",".0208822",".2513016",".8030099",".0783955",".0243168","3.223926",".0026881","","","",""
"_Iregcod50_23","","","","","","","","",".1190608",".0300045","3.968101",".0003309","-.1801945",".075371","-2.390767",".022166","","","",""
"_Iregcod50_24","","","","","","","","",".0712328",".0680206","1.047225",".3019764","-.1382602",".1440424","-.9598577",".3435296","","","",""
"_Iregcod50_41","","","","","","","","","-.0921396",".0936352","-.9840284",".3316691",".1610309",".0927876","1.735478",".0912102","","","",""
"_Iregcod50_42","","","","","","","","","-.0437509",".0476183","-.9187821",".3643249",".0134438",".0343532",".3913419",".6978513","","","",""
"_Iregcod50_43","","","","","","","","","-.0322557",".1191404","-.2707366",".7881399",".0877801",".1518186",".5781904",".5667352","","","",""
"_Iregcod50_51","","","","","","","","",".0930582",".0470614","1.977378",".0556949","-.0513634",".1058429","-.4852799",".6304181","","","",""
"_Iregcod50_52","","","","","","","","",".2323732",".0493325","4.710348",".0000363","-.4339034",".0426645","-10.17013","3.95e-12","","","",""
"_Iregcod50_53","","","","","","","","",".1435879",".062697","2.290186",".0279752","-.2969774",".0724123","-4.101199",".0002241","","","",""
"_Iregcod50_61","","","","","","","","","-.1010322",".0202897","-4.979478",".000016",".340411",".0539101","6.314421","2.65e-07","","","",""
"_Iregcod50_71","","","","","","","","",".0423508",".0771885",".5486675",".5866206",".2672349",".2111744","1.26547",".2138322","","","",""
"_Iregcod50_72","","","","","","","","","-.0164717",".0316953","-.5196909",".60646",".1690416",".0758426","2.228849",".0321568","","","",""
"_Iregcod50_73","","","","","","","","","-.0441015",".0556726","-.7921572",".4334582",".2856595",".1083274","2.637002",".0122701","","","",""
"_Iregcod50_74","","","","","","","","",".0250474",".0190652","1.313773",".1972336","-.1352098",".0452344","-2.989093",".0050182","","","",""
"_Iregcod50_75","","","","","","","","",".0551703",".071049",".7765096",".4425204","-.0239575",".0904652","-.2648255",".7926543","","","",""
"_Iregcod50_81","","","","","","","","","-.044937",".0245629","-1.829468",".0756216",".1990268",".0695007","2.863664",".0069427","","","",""
"_Iregcod50_82","","","","","","","","","-.0623291",".0442871","-1.407386",".1678889",".0659958",".050042","1.318809",".1955611","","","",""
"_Iregcod50_91","","","","","","","","","-.1425542",".0711123","-2.004636",".0525677",".5679082",".1570861","3.615266",".0009108","","","",""
"_Iregcod50_101","","","","","","","","","0",".",".",".","0",".",".",".","","","",""
"_Iregcod50_102","","","","","","","","","0",".",".",".","0",".",".",".","","","",""
"_Iregcod50_103","","","","","","","","","0",".",".",".","0",".",".",".","","","",""
"_Iregcod50_111","","","","","","","","",".1172821",".0403965","2.903277",".0062706","-.0737798",".0775417","-.951485",".3477031","","","",""
"_Iregcod50_112","","","","","","","","","-.0380536",".0889495","-.4278113",".671337","-.0721797",".061726","-1.169355",".2499448","","","",""
"_Iregcod50_113","","","","","","","","","-.0051911",".0398231","-.1303547",".8970115",".2574026",".0957017","2.689633",".0107724","","","",""
"_Iregcod50_114","","","","","","","","",".1408604",".0317629","4.434747",".0000833","-.1597344",".0290621","-5.496308","3.28e-06","","","",""
"_Iregcod50_121","","","","","","","","",".0829443",".024991","3.318968",".0020761","-.0165359",".0447043","-.3698953",".7136278","","","",""
"_Iregcod50_122","","","","","","","","","-.0275323",".0228333","-1.205795",".2357619",".2818224",".0494111","5.703625","1.73e-06","","","",""
"_Iregcod50_131","","","","","","","","",".0125577",".0519329",".2418066",".8103022",".0266109",".1315325",".2023145",".8408099","","","",""
"_Iregcod50_132","","","","","","","","",".1227471",".0233011","5.26786","6.61e-06","-.2422502",".0417641","-5.800437","1.28e-06","","","",""
"_Iregcod50_133","","","","","","","","",".0510319",".0414039","1.232538",".2257372","-.0016291",".0917585","-.0177541",".985933","","","",""
"_Iregcod50_134","","","","","","","","","-.0121913",".0200539","-.6079289",".547051",".0685819",".0333592","2.055864",".0471025","","","",""
"_Iregcod50_135","","","","","","","","",".0244429",".0378385",".6459786",".52239",".0637301",".1087277",".5861442",".561436","","","",""
"_Iregcod50_136","","","","","","","","",".1113239",".0613296","1.815174",".0778354","-.1670464",".067656","-2.469056",".0184262","","","",""
"_Iregcod50_137","","","","","","","","","-.0003474",".0808565","-.0042968",".9965954",".0046758",".0615603",".0759552",".9398753","","","",""
"_Iregcod50_141","","","","","","","","","-.0310272",".0469078","-.6614498",".5125355",".4549355",".1202616","3.782884",".0005652","","","",""
"_Iregcod50_142","","","","","","","","",".054647",".0361343","1.512332",".1391793",".2198735",".0808141","2.720732",".0099689","","","",""
"_Iregcod50_143","","","","","","","","",".1713921",".0313617","5.465004","3.61e-06",".0101689",".0778977",".1305414",".8968648","","","",""
"_Iregcod50_144","","","","","","","","",".2243822",".0181015","12.39575","1.49e-14","-.209577",".021609","-9.698583","1.40e-11","","","",""
"_Iregcod50_145","","","","","","","","",".1308795",".0155865","8.39698","5.31e-10","-.0447881",".0401697","-1.114974",".2722496","","","",""
"_Iregcod50_146","","","","","","","","",".0904737",".0692201","1.307044",".1994852",".0629552",".127837",".4924644",".6253812","","","",""
"_Iregcod50_191","","","","","","","","","-.0053544",".0507258","-.1055554",".9165211","-.1022415",".0611631","-1.671621",".1032708","","","",""
"_Iregcod50_192","","","","","","","","",".0534754",".0401778","1.330969",".1915676","-.1719664",".0236485","-7.271772","1.45e-08","","","",""
"_Iregcod50_193","","","","","","","","",".04668",".0283656","1.645657",".1085389","-.0658827",".157766","-.4175976",".6787216","","","",""
"_Iregcod50_201","","","","","","","","","-.0660305",".0413138","-1.598267",".118725",".2341706",".0578542","4.047599",".0002623","","","",""
"_Iregcod50_202","","","","","","","","","-.1150353",".0509218","-2.259056",".0300323",".1972609",".0314986","6.262537","3.10e-07","","","",""
"_Iregcod50_211","","","","","","","","","-.0029999",".0169546","-.1769375",".8605492",".033416",".0328932","1.015892",".3164602","","","",""
"_Iregcod50_212","","","","","","","","",".0275448",".0208893","1.318609",".1956274",".0619697",".0509153","1.217113",".2314799","","","",""
"_Iregcod50_213","","","","","","","","","-.0340431",".0192179","-1.771428",".0849554",".167836",".0285809","5.872317","1.03e-06","","","",""
"_Iregcod50_214","","","","","","","","","-.0123027",".0590571","-.2083191",".836154",".0525029",".1036107",".5067326",".6154323","","","",""
"_Iregcod50_231","","","","","","","","",".0447953",".0411721","1.088001",".2838251",".2103042",".0869401","2.418955",".0207467","","","",""
"_Iregcod50_232","","","","","","","","",".0295053",".0229529","1.285471",".2068358",".0195513",".0360752",".5419602",".5911849","","","",""
"_Iregcod50_233","","","","","","","","",".127205",".0761887","1.669605",".103672",".0052138",".0791618",".0658631",".9478512","","","",""
"_Iregcod50_234","","","","","","","","",".060954",".0523062","1.165331",".2515485",".2230989",".1337195","1.668409",".1039107","","","",""
"_Iregcod50_251","","","","","","","","","-.0620695",".0692163","-.8967471",".3758117",".1626554",".1178407","1.380299",".1760061","","","",""
"_Iregcod50_252","","","","","","","","",".0890343",".0395495","2.251209",".0305717","-.0534283",".0420551","-1.270435",".2120791","","","",""
"_Iregcod50_253","","","","","","","","",".0663844",".0170797","3.886741",".000419","-.0490719",".0639606","-.7672199",".4479535","","","",""
"_Iregcod50_254","","","","","","","","",".1054469",".0228163","4.621568",".0000475","-.1180217",".0627745","-1.88009",".068207","","","",""
"_Iregcod50_255","","","","","","","","",".161428",".0563344","2.865532",".0069095","-.2189409",".0726891","-3.012018",".0047259","","","",""
"_Iregcod50_261","","","","","","","","","-.0116524",".130604","-.0892189",".9294024","-.0157407",".0629658","-.249988",".8040177","","","",""
"_Iregcod50_262","","","","","","","","",".1756431",".0637684","2.754392",".0091621","-.155692",".0841093","-1.851068",".0723777","","","",""
"_Iregcod50_263","","","","","","","","",".0540048",".0459897","1.174281",".2479922",".1873418",".0871736","2.149066",".0384267","","","",""
"_Iregcod50_264","","","","","","","","",".0196422",".0170664","1.150925",".2573504","-.0962591",".0646957","-1.487875",".1454916","","","",""
"_Iregcod50_291","","","","","","","","","-.0344142",".0281801","-1.221225",".2299385",".4797255",".0574096","8.356187","5.97e-10","","","",""
"_Iregcod50_301","","","","","","","","","-.0602383",".029874","-2.016416",".0512643",".3099621",".0660826","4.690525",".0000385","","","",""
"_Iregcod50_302","","","","","","","","","-.0749327",".0263261","-2.846333",".0072574","-.016895",".0302187","-.5590896",".5795623","","","",""
"_Iregcod50_311","","","","","","","","","-.1044419",".0455438","-2.29322",".0277816",".7104638",".068462","10.3775","2.29e-12","","","",""
"pcnt_litpost","","","","","","","","","","","","","","","","",".1803217",".1360585","1.325325",".1931893"
"pcnt_scstpost","","","","","","","","","","","","","","","","","-.0615187",".1049827","-.5859894",".5614405"
"pcnt_mfgpost","","","","","","","","","","","","","","","","","-2.561078","2.920654","-.8768849",".3862073"
"pcnt_farmpost","","","","","","","","","","","","","","","","","-3.222405","2.761164","-1.167046",".2506585"
"pcnt_tradepost","","","","","","","","","","","","","","","","","-5.479925","3.013056","-1.818727",".0770546"
"pcnt_tranpost","","","","","","","","","","","","","","","","","2.284121","4.83912",".4720117",".6396904"
"pcnt_minpost","","","","","","","","","","","","","","","","","-4.050328","2.874407","-1.409101",".1671549"
"pcnt_servpost","","","","","","","","","","","","","","","","","-4.455982","3.089721","-1.442196",".1576592"
"post_law","","","","","","","","","","","","","","","","",".0362423",".034205","1.05956",".2962128"
"_cons",".4011564",".0238776","16.80055","6.69e-19","5.020583",".0764056","65.70959","6.42e-40",".3106383",".0567104","5.477621","3.47e-06","5.488103",".1350854","40.62692","1.13e-31","5.027055",".0508792","98.80368","1.95e-46"
"N","728","","","","728","","","","127","","","","127","","","","728","","",""
"r2",".8326292","","","",".9487995","","","",".878196","","","",".9829864","","","",".95528","","",""
"df_m","20","","","","20","","","","19","","","","19","","","","29","","",""
"df_r","37","","","","37","","","","36","","","","36","","","","37","","",""
"df_b","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","",""
