"","col3aa","","","","col3ab","","","","col3ba","","","","col3bb","","","","col4ab","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"_Idistrict_4030",".1441155",".0560232","2.572424",".0142468","-.1621081",".1480655","-1.09484",".2806627","","","","","","","","","-.1254413",".1003554","-1.249971",".2191587"
"_Idistrict_4031",".105894",".0200929","5.270213","6.10e-06","-.1372849",".0686335","-2.000261",".0528518","","","","","","","","","-.1158904",".0442347","-2.619896",".0126809"
"_Idistrict_4032",".1455912",".0433003","3.362361",".0018072","-.1925509",".0640156","-3.007874",".004711","","","","","","","","","-.1681855",".0452802","-3.714325",".0006694"
"_Idistrict_4033",".2349731",".1630666","1.440964",".1580047","-.2660096",".1291897","-2.059061",".0465788","","","","","","","","","-.2559264",".140484","-1.821748",".0765853"
"_Idistrict_4034",".2242063",".0452193","4.958198",".0000161","-.2625915",".0725548","-3.619217",".0008787","","","","","","","","","-.2648023",".0525952","-5.034726",".0000127"
"_Idistrict_4035",".1759144",".0246428","7.138582","1.85e-08","-.2326989",".0570734","-4.077188",".0002322","","","","","","","","","-.2144372",".0457091","-4.691347",".0000365"
"_Idistrict_4036",".2402803",".0368821","6.514819","1.27e-07","-.3630409",".0713454","-5.088498",".0000107","","","","","","","","","-.3575702",".0485112","-7.37088","9.14e-09"
"_Idistrict_4037",".3741336",".049472","7.56254","5.11e-09","-.3927848",".0719603","-5.458355","3.40e-06","","","","","","","","","-.3689959",".052455","-7.034521","2.55e-08"
"_Idistrict_4038",".3167286",".0320181","9.892175","6.16e-12","-.3752074",".1129299","-3.322479",".0020174","","","","","","","","","-.3313586",".0846","-3.916767",".0003722"
"_Idistrict_5001","-.0614791",".0123759","-4.967636",".0000156",".0793154",".0500481","1.584782",".1215269","","","","","","","","",".0411079",".0409722","1.003312",".3222272"
"_Idistrict_5002","-.0197941",".0838769","-.2359898",".8147421",".0727441",".1372584",".5299792",".5992926","","","","","","","","",".0158586",".094005",".1686997",".8669517"
"_Idistrict_5003",".2404775",".2647923",".9081742",".3696637","-.1142214",".2696676","-.4235636",".6743363","","","","","","","","","-.1675916",".240318","-.6973745",".4899276"
"_Idistrict_5004",".0017856",".0461958",".0386537",".9693743",".0385728",".0704186",".5477648",".5871429","","","","","","","","","-.0462614",".0858754","-.538703",".5933184"
"_Idistrict_5005","-.0449023",".0109115","-4.115152",".0002075",".0992884",".0692056","1.434688",".159775","","","","","","","","",".0321873",".0359497",".8953404",".3763932"
"_Idistrict_5006","-.1109691",".0258145","-4.298716",".0001199",".1577918",".0822127","1.919313",".0626822","","","","","","","","",".1261695",".0601089","2.099016",".0426976"
"_Idistrict_5007",".0672428",".125748",".5347421",".5960274",".0407264",".1781078",".2286612",".8203914","","","","","","","","","-.0624958",".1097069","-.5696618",".5723498"
"_Idistrict_5008",".119352",".025311","4.715426",".0000339","-.0105107",".0505541","-.2079097",".8364397","","","","","","","","","-.0203052",".0296467","-.684905",".4976723"
"_Idistrict_5009",".0456955",".0232623","1.96436",".0570331",".03425",".0520652",".657829",".5147202","","","","","","","","",".0134445",".0320528",".4194507",".6773122"
"_Idistrict_5010",".125927",".1145609","1.099214",".2787759",".0426286",".1483689",".2873147",".7754744","","","","","","","","","-.0320172",".0941099","-.340211",".7356216"
"_Idistrict_5011","-.092511",".0466112","-1.984738",".0546259",".2760588",".159185","1.734201",".0912082","","","","","","","","",".1889224",".0945416","1.998299",".0530733"
"_Idistrict_5012","-.1323704",".010025","-13.20403","1.42e-15",".1817102",".0648801","2.800706",".00806","","","","","","","","",".1150923",".0343925","3.346437",".0018885"
"_Idistrict_5013",".0179939",".0248423",".7243239",".4734224",".062907",".0548219","1.147479",".2585494","","","","","","","","",".0213349",".0289663",".7365408",".4660463"
"_Idistrict_5014",".2455022",".0834594","2.941576",".0056054","-.2012969",".0857293","-2.348054",".0243273","","","","","","","","","-.2144808",".0761122","-2.817955",".007713"
"_Idistrict_5015","-.0472205",".0197046","-2.396421",".0217245",".1272585",".0552327","2.304044",".0269366","","","","","","","","",".0986627",".0365075","2.702531",".010328"
"_Idistrict_5016","-.0660681",".0794182","-.8319013",".4108018",".2717385",".1856483","1.463727",".1517131","","","","","","","","",".2143963",".217711",".9847748",".3311309"
"_Idistrict_5017",".0717052",".104515",".6860754",".4969425",".030566",".181268",".1686233",".8670114","","","","","","","","","-.0286412",".1464726","-.1955398",".8460403"
"_Idistrict_5018","-.0555163",".0164177","-3.381483",".001714",".1926887",".058332","3.303313",".0021266","","","","","","","","",".1152446",".0481803","2.391945",".0219544"
"_Idistrict_5019",".1811806",".0202393","8.951922","8.57e-11","-.1177313",".0693843","-1.6968",".0981331","","","","","","","","","-.1267046",".0457388","-2.770176",".0087102"
"_Idistrict_6001","-.1450441",".0390518","-3.714146",".0006698",".3314449",".3174715","1.044015",".303252","","","","","","","","",".2978326",".3061718",".9727632",".3369879"
"_Idistrict_6002","-.1920202",".0172799","-11.11236","2.40e-13",".4744655",".2861641","1.658019",".1057694","","","","","","","","",".4529059",".2780311","1.628976",".1118042"
"_Idistrict_6003","-.1639355",".0081303","-20.16349","1.50e-21",".4592122",".1824751","2.516575",".0163152","","","","","","","","",".4527524",".1926059","2.350668",".0241798"
"_Idistrict_6004","-.1503668",".0278662","-5.396021","4.13e-06",".2509731",".0960136","2.613934",".0128685","","","","","","","","",".2298476",".0828156","2.775414",".0085953"
"_Idistrict_6005","-.1592877",".0551162","-2.890032",".0064084",".5118363",".1483137","3.451039",".0014122","","","","","","","","",".4424756",".1990262","2.223203",".032392"
"_Idistrict_6006","-.1841745",".0133597","-13.78587","3.76e-16",".5169635",".2133003","2.423642",".0203731","","","","","","","","",".4876115",".1961706","2.48565",".0175753"
"_Idistrict_6007","-.2117998",".0234037","-9.049832","6.48e-11",".3864745",".1544234","2.502694",".0168703","","","","","","","","",".3666959",".1508556","2.430774",".020032"
"_Idistrict_6008","-.1605098",".0144489","-11.10878","2.42e-13",".4282048",".1652182","2.591753",".0135889","","","","","","","","",".3800418",".1412345","2.690856",".0106339"
"_Idistrict_6009","-.1730608",".0495637","-3.491685",".0012602",".3626787",".0521923","6.948899","3.32e-08","","","","","","","","",".3443635",".053076","6.488124","1.38e-07"
"_Idistrict_6010","-.211925",".0896036","-2.36514",".0233773",".3776857",".053339","7.080851","2.21e-08","","","","","","","","",".3780658",".0433363","8.723994","1.65e-10"
"_Idistrict_6011","-.2637938",".1010207","-2.611286",".0129526",".4526141",".0635153","7.126061","1.93e-08","","","","","","","","",".4419292",".0455747","9.696811","1.05e-11"
"_Idistrict_6012","-.1864071",".1109039","-1.680799",".1012265",".4797355",".1050128","4.568353",".0000531","","","","","","","","",".4741799",".091756","5.167837","8.39e-06"
"_Idistrict_7001","-.0906552",".1043701","-.8685936",".3906688",".035129",".0887523",".3958092",".694519","","","","","","","","","-.021986",".1605992","-.1369001",".891852"
"_Idistrict_7002","-.1866596",".0740508","-2.520697",".0161536",".2457321",".0668083","3.678168",".0007426","","","","","","","","",".2132748",".0615022","3.467756",".0013477"
"_Idistrict_7003","-.2656863",".0783443","-3.391265",".0016681",".4249105",".0629168","6.753532","6.05e-08","","","","","","","","",".3890889",".0840012","4.631946",".0000437"
"_Idistrict_7004","-.2148748",".0873439","-2.4601",".0186828",".3669441",".0556111","6.598399","9.77e-08","","","","","","","","",".3206067",".0736936","4.350535",".0001026"
"_Idistrict_7005","-.1872215",".0642087","-2.915826",".0059939",".345932",".1504677","2.299044",".0272484","","","","","","","","",".2794823",".2009601","1.390735",".1726141"
"_Idistrict_7006","-.1722317",".0271942","-6.333387","2.22e-07",".236774",".0689085","3.436064",".0014725","","","","","","","","",".1929894",".0626364","3.081105",".00388"
"_Idistrict_7007","-.0828524",".1400449","-.591613",".5577075",".1831326",".0586705","3.121372",".0034842","","","","","","","","",".1725505",".0542387","3.181321",".0029651"
"_Idistrict_7008","-.3264525",".0167888","-19.44461","5.13e-21",".340982",".0632705","5.389273","4.22e-06","","","","","","","","",".3295926",".04101","8.036891","1.24e-09"
"_Idistrict_7009","-.159431",".1011003","-1.576959",".1233177",".332279",".1009437","3.291725",".0021953","","","","","","","","",".2815192",".1352007","2.082232",".044292"
"_Idistrict_7010","-.1760633",".0291337","-6.043295","5.49e-07",".2386784",".0576708","4.138633",".0001935","","","","","","","","",".1408234",".0801849","1.756234",".0873236"
"_Idistrict_7011","-.1137501",".0606375","-1.875902",".0685752",".2654136",".1463243","1.813873",".0778138","","","","","","","","",".2281961",".1718395","1.32796",".1923256"
"_Idistrict_7012","-.0920636",".0811051","-1.135115",".2636272",".216046",".1258196","1.717109",".0943204","","","","","","","","",".0770977",".30866",".2497819",".8041376"
"_Idistrict_8001","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".","."
"_Idistrict_8002","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".","."
"_Idistrict_8003","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".","."
"_Idistrict_8004","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".","."
