	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)
	OLS	OLS	OLS	OLS	OLS	PROBIT		PROBIT		PROBIT		PROBIT		OLS	OLS	OLS	OLS	OLS	PROBIT		PROBIT		PROBIT		PROBIT		OLS	OLS	OLS	OLS	OLS	PROBIT		PROBIT		PROBIT		PROBIT		OLS	OLS	OLS	OLS	OLS	OLS	OLS	OLS	OLS	OLS	OLS
VARIABLES	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr FE	MFX	GEO	MFX	GEO+REL	MFX	GEO+REL+FAC	MFX	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr FE	MFX	GEO	MFX	GEO+REL	MFX	GEO+REL+FAC	MFX	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr FE	MFX	GEO	MFX	GEO+REL	MFX	GEO+REL+FAC	MFX	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr No FE
																																																		
kelurDum	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0287	0.0095	0.2881***	0.1006***	0.2856***	0.0997***	0.2774***	0.0966***	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0287	0.0095	0.2881***	0.1006***	0.2856***	0.0997***	0.2774***	0.0966***	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0287	0.0095	0.2881***	0.1006***	0.2856***	0.0997***	0.2774***	0.0966***	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0739***
lpopulation_1996_4			0.0001	-0.0001	-0.0001			0.0012	.	0.0007	.	0.0008	.			0.0001	-0.0001	-0.0001			0.0012	.	0.0007	.	0.0008	.			0.0001	-0.0001	-0.0001			0.0012	.	0.0007	.	0.0008	.			0.0001	-0.0001	-0.0001			0.0001	-0.0001	-0.0001	
			(0.000)	(0.000)	(0.000)			(0.001)	(.)	(0.001)	(.)	(0.001)	(.)			(0.000)	(0.000)	(0.000)			(0.001)	(.)	(0.001)	(.)	(0.001)	(.)			(0.000)	(0.000)	(0.000)			(0.001)	(.)	(0.001)	(.)	(0.001)	(.)			(0.000)	(0.000)	(0.000)			(0.000)	(0.000)	(0.000)	
popdensity_1996			-0.0012	-0.0010	-0.0010			-0.0063	.	-0.0056	.	-0.0053	.			-0.0012	-0.0010	-0.0010			-0.0063	.	-0.0056	.	-0.0053	.			-0.0012	-0.0010	-0.0010			-0.0063	.	-0.0056	.	-0.0053	.			-0.0012	-0.0010	-0.0010			-0.0012	-0.0010	-0.0010	
			(0.001)	(0.001)	(0.001)			(0.008)	(.)	(0.007)	(.)	(0.007)	(.)			(0.001)	(0.001)	(0.001)			(0.008)	(.)	(0.007)	(.)	(0.007)	(.)			(0.001)	(0.001)	(0.001)			(0.008)	(.)	(0.007)	(.)	(0.007)	(.)			(0.001)	(0.001)	(0.001)			(0.001)	(0.001)	(0.001)	
dist_kecoffice_2000			0.0002	0.0002	0.0002			0.0005	.	0.0006	.	0.0006	.			0.0002	0.0002	0.0002			0.0005	.	0.0006	.	0.0006	.			0.0002	0.0002	0.0002			0.0005	.	0.0006	.	0.0006	.			0.0002	0.0002	0.0002			0.0002	0.0002	0.0002	
			(0.000)	(0.000)	(0.000)			(0.001)	(.)	(0.001)	(.)	(0.001)	(.)			(0.000)	(0.000)	(0.000)			(0.001)	(.)	(0.001)	(.)	(0.001)	(.)			(0.000)	(0.000)	(0.000)			(0.001)	(.)	(0.001)	(.)	(0.001)	(.)			(0.000)	(0.000)	(0.000)			(0.000)	(0.000)	(0.000)	
dist_kab_kotacapital_2000			0.0000	0.0000	0.0000			0.0001	.	0.0001	.	0.0001	.			0.0000	0.0000	0.0000			0.0001	.	0.0001	.	0.0001	.			0.0000	0.0000	0.0000			0.0001	.	0.0001	.	0.0001	.			0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	
			(0.000)	(0.000)	(0.000)			(0.000)	(.)	(0.000)	(.)	(0.000)	(.)			(0.000)	(0.000)	(0.000)			(0.000)	(.)	(0.000)	(.)	(0.000)	(.)			(0.000)	(0.000)	(0.000)			(0.000)	(.)	(0.000)	(.)	(0.000)	(.)			(0.000)	(0.000)	(0.000)			(0.000)	(0.000)	(0.000)	
mosqueph_1996				0.0175***	0.0173***					0.0607***	.	0.0600***	.				0.0175***	0.0173***					0.0607***	.	0.0600***	.				0.0175***	0.0173***					0.0607***	.	0.0600***	.				0.0175***	0.0173***				0.0175***	0.0173***	
				(0.003)	(0.003)					(0.013)	(.)	(0.013)	(.)				(0.003)	(0.003)					(0.013)	(.)	(0.013)	(.)				(0.003)	(0.003)					(0.013)	(.)	(0.013)	(.)				(0.003)	(0.003)				(0.003)	(0.003)	
