"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","","","est10","","",""
"stateyrv5","0",".",".",".","-.0195448",".0106363","-1.837556",".0661279","0",".",".",".","0",".",".",".","0",".",".",".","-.1033936",".0236189","-4.377576",".000012",".0965804",".0254377","3.796744",".0001466",".0399958",".0191213","2.091684",".0364668",".0399643",".0191683","2.084919",".0370766",".0406996",".0187011","2.176321",".0295313"
"stateyrv6","0",".",".",".",".0171153",".0106962","1.600131",".1095695","0",".",".",".","0",".",".",".","0",".",".",".","-.0800044",".0237357","-3.370633",".00075",".0722867",".0215355","3.356635",".000789",".0678549",".0189585","3.579126",".0003447",".0679733",".0189452","3.587882",".0003334",".0652121",".01814","3.594927",".0003245"
"stateyrv7","0",".",".",".",".0028609",".0137255",".2084345",".8348897","0",".",".",".","0",".",".",".","0",".",".",".","-.1003079",".023575","-4.254835",".0000209",".0776326",".0255198","3.042056",".0023497",".0509363",".0192481","2.646303",".0081377",".0514895",".0191071","2.694778",".0070436",".0385864",".0187483","2.05813",".0395776"
"stateyrv8","0",".",".",".",".0077953",".0094041",".828925",".4071468","0",".",".",".","0",".",".",".","0",".",".",".","-.1837318",".0241664","-7.602786","2.91e-14",".0525733",".0212627","2.472563",".0134148","-.0379493",".0197065","-1.925727",".0541384","-.0378789",".019706","-1.922202",".0545803","-.039521",".0191011","-2.069047",".0385417"
"stateyrv9","0",".",".",".",".0057393",".0086255",".665386",".5058036","0",".",".",".","0",".",".",".","0",".",".",".","-.1381112",".023752","-5.814723","6.07e-09",".0374014",".0212807","1.757527",".0788281",".0101278",".0192434",".5262984",".5986809",".0102759",".0192463",".5339137",".5934012",".0068209",".0187058",".3646415",".715379"
"stateyrv10","0",".",".",".",".0197877",".0121132","1.633567",".1023498","0",".",".",".","0",".",".",".","0",".",".",".","-.0963202",".023613","-4.07912",".0000452",".0613054",".0299384","2.047714",".040588",".0498469",".0189243","2.634018",".0084381",".0498439",".0189673","2.62789",".0085916",".0499139",".0181523","2.749725",".0059645"
"stateyrv11","0",".",".",".",".028092",".010436","2.691825",".0071062","0",".",".",".","0",".",".",".","0",".",".",".","-.3698176",".0252914","-14.62228","0",".0966381",".0243169","3.974111",".0000706","-.2289507",".0184321","-12.42132","0","-.2290241",".0185349","-12.35636","0","-.2273125",".0173588","-13.09492","0"
"stateyrv12",".1004732",".0165838","6.05851","1.37e-09","-.014821",".0102956","-1.439545",".149996",".1076988",".0141275","7.623368","2.46e-14",".1019418",".0141803","7.188991","6.53e-13",".1142185",".0148281","7.702837","1.33e-14","-.1559245",".0256073","-6.089063","1.14e-09",".0027378",".021246",".128863",".8974661","-.0194432",".0214564","-.9061719",".3648449","-.0198791",".0218032","-.9117474",".3619017","-.0097128",".0212052","-.4580396",".646924"
"stateyrv13",".0706446",".0160203","4.409683",".0000104",".0111891",".010121","1.105531",".2689297",".0763591",".0131727","5.796759","6.76e-09",".0729938",".01368","5.335799","9.51e-08",".0801701",".013015","6.159848","7.28e-10","-.3612257",".058323","-6.193536","5.88e-10",".0722668",".0214742","3.365277",".0007647","-.2153955",".0555611","-3.876731",".0001059","-.2156006",".0554976","-3.884862",".0001024","-.2108171",".0576026","-3.659853",".0002524"
"stateyrv14",".0908776",".0168433","5.395477","6.83e-08","-.0283437",".0083656","-3.388104",".0007038",".0978006",".0145921","6.702317","2.05e-11",".0963079",".0142605","6.753459","1.44e-11",".0994911",".0147689","6.736516","1.62e-11","-.1614954",".0239164","-6.752488","1.45e-11",".0270851",".0204834","1.322299",".1860688","-.0171125",".0192266","-.8900446",".3734419","-.0171671",".0192972","-.8896124",".373674","-.0158943",".0184276","-.8625277",".3883972"
"stateyrv15",".0874515",".0133758","6.538046","6.23e-11","-.0121853",".0087483","-1.392876",".1636574",".0936085",".0100693","9.296415","0",".0910127",".0100158","9.086884","0",".0965482",".0104027","9.28106","0",".0030554",".0237985",".1283885",".8978416",".0162448",".0206782",".7856025",".4321004",".1388309",".0194806","7.126636","1.03e-12",".1386739",".0196252","7.066103","1.59e-12",".1423353",".0185659","7.666498","1.78e-14"
"stateyrv16",".0817612",".0202331","4.040966",".0000532","-.0179801",".0094414","-1.904385",".0568601",".0883613",".017993","4.910882","9.07e-07",".0896821",".0173701","5.163018","2.43e-07",".0868656",".0188924","4.597912","4.27e-06","-.1157544",".0284407","-4.070025",".000047",".0570901",".0256235","2.228036",".0258781",".0237591",".0250839",".9471873",".3435433",".023929",".0250502",".9552416",".3394556",".0199658",".0249403",".8005447",".4233953"
"stateyrv17",".1236247",".0217835","5.67516","1.39e-08","-.0052402",".0101015","-.5187595",".6039285",".1308229",".0196253","6.666032","2.63e-11",".1291007",".0199581","6.468578","9.89e-11",".1327732",".0197473","6.723615","1.77e-11","-.1566785",".0246471","-6.35688","2.06e-10",".0556371",".0213784","2.602492",".0092549","-.0166368",".0208645","-.7973729",".4252345","-.0167042",".0209077","-.798952",".4243182","-.0151304",".0205221","-.7372722",".4609568"
"stateyrv18",".0624088",".0205501","3.036904",".0023902","-.0310254",".0132198","-2.346889",".0189309",".0674218",".0174441","3.865011",".0001111",".0575356",".0190169","3.025502",".0024822",".0786178",".017089","4.600503","4.21e-06","-.0527265",".0290284","-1.816372",".0693133",".0260488",".0295805",".8806062",".378531",".0825617",".0251062","3.288506",".0010072",".0817217",".0256171","3.190122",".0014221",".101317",".0251204","4.033255",".000055"
"stateyrv19",".0639344",".0138073","4.630471","3.65e-06","-.0097197",".0088798","-1.094579",".2737013",".0710082",".0103826","6.839153","7.97e-12",".0710188",".0101966","6.964944","3.29e-12",".0709962",".0108509","6.54289","6.03e-11","-.1901937",".02349","-8.096784","6.66e-16",".0461771",".0214114","2.156655",".0310326","-.0468932",".0193364","-2.425122",".0153032","-.0468073",".0193224","-2.422433",".015417","-.0488109",".0186047","-2.623584",".008701"
"stateyrv20",".0897774",".0131971","6.802825","1.03e-11","-.0077367",".0083471","-.9268644",".3539969",".0975449",".0096442","10.11436","0",".0978894",".0092596","10.57164","0",".0971548",".0102831","9.44803","0","-.2574479",".0238446","-10.79691","0",".0380371",".0203634","1.867914",".0617741","-.1120083",".0192025","-5.832998","5.44e-09","-.1119064",".0192062","-5.82658","5.66e-09","-.1142828",".0184501","-6.194157","5.86e-10"
"stateyrv21",".1047898",".020381","5.141553","2.72e-07","-.032107",".009631","-3.333725",".0008569",".1123991",".0181048","6.208255","5.36e-10",".110533",".0173604","6.366982","1.93e-10",".1145125",".019128","5.986647","2.14e-09","-.1797518",".029588","-6.075156","1.24e-09",".0166147",".0231618",".7173331",".4731686","-.0394597",".0252283","-1.564106",".1177927","-.0395415",".0252813","-1.564063",".1178027","-.037634",".0242251","-1.553517",".1202997"
"stateyrv22",".0476625",".0262127","1.818298",".0690186","-.0049935",".0129566","-.3854027",".6999391",".0533798",".0186675","2.859512",".0042429",".0498529",".0186028","2.679856",".0073654",".0573739",".0192101","2.986652",".0028205","-.213964",".0391477","-5.465553","4.61e-08",".0794808",".0470563","1.689058",".0912083","-.0743605",".0320874","-2.317439",".0204798","-.0745366",".0321426","-2.318937",".0203984","-.0704302",".0333196","-2.113779",".0345342"
"stateyrv23",".2097324",".0219643","9.548782","0","-.0272933",".0094812","-2.878685",".0039934",".2168652",".0200811","10.79947","0",".2081096",".0205835","10.11053","0",".2267809",".0205483","11.03648","0","-.0848992",".0260933","-3.253678",".0011392",".0338954",".0227947","1.486987",".1370183",".0470961",".0244706","1.924596",".0542799",".0463925",".024903","1.862928",".0624724",".0628032",".0229585","2.735503",".0062285"
"stateyrv24",".2109342",".0177584","11.87798","0","-.0074729",".0092723","-.8059393",".4202778",".2161252",".0145276","14.87683","0",".2071913",".0161449","12.83322","0",".2262428",".0136293","16.59971","0","-.1856676",".0263614","-7.043155","1.88e-12",".047897",".0213293","2.245594",".02473","-.0436297",".0223758","-1.949859",".0511929","-.0443179",".022909","-1.934518",".0530495","-.0282656",".0217662","-1.2986",".1940812"
"stateyrv25",".2146922",".0172642","12.4357","0","-.0360784",".0086507","-4.170585",".0000304",".2211205",".0158488","13.95192","0",".2162798",".0155174","13.93789","0",".2266026",".0152603","14.84918","0","-.2108978",".0244009","-8.643028","0",".0095871",".0202084",".4744135",".6352051","-.0676418",".019676","-3.437778",".0005865","-.0680032",".0199497","-3.408736",".0006526","-.0595737",".0189679","-3.140763",".0016851"
"stateyrv26",".2213674",".0157542","14.0513","0","-.0119174",".0085952","-1.386525",".1655866",".2266415",".0124917","18.14333","0",".217026",".0145083","14.95873","0",".2375309",".0114033","20.83009","0","-.0400035",".0255387","-1.566388",".1172577",".0093061",".0206494",".4506728",".6522254",".0917052",".0208293","4.402705",".0000107",".0909062",".0214967","4.228839",".0000235",".1095424",".02024","5.412175","6.23e-08"
"stateyrv27",".2294667",".0223547","10.2648","0","-.0346727",".0100199","-3.460394",".0005394",".2340544",".0188144","12.44015","0",".2208841",".0214468","10.29914","0",".2489697",".0174704","14.25093","0","-.1468179",".029275","-5.01513","5.30e-07",".0250983",".021211","1.183269",".2367026","-.0128071",".025738","-.4975972",".618768","-.0138783",".0264676","-.5243509",".6000345",".0111076",".0250407",".4435826",".6573444"
"stateyrv28",".212272",".0174245","12.18236","0","-.0289331",".0099089","-2.919896",".0035015",".2186996",".0142326","15.36608","0",".212286",".0153674","13.81406","0",".2259628",".0141668","15.95012","0","-.1736387",".0283095","-6.133581","8.59e-10",".0339536",".0212213","1.599977",".1096037","-.0343097",".0241814","-1.418849",".1559432","-.0347993",".0245854","-1.415446",".1569378","-.0233787",".0232426","-1.005855",".3144854"
"stateyrv29",".2478969",".0239687","10.34252","0","-.0205395",".0142946","-1.436868",".1507555",".2518978",".0193539","13.01534","0",".2350233",".0227395","10.33547","0",".2710079",".0182504","14.8494","0","-.1428098",".0298037","-4.79168","1.65e-06",".0102622",".0276075",".3717189",".7101022","-.0093417",".0247174","-.377941",".7054745","-.0107126",".025814","-.4149914",".6781482",".0212636",".0257744",".8249902",".4093772"
"stateyrv30",".1952175",".013499","14.46166","0","-.0179364",".0104776","-1.711889",".0869171",".2014468",".0099352","20.276","0",".1958392",".0108254","18.09066","0",".2077974",".0097163","21.38645","0","-.1992735",".0237861","-8.377722","0",".0296471",".0205764","1.44083",".1496326","-.0577837",".0196456","-2.941304",".0032683","-.0582127",".0200081","-2.909458",".0036206","-.048205",".0188125","-2.562384",".0103956"
"stateyrv31",".2073616",".0138147","15.0102","0","-.0214771",".0084422","-2.544019",".0109585",".2143642",".0106432","20.14095","0",".2090421",".011499","18.17918","0",".2203913",".0106533","20.68765","0","-.3304356",".0268111","-12.32458","0",".0204411",".0204179","1.001136",".3167611","-.1876807",".0229215","-8.187974","2.22e-16","-.1880875",".0235408","-7.989865","1.33e-15","-.1785982",".022443","-7.957862","1.78e-15"
"stateyrv32",".2185128",".0146416","14.92411","0","-.0265026",".0161259","-1.643477",".1002843",".2255949",".0117325","19.22825","0",".2197746",".0122357","17.96172","0",".2321862",".0121052","19.18065","0","-.1292553",".0491313","-2.630817",".008518",".0218905",".0267411",".8186089",".4130096",".0093592",".0470439",".1989468",".8423044",".0089074",".0470223",".1894281",".8497573",".0194479",".048262",".4029662",".6869731"
"stateyrv33",".1867437",".0327293","5.7057","1.16e-08","-.0169411",".010324","-1.640932",".1008116",".1917972",".026363","7.275231","3.46e-13",".1830887",".0267398","6.847056","7.54e-12",".2016595",".0269863","7.472669","7.86e-14","-.1721749",".0270289","-6.370031","1.89e-10",".0779076",".0353518","2.203782",".0275397","-.0401594",".0221415","-1.813762",".0697144","-.0408119",".0226205","-1.804205",".0711992","-.02559",".0225381","-1.13541",".2562036"
"stateyrv34","-.0226253",".0159888","-1.415074",".1570467","-.045296",".0101151","-4.478056","7.53e-06","-.0152771",".0134579","-1.135179",".2563003","-.0207937",".0141349","-1.471083",".1412685","-.0090296",".0133864","-.6745375",".4999697","-.3488385",".0244574","-14.26309","0",".0027417",".0213115",".1286479",".8976363","-.2126555",".0219521","-9.687257","0","-.2130782",".0221863","-9.60403","0","-.2032202",".0212454","-9.565383","0"
"stateyrv35","-.0161281",".0172658","-.9341031",".3502507","-.0455487",".0095798","-4.754657","1.99e-06","-.0107921",".0141888","-.7606052",".4468929","-.0185776",".0154979","-1.198719",".2306373","-.0019751",".0135279","-.1460027",".8839192","-.1628275",".0275517","-5.90989","3.42e-09","-.0443887",".0220726","-2.011032",".0443221","-.0207409",".0239321","-.8666553",".3861309","-.021253",".0242772","-.8754298",".3813401","-.0093081",".0232511","-.4003314",".6889124"
"stateyrv36","-.0182959",".0155599","-1.175833",".2396617","-.0528724",".0084522","-6.255439","3.96e-10","-.0121201",".0134154","-.9034514",".3662863","-.0172566",".0135337","-1.275082",".2022802","-.0063031",".013078","-.4819657",".6298303","-.2440842",".0252286","-9.674907","0","-.0120248",".0200219","-.6005802",".5481196","-.0985948",".0199159","-4.950546","7.40e-07","-.0989852",".0201977","-4.900824","9.54e-07","-.0898787",".019338","-4.647768","3.36e-06"
"stateyrv37","-.0092462",".0144403","-.6403092",".5219716","-.0319933",".00874","-3.66057",".0002517","-.0036511",".0112402","-.324825",".7453135","-.0106715",".0123965","-.8608441",".3893239",".0042994",".0107366",".4004376",".6888343","-.2159627",".0259382","-8.326047","0","-.0073394",".0201218","-.3647467",".7153005","-.0824277",".0217897","-3.782874",".000155","-.0829896",".0222196","-3.73497",".0001877","-.0698833",".0212016","-3.296128",".0009803"
"stateyrv38",".0041634",".0165569",".251458",".80146","-.0576087",".0098376","-5.855979","4.74e-09",".0094275",".013443",".7012964",".483118",".0019083",".0143586",".1329042",".8942692",".0179429",".0135843","1.32086",".1865481","-.1232011",".0262144","-4.699742","2.60e-06","-.0131951",".0207641","-.6354767",".5251175",".014851",".0219361",".677012",".4983984",".0143872",".0222789",".6457745",".5184254",".0252069",".021444","1.175476",".2398043"
"stateyrv39","-.0024796",".0139542","-.1776987",".8589596","-.0423443",".0086241","-4.909984","9.11e-07",".0043461",".0108364",".40106",".688376",".0011021",".0109295",".1008328",".9196832",".0080199",".0111273",".72074",".4710695","-.1481786",".027075","-5.472902","4.43e-08",".0066807",".0211334",".3161181",".7519129","-.0064561",".0228265","-.2828341",".777304","-.0066664",".0229617","-.2903278",".7715655","-.0017612",".0231274","-.0761518",".9392983"
"stateyrv40",".0286434",".0399184",".7175494",".4730352","-.0707933",".0162822","-4.347902",".0000137",".0304219",".0308998",".9845345",".3248528","-.0038403",".0392372","-.0978749",".9220317",".0692233",".0282629","2.449267",".0143147","-.1558114",".0356116","-4.375296",".0000121",".0157393",".0300348",".5240356",".6002538","-.0322077",".0281912","-1.142473",".2532574","-.0351893",".0312476","-1.126144",".2601047",".0343585",".0318883","1.077465",".2812728"
"stateyrv41","-.0212854",".0142749","-1.491105",".1359338","-.0276376",".0089232","-3.097284",".001953","-.0152385",".0107879","-1.412556",".1577863","-.0220582",".0119101","-1.852063",".0640168","-.0075153",".0106347","-.7066792",".4797658","-.3602503",".0242745","-14.84067","0",".0063284",".0206175",".3069422",".7588874","-.2191029",".0195671","-11.19753","0","-.219643",".0200516","-10.95387","0","-.2070436",".0189651","-10.9171","0"
"stateyrv42","-.0166568",".0128511","-1.296136",".1949287","-.0334417",".0090646","-3.689242",".0002249","-.0095903",".0094903","-1.010538",".3122375","-.0145317",".0101037","-1.438262",".1503596","-.0039943",".009736","-.4102581",".6816166","-.2805257",".0245543","-11.42472","0","-.0032566",".0216328","-.1505385",".8803398","-.1374887",".0199449","-6.893436","5.45e-12","-.1378537",".020278","-6.7982","1.06e-11","-.1293408",".0191755","-6.745124","1.53e-11"
"stateyrv43","-.0223542",".0154825","-1.443834",".1487857","-.0503984",".0110941","-4.542832","5.55e-06","-.0149635",".0129947","-1.151515",".2495204","-.0178957",".0130779","-1.368398",".1711874","-.0116429",".0133234","-.8738662",".3821911","-.1635904",".0304403","-5.374134","7.70e-08","-.01492",".02335","-.6389721",".5228411","-.0229534",".0270247","-.8493482",".3956876","-.0231798",".0272186","-.8516181",".3944261","-.0178977",".0250164","-.7154412",".4743365"
"stateyrv44","-.0463921",".0254452","-1.823216",".0682707","-.0372923",".0101159","-3.686507",".0002274","-.0414318",".0219048","-1.891444",".0585651","-.0503635",".0233045","-2.161108",".030687","-.0313168",".0219564","-1.426318",".1537764","-.0919475",".0263791","-3.485622",".000491","-.0010179",".0283777","-.0358704",".9713857",".0416556",".0254642","1.635853",".1018704",".0408244",".026052","1.567034",".1171068",".060212",".0267084","2.254422",".0241696"
"stateyrv45",".0423454",".014858","2.850005",".0043718","-.0484407",".0095687","-5.062395","4.14e-07",".0500213",".0114228","4.379058",".0000119",".0525774",".0111633","4.709828","2.48e-06",".0471266",".0120637","3.906496",".0000936",".0552291",".0350798","1.574388",".1153978",".0028238",".022472",".1256575",".9000031",".203762",".0312157","6.527556","6.69e-11",".2040724",".0312107","6.538536","6.21e-11",".196834",".0309375","6.362308","1.99e-10"
"stateyrv46",".0035932",".0169599",".2118661",".8322115","-.0290362",".0091051","-3.188989",".0014277",".0106993",".0130434",".820283",".4120548",".0184212",".0133679","1.378017",".1681981",".0019543",".0141535",".1380771",".8901795",".1840993",".0682686","2.696692",".0070032",".0059617",".0210944",".2826181",".7774696",".3359326",".06703","5.011673","5.40e-07",".3365568",".0669122","5.029824","4.91e-07",".3219972",".0665136","4.841071","1.29e-06"
"stateyrv47",".0349728",".0140505","2.489074",".0128076","-.0433171",".0087017","-4.977981","6.43e-07",".042015",".0105742","3.973361",".0000709",".0436638",".0101163","4.316191",".0000159",".0401478",".0115652","3.471429",".0005177",".1219351",".0261108","4.669905","3.01e-06",".016359",".0202111",".8094061",".4182816",".2715025",".0218608","12.41961","0",".2717325",".0217422","12.49792","0",".2663678",".0214592","12.41274","0"
"stateyrv48","-.0041872",".0162833","-.2571487",".797064","-.013966",".0094619","-1.476018",".139939",".0031137",".0109909",".2832972",".7769491",".0119656",".0119369","1.002406",".3161474","-.0069109",".0118542","-.5829944",".5598971",".3047365",".0295997","10.29524","0",".0190448",".0209035",".9110836",".3622513",".4512304",".0261478","17.25689","0",".4521171",".0259743","17.4063","0",".4314331",".0259792","16.60684","0"
"stateyrv49",".0197571",".018268","1.081512",".2794693","-.045987",".0109407","-4.203301",".0000263",".0267831",".0148166","1.807639",".0706627",".0333553",".0149588","2.22981",".0257601",".0193401",".0156066","1.239228",".2152609",".1926696",".0595914","3.233178",".0012242",".0264125",".021295","1.240318",".2148579",".3383289",".0573988","5.894352","3.76e-09",".3389556",".0572384","5.921824","3.18e-09",".3243386",".0570978","5.680407","1.34e-08"
"stateyrv50",".0235899",".0150406","1.568415",".1167843","-.0253582",".0091096","-2.783689",".0053745",".031291",".0115773","2.702783",".0068762",".0354376",".0109186","3.245603",".001172",".026595",".0124946","2.128526",".0332935",".3627771",".064082","5.661137","1.50e-08",".0235411",".0203024","1.159524",".2462428",".5098431",".0611913","8.331957","0",".5103204",".0608902","8.38099","0",".4991864",".0622819","8.014953","1.11e-15"
"stateyrv51","-.0067881",".0258871","-.2622195",".7931522","-.0290782",".0150556","-1.931391",".0534347",".0012233",".0209164",".058485",".9533623",".0188431",".0229716",".8202781",".4120576","-.0187309",".0218683","-.8565326",".3917033","-.0803358",".0469718","-1.710296",".0872112",".0184596",".0259446",".7115003",".4767742",".0773842",".0446119","1.734609",".0828101",".0790552",".0444902","1.776915",".0755823",".0400781",".0470827",".8512275",".394643"
"stateyrv52",".0199899",".0148659","1.344682",".1787278","-.0326141",".0084896","-3.84166",".0001222",".0274595",".0108519","2.530387",".0113937",".0323457",".010451","3.094987",".0019682",".0219258",".0123565","1.774436",".0759911",".1732761",".0342883","5.053504","4.34e-07",".0273149",".0200763","1.360555",".1736544",".3221962",".0302504","10.65097","0",".3227259",".0299947","10.75941","0",".3103703",".0309701","10.02162","0"
"stateyrv53",".0499286",".0139315","3.583876",".0003385","-.0273099",".0090301","-3.024328",".0024919",".0580226",".0102346","5.669245","1.43e-08",".0617674",".0092244","6.696068","2.14e-11",".0537817",".0117335","4.583603","4.57e-06",".265984",".0276002","9.637033","0",".0100342",".0213731",".4694767",".6387289",".4151898",".0234944","17.67187","0",".4155869",".0237862","17.47176","0",".4063239",".0224068","18.13399","0"
"stateyrv54",".0348751",".019664","1.773557",".0761365","-.0307732",".010693","-2.87787",".0040037",".0429473",".0167214","2.5684",".0102169",".0467708",".0162721","2.874294",".0040493",".0386172",".0176284","2.190618",".0284794",".0172821",".0919092",".1880349",".8508493","-.0017749",".0212275","-.0836145",".933363",".1643508",".0880052","1.867512",".0618301",".1648",".0883254","1.865827",".0620655",".1543226",".0873891","1.765925",".0774084"
"stateyrv55",".0207406",".0248997",".8329653",".4048643","-.0152116",".0105279","-1.444891",".1484885",".0270258",".0229824","1.175933",".2396218",".0246905",".0222673","1.108823",".2675064",".0296705",".0242009","1.226007",".2201962",".0422663",".0941504",".4489238",".6534866",".0300657",".0259171","1.160073",".246019",".1758173",".0877435","2.003765",".0450952",".1756182",".0877861","2.000524",".0454437",".1802635",".0869691","2.07273",".0381974"
"stateyrv56",".0469153",".0174151","2.693944",".0070612","-.0421872",".010431","-4.044421",".0000525",".0545202",".0148247","3.677656",".0002354",".0567256",".0135783","4.177678",".0000295",".0520227",".0166175","3.13059",".0017446","-.1608056",".0238685","-6.737135","1.62e-11","-.024671",".0223032","-1.106164",".2686556","-.0118177",".019615","-.6024844",".5468517","-.0115223",".0195347","-.5898372",".5552998","-.0184137",".0188258","-.9781083",".3280207"
"stateyrv57","-.0042637",".0149095","-.2859745",".7748977","-.0215403",".0106404","-2.024397",".0429293",".0025078",".0113913",".2201487",".8257553",".0065675",".0110161",".5961709",".5510611","-.0020897",".0124544","-.1677924",".8667466","-.138484",".0245512","-5.640608","1.69e-08",".0071593",".0225906",".316916",".7513074",".0104979",".0202162",".5192817",".6035643",".0108467",".0200982",".5396845",".5894146",".002712",".0196635",".137918",".8903052"
"stateyrv58",".013586",".0141105",".962828",".3356339","-.0427423",".0082295","-5.193774","2.06e-07",".0210815",".0098923","2.131113",".0330798",".0239654",".0096491","2.48369",".0130029",".0178156",".0110837","1.607368",".1079737","-.1367588",".0255914","-5.343938","9.09e-08","-.0233137",".0200906","-1.160426",".2458753",".0105476",".0210731",".5005249",".6167055",".0108929",".0210033",".5186298",".6040189",".0028374",".020389",".1391626",".8893217"
"stateyrv59",".0283228",".0170235","1.663746",".0961632","-.0160578",".0086051","-1.866077",".0620306",".0356305",".0117537","3.031441",".0024339",".0453669",".0127719","3.552098",".0003822",".0246042",".0127798","1.925247",".0541984","-.1714448",".0245981","-6.969837","3.17e-12","-.0282657",".0204034","-1.38534",".1659484","-.0231434",".019799","-1.168913",".2424387","-.0221767",".0196177","-1.130446",".2582884","-.0447238",".0197988","-2.258918",".0238885"
"stateyrv60","-.0141679",".0163416","-.8669807",".3859526","-.0313484",".0096546","-3.246992",".0011663","-.0071838",".0125886","-.5706584",".5682312","-.0015573",".0123709","-.1258849",".8998231","-.0135557",".0136807","-.9908562",".3217558","-.1582735",".0271538","-5.828781","5.58e-09",".0045689",".0224786",".2032538",".8389367","-.0134732",".0230456","-.584632",".5587952","-.0129293",".0229548","-.56325",".5732647","-.0256158",".0227923","-1.12388",".2610639"
"stateyrv61",".0401891",".0146078","2.751198",".0059378","-.0247742",".0096545","-2.566083",".0102854",".0477284",".0112896","4.227635",".0000236",".0488772",".0116339","4.201268",".0000265",".0464275",".0115932","4.004713",".0000621","-.101938",".0272081","-3.746607",".0001792",".0147482",".0209783",".7030215",".4820423",".0416067",".0213584","1.948025",".051412",".0418119",".0212601","1.966686",".0492194",".0370257",".0215034","1.721855",".0850958"
