"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","",""
"stateyrv24",".0238296",".0254525",".9362363",".3494624",".217604",".0141655","15.3615","0",".0242374",".0253358",".9566431",".3390654",".206312",".014279","14.44859","0",".1799818",".0116453","15.45528","7.68e-46","-.0410948",".0225163","-1.825117",".0679834",".1789992",".0117015","15.29713","4.51e-45","-.0458645",".0224641","-2.041684",".0411829"
"stateyrv25",".0378762",".0259718","1.458357",".1451741",".2219218",".0154386","14.37444","0",".0383559",".0257827","1.487661",".1372739",".2182913",".0149255","14.62536","0",".1588078",".0046897","33.86284","2.8e-143","-.0663107",".0196435","-3.375699",".0007363",".1583537",".0045476","34.82131","3.2e-148","-.0683814",".0196697","-3.476489",".000508"
"stateyrv26",".0328387",".024199","1.357024",".1751947",".2282331",".0119854","19.04256","0",".032896",".0240957","1.365225",".1726047",".218647",".0109901","19.89488","0",".3143547",".0071573","43.92084","8.8e-193",".094648",".0210213","4.502479","6.72e-06",".3131932",".0071416","43.85483","1.8e-192",".0891857",".0204881","4.353044",".0000134"
"stateyrv27",".0323907",".0272361","1.189258",".2347264",".2362345",".0181634","13.00605","0",".0322768",".0271988","1.1867",".2357338",".2209529",".0161559","13.67628","0",".2074783",".0168379","12.3221","2.26e-31","-.0088616",".0259865","-.341008",".7330976",".2058778",".0168997","12.18234","9.08e-31","-.0158751",".0256768","-.6182657",".5364002"
"stateyrv28",".0319773",".0259181","1.233781",".2176833",".2197612",".0143432","15.32164","0",".0309907",".0258472","1.198997",".2309199",".2258615",".0147007","15.36394","0",".1910263",".0150867","12.66188","7.45e-33","-.0325062",".0242074","-1.34282",".1793302",".1903754",".0151758","12.54468","2.43e-32","-.029889",".0239672","-1.247075",".2123699"
"stateyrv29",".0420431",".0260416","1.614459",".1068619",".2546909",".0182435","13.96065","0",".0439589",".0261009","1.684191",".092574",".2140214",".0135064","15.84595","0",".2083412",".0134164","15.5289","3.36e-46","-.0042923",".0254023","-.1689743",".8658168",".206234",".0132274","15.59144","1.66e-46","-.0256503",".0231063","-1.110101",".2669555"
"stateyrv30",".0165066",".0237511",".6949815",".487289",".2023751",".0098753","20.49303","0",".0159579",".0236181",".6756664",".4994673",".20625",".0101982","20.22417","0",".1680783",".0052887","31.78065","2.1e-132","-.0562033",".0196445","-2.861023",".0042228",".1675228",".0053948","31.05293","1.5e-128","-.0544695",".0199513","-2.730121",".0063311"
"stateyrv31",".0300555",".0242297","1.240441",".2152124",".2152451",".0107153","20.08758","0",".0302487",".0240881","1.25575",".2096099",".213164",".0111496","19.11852","0",".0383743",".0135035","2.841805",".0046329","-.1861822",".0231326","-8.048471","8.88e-16",".0378487",".0136449","2.77384",".0057061","-.187556",".0232598","-8.063531","6.66e-16"
"stateyrv32",".0401846",".024283","1.654843",".0983879",".2265583",".0117229","19.32609","0",".0395657",".0241495","1.638365",".1017783",".2306217",".0111955","20.59945","0",".2350228",".0429","5.47839","6.24e-08",".0110237",".0472166",".2334711",".8153956",".2344324",".0427584","5.48272","6.10e-08",".013654",".0462409",".2952801",".76778"
"stateyrv33","0",".",".",".",".1932387",".0261834","7.380191","1.58e-13","0",".",".",".",".185996",".0262888","7.075112","1.49e-12",".1837613",".0124447","14.76625","1.61e-42","-.0377556",".022307","-1.692548",".0905416",".1828381",".0126782","14.4215","6.95e-41","-.0411561",".022325","-1.843501",".0652559"
"stateyrv34","-.2000159",".025436","-7.863496","1.35e-14","-.0143639",".0134548","-1.067569",".2857148","-.202503",".0253256","-7.995992","5.06e-15",".0067726",".0150568",".4498032",".6528524",".0132622",".0108947","1.217311",".2239474","-.2110989",".0218837","-9.646387","0",".0127335",".0108372","1.174977",".2404535","-.2004456",".0230037","-8.713629","0"
"stateyrv35","-.2005482",".0254176","-7.890131","1.11e-14","-.0095034",".0139113","-.6831399",".4945184","-.2011723",".0252022","-7.982333","5.60e-15","-.0093776",".0156454","-.599384",".5489169",".2043999",".0147331","13.8735","2.52e-38","-.0188547",".0239683","-.7866512",".4314861",".2037124",".0148035","13.7611","8.33e-38","-.0165275",".0246641","-.6701046",".5027911"
"stateyrv36","-.1960184",".0250097","-7.837699","1.63e-14","-.0112699",".0131298","-.8583465",".3907012","-.1966345",".0249929","-7.867612","1.31e-14","-.0058459",".0130564","-.4477416",".6543397",".1276027",".0051137","24.95307","9.18e-96","-.0971568",".019886","-4.885699","1.03e-06",".1271107",".004918","25.84585","1.3e-100","-.0945762",".0199624","-4.737726","2.16e-06"
"stateyrv37","-.1917153",".024013","-7.983827","5.54e-15","-.0024891",".0110224","-.2258173",".8213435","-.1916292",".023908","-8.015276","4.38e-15","-.0070685",".0101354","-.6974031",".4855506",".1422806",".010353","13.7429","1.01e-37","-.0803581",".0218665","-3.67494",".0002379",".1415041",".0103168","13.71596","1.34e-37","-.0830517",".0216156","-3.842215",".0001219"
"stateyrv38","-.1797397",".024967","-7.199104","1.52e-12",".0106722",".0132838",".8033999",".4217436","-.1801479",".0248406","-7.252144","1.05e-12",".0094358",".0130254",".7244172",".4688096",".2404107",".0111333","21.59379","1.35e-77",".0165596",".0219651",".7539037",".450907",".2397983",".0111956","21.41907","1.17e-76",".0176839",".0222677",".7941513",".4271073"
"stateyrv39","-.1753674",".0245231","-7.151109","2.10e-12",".004883",".0108209",".4512584",".6518033","-.1755695",".0244291","-7.186905","1.65e-12",".0104956",".0104153","1.007707",".313595",".2213055",".0121214","18.25747","5.92e-60","-.0056815",".0229352","-.2477208",".8043504",".2211026",".0120552","18.34085","2.19e-60","-.0028658",".0230774","-.1241808",".9011721"
"stateyrv40","-.2178825",".0264745","-8.229893","8.66e-16",".0360932",".0278064","1.298018",".1942812","-.2177877",".0264455","-8.235344","8.30e-16","-.0237721",".0156284","-1.521083",".1282389",".1714871",".0113709","15.08116","4.98e-44","-.0212253",".0304353","-.6973902",".4855587",".166779",".0108114","15.42618","1.06e-45","-.0534591",".0223385","-2.393137",".016705"
"stateyrv41","-.2028589",".0240026","-8.451539","1.56e-16","-.0141097",".0106141","-1.329331",".1837387","-.2021873",".0239308","-8.448839","1.60e-16","-.0234411",".0100774","-2.326104",".020013",".0057942",".0044631","1.298244",".1946847","-.2171133",".0196564","-11.04541","0",".005048",".0045229","1.116106",".2648077","-.2222625",".0197169","-11.2727","0"
"stateyrv42","-.1930572",".0237142","-8.140993","1.70e-15","-.0087724",".0094985","-.9235563",".3557174","-.1936142",".0235496","-8.221534","9.23e-16","-.0034736",".0103022","-.3371687",".7359897",".0889298",".0063385","14.03018","4.73e-39","-.1361444",".0199358","-6.829149","8.54e-12",".0884785",".0065564","13.49491","1.38e-36","-.133591",".020314","-6.576301","4.82e-11"
"stateyrv43","-.1939874",".0254616","-7.618814","7.99e-14","-.0144782",".0131082","-1.104514",".2693701","-.1946123",".025221","-7.716288","3.96e-14","-.0045089",".0154997","-.2909004",".7711275",".204668",".0201548","10.15478","1.61e-22","-.0221193",".0267233","-.8277155",".4078316",".204444",".0203266","10.05793","3.75e-22","-.0166692",".0267508","-.6231305",".5331988"
"stateyrv44","-.2337224",".0370042","-6.31611","4.67e-10","-.0399534",".0218497","-1.828552",".0674668","-.2344277",".0369006","-6.352944","3.72e-10","-.0414352",".0212136","-1.953242",".0507909",".2640254",".0117981","22.37863","8.01e-82",".0447171",".0258579","1.729338",".0837487",".2628226",".0120126","21.87887","3.95e-79",".0448284",".0264301","1.696115",".0898642"
"stateyrv45","-.1168664",".0249935","-4.675878","3.49e-06",".0495982",".0113691","4.362551",".0000129","-.1166801",".0248565","-4.694145","3.20e-06",".0635434",".0122742","5.176993","2.25e-07",".4360448",".0251113","17.36451","2.29e-55",".202619",".0311754","6.499331","8.07e-11",".4366844",".0252256","17.31115","4.29e-55",".2099599",".0323465","6.490969","8.53e-11"
"stateyrv46","-.144765",".0252481","-5.733693","1.44e-08",".0094211",".0126686",".7436545",".4570855","-.145243",".0249697","-5.816762","8.99e-09",".0396882",".012723","3.119413",".0018121",".5709411",".0652718","8.747133","2.04e-17",".3336334",".066892","4.987642","6.11e-07",".5720968",".0655165","8.732102","2.30e-17",".3481232",".0667652","5.214143","1.85e-07"
"stateyrv47","-.1268789",".0243064","-5.219974","2.34e-07",".0417421",".0106802","3.908367",".0000929","-.1268142",".0241482","-5.251495","1.98e-07",".0549199",".0112917","4.863761","1.15e-06",".5030877",".0111942","44.94192","1.7e-197",".2706554",".0217123","12.46554","0",".5035981",".0112231","44.87175","3.5e-197",".2777264",".0219646","12.64428","0"
"stateyrv48","-.1498519",".0241436","-6.206688","9.09e-10",".0016485",".0102742",".1604467",".8725292","-.1484758",".0239388","-6.202304","9.33e-10",".0178708",".0095845","1.864557",".0622435",".6885191",".0178174","38.64303","1.8e-167",".4479641",".0261087","17.15764","0",".6900857",".0177816","38.80887","2.8e-168",".4571657",".0253755","18.01603","0"
"stateyrv49","-.1312235",".0263729","-4.975702","8.12e-07",".0256952",".0145199","1.769653",".076785","-.1313803",".0261884","-5.016735","6.61e-07",".0508021",".0141243","3.596791",".0003222",".5733588",".0548356","10.45596","1.11e-23",".3360208",".0572638","5.867948","4.41e-09",".5745145",".0548597","10.47244","9.54e-24",".3483626",".0582981","5.975539","2.29e-09"
"stateyrv50","-.1320795",".0246558","-5.356927","1.14e-07",".0306046",".0111976","2.733137",".0062734","-.1319248",".0244935","-5.386107","9.73e-08",".0480513",".0116017","4.141764",".0000345",".7435763",".0586724","12.67335","6.63e-33",".5080849",".0611571","8.307859","0",".7444873",".0586197","12.70029","5.05e-33",".5175283",".0629601","8.219943","2.22e-16"
"stateyrv51","-.1323537",".0274403","-4.823335","1.72e-06","-.0016933",".0194057","-.0872561",".930468","-.1326822",".0270902","-4.8978","1.20e-06",".0473149",".0162765","2.906943",".0036498",".3214836",".0388276","8.279765","7.56e-16",".0712293",".0450612","1.580723",".1139414",".3243387",".0387402","8.372158","3.75e-16",".0977063",".0424047","2.304138",".0212149"
"stateyrv52","-.1342754",".0243469","-5.51509","4.85e-08",".0266507",".0107396","2.481543",".0130815","-.133865",".0241448","-5.544261","4.13e-08",".0433439",".0099756","4.345008",".0000139",".5563841",".0235212","23.65463","1.01e-88",".3202451",".0302096","10.60078","0",".5573785",".0234683","23.75031","3.06e-89",".3293553",".0305009","10.79821","0"
"stateyrv53","-.1062365",".023915","-4.442244",".0000103",".0574027",".0100985","5.684274","1.31e-08","-.1061401",".0237212","-4.474481","8.89e-06",".0745487",".0096865","7.696119","1.40e-14",".6482264",".0157892","41.05499","3.2e-179",".4137271",".0235538","17.56516","0",".6490078",".0156565","41.45304","3.9e-181",".4226119",".0241874","17.47241","0"
"stateyrv54","-.1211376",".0272532","-4.444899",".0000102",".0423144",".0167367","2.528243",".0114635","-.1211227",".0270541","-4.477059","8.78e-06",".0603389",".0160626","3.756486",".0001723",".3978395",".0872428","4.56014","6.16e-06",".1626963",".0881685","1.845288",".0649957",".3987058",".0872899","4.567606","5.95e-06",".1723652",".0873395","1.973508",".0484377"
"stateyrv55","-.1506782",".0293005","-5.14251","3.49e-07",".0274124",".0231584","1.183691",".2365356","-.152344",".0292037","-5.216596","2.38e-07",".0477608",".0219845","2.172471",".0298201",".4036758",".0865328","4.665003","3.78e-06",".1765509",".0875922","2.0156",".0438418",".4034921",".0866632","4.655862","3.95e-06",".1801622",".0883038","2.040255",".0413249"
"stateyrv56","-.113143",".0255164","-4.43412",".0000107",".0541552",".0150153","3.606668",".0003102","-.1119226",".0251966","-4.441964",".0000103",".0582792",".0192505","3.027416",".0024665",".2203359",".0065616","33.57941","8.3e-142","-.012906",".0193779","-.6660159",".5054009",".2209425",".0067062","32.94617","1.6e-138","-.0104759",".0194521","-.5385473",".5901992"
"stateyrv57","-.1610549",".0247004","-6.520341","1.31e-10",".0018358",".0113065",".1623659",".8710177","-.1596556",".0245149","-6.512587","1.38e-10",".008142",".0117301",".6941098",".4876134",".2431144",".0076752","31.67521","7.5e-132",".0092134",".0200556",".4593908",".6459536",".2438066",".0077017","31.65633","9.5e-132",".011703",".0201378",".5811475",".5611411"
"stateyrv58","-.1450813",".0240854","-6.023614","2.71e-09",".0206042",".0100041","2.059574",".0394393","-.144258",".0238789","-6.041234","2.44e-09",".0296015",".011081","2.671377",".0075541",".2431346",".0097395","24.96369","8.04e-96",".0092755",".0209108",".4435755",".6573495",".243826",".0096521","25.26151","1.95e-97",".0142681",".0210531",".6777182",".4979504"
"stateyrv59","-.1153792",".0242301","-4.761818","2.32e-06",".0340189",".0109774","3.099",".0019418","-.1108184",".024324","-4.555925","6.12e-06",".0239769",".0120151","1.995556",".0459823",".214839",".0040004","53.70442","9.4e-236","-.0267038",".0197737","-1.35047",".1768653",".2165087",".0039336","55.04051","3.1e-241","-.0309449",".0207587","-1.490693",".1360421"
"stateyrv60","-.1672818",".0250383","-6.681041","4.72e-11","-.0081151",".012391","-.654917",".5125212","-.1647459",".0249387","-6.606027","7.63e-11","-.0086476",".0126653","-.6827752",".4947489",".220838",".0132775","16.63249","1.16e-51","-.0154765",".0230012","-.6728585",".5010373",".2218384",".0132531","16.73856","3.39e-52","-.0153668",".0235209","-.6533251",".5135467"
"stateyrv61","-.1222712",".0255713","-4.781586","2.11e-06",".0475383",".0113447","4.190364",".0000279","-.1206527",".0255599","-4.72038","2.82e-06",".046013",".0121139","3.798369",".0001457",".2729765",".0100464","27.17171","8.8e-108",".0408509",".021295","1.918332",".0550689",".273433",".0099594","27.45488","2.6e-109",".040269",".020827","1.933496",".0531752"
"stateyrv62","-.175516",".0269397","-6.51515","1.36e-10","-.0274806",".0186811","-1.471036",".1412815","-.1748659",".026662","-6.558632","1.03e-10","-.001907",".0162486","-.1173657",".9065703",".2607916",".007165","36.39791","3.0e-156",".0192634",".0206095",".9346867",".3499498",".2624917",".0072701","36.10556","9.1e-155",".0325096",".0200197","1.623879",".1044016"
"stateyrv63","-.1276428",".0241382","-5.288001","1.64e-07",".0375077",".0094387","3.973807",".0000707","-.1260127",".0240273","-5.244555","2.06e-07",".0398534",".0092228","4.321196",".0000155",".2352066",".0037383","62.91829","7.2e-272",".0010755",".0189679",".0567021",".9547825",".2359269",".0037304","63.24495","4.4e-273",".0026706",".0191742",".1392821",".8892272"
"stateyrv64","-.1462252",".0243662","-6.001154","3.09e-09",".0235339",".0093773","2.509671",".0120844","-.1445716",".0243258","-5.943148","4.34e-09",".021743",".0092046","2.3622",".0181669",".2904482",".0080972","35.87","1.4e-153",".0581631",".0201431","2.887496",".0038832",".2909258",".0079987","36.37182","4.1e-156",".0578723",".0204047","2.836223",".0045651"
"stateyrv65","-.1296232",".0241228","-5.373471","1.04e-07",".0340842",".0094033","3.624698",".0002893","-.1272588",".0240892","-5.282823","1.68e-07",".0311918",".0093347","3.341497",".0008333",".1618207",".0166521","9.717746","7.07e-21","-.072761",".0249736","-2.913521",".0035738",".1625932",".0166257","9.779638","4.17e-21","-.0745181",".0250839","-2.97075",".0029707"
"stateyrv66","-.1841247",".0320707","-5.741218","1.38e-08","-.0140647",".0274189","-.5129569",".6079815","-.183748",".0321353","-5.717942","1.57e-08","-.0048631",".0290457","-.1674302",".8670315",".1787058",".0122655","14.5698","1.38e-41","-.0547139",".0211421","-2.587916",".0096558",".1793379",".0123605","14.50899","2.69e-41","-.0509618",".0204731","-2.489215",".0128025"
"stateyrv67","-.1063858",".0251795","-4.225091",".0000269",".073137",".0125891","5.80953","6.26e-09","-.1069026",".0249827","-4.279059",".0000213",".0821415",".0141781","5.79357","6.89e-09",".233987",".0147054","15.9116","4.46e-48",".0066387",".0238443",".2784172",".7806921",".2338338",".0148843","15.71012","4.36e-47",".0110666",".0246274",".4493631",".6531697"
"stateyrv68","-.1345286",".0248862","-5.405758","8.76e-08",".0419138",".012459","3.364134",".0007678","-.1345341",".024667","-5.454001","6.76e-08",".0490405",".0132504","3.70107",".0002147",".2390627",".0068331","34.98597","4.6e-149",".0115936",".0200336",".5787059",".5627876",".2389221",".0067088","35.61339","2.9e-152",".014362",".0204718",".7015488",".4829606"
"stateyrv69","-.1422633",".024499","-5.806902","9.51e-09",".0483838",".0126275","3.831617",".0001273","-.1422016",".0244017","-5.827532","8.45e-09",".0428066",".0115583","3.703539",".0002126",".2328031",".0054886","42.41579","1.0e-185",".0108168",".0201096",".5378935",".5906506",".231941",".0054612","42.47103","5.6e-186",".007532",".0197435",".3814927",".7028377"
"stateyrv70","-.1402672",".0237014","-5.918102","5.02e-09",".0547654",".0111497","4.911842","9.02e-07","-.1402073",".0235918","-5.943052","4.34e-09",".0454651",".0100943","4.504054","6.67e-06",".2135785",".006052","35.29077","1.3e-150","-.0062782",".0205342","-.3057437",".7597998",".2124368",".0060418","35.16112","5.8e-150","-.0115715",".0199066","-.5812899",".5610451"
"stateyrv71","-.1825402",".0248822","-7.336169","5.88e-13","-.009634",".0134742","-.7149991",".4746096","-.1832958",".0246892","-7.424117","3.18e-13",".0071175",".0134258",".5301343",".5960188",".2648437",".0134641","19.6704","2.40e-67",".0363272",".0228385","1.590607",".111698",".2648479",".0135432","19.55586","9.66e-67",".0440262",".0236638","1.860487",".0628166"
"stateyrv72","-.1366316",".0253765","-5.384167","9.83e-08",".0444918",".0131345","3.387416",".0007055","-.136628",".0251762","-5.426865","7.82e-08",".0475479",".013908","3.418758",".0006291",".2263978",".00782","28.95119","2.3e-117","-.0003509",".0202644","-.0173146",".9861856",".2261614",".0079024","28.61931","1.4e-115",".0011257",".0203642",".0552782",".9559169"
"stateyrv73","-.217261",".0260615","-8.336465","3.82e-16","-.0813928",".0180969","-4.497615","6.87e-06","-.2180788",".0257182","-8.479542","1.26e-16","-.0325137",".0138266","-2.351538",".018696",".1668563",".0143678","11.61324","2.34e-28","-.0807",".0264302","-3.053326",".0022632",".1693609",".0141682","11.95362","8.63e-30","-.0547064",".0235866","-2.319387",".0203741"
"stateyrv74","-.1569484",".0245569","-6.391217","2.94e-10",".0221434",".0108479","2.041254",".0412256","-.1563832",".0244868","-6.386437","3.03e-10",".0219836",".0099879","2.201029",".0277339",".2008964",".0082817","24.25786","5.42e-92","-.0266208",".0203096","-1.310753",".1899413",".2007566",".0082881","24.2222","8.46e-92","-.0267599",".0200662","-1.333578",".1823422"
"stateyrv75","-.1529613",".0238641","-6.409675","2.62e-10",".0341854",".0101006","3.384471",".0007132","-.1528941",".0237406","-6.440194","2.17e-10",".0315452",".0094132","3.351177",".0008047",".2201797",".0036035","61.10178","4.7e-265","-.0031983",".0195181","-.163864",".8698382",".2195005",".0037043","59.25604","5.5e-258","-.0050529",".0193322","-.2613721",".7938056"
"stateyrv76","-.1479169",".0257154","-5.752068","1.30e-08",".0379709",".0131107","2.896171",".0037775","-.147853",".0256265","-5.769544","1.18e-08",".0364325",".0129835","2.806061",".0050151",".1901904",".0070959","26.80272","8.7e-106","-.0341776",".0203092","-1.682859",".0924024",".1896417",".0071201","26.63481","7.1e-105","-.0348513",".0203188","-1.715225",".0863039"
