"","est1","","est2","","est3","","est4","","est5","","est6","","est7","","est8","","est9","","est10","","est11","","est12",""
"","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se"
"mlda20","","","2.241015","3.868029","2.822437","4.022021","","","-.2751717","3.097008","2.094163","3.832037","","","1.1443","2.189457","1.54756","2.646634","","","4.822925","2.495795","2.386957","2.180295"
"mlda21","","","11.08179","4.116734","2.343219","3.320765","","","5.258366","3.818618",".6081806","3.786934","","","4.804342","2.605082","2.378396","2.8535","","","3.654907","2.241955","3.103795","2.060254"
"log_wage","","","-48.51884","13.82255","-12.3012","8.396012","","","-34.30333","8.778425","-6.089701","5.945275","","","-17.05516","3.3869","-3.325399","5.373542","","","-10.689","4.191693","-10.00275","6.148612"
"log_income","","","4.76e-07","6.44e-07","4.18e-07","6.14e-07","","","-2.21e-08","3.52e-07","-5.02e-08","3.31e-07","","","-2.50e-07","2.84e-07","-2.31e-07","2.72e-07","","","4.84e-08","3.20e-07","3.52e-08","3.24e-07"
"popratio1315","","","-.0622803",".0265967","-.0591041",".0265665","","","-.0373925",".0220651","-.0384693",".0227211","","",".0058146",".0214199",".0071924",".0211881","","","-.0031191",".0158571","-.0018084",".0158101"
"popratio1618","","",".0326531",".026266",".0293073",".0261967","","","-.0179125",".0247426","-.0221481",".0252634","","",".0052852",".0185319",".0049093",".0183208","","",".0134739",".0163493",".0130291",".0162669"
"pop_dense_thou","","","4.315582","6.250908","5.01351","6.205971","","","-4.69467","2.649692","-3.896017","2.655763","","","1.114483","2.531241","1.28668","2.612923","","","9.47186","9.790047","9.639565","9.700099"
"popratio_male","","",".0306511",".0243493",".0362281",".0244895","","",".0030638",".0224831",".0053896",".0227698","","",".0247228",".0206321",".0256115",".0202917","","",".0106687",".0149222",".0119885",".0149336"
"popratio_black","","","-.0518338",".0289815","-.0547799",".0288158","","",".0088337",".0230004",".0036288",".0228003","","","-.012179",".0183939","-.014096",".0178775","","","-.0053883",".0180261","-.0056985",".0178063"
"agency_count","","",".4039569",".0729127",".5065733",".1030036","","",".2267193",".0551837",".1742298",".0816993","","",".272921",".0389641",".1576367",".0463022","","","-.228532",".0604417","-.1627643",".0971672"
"state_fe_1_trend","","","","","-.1931639",".1648245","","","","","-.2838463",".1442464","","","","",".1706144",".1562815","","","","","-.0421818",".119689"
"state_fe_2_trend","","","","",".2473347",".2266114","","","","","-.9068864",".1369898","","","","",".3213664",".1775043","","","","","-.7123934",".097784"
"state_fe_3_trend","","","","","-2.177326",".1625582","","","","","-1.873441",".1335177","","","","",".3200133",".145465","","","","","-.2426304",".1361386"
"state_fe_4_trend","","","","","-.2275157",".1313122","","","","","-.4994145",".0905203","","","","",".1959544",".1043042","","","","","-.0034469",".0954566"
"state_fe_5_trend","","","","","-2.021027",".1990119","","","","","-1.797193",".1356811","","","","","-.3010208",".0965416","","","","",".0223203",".1534205"
"state_fe_6_trend","","","","","-1.857973",".2103836","","","","","-1.485697",".2171921","","","","","-.642493",".1925998","","","","","-.1743399",".1877394"
"state_fe_7_trend","","","","",".0074107",".2021337","","","","","-.5263591",".1564523","","","","",".1862816",".1365849","","","","",".2773574",".1067897"
"state_fe_8_trend","","","","","1.50905",".1719174","","","","","-.7321467",".1202094","","","","","1.113506",".1327105","","","","","-.0190153",".1143208"
"state_fe_9_trend","","","","","2.425482",".2690984","","","","","-2.681116",".3368969","","","","","3.142356",".1495514","","","","","4.638365",".2255637"
"state_fe_10_trend","","","","","-.5651876",".2023792","","","","","-1.19004",".2496967","","","","","-.0010755",".1458437","","","","",".467056",".175507"
"state_fe_11_trend","","","","",".0599669",".2191881","","","","","-.1026904",".17585","","","","",".2487988",".1671559","","","","","-.0957344",".2386392"
"state_fe_12_trend","","","","",".727032",".3431607","","","","","1.1039",".1595435","","","","","1.797726",".2541833","","","","",".0880283",".2475719"
"state_fe_13_trend","","","","","-1.356458",".1764809","","","","","-1.13002",".1541864","","","","",".3681032",".1651556","","","","","-.2452512",".1294163"
"state_fe_14_trend","","","","",".2733329",".4245624","","","","","-1.222625",".3234154","","","","","-.8121781",".2143659","","","","",".7741266",".4309311"
"state_fe_15_trend","","","","",".0895303",".1433019","","","","","-.359311",".0982316","","","","",".2464148",".0997057","","","","",".0467344",".1231174"
"state_fe_16_trend","","","","","-.1166583",".1711867","","","","","-.4330716",".1486005","","","","",".4167713",".1609648","","","","",".2099456",".1208794"
"state_fe_17_trend","","","","","-1.625832",".2362922","","","","","-1.163987",".2099054","","","","","-.2142115",".1480393","","","","",".0325008",".159406"
"state_fe_18_trend","","","","","-.4434203",".1253916","","","","","-.4986858",".0824467","","","","",".1640721",".0791667","","","","",".0697112",".1088803"
"state_fe_19_trend","","","","",".72594",".2364451","","","","","-.1783249",".2184641","","","","",".2530297",".1722568","","","","",".4549132",".1393279"
"state_fe_20_trend","","","","","-.6773678",".1956375","","","","","-.6249328",".1311942","","","","",".3139035",".1605224","","","","",".064083",".0988626"
"state_fe_21_trend","","","","",".5718179",".1526877","","","","","-.93829",".1315386","","","","",".6693808",".1369086","","","","","1.153529",".1187487"
"state_fe_22_trend","","","","","-.3392293",".2111594","","","","","-.2047985",".1346482","","","","",".1659744",".1330787","","","","",".0639914",".1143573"
"state_fe_23_trend","","","","","-.7294165",".1222444","","","","","-.4186483",".0947777","","","","",".0491498",".0996811","","","","",".3369787",".0814089"
"state_fe_24_trend","","","","",".0192027",".1820514","","","","","-.4586633",".1546009","","","","","-.0057915",".163073","","","","",".318585",".1453212"
"state_fe_25_trend","","","","",".4996485",".2024556","","","","",".3258304",".2003596","","","","",".1232194",".189413","","","","",".1541842",".1553263"
"state_fe_26_trend","","","","",".9372483",".1503994","","","","","-.0277868",".1068674","","","","",".5703395",".1096968","","","","",".336649",".1050354"
"state_fe_27_trend","","","","","-.1782707",".157593","","","","","-.6342818",".1531952","","","","","-.1568246",".1540547","","","","","-.0841545",".1096802"
"state_fe_28_trend","","","","",".5342109",".1827912","","","","","-.3664353",".1346138","","","","",".4223307",".1341202","","","","",".4767281",".1407001"
"state_fe_29_trend","","","","","-1.134871",".144171","","","","","-1.006539",".1046253","","","","",".548403",".1092402","","","","","-.0880088",".1238603"
"state_fe_30_trend","","","","","-.4257871",".2047872","","","","","-1.315136",".142773","","","","","-.026246",".1614689","","","","","-.1275042",".1351798"
"state_fe_31_trend","","","","","-1.838085",".144294","","","","","-1.131135",".1090374","","","","","-.5415933",".121105","","","","",".0577278",".1132569"
"state_fe_32_trend","","","","","-.4589981",".1389844","","","","","-1.460091",".0968611","","","","",".1671168",".099476","","","","",".4090139",".1071468"
"state_fe_33_trend","","","","",".0255952",".1936896","","","","","-1.111396",".1593935","","","","",".0940512",".1579472","","","","",".8948374",".2070447"
"state_fe_34_trend","","","","",".4519464",".1882841","","","","","-.1284877",".1783482","","","","",".4599036",".1718885","","","","","-.0803522",".1801037"
"state_fe_35_trend","","","","","-.4553362",".1403574","","","","","-.2956323",".0946632","","","","",".1713759",".1083007","","","","","-.2350748",".1041187"
"state_fe_36_trend","","","","","-.2887972",".1729794","","","","","-.531162",".1623936","","","","",".1703983",".1727626","","","","","-.0859478",".1250307"
"state_fe_37_trend","","","","","-.3584433",".1697997","","","","","-.5964873",".1546738","","","","",".2165439",".1489465","","","","","-.0304951",".1373476"
"state_fe_38_trend","","","","","-1.465094",".1100697","","","","","-1.922822",".087843","","","","","-.0295147",".0915404","","","","",".3573836",".071934"
"state_fe_39_trend","","","","","-.3161885",".1259269","","","","","-.4755087",".0960116","","","","",".2793461",".0985858","","","","",".4505906",".0750708"
"state_fe_40_trend","","","","","-.6767876",".164988","","","","","-1.088291",".121864","","","","","-.1099057",".1353444","","","","","-.5275268",".1151652"
"state_fe_41_trend","","","","",".5660562",".1952837","","","","","-.2786574",".1746976","","","","",".5066005",".1703247","","","","",".3649896",".1523595"
"state_fe_42_trend","","","","","-.6923513",".1944357","","","","","-.6412623",".1922509","","","","",".1941797",".1910816","","","","",".0164991",".1436154"
"state_fe_43_trend","","","","",".8691571",".1832043","","","","",".198507",".1428061","","","","",".3923246",".1478287","","","","",".3449262",".1447556"
"state_fe_44_trend","","","","","-.4544699",".2709129","","","","","-.9251447",".2006646","","","","",".3966945",".160191","","","","",".0383054",".224522"
"state_fe_45_trend","","","","","-2.437817",".1649627","","","","","-1.842288",".1049547","","","","",".6150648",".1090448","","","","","-.2975593",".1754417"
"state_fe_46_trend","","","","","1.112349",".192441","","","","",".342057",".168794","","","","",".6806417",".1732051","","","","",".2089466",".0966558"
"state_fe_47_trend","","","","","-.8147155",".2198404","","","","","-.9016525",".1819351","","","","",".0720558",".1491315","","","","",".2076477",".1575856"
"state_fe_48_trend","","","","","-.5398349",".1276139","","","","","-1.039177",".0948519","","","","",".3424432",".0908628","","","","",".0870047",".0742769"
"state_fe_49_trend","","","","","-.519677",".1749671","","","","","-.1601726",".1667363","","","","","-.0305967",".1736893","","","","","-.0347217",".1288342"
"state_fe_50_trend","","","","","-.700209",".1769796","","","","","-1.058422",".1700943","","","","",".1449648",".1532934","","","","",".2922394",".120726"
"state_fe_51_trend","","","","","1.228657",".1847199","","","","",".0619954",".1671015","","","","",".5719626",".1791517","","","","",".5147356",".1245962"
"_cons","72.72864","3.737699","146.9703","29.22743","80.01261","16.54002","48.12123","3.234366","111.0202","18.28523","60.14861","11.63694","13.66963","2.213181","37.90507","7.384704","13.83512","10.27735","10.09772","1.818763","21.06953","11.05006","19.11626","8.715482"
"N","134295","","134292","","134292","","134035","","134032","","134032","","134113","","134111","","134111","","133860","","133857","","133857",""
