"","est1","","est2","","est3","","est4","","est5","","est6","","est7","","est8","","est9","","est10","","est11",""
"","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se"
"_Iyear_2004",".8770557","2.671403","-3.161163","1.592839","1.212324","3.39286","2.477556","2.015645","-2.090091","1.99263","1.180543","1.938056","-2.382756","1.474976",".6729735","1.695615","2.685577","2.324737","2.253136","1.552734",".8008814","2.774733"
"_Iyear_2005",".495976","2.756214","-.0280162","2.304279",".8912703","2.267321","1.862333","1.471179","-1.250767","1.622514","-.3482186","1.650549","1.349791","1.998917",".1485535","1.648408","1.177361","2.218646","-1.498139","2.042379","-1.427712","1.456493"
"_Iyear_2006","-.8886246","3.275434",".5380782","1.975082","1.117605","2.358764","-3.152321","1.965776","-2.119033","1.432537",".7401554","1.475396","-.1916106","1.614669",".8390035","2.438802","3.780389","2.710826","-1.776953","2.32853","-1.035608","1.487618"
"_Iyear_2007","-1.291076","2.780569","1.043311","1.963322","-.754795","2.726979",".3032737","1.578732","-2.439819","1.500472","1.360714","1.543122","-1.244351","1.575061","-1.414908","1.722494","4.366613","2.360414",".7955981","1.051264","-1.413364","1.94331"
"_Iyear_2008","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"_Iyear_2009","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"state_fe_1_trend","-.1145168",".0758433",".0115339",".0951147","-.2202919",".1260614","-.1932435",".0615562",".0727795",".1089302","-.0149769",".0712433",".1736776",".1414341",".1306892",".0860089",".2183778",".084221",".0637717",".0867489","-.1153212",".1466729"
"state_fe_2_trend","-.1910968",".1369002","-.4352391",".0809846",".0867627",".1272799","-.0658345",".10412","-.5140136",".086248",".5264882",".0626318","-.396735",".1161225",".3114361",".0561837","-.1745328",".0919196",".1426862",".0823437",".0524294",".1406351"
"state_fe_3_trend","-1.169078",".0734959","-.7100277",".0891042",".0030306",".1125761","-.3981602",".0583139","-.3122651",".098452",".1202686",".0646229",".6227458",".1263835",".1431865",".0710995",".3215335",".0754388",".406383",".0929457",".5312614",".1351638"
"state_fe_4_trend","-.061177",".069331","-.1474796",".0711054","-.3943039",".0892538","-.0461054",".0460435","-.2546249",".0956608",".0682974",".0600488",".2079562",".1338107",".0196501",".0608494",".0921365",".0894498",".0741973",".0574674","-.0325643",".1206522"
"state_fe_5_trend","-.5806161",".1464477","-.8578348",".0941941","-.3447528",".1391157","-.1483925",".0580795",".0439313",".1026896",".0493967",".0867478",".4026871",".2367929","-.0118732",".0822921",".1474929",".1744771","-.2603027",".1016889","-.3006189",".0609014"
"state_fe_6_trend","-1.381325",".1172549","-.630625",".1009671","-.3905873",".1265554","-.4514419",".0851742","-.2815577",".1694619",".0130142",".1280939",".2298443",".140755","-.073898",".1085957",".0436666",".1140326",".1767008",".1343371",".5183919",".1723605"
"state_fe_7_trend","-.5133953",".1498681","-.7484831",".1127511","-.1658678",".1777302",".1293579",".0764013","-.1495687",".1449483",".0621191",".0756339","-.2097125",".2081405","-.3937811",".1070484",".5795776",".1678778","-.2993456",".088351",".1563927",".0774185"
"state_fe_8_trend","-.638227",".1185035","-.0470172",".0988223",".4439888",".1072388",".0224842",".0703482","-.2449923",".0902244",".4418368",".0740076","-.2389298",".0940169",".4754584",".0765878",".7728428",".0928737",".1953047",".0897239",".8338466",".1085997"
"state_fe_9_trend","-2.081905",".1976146",".2393212",".132786",".6785715",".1928149","-2.065793",".131909",".1881174",".1664207","-.8202754",".2386908",".5819554",".1461798","1.881556",".1415946",".3282463",".1788366","3.403187",".20421","1.974927",".1660591"
"state_fe_10_trend","-.7662662",".132664",".3736089",".1454458",".1814033",".1829258","-.3645933",".0855198","-.2110799",".1042618",".7692039",".1235018",".438401",".1490579",".0384553",".1027975",".1343129",".1246428","-.5239575",".1790269","-.1117452",".1358935"
"state_fe_11_trend",".1210904",".1048919",".1157532",".1176337","-.2445118",".1291043",".0724258",".0738516","-.0897532",".1178655",".1959785",".0825422",".0115392",".1461212","-.0804779",".0859703","-.0272677",".1029297",".0581692",".1516126",".260227",".1583528"
"state_fe_12_trend","-3.602417",".1889273","3.33935",".1785332","2.112764",".2534179","5.196563",".2728264",".3930883",".1465424","-1.104626",".1583375","1.182949",".2298214",".6015826",".2841033",".0063233",".1713209",".0892316",".2529668","-1.324456",".3411011"
"state_fe_13_trend","-.5637288",".0805704","-.472072",".1027586","-.1815472",".1340158",".0423421",".0666815","-.2044867",".1131199",".0175689",".0754129",".0297561",".1453948",".1336552",".0930314",".4302843",".0876805",".0152479",".0955955",".0921942",".1521977"
"state_fe_14_trend","-.2671676",".2591284","-.50332",".102404","-.3022855",".1809951",".1746055",".2604264","-.5600589",".2766291","-.2761743",".1501399",".889802",".210196","-.4845775",".2388362","-.0784883",".1904343","-.8187057",".1579952","-.1918222",".2116108"
"state_fe_15_trend","-.1659634",".067803","-.1828007",".0698471","-.1466282",".098513","-.1071799",".0508947","-.1015341",".1068781",".2036291",".0577616",".0810473",".1946382",".2122511",".0653317",".2034323",".0764905","-.0130011",".0679518",".1451961",".1081216"
"state_fe_16_trend","-.1552059",".0799802",".0272867",".0997095","-.0631593",".1307455","-.0191753",".0677142","-.3131857",".1090634",".146817",".0784296",".0360001",".1304238",".1758679",".0922489",".1893291",".0848175",".1156486",".0914284",".3034019",".148801"
"state_fe_17_trend","-.7219059",".1120174","-.347697",".1148307",".0101658",".1613008",".1125166",".0886786",".0278749",".1874802",".1588902",".098062",".1498096",".2888373",".0698573",".1549346",".2268064",".157399",".099346",".1184447",".0641518",".1131383"
