	(0.005)	(0.001)	(0.001)	(0.019)	(0.012)
dumm5_2	0.000	0.000	0.000	-0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
dumm5_3	-0.000	-0.000	-0.000	0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
fpm6hat	0.780***	0.009	0.016	0.548*	0.130*
	(0.090)	(0.009)	(0.011)	(0.318)	(0.074)
dumm6_1	0.004	0.000	0.000	0.035**	0.003
	(0.004)	(0.001)	(0.001)	(0.016)	(0.009)
dumm6_2	-0.000*	-0.000	-0.000	-0.000**	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
dumm6_3	0.000*	0.000	0.000	0.000**	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
_Iterm_2005	0.428	0.127***	0.122**	-0.872	-1.900***
	(0.327)	(0.040)	(0.052)	(1.110)	(0.601)
_Iregions_2	-1.729***	-0.020	-0.030	0.401	-0.965
	(0.481)	(0.070)	(0.100)	(2.131)	(1.367)
_Iregions_3	-2.235***	-0.129*	-0.073	-1.194	-0.696
	(0.695)	(0.077)	(0.106)	(2.379)	(1.342)
_Iregions_4	0.002	-0.126*	-0.202**	-3.685*	-1.834
	(0.476)	(0.073)	(0.100)	(2.084)	(1.460)
_Iregions_5	-0.904	0.017	0.112	-0.215	-1.154
	(0.928)	(0.066)	(0.101)	(2.236)	(1.332)
_Iregions_6	-2.489***	-0.135*	-0.122	-2.728	-1.388
	(0.568)	(0.081)	(0.107)	(2.086)	(1.327)
_Iregions_7	-2.556***	0.027	0.008	-2.899	-0.579
	(0.620)	(0.099)	(0.121)	(2.109)	(1.485)
_Iregions_8	-2.058***	-0.086	-0.301**	-1.830	-0.803
	(0.623)	(0.091)	(0.121)	(2.270)	(1.802)
_Iregions_9	-1.124**	-0.042	-0.082	-2.615	-1.700
	(0.437)	(0.080)	(0.112)	(2.072)	(1.367)
_Iregions_10	0.449	-0.004	0.082	0.306	0.903
	(0.406)	(0.057)	(0.091)	(2.247)	(1.638)
_Iregions_11	1.081**	-0.126*	-0.121	-4.706**	-2.096
	(0.437)	(0.068)	(0.099)	(1.877)	(1.311)
_Iregions_12	-0.562	-0.162**	-0.218**	-4.204**	-1.821
	(0.464)	(0.067)	(0.094)	(1.907)	(1.330)
_Iregions_13	-0.631	-0.082	-0.085	0.468	-2.074
	(0.605)	(0.079)	(0.113)	(2.991)	(1.347)
_Iregions_14	-0.923*	-0.311***	-0.288***	-5.200***	-2.412*
	(0.500)	(0.082)	(0.099)	(1.907)	(1.252)
_Iregions_15	-3.237***	-0.097	-0.104	-1.668	-0.030
	(0.679)	(0.109)	(0.141)	(2.444)	(1.605)
_Iregions_16	0.914	-0.149*	-0.177*	-1.627	0.244
	(0.639)	(0.079)	(0.102)	(2.444)	(1.921)
_Iregions_17	-0.129	-0.093	-0.196**	-2.919	-1.562
	(0.411)	(0.061)	(0.094)	(2.015)	(1.389)
_Iregions_18	-1.482**	-0.263***	-0.293***	-2.766	-0.240
	(0.646)	(0.097)	(0.107)	(2.409)	(1.898)
_Iregions_19	-1.467**	-0.032	-0.143	1.041	-1.534
	(0.593)	(0.079)	(0.110)	(2.951)	(1.334)
_Iregions_20	0.057	-0.087	-0.020	-1.820	-2.000
	(0.811)	(0.070)	(0.102)	(2.150)	(1.377)
					
Observations	1,202	1,202	1,202	1,140	1,140
R-squared	0.947	0.102	0.143	0.067	0.052
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
